entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0003:0027:}}It was really nice of you to play that
song for me earlier.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0003:0027:}}Ha sido todo un detalle por tu parte
tocar esa canción para mí.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0003:0027:}}Merci encore de m'avoir joué ce
morceau tout à l'heure...{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0003:0027:}}Sei stato très charmant a cantare
una canzone per me prima.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0003:0027:}}Ich... {{TAG:0007:0000:14000000}}Ich fand es schön, als du vorhin
das Lied für mich gespielt hast.{{TAG:000C:0009:}}",{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0003:0027:}}Az önce benim için o şarkıyı çalman çok hoştu.{{TAG:000C:0009:}}
1,002,"{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0001:}}Of course.{{TAG:0007:0000:14000000}} Did you like it?{{TAG:0007:0000:1E000000}}{{TAG:0003:0021:}} I wrote
all the lyrics myself.{{TAG:0007:0000:14000000}} I think this
could lead to my big break.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0001:}}¿Te ha gustado?{{TAG:0007:0000:1E000000}}{{TAG:0003:0021:}} La letra la he
compuesto yo solito.{{TAG:0007:0000:14000000}} Creo que
puede ser un exitazo.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0001:}}Aucun problème, content que ça
t'ait plu. {{TAG:0007:0000:1E000000}}{{TAG:0003:0021:}}En même temps, c'est
normal :{{TAG:0007:0000:0A000000}} c'est moi qui l'ai écrit.
Ça va faire un carton !{{TAG:0007:0000:14000000}}
{{TAG:0000:0003:0400}}Kéké Laglisse {{TAG:0000:0003:FFFF}}peut remballer sa
soupe, j'arrive !{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0001:}}No problemo.{{TAG:0007:0000:14000000}} Ti è piaciuta?
{{TAG:0007:0000:1E000000}}{{TAG:0003:0021:}}Ho scritto il testo io stesso.
{{TAG:0007:0000:14000000}}Sarà un successone, de seguro!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0001:}}Hat es dir gefallen?{{TAG:0007:0000:14000000}}{{TAG:0003:0021:}} Den Text hab
ich übrigens selbst geschrieben.{{TAG:0000:0004:}}{{TAG:0003:002B:}}Vielleicht schaffe ich damit endlich
den großen Durchbruch...{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0001:}}Ne demek.{{TAG:0007:0000:14000000}} Beğendin mi?{{TAG:0007:0000:1E000000}}{{TAG:0003:0021:}} Sözlerin hepsini
kendim yazdım.{{TAG:0007:0000:14000000}} Bence bu benim büyük
çıkışım olabilir.{{TAG:000C:0009:}}"
2,003,{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:001A:}}I liked it a lot.{{TAG:0007:0000:14000000}} It was very romantic.{{TAG:000C:0009:}},"{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:001A:}}Me ha gustado mucho.{{TAG:0007:0000:14000000}}
Es una canción muy romántica{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:000C:0009:}}",{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:001A:}}J'ai adoré... {{TAG:0007:0000:14000000}}C'était si romantique...{{TAG:000C:0009:}},"{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:001A:}}L'ho adooorata.
{{TAG:0007:0000:14000000}}Era mooolto romantica.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:001A:}}Ja, der Song hat mir wirklich
richtig gut gefallen. {{TAG:0007:0000:14000000}}Er war so...
{{TAG:0007:0000:0A000000}}romantisch.{{TAG:000C:0009:}}",{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:001A:}}Çok beğendim.{{TAG:0007:0000:14000000}} Gerçekten romantikti.{{TAG:000C:0009:}}
3,004,{{TAG:000A:0001:05000800}},{{TAG:000A:0001:05000800}},{{TAG:000A:0001:05000800}},{{TAG:000A:0001:05000800}},{{TAG:000A:0001:05000800}},{{TAG:000A:0001:05000800}}
4,005,"{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0001:}}Right?{{TAG:0007:0000:14000000}} I was totally thinking about
all the pretty girls in town when
I wrote it.
{{TAG:0003:0025:}}{{TAG:000C:0001:}}{{TAG:000C:0003:}}{{TAG:000C:0002:}}{{TAG:000C:0004:}}{{TAG:0007:0000:14000000}}Hey, {{TAG:0005:0008:}}.{{TAG:0007:0000:14000000}} What do you think
about love songs?{{TAG:0007:0000:14000000}} Are they clichéd
or sweet?{{TAG:0008:0000:0600000007000000}}
Ugh, clichéd!
Aww, sweet!","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0001:}}Te ha gustado,{{TAG:0007:0000:0A000000}} ¿eh?{{TAG:0007:0000:14000000}} Me he inspirado
en todas las chicas guapas de este
pueblo a la hora de componerla.
{{TAG:0003:0025:}}{{TAG:000C:0001:}}{{TAG:000C:0003:}}{{TAG:000C:0002:}}{{TAG:000C:0004:}}{{TAG:0007:0000:14000000}}Oye,{{TAG:0007:0000:0A000000}} {{TAG:0005:0008:}}.{{TAG:0007:0000:14000000}} ¿Qué te parecen
las baladas románticas?{{TAG:0007:0000:14000000}}{{TAG:0008:0000:0600000007000000}}
Son una cursilada
¡Me gustan!","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0001:}}Ah oui ?{{TAG:0007:0000:0A000000}} C'est drôle que tu dises ça,
je pensais justement à une de mes
fans en écrivant ce morceau...
{{TAG:0003:0025:}}{{TAG:000C:0001:}}{{TAG:000C:0003:}}{{TAG:000C:0002:}}{{TAG:000C:0004:}}{{TAG:0007:0000:14000000}}Hé, {{TAG:0005:0008:}} !{{TAG:0007:0000:0A000000}} Qu'est-ce que tu
penses des chansons d'amour ?{{TAG:0008:0000:0600000007000000}}
C'est de la guimauve.
C'est mes préférées.","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0001:}}Esatto!{{TAG:0007:0000:14000000}} L'ho scritta pensando
alle belle pupe della nostra città.{{TAG:0000:0004:}}{{TAG:0003:0021:}}Volevo creare una di quelle canzoni
che ti si parcheggiano in testa e non
ti lasciano pensare ad altro!
{{TAG:0003:0025:}}{{TAG:000C:0001:}}{{TAG:000C:0003:}}{{TAG:000C:0002:}}{{TAG:000C:0004:}}{{TAG:0007:0000:14000000}}Dimmi, {{TAG:0005:0008:}}.{{TAG:0007:0000:14000000}} Tu che ne pensi
delle canzoni d'amore?{{TAG:0007:0000:14000000}} Sono banali
o irresistibili?{{TAG:0008:0000:0600000007000000}}
Mah, banali...
Irresistibili!!!","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0001:}}Die Idee dazu hatte ich übrigens
bei einem Spaziergang unter
sternenklarem Nachthimmel...
{{TAG:0003:0025:}}{{TAG:000C:0001:}}{{TAG:000C:0003:}}{{TAG:000C:0002:}}{{TAG:000C:0004:}}{{TAG:0007:0000:14000000}}Hey, {{TAG:0005:0008:}}!{{TAG:0007:0000:14000000}} Was hältst du
eigentlich von Liebesliedern?{{TAG:0007:0000:14000000}}
Findest du sie kitschig oder schön?{{TAG:0008:0000:0600000007000000}}
Kitschig!
Schön!","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0001:}}Değil mi?{{TAG:0007:0000:14000000}} Yazarken kasabadaki bütün
güzel kızları düşünüyordum.
{{TAG:0003:0025:}}{{TAG:000C:0001:}}{{TAG:000C:0003:}}{{TAG:000C:0002:}}{{TAG:000C:0004:}}{{TAG:0007:0000:14000000}}Hey, {{TAG:0005:0008:}}.{{TAG:0007:0000:14000000}} Aşk şarkıları hakkında
ne düşünüyorsun?{{TAG:0007:0000:14000000}} Bayat mı, tatlı mı?{{TAG:0008:0000:0600000007000000}}
Off, çok klişe!
Ayy, çok tatlı!"
5,006,"{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:000F:}}Oh.{{TAG:0007:0000:28000000}} I didn't know you felt that way.{{TAG:0007:0000:14000000}}{{TAG:0003:0025:}}
I bet the ladies love them, though.","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:000F:}}Vaya,{{TAG:0007:0000:28000000}} no esperaba que fueras así
de crítico.{{TAG:0007:0000:14000000}}{{TAG:0003:0025:}} Estoy seguro de que
a las chicas les encantan.","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:000F:}}Oh...{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}} Mais ça m'étonne pas venant
d'un plouc comme toi. {{TAG:0003:0025:}}C'est pour
les vrais gentlemen, le romantisme.","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:000F:}}Oh.{{TAG:0007:0000:28000000}} Non sapevo la pensassi così.{{TAG:0007:0000:14000000}}{{TAG:0003:0025:}}
Comunque, tutte le pupe le adorano!","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:000F:}}Wirklich?{{TAG:0007:0000:14000000}}{{TAG:0003:0025:}}
Die Mädels scheinen das jedenfalls
ein bisschen anders zu sehen...","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:000F:}}Aa.{{TAG:0007:0000:28000000}} Böyle düşündüğünü bilmiyordum.{{TAG:0007:0000:14000000}}{{TAG:0003:0025:}}
Ama hanımlar bayılıyordur bence."
6,007,"{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0010:}}See!{{TAG:0007:0000:14000000}} {{TAG:0003:000B:}}Love songs are the soul's way
of{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0003:0000:}}singing about love.{{TAG:0007:0000:14000000}}{{TAG:0003:0001:}} They do
make the ladies swoon.","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0010:}}¡Lo sabía!{{TAG:0007:0000:14000000}} {{TAG:0003:000B:}}No hay mejor forma de
decirle a una chica lo que sientes{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:0000:}}
¡que con una buena balada!{{TAG:0007:0000:28000000}}{{TAG:0003:0001:}} ¡Je,{{TAG:0007:0000:0A000000}} je!","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0010:}}Eh oui !{{TAG:0007:0000:14000000}} {{TAG:0003:000B:}}Les ballades romantiques,
ça se joue et ça s'écoute avec le
cœur ! {{TAG:0007:0000:14000000}}{{TAG:0003:0001:}}Aucune femme n'y résiste.","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0010:}}Vedi!{{TAG:0007:0000:14000000}} {{TAG:0003:000B:}}Le canzoni d'amore sono
la chiave per aprire{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0003:0000:}} la porta
di ogni cuore.{{TAG:0007:0000:14000000}}{{TAG:0003:0001:}} Le pupe le adorano!","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0020:}}So ist es!{{TAG:0007:0000:1E000000}} {{TAG:0003:0001:}}Einem Lied, das von
Herzen kommt, kann nämlich
niemand widerstehen!","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0010:}}Gördün mü!{{TAG:0007:0000:14000000}} {{TAG:0003:000B:}}Aşk şarkıları ruhun{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0003:0000:}}aşkı
şarkıya dökme biçimidir.{{TAG:0007:0000:14000000}}{{TAG:0003:0001:}} Hanımların
dizlerini titretiyor işte."
7,008,"{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0001:}}Right?{{TAG:0007:0000:14000000}} I was totally thinking about
all the pretty girls in town when
I wrote it.
{{TAG:0003:0025:}}{{TAG:000C:0001:}}{{TAG:000C:0003:}}{{TAG:000C:0002:}}{{TAG:000C:0004:}}{{TAG:0007:0000:14000000}}Hey, {{TAG:0005:0008:}}.{{TAG:0007:0000:14000000}} What do you think
about love songs?{{TAG:0007:0000:14000000}} Are they clichéd
or sweet?{{TAG:0008:0000:090000000A000000}}
Ugh, clichéd!
Aww, sweet!","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0001:}}Te ha gustado,{{TAG:0007:0000:0A000000}} ¿eh?{{TAG:0007:0000:14000000}} Me he inspirado
en todas las chicas guapas de este
pueblo a la hora de componerla.
{{TAG:0003:0025:}}{{TAG:000C:0001:}}{{TAG:000C:0003:}}{{TAG:000C:0002:}}{{TAG:000C:0004:}}{{TAG:0007:0000:14000000}}Oye,{{TAG:0007:0000:0A000000}} {{TAG:0005:0008:}}.{{TAG:0007:0000:14000000}} ¿Qué te parecen
las baladas románticas?{{TAG:0008:0000:090000000A000000}}
Son una cursilada
¡Me gustan!","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0001:}}Ah oui ?{{TAG:0007:0000:0A000000}} C'est drôle que tu dises ça,
parce que c'est à toi que je pensais
en l'écrivant...
{{TAG:0003:0025:}}{{TAG:000C:0001:}}{{TAG:000C:0003:}}{{TAG:000C:0002:}}{{TAG:000C:0004:}}{{TAG:0007:0000:14000000}}Hé, {{TAG:0005:0008:}} !{{TAG:0007:0000:0A000000}} Qu'est-ce que tu
penses des chansons d'amour ?{{TAG:0008:0000:090000000A000000}}
C'est de la guimauve.
C'est mes préférées.","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0001:}}Esatto!{{TAG:0007:0000:14000000}} L'ho scritta pensando
a tutte le belle pupe della nostra
città.
{{TAG:0003:0025:}}{{TAG:000C:0001:}}{{TAG:000C:0003:}}{{TAG:000C:0002:}}{{TAG:000C:0004:}}{{TAG:0007:0000:14000000}}Senti, {{TAG:0005:0008:}}.{{TAG:0007:0000:14000000}} Che ne pensi delle
canzoni d'amore?{{TAG:0007:0000:14000000}} Sono pacchiane
o superromantiche?{{TAG:0008:0000:090000000A000000}}
Mmmh, pacchiane...
Superromantiche!!!","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0001:}}Die Idee dazu hatte ich übrigens,
als ich mir den Sonnenuntergang
am Meer angesehen habe...
{{TAG:0003:0025:}}{{TAG:000C:0001:}}{{TAG:000C:0003:}}{{TAG:000C:0002:}}{{TAG:000C:0004:}}{{TAG:0007:0000:14000000}}Hey, {{TAG:0005:0008:}}!{{TAG:0007:0000:14000000}} Was hältst du
eigentlich von Liebesliedern?{{TAG:0007:0000:14000000}}
Findest du sie kitschig oder schön?{{TAG:0008:0000:090000000A000000}}
Kitschig!
Schön!","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0001:}}Değil mi?{{TAG:0007:0000:14000000}} Yazarken kasabadaki bütün
güzel kızları düşünüyordum.
{{TAG:0003:0025:}}{{TAG:000C:0001:}}{{TAG:000C:0003:}}{{TAG:000C:0002:}}{{TAG:000C:0004:}}{{TAG:0007:0000:14000000}}Hey, {{TAG:0005:0008:}}.{{TAG:0007:0000:14000000}} Aşk şarkıları hakkında
ne düşünüyorsun?{{TAG:0007:0000:14000000}} Bayat mı, tatlı mı?{{TAG:0008:0000:090000000A000000}}
Off, çok klişe!
Ayy, çok tatlı!"
8,009,"{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:000F:}}Oh.{{TAG:0007:0000:28000000}} I didn't know you felt that way.{{TAG:0007:0000:14000000}}{{TAG:0003:0018:}}
I bet most ladies love them, though.","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:000F:}}¿Eh?{{TAG:0007:0000:28000000}} Pensaba que todas las chicas{{TAG:0007:0000:14000000}}{{TAG:0003:0018:}}
erais unas románticas.{{TAG:0007:0000:0A000000}} Jo{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:000F:}}Oh...{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}} Ça m'étonne pas, venant d'une
pimbêche comme toi. {{TAG:0003:0025:}}C'est pour les
vraies ladies, le romantisme.","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:000F:}}Oh.{{TAG:0007:0000:28000000}} Non sapevo che la pensassi
così...{{TAG:0007:0000:14000000}}{{TAG:0003:0018:}} Avrei scommesso che tutte
le pupe ne andassero pazze!","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0018:}}Oh,{{TAG:0007:0000:28000000}} das hätte ich nicht erwartet.{{TAG:0007:0000:14000000}}
{{TAG:0003:0024:}}Den meisten Mädels scheinen
Liebeslieder jedenfalls zu gefallen...","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:000F:}}Aa.{{TAG:0007:0000:28000000}} Böyle düşündüğünü bilmiyordum.{{TAG:0007:0000:14000000}}{{TAG:0003:0018:}}
Ama çoğu hanım seviyordur bence."
9,010,"{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0010:}}See!{{TAG:0007:0000:14000000}} {{TAG:0003:000B:}}Love songs are the soul's way
of{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0003:0000:}}singing about love.{{TAG:0007:0000:14000000}}{{TAG:0003:0001:}} They do
make you ladies swoon.","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0010:}}¡Lo sabía!{{TAG:0007:0000:14000000}} {{TAG:0003:000B:}}Mi teoría sale reforzada{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0003:0000:}}
{{TAG:0007:0000:14000000}}{{TAG:0003:0001:}}¡Las chicas adoran las canciones
románticas!","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0010:}}Eh oui !{{TAG:0007:0000:0A000000}} Les ballades romantiques,
ça se joue et ça s'écoute avec le
cœur ! {{TAG:0007:0000:14000000}}{{TAG:0003:0001:}}Aucune femme n'y résiste.","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0010:}}Vedi!{{TAG:0007:0000:14000000}} {{TAG:0003:000B:}}Le canzoni d'amore sono
la chiave{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0003:0000:}} per accedere al cuore
delle pupe.{{TAG:0007:0000:14000000}}{{TAG:0003:0001:}} Ne vanno pazze!","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0001:}}Das dachte ich mir!{{TAG:0007:0000:14000000}} Einem Lied,
das von Herzen kommt, kann
eben keiner widerstehen!","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0010:}}Gördün mü!{{TAG:0007:0000:14000000}} {{TAG:0003:000B:}}Aşk şarkıları ruhun{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0003:0000:}}aşkı
şarkıya dökme biçimidir.{{TAG:0007:0000:14000000}}{{TAG:0003:0001:}} Siz hanımların
dizlerini titretiyor işte."
10,011,,,,,,
11,012,"{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0003:0001:}}Thank you for sending me that nice
handwritten poem the other day.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0003:0001:}}Gracias por enviarme ese poema
que escribiste el otro día.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0003:0001:}}Merci beaucoup pour ce joli poème
que tu m'as envoyé l'autre jour.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0003:0001:}}Merci per avermi mandato
quella bellissimissima poesia
scritta a mano l'altro giorno.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0003:0001:}}Ich habe deinen Brief bekommen
und du...{{TAG:0007:0000:14000000}} Du hast mir ein Gedicht
geschrieben... {{TAG:0007:0000:14000000}}Danke.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0003:0001:}}Geçen gün gönderdiğin el yazısı şiir
için teşekkür ederim.{{TAG:000C:0009:}}"
12,013,{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0001:}}My pleasure.{{TAG:0007:0000:14000000}} What did you think?{{TAG:000C:0009:}},"{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0001:}}De nada,{{TAG:0007:0000:0A000000}} el placer ha sido todo mío.{{TAG:0007:0000:14000000}}
Dime,{{TAG:0007:0000:0A000000}} sinceramente,{{TAG:0007:0000:0A000000}} ¿qué te ha
parecido?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0001:}}Tout le plaisir était pour moi.{{TAG:0007:0000:0A000000}}
Il t'a plu ?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0001:}}È stato un piacere.
{{TAG:0007:0000:14000000}}Che effetto ti ha fatto?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0001:}}Keine Ursache.{{TAG:0007:0000:14000000}} Wie hat dir das
Gedicht gefallen?{{TAG:000C:0009:}}",{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0001:}}Ne demek.{{TAG:0007:0000:14000000}} Nasıl buldun?{{TAG:000C:0009:}}
