entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:0003:0001:}}Yesterday was the {{TAG:0000:0003:0200}}Lunar New Year{{TAG:0000:0003:FFFF}}.{{TAG:0007:0000:0A000000}}
Wow, it passed by in such a flash!{{TAG:0007:0001:}}
I can't wait for it again next year!","{{TAG:0003:0001:}}Pues ayer se me pasó el Año Nuevo
Lunar en un suspiro.{{TAG:0007:0000:0A000000}}{{TAG:0007:0001:}} ¡Qué ganas
de celebrarlo el año que viene!","{{TAG:0003:0001:}}Hier, c'était le {{TAG:0000:0003:0200}}nouvel an lunaire{{TAG:0000:0003:FFFF}}.{{TAG:0007:0000:0A000000}}
C'est passé à une de ces vitesses !{{TAG:0007:0001:}}
{{TAG:0003:0005:}}Vivement l'année prochaine, hi hi !","{{TAG:0003:0001:}}Ieri era il Capodanno lunare.{{TAG:0007:0000:0A000000}}
Accifuffoli, è passato in un baleno!{{TAG:0007:0001:}}
{{TAG:0003:0005:}}Non vedo l'ora che ritorni!","{{TAG:0003:0001:}}{{TAG:0000:0003:0200}}Mondneujahr {{TAG:0000:0003:FFFF}}ging diesmal so schnell
vorbei.{{TAG:0007:0000:14000000}} Ich kann gar nicht erwarten,
es nächstes Jahr wieder zu feiern!","{{TAG:0003:0001:}}Dün {{TAG:0000:0003:0200}}Ay Yeni Yılı{{TAG:0000:0003:FFFF}}ydı.{{TAG:0007:0000:0A000000}}
Vay canına, göz açıp kapayıncaya
kadar geçti!{{TAG:0007:0001:}}
Seneye yine gelsin diye
şimdiden sabırsızlanıyorum!"
1,002,"{{TAG:0003:0025:}}Since it was the {{TAG:0000:0003:0200}}Lunar New Year{{TAG:0000:0003:FFFF}},{{TAG:0007:0000:0A000000}}
I thought about starting the year off
with a proper greeting.
That's why {{TAG:0003:002C:}}I put a lot of work into
getting ready for the event!","{{TAG:0003:0025:}}Como ha sido el Año Nuevo Lunar,{{TAG:0007:0000:0A000000}}
he pensado en darle la bienvenida
al año como está mandado.
Por eso he estado {{TAG:0003:002C:}}preparando
la fiesta con tanto esmero.","{{TAG:0003:0025:}}Pour célébrer le {{TAG:0000:0003:0200}}nouvel an lunaire{{TAG:0000:0003:FFFF}},{{TAG:0007:0000:0A000000}}
j'ai à cœur de préparer une fête
inoubliable.
C'est pour ça que {{TAG:0003:002C:}}je suis tellement
occupée ces derniers temps !","{{TAG:0003:0025:}}Quest'anno abbiamo festeggiato
il Capodanno lunare{{TAG:0007:0000:0A000000}} in grande stile!{{TAG:0000:0004:}}Beh, del resto {{TAG:0003:002C:}}ho lavorato
tantissimo per organizzare
questo evento!","{{TAG:0003:0025:}}Diesmal hatten wir ein wirklich
schönes {{TAG:0000:0003:0200}}Mondneujahr{{TAG:0000:0003:FFFF}}!{{TAG:0000:0004:}}{{TAG:0003:0027:}}Schließlich habe ich mich bei der
Vorbereitung der Feier auch ganz
besonders ins Zeug gelegt!","{{TAG:0003:0025:}}{{TAG:0000:0003:0200}}Ay Yeni Yılı{{TAG:0000:0003:FFFF}} olduğu için{{TAG:0007:0000:0A000000}}
yıla güzel bir selamla başlamak istedim.
O yüzden {{TAG:0003:002C:}}etkinlik için
çok ama çok hazırlandım!"
2,003,"{{TAG:0003:0001:}}I'm looking forward to next year's
{{TAG:0000:0003:0200}}Lunar New Year{{TAG:0000:0003:FFFF}}.{{TAG:0007:0000:14000000}} I'll do my best to
make it exciting for everyone again!","{{TAG:0003:0001:}}Queda mucho, pero ya tengo ganas
de que llegue el próximo Año Nuevo
Lunar y hacer otra fiesta genial.","{{TAG:0003:0001:}}J'attends avec impatience le
prochain {{TAG:0000:0003:0200}}nouvel an lunaire {{TAG:0000:0003:FFFF}}!{{TAG:0007:0000:14000000}} Ça sera
encore mieux que cette année !","{{TAG:0003:0001:}}Già non vedo l'ora che arrivi
il Capodanno lunare{{TAG:0000:0003:0200}} {{TAG:0000:0003:FFFF}}dell'anno
prossimo.{{TAG:0007:0000:14000000}} Sarà fuffosissimo!","{{TAG:0003:0001:}}Ich gebe auch nächstes Jahr wieder
mein Bestes, um {{TAG:0000:0003:0200}}Mondneujahr {{TAG:0000:0003:FFFF}}zu
einem aufregenden Fest zu machen!","{{TAG:0003:0001:}}Gelecek yılki {{TAG:0000:0003:0200}}Ay Yeni Yılı{{TAG:0000:0003:FFFF}}nı{{TAG:0007:0000:14000000}}
şimdiden iple çekiyorum. Herkes
yine eğlensin diye elimden
geleni yapacağım!"
3,004,"{{TAG:0003:0001:}}I hope you enjoy spending the {{TAG:0000:0003:0200}}Lunar
New Year{{TAG:0000:0003:FFFF}} here in {{TAG:0005:0005:}}!","{{TAG:0003:0001:}}¡Disfruta del Año Nuevo Lunar
en {{TAG:000E:0003:}}{{TAG:0005:0005:}}!","{{TAG:0003:0001:}}J'espère que vous passez un bon
{{TAG:0000:0003:0200}}nouvel an lunaire{{TAG:0000:0003:FFFF}}, ici à {{TAG:0005:0005:}} !","{{TAG:0003:0001:}}Spero tanto che ti divertirai
a passare il {{TAG:0000:0003:0200}}Capodanno lunare
{{TAG:0000:0003:FFFF}}qui {{TAG:000E:0010:}} {{TAG:0005:0005:}}!","{{TAG:0003:0001:}}Viel Spaß an {{TAG:0000:0003:0200}}Mondneujahr{{TAG:0000:0003:FFFF}} hier
bei uns in {{TAG:0005:0005:}}!","{{TAG:0003:0001:}}{{TAG:0000:0003:0200}}Ay Yeni Yılı{{TAG:0000:0003:FFFF}}nı {{TAG:0005:0005:}} kasabasında
doyasıya kutla!"
4,005,"{{TAG:0003:0001:}}Spending the {{TAG:0000:0003:0200}}Lunar New Year{{TAG:0000:0003:FFFF}}
with you {{TAG:0003:0005:}}makes me so happy!
Thanks for being here!","{{TAG:0003:0001:}}¡Me alegro mucho de estar pasando
el Año Nuevo Lunar {{TAG:0003:0005:}}contigo!
¡Gracias por acompañarme!","{{TAG:0003:0001:}}Ça me rend tellement heureuse de
passer{{TAG:0003:0005:}} le {{TAG:0000:0003:0200}}nouvel an lunaire {{TAG:0000:0003:FFFF}}avec
vous ! Merci à vous !","{{TAG:0003:0001:}}Passare il Capodanno lunare{{TAG:0000:0003:0200}} {{TAG:0000:0003:FFFF}}con te
rende questo giorno ancora più
fuffoso! {{TAG:0003:0005:}}Grazie per essere venut{{TAG:000E:0006:02006F0002006100}}!","{{TAG:0003:0001:}}Danke, dass du uns an {{TAG:0000:0003:0200}}Mondneujahr{{TAG:0000:0003:FFFF}}
besuchen kommst!{{TAG:0007:0000:0A000000}}{{TAG:0003:0005:}} Mit Besuch wie
dir ist jedes Fest noch schöner!","{{TAG:0003:0001:}}{{TAG:0000:0003:0200}}Ay Yeni Yılı{{TAG:0000:0003:FFFF}}nı seninle
geçirmek {{TAG:0003:0005:}}beni çok mutlu ediyor!
İyi ki geldin!"
5,006,"{{TAG:0003:0001:}}I hope you spend a relaxing {{TAG:0000:0003:0200}}Lunar
New Year{{TAG:0000:0003:FFFF}} here in {{TAG:0005:0005:}}!","{{TAG:0003:0001:}}¡Aprovecha el Año Nuevo Lunar
para relajarte aquí, en {{TAG:000E:0003:}}{{TAG:0005:0005:}}!","{{TAG:0003:0001:}}Je vous souhaite de passer un
{{TAG:0000:0003:0200}}nouvel an lunaire{{TAG:0000:0003:FFFF}} des plus relaxants,
chez nous à {{TAG:0005:0005:}} !","{{TAG:0003:0001:}}Spero che tu sia content{{TAG:000E:0006:02006F0002006100}}
di festeggiare il Capodanno lunare
con noi qui {{TAG:000E:0010:}} {{TAG:0005:0005:}}!","{{TAG:0003:0001:}}Ich hoffe, dass du ein angenehmes
{{TAG:0000:0003:0200}}Mondneujahr{{TAG:0000:0003:FFFF}} hier in {{TAG:0005:0005:}}
verbringst!","{{TAG:0003:0001:}}{{TAG:0000:0003:0200}}Ay Yeni Yılı{{TAG:0000:0003:FFFF}}nı huzur içinde
{{TAG:0005:0005:}} kasabasında geçirmeni dilerim!"
6,007,,,,,,
7,008,,,,,,
8,009,,,,,,
9,010,,,,,,
