entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"It was rad of you to have me
over! It's too bad I couldn't
see every room, but there's
always next time. Take this
as my thanks. And there's
more where that came from!","¡Qué flipe que me hayas
invitado a tu casa! No lo he
podido ver todo, pero así
tengo excusa para volver...
¡Oye, toma esta cosilla como
muestra de agradecimiento!","Je suis ravie d'avoir pu
visiter ta baraque, même si
j'ai pas tout vu. Ça me fera
une bonne raison de revenir !
D'ici là, voici un cadeau pour
m'avoir bien accueillie.","Non mi è dispiaciuto farti
visita l'altro giorno! Vabbè,
non sono riuscita a vedere
tutte le stanze di casa tua,
ma c'è sempre tempo. Per
ora accetta questo regalo!","War cool, mit dir zusammen
abzuhängen! Schade nur,
dass ich nicht alle Zimmer
gesehen hab. Oh, ich hab 'ne
Kleinigkeit für dich. Wo das
herkommt, gibt's noch mehr!",Geçen gün beni ağırlaman çok iyiydi! Her odayı göremedim ama bir dahaki sefere artık. Teşekkür olarak bunu al. Devamı da gelir!
1,002,"Thanks for showing me your
place the other day! Is that
secret room where you have
your hideout? Let's become
better friends so I can see
it. Take this as a start!","¡Gracias por enseñarme tu
casa! Aunque tenías una
habitación secreta que no
conseguí ver... ¡Nos falta
algo de confianza! Hale,
esto es para ir empezando...","Merci de m'avoir reçue,
l'autre jour. Y faut faire quoi
pour avoir le droit de voir la
pièce inaccessible ? J'espère
que ce petit cadeau me
mettra sur le bon chemin.","Grazie per avermi fatto
vedere casa tua l'altro
giorno! E quella stanza è il
tuo nascondiglio segreto, eh?
Forse me lo dirai, prima o
poi. Tieni questo, per ora!","War voll verschärft, dass du
mir deine Bude gezeigt hast.
Das nächste Mal zeigste mir
aber noch dein ultimatives
Geheimversteck. Du weißt
ja, mir entgeht nichts! Da!",Geçen gün evini gezdirdiğin için sağ ol! O gizli oda saklandığın yer mi? Biraz daha yakın arkadaş olalım da onu da göreyim. Başlangıç olarak bunu al!
2,003,"How did you get your place
into that much of a mess?
That must have taken some
work! I had fun visiting the
other day, so take this to
help you clean things up!","¿Cómo puedes tener tal
desorden en casa? ¡Te habrá
costado lo tuyo! En fin, me
lo pasé en grande el otro
día. ¡A ver si con esto te
cuesta menos hacer limpieza!","Comment t'as pu mettre un
souk pareil chez toi ? Ça a
dû demander beaucoup de
travail. Bon, j'ai quand même
apprécié la visite, donc voici
un petit cadeau !","Ma come fa casa tua a
essere così disordinata?
Ci vuole un certo impegno,
eh! Comunque mi sono
divertita! Tieni questo!
Ti servirà per le pulizie.","Sag mal, wie haste es denn
geschafft, deine Bude so
vollzumüllen? Das muss ja
'n Vollzeitjob gewesen sein!
Nimm das hier, damit du 'n
bissel ordentlicher wirst!",Evi bu kadar dağıtmayı nasıl başardın? Emek istemiş olmalı! Geçen gün ziyaret eğlenceliydi; toparlamana yardım etsin diye bunu al.
3,004,"Thanks for having me over!
I didn't get your furniture-
facing-the-wall motif, but
hey, if you don't care about
not being able to use stuff,
I guess that's OK then...","¡Gracias por invitarme a
tu casa! Tienes una forma
un poco extraña de colocar
los muebles, pero si a ti
te gusta, ¡por mí no hay
problema! Supongo...","Merci pour ton accueil ! J'ai
pas pigé pourquoi certains
de tes meubles faisaient face
au mur ?! Sur le coup, j'ai
cru qu'ils étaient punis, mais
je commence à douter...","Beh... grazie per avermi
fatto vedere casa tua! Non
ho ben capito il senso di quei
mobili contro il muro, ma
in fondo non sono fatti miei!
Avrai i tuoi motivi...","Bei dir war's ja ganz nett
und so, aber du solltest das
mit dem Teil da gegen die
Wand noch mal überdenken.
Ist doch total unpraktisch.
Oder soll das so sein...?",Beni eve çağırdığın için sağ ol! Mobilyaları duvara çevirme temasını pek anlamadım ama kullanamamaları seni rahatsız etmiyorsa tamamdır...
4,005,"Thanks for letting me come
to your place, but it doesn't
feel lived in at all! Do you
ever even go in there? Why
don't you take this and use
it to live like a real person?","Tu casa parece una mansión
fantasma... ¡pero gracias por
invitarme de todas formas!
Mira, con esta cosilla seguro
que parece un poco más 
acogedora... ¡Ya verás!","Merci de m'avoir reçue chez
toi... mais tu vis vraiment là-
dedans ?! J'ai un peu de
peine pour toi, alors voici de
quoi prendre un nouveau
départ. Meublé, le départ.","Non mi è dispiaciuto venire
a casa tua, però... sembrava
non ci abitasse nessuno! Beh,
potresti provare a vivere in
modo più normale... anche
grazie al mio regalo!","Also deine Bude... Wohnst du
da wirklich drin, oder pennst
du unter 'ner Brücke? Hier,
'ne kleine Starthilfe, damit's
bei dir auch mal gemütlich
wird. Pass auf dich auf!",Eve gelmeme izin verdiğin için sağ ol ama orada yaşanıyor gibi hiç durmuyor! Gerçekten eve giriyor musun? Şunu al da biraz insan gibi yaşa.
5,006,"Thanks for showing me your
place! I was impressed (and
a little scared) by how clean
it was. I wonder if my house
is too messy. No one's ever
dared to complain!","¡Gracias por enseñarme tu
casa! ¡Estaba tan limpia que
aluciné! Aunque también me
dio miedo... ¿Crees que mi
casa está limpia? ¡Nadie se
ha quejado nunca!","Merci de m'avoir accueillie
chez toi. J'ai rarement vu
maison aussi bien tenue...
Jamais, en fait ! Maintenant,
j'ai l'impression de vivre
dans une porcherie. Pfff.","Finalmente ho visto casa
tua, sì! È troppo pulita,
però! Non me lo sarei mai
aspettato... Ora sono
costretta a rivedere
il mio concetto di ordine!","Und ich dachte schon, ich
hätte 'nen Putztick, aber im
Vergleich zu dir kann ich ja
so was von abstinken...
Dafür hast du dir auch ein
cooles Geschenk verdient!",Evi gösterdiğin için sağ ol! Ne kadar temiz olduğuna hem şaşırdım hem biraz korktum. Acaba benim ev çok mu dağınık? Şikâyet etmeye kimse cesaret edemedi!
6,007,"Thanks for having me over
to your house! But don't you
get bummed out by your
totally bare walls? I would!
Try putting this up, and see
if you don't feel better.","¡Qué bien que me invitases a
tu casa! ¡Gracias! Pero...
¿no te saca de quicio tener
las paredes tan vacías?
Cuelga esto, ya verás como
coge algo de vidillla...","Merci de m'avoir fait visiter
ta baraque ! Tes murs te
font pas déprimer ? Parce
que moi, si. Du coup, je
tenais à t'envoyer ce truc.
Tu verras, ça change la vie !","Non è stato male dare
un'occhiata a casa tua! Ma
non ti deprimono quelle mura
spoglie? A me sì! Potresti
provare a ravvivarle almeno
un po' con il mio regalo!","Ich hatte ja echt viel Spaß
bei dir, aber ehrlich gesagt
würd ich ja die Wände hoch-
gehen, wenn meine so leer
wären wie deine. Aber das
lässt sich ja leicht ändern.",Eve çağırdığın için sağ ol! Ama o bomboş duvarlar moralini bozmuyor mu? Benim bozulurdu. Şunu as da bakalım kendini daha iyi hissedecek misin.
7,008,"I didn't peg you as a maniac
collector. Boy, was I wrong!
I wouldn't feel at home in a
place like that. How are you
not afraid of breaking stuff?
Take this, if you want.","No sabía que te gustase
coleccionar cosas, ¡qué mal!
Tu casa es como un museo,
y a mí eso me da mal rollo...
¿No te da miedo romper
algo? En fin, esto es para ti.","Tu collectionnes les meubles
rares ? J'aurais pas cru. Je
sais pas comment tu fais
pour vivre au milieu de tout
ça. Moi, j'aurais trop peur de
casser des trucs...","Non ti facevo {{TAG:000E:0006:040075006E00060075006E006100}}
collezionista. Mi sbagliavo
alla grande, lo so! Io avrei
sempre paura di rompere
qualcosa in un posto così...
Tieni questo, se vuoi.","Hätte dich ja gar nicht so
eingeschätzt... Deine Bude is'
ja total krass! Haste keine
Panik, dass da was kaputt-
geht? Oh, ich hab da noch
was Cooles für dich!",Seni çılgın bir koleksiyoncu sanmazdım. Yanılmışım! Ben öyle yerde rahat edemezdim. Bir şey kırmaktan korkmuyor musun? İstersen bunu da al.
8,009,"Thanks for letting me come
over! But where did you get
all that gorgeous stuff? If I
was you, I'd have security all
over the place! Take this gift
for showing me everything.","¡Gracias por invitarme!
¿De dónde has sacado unas
cosas tan chulas? ¡Deberías
tener una alarma antirrobo!
Anda, quédate con esto,
¡te lo mereces!","Merci de m'avoir accueillie
dans ta caverne aux trésors !
À ta place, j'investirais dans
une porte blindée... Bref,
voici un petit cadeau. C'est
de la camelote, mais bon...","Casa tua non è male!
Grazie di avermela fatta
vedere, eh! Hai un sacco di
cose ultracostose. Non hai
paura che te le rubino? Beh,
tieni questo come regalo.","War richtig cool bei dir!
Deine Bude ist ja voll der
Knüller! Wann biste denn zum
Sterni-Millionär geworden?
Haste auch 'ne Alarmanlage?
PS: Hab was für dich!",Eve davet için sağ ol! Bunca muhteşem şeyi nereden buldun? Ben olsam her yere güvenlik koyardım! Her şeyi gösterdiğin için bu hediye senin.
9,010,"I'm guessing you like a nice
breeze, based on that empty
place of yours! How do you
not get cold in there? Why
don't you try this out, OK?
Thanks for having me over!","No sé cómo puedes tener la
casa tan vacía... ¿Te gusta el
eco o qué? ¿Y no te mueres
de frío? En fin... toma este
detallito. ¡Y muchas gracias
por invitarme!","À voir ta baraque, j'en
déduis que t'as pas peur du
vide... Je me permets donc
de t'envoyer ce truc, tu
devrais pas avoir trop de
mal à lui trouver une place !","Deve piacerti muoverti
liberamente, visto lo spazio
vuoto a casa tua! Almeno
non sbatti contro i mobili.
Beh... grazie dell'ospitalità!
Ti faccio questo regalo, dai!","Entrümpelungen sollen ja
befreiend sein, aber haste es
da nicht etwas übertrieben?
Oder war deine Bude schon
immer so leer? Ich hab da
jedenfalls was für dich...","Boş evine bakılırsa temiz havayı seviyorsun! İçeride nasıl donmuyorsun? Şunu bir dene, olur mu? Beni ağırladığın için sağ ol!"
