English,Turkish,Note
Bombers' Notebook,Bombacıların Defteri,UI / görev defteri
Clock Town,Saat Kasabası,yer adı
Termina Field,Termina Ovası,yer adı
Woodfall Temple,Şelale Ormanı Tapınağı,tapınak
Snowhead Temple,Kar Zirvesi Tapınağı,tapınak
Great Bay Temple,Büyük Körfez Tapınağı,tapınak
Stone Tower Temple,Taş Kule Tapınağı,tapınak
Great Fairy,Büyük Peri,karakter
Stray Fairy,Kayıp Peri,eşya/karakter
Rupee,Rupi,para birimi
Heart Container,Kalp Kabı,eşya
Item Screen,Eşya Ekranı,arayüz
Schedule Screen,Program Ekranı,arayüz
Song of Time,Zamanın Şarkısı,şarkı
Gold Dust,Altın Tozu,eşya
Milk Road,Süt Yolu,yer adı
Cucco Shack,Cucco Kulübesi,yer adı
Couple's Mask,Çift Maskesi,maske
Troupe Leader's Mask,Kumpanya Lideri Maskesi,maske
Pendant of Memories,Hatıra Kolyesi,görev eşyası
Mystery Milk,Gizemli Süt,görev eşyası
Moldy Milk,Bozuk Süt,görev eşyası
Postman's Hat,Postacı Şapkası,maske/şapka
Woodfall,Şelale Ormanı,yer adı
Southern Swamp,Güney Bataklığı,yer adı
Snowhead,Kar Zirvesi,yer adı
Great Bay,Büyük Körfez,yer adı
Stone Tower,Taş Kule,yer adı
Bombers,Bombacılar,çocuk çetesi / özel grup adı
Deku Nut,Deku Cevizi,eşya; Deku tüccarı kelime oyunuyla uyumlu
