entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,{{TAG:0003:000D:}}Eek! {{TAG:0007:0000:14000000}}It's an o{{TAG:0007:0000:08000000}}-ogre!,{{TAG:0003:000D:}}¡Ayyy! {{TAG:0007:0000:14000000}}¡E-{{TAG:0007:0000:08000000}}es un ogro!,"{{TAG:0003:000D:}}Aaah !{{TAG:0007:0000:0A000000}} Un og-og...{{TAG:0007:0000:14000000}} Un og-og...{{TAG:0007:0000:14000000}}
Un ogre !","{{TAG:0003:000D:}}Quelle horreur!
{{TAG:0007:0000:14000000}}Uno spirito malvagio!",{{TAG:0003:000D:}}Waaah!{{TAG:0007:0000:14000000}} Ein M-M-Monster!,{{TAG:0003:000D:}}Ay! {{TAG:0007:0000:14000000}}B-bir {{TAG:0007:0000:08000000}}oni!
1,002,{{TAG:0003:000F:}}What?!{{TAG:0007:0000:14000000}} An ogre?!,{{TAG:0003:000F:}}¡¿Qué?!{{TAG:0007:0000:14000000}} ¡Ha venido un ogro!,{{TAG:0003:000F:}}Oh non ! {{TAG:0007:0000:14000000}}Un monstre !,"{{TAG:0003:000F:}}Oh, parbleu!{{TAG:0007:0000:14000000}} Uno spirito malvagio?!",{{TAG:0003:0011:}}Oh nein!! {{TAG:0007:0000:14000000}}Ein Ungeheuer!,{{TAG:0003:000F:}}Ne?! {{TAG:0007:0000:14000000}}Bir oni mi?!
2,003,{{TAG:0003:0011:}}An ogre?!,{{TAG:0003:0011:}}¡¿Un ogro?!,{{TAG:0003:0011:}}C'est...{{TAG:0007:0000:0A000000}} C'est un ogre !,{{TAG:0003:0011:}}Sei{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} uno spirito malvagio per caso?,{{TAG:0003:0011:}}I-i-ist das... {{TAG:0007:0000:14000000}}ein O-O-Oger?!,{{TAG:0003:0011:}}Bir oni?!
3,004,"Be gone,{{TAG:0007:0000:08000000}} ogre!{{TAG:0007:0000:28000000}}{{TAG:0003:001F:}} Out with your bad
luck,{{TAG:0007:0000:08000000}} and in with good fortune!",{{TAG:0003:001F:}}¡Afuera el mal! ¡Adentro la suerte!,"{{TAG:0003:001F:}}Ogre, vil ogre, rentre chez toi !
{{TAG:0007:0000:14000000}}Et qu'à la peur succède la joie !","{{TAG:0003:001F:}}Spirito malvagio, {{TAG:0007:0000:0A000000}}vade retro!{{TAG:0007:0000:14000000}}
Porta via con te {{TAG:0007:0000:0A000000}}la cattiva sorte!","{{TAG:0003:001F:}}Raus mit dem Bösen!{{TAG:0007:0000:14000000}}
Rein mit dem Glück!{{TAG:0007:0000:14000000}}
Hihi...","Git {{TAG:0007:0000:08000000}}buradan{{TAG:0007:0000:28000000}}{{TAG:0003:001F:}}, oni! Kötü şans {{TAG:0007:0000:08000000}}
dışarı, iyi talih içeri!"
4,005,"{{TAG:0003:0001:}}Hee hee.{{TAG:0007:0000:14000000}} Throwing my own beans
really makes it feel like {{TAG:0000:0003:0200}}Bean Day{{TAG:0000:0003:FFFF}}.{{TAG:0007:0000:14000000}}
Thanks for helping,{{TAG:0007:0000:08000000}} bad ogre!","{{TAG:0003:0001:}}¡Ahora sí que siento que es el
Día de la Habichuela! {{TAG:0003:0005:}}{{TAG:0007:0000:14000000}}¡Gracias
por ayudarme, {{TAG:0007:0000:0A000000}}ogro malvado!","{{TAG:0003:0001:}}Pas de jour du haricot digne de ce
nom sans un bon lancer de haricots !{{TAG:0007:0000:0A000000}}
Merci, cher ogre maléfique, hi hi !","{{TAG:0003:0001:}}Ih ih ih!{{TAG:0007:0000:14000000}} Non è un vero Setsubun
se non si possono tirare i fagioli.{{TAG:0007:0000:14000000}}
Merci, {{TAG:0007:0000:08000000}}mio galante spirito malvagio!","{{TAG:0003:0001:}}Hihihi, ich liebe den {{TAG:0000:0003:0200}}Bohnentag{{TAG:0000:0003:FFFF}}!{{TAG:0007:0000:14000000}}
Hauptsächlich, weil ich so gerne mit
Bohnen werfe.{{TAG:0007:0000:14000000}} Danke, böser Oger!","{{TAG:0003:0001:}}Hehe. {{TAG:0007:0000:14000000}}Fasulyeleri kendim atınca
Setsubun gerçekten başlamış
gibi {{TAG:0000:0003:0200}}oluyor. {{TAG:0000:0003:FFFF}}{{TAG:0007:0000:14000000}}Yardımın için
teşekkürler{{TAG:0007:0000:08000000}}, kötü oni!"
5,006,"{{TAG:0003:0015:}}You can't have {{TAG:0000:0003:0200}}Bean Day{{TAG:0000:0003:FFFF}} without
the beans!{{TAG:0007:0001:}}{{TAG:0003:0024:}} I didn't hit you in the eye
or anything, did I?","{{TAG:0003:0015:}}¡El Día de la Habichuela no es lo
mismo si no se tiran habichuelas!{{TAG:0000:0004:}}{{TAG:0003:0024:}}No te habré dado en un ojo ni
nada parecido, {{TAG:0007:0000:0A000000}}¿verdad?","{{TAG:0003:0015:}}Le jour du haricot ne s'appelle pas
comme ça pour rien ! {{TAG:0007:0001:}}{{TAG:0003:0024:}}Tu n'en as pas
reçu dans l'œil, au moins ?","{{TAG:0003:0015:}}Se incontri uno spirito malvagio
durante il Setsubun{{TAG:0007:0000:0A000000}}{{TAG:0003:0001:}} non puoi fare
a meno di tirargli addosso i fagioli!
{{TAG:0003:000D:}}Spero tuttavia {{TAG:0007:0000:0A000000}}di non averti colpito
con troppa veemenza{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}{{TAG:0007:0001:}}
{{TAG:0003:0009:}}In tal caso {{TAG:0007:0000:0F000000}}ti chiedo perdono.","{{TAG:0003:0015:}}Ohne Bohnen kein {{TAG:0000:0003:0200}}Bohnentag{{TAG:0000:0003:FFFF}}!{{TAG:0007:0000:28000000}}
{{TAG:0003:0024:}}Oh, äh, ich habe dich da doch nicht
gerade ins Auge getroffen, oder?","{{TAG:0003:0015:}}Fasulye {{TAG:0000:0003:0200}}olmadan {{TAG:0000:0003:FFFF}}Setsubun olmaz{{TAG:0007:0001:}}{{TAG:0003:0024:}}!
Gözüne falan gelmedi, değil mi?"
6,007,"{{TAG:0003:000B:}}It seems like a shame to throw out
perfectly good beans.{{TAG:0007:0000:28000000}} {{TAG:0003:0025:}}Still, it's an
important part of the tradition!","{{TAG:0003:000B:}}Me da pena tirar habichuelas de
esta manera, {{TAG:0007:0000:0A000000}}{{TAG:0003:0025:}}¡pero es una parte
importante de la tradición!","{{TAG:0003:000B:}}Je sais bien qu'il ne faut pas jouer
avec la nourriture...{{TAG:0007:0000:28000000}} {{TAG:0003:0025:}}Mais la
tradition, c'est la tradition !","{{TAG:0003:000B:}}È un vero peccato che dei fagioli
perfettamente commestibili
vadano sprecati.
{{TAG:0003:0025:}}Eppure, così vuole la tradizione!","{{TAG:0003:000B:}}Irgendwie ja schade um all die
Bohnen. {{TAG:0007:0000:28000000}}Die fliegen hier durch die
Luft und landen auf dem Boden...
Dabei könnte man daraus leckeres
Bohnenmus machen.{{TAG:0007:0000:14000000}} Oder Chili con
Carne.{{TAG:0007:0000:14000000}} Oder Baked Beans.
{{TAG:0003:0025:}}Aber Bohnenwerfen ist Tradition.{{TAG:0007:0000:14000000}}
Da müssen eben Opfer gebracht
werden, hihi.","{{TAG:0003:000B:}}Gayet güzel fasulyeleri atmak
biraz yazık geliyor{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}}. Yine de
geleneğin önemli bir parçası."
7,008,"{{TAG:0003:0017:}}Wait{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} You're an ogre,{{TAG:0007:0000:08000000}} but you're
carrying beans.{{TAG:0000:0004:}}Do I still throw my beans at you?{{TAG:0007:0000:14000000}}
Are you carrying fake beans?{{TAG:0003:000D:}} I'm
not sure how to proceed.{{TAG:0007:0000:28000000}}{{TAG:0003:0000:}}","{{TAG:0003:0017:}}Un momento{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Eres un ogro,{{TAG:0007:0000:0A000000}}
pero tienes habichuelas{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0000:0004:}}¿Te tiro mis habichuelas?{{TAG:0007:0000:1E000000}}
¿Las que tienes no son de verdad?{{TAG:0007:0000:1E000000}}
{{TAG:0003:000D:}}¡Ay, no sé qué debo hacer!{{TAG:0007:0000:28000000}}{{TAG:0003:0000:}}","{{TAG:0003:0017:}}Quoi ?{{TAG:0007:0000:14000000}} Un ogre avec des haricots ?{{TAG:0007:0000:14000000}}
Ce sont des vrais ?{{TAG:0007:0000:14000000}} Je suis quand
même censée te lancer les miens ?{{TAG:0007:0000:14000000}}
{{TAG:0003:000D:}}C'est plus le jour du haricot, c'est
le jour des questions ! {{TAG:0007:0000:14000000}}Et pour ça,
je manque un peu d'entraînement...","{{TAG:0003:000F:}}Un momento{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Tu sei uno spirito
malvagio,{{TAG:0007:0000:08000000}} cionondimeno porti
con te un sacchetto di fagioli.{{TAG:0000:0004:}}{{TAG:0003:0017:}}Posso tirarti i fagioli?{{TAG:0007:0000:14000000}}
O hai intenzione {{TAG:0007:0000:0A000000}}di tirarli tu a me{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}?{{TAG:0007:0001:}}
{{TAG:0003:000D:}}Sono confusa, {{TAG:0007:0000:0F000000}}{{TAG:0005:0007:}}.","{{TAG:0003:0017:}}Äh, Moment... {{TAG:0007:0000:14000000}}Du bist ein Oger,
aber du hast Bohnen dabei.{{TAG:0007:0000:14000000}}
Wie wo was warum?
{{TAG:0003:0009:}}Muss ich dich jetzt mit Bohnen
bewerfen oder nicht? {{TAG:0007:0000:14000000}}Sind deine
Bohnen überhaupt echt?
Was hast du mit deinen Bohnen vor?{{TAG:0007:0000:14000000}}
Dich selbst bewerfen? {{TAG:0007:0000:14000000}}Soll ich dir
dabei helfen? {{TAG:0007:0000:14000000}}Frisst du mich dann?
{{TAG:0003:000D:}}Fragen über Fragen!{{TAG:0007:0000:14000000}} Ich weiß
nicht, was in dieser Situation die
angemessene Reaktion wäre...{{TAG:0003:0000:}}","{{TAG:0003:0017:}}Bir {{TAG:0007:0000:08000000}}{{TAG:0007:0000:08000000}}{{TAG:0007:0000:08000000}}{{TAG:0007:0000:14000000}}dakika... Oni {{TAG:0007:0000:08000000}}olmuşsun ama
elinde fasulye {{TAG:0000:0004:}}var. Yine de
sana fasulye atmalı{{TAG:0007:0000:14000000}} mıyım?
Yoksa onlar sahte {{TAG:0003:000D:}}mi? Ne
yapacağımı bilemedim.{{TAG:0007:0000:28000000}}{{TAG:0003:0000:}}"
8,009,"{{TAG:0003:0017:}}What's this?{{TAG:0007:0000:14000000}} You're an ogre,{{TAG:0007:0000:08000000}} but you
want to throw beans?{{TAG:0000:0004:}}{{TAG:0003:0001:}}Oh!{{TAG:0007:0000:14000000}} I suppose it is a lot of fun.{{TAG:0007:0000:14000000}} I'm
sorry—I never realized ogres might
enjoy it too!","{{TAG:0003:0017:}}¿Y eso?{{TAG:0007:0000:14000000}} ¿Eres un ogro que también
tira habichuelas?{{TAG:0000:0004:}}{{TAG:0003:0001:}}¡Ah, {{TAG:0007:0000:0A000000}}claro! {{TAG:0007:0000:14000000}}Como es tan divertido,
{{TAG:0007:0000:0A000000}}supongo que a los ogros también
os gusta, {{TAG:0007:0000:0A000000}}¿verdad que sí?","{{TAG:0003:0017:}}Tu es un ogre, mais tu veux quand
même lancer des haricots ?{{TAG:0007:0000:0A000000}} Tu as
perdu la boule, ou quoi ?
{{TAG:0003:0001:}}Enfin, je suppose que les ogres aussi
ont le droit de s'amuser, après
tout... ","{{TAG:0003:0010:}}Quelle surprise!{{TAG:0007:0000:14000000}} {{TAG:0003:0016:}}Uno spirito
malvagio che vuole lanciare fagioli{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.
{{TAG:0003:0001:}}Come ti capisco!
È davvero un piacevolissimo
diversivo.{{TAG:0007:0000:14000000}} {{TAG:0003:0026:}}Anch'io vorrei lanciare
fagioli{{TAG:0007:0000:0A000000}} {{TAG:0003:0015:}}se fossi uno spirito malvagio!","{{TAG:0003:0017:}}Nanu?{{TAG:0007:0000:14000000}} Ein Oger{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}. mit Bohnen?!{{TAG:0000:0004:}}{{TAG:0003:0001:}}Na ja, es gibt eigentlich keinen
Grund, warum Oger nicht auch mal
mit Bohnen werfen sollten.
Viel Spaß!","{{TAG:0003:0017:}}Bu da ne? Oni{{TAG:0007:0000:14000000}} olmuşsun ama {{TAG:0007:0000:08000000}}
fasulye atmak mı istiyorsun?{{TAG:0000:0004:}}{{TAG:0003:0001:}} Aa{{TAG:0007:0000:14000000}}
! Gerçekten eğlenceli tabii. {{TAG:0007:0000:14000000}}
Onilerin de hoşuna
gidebileceğini hiç düşünmemiştim!"
9,010,"{{TAG:0003:0010:}}Really?{{TAG:0007:0000:14000000}} An ogre carrying beans?{{TAG:0007:0000:14000000}} {{TAG:0003:0025:}}I've
never met an ogre who does that.{{TAG:0007:0000:14000000}}
You must be very avant-garde.","{{TAG:0003:0010:}}¡Anda! {{TAG:0007:0000:14000000}}¿Un ogro con habichuelas?
{{TAG:0007:0000:14000000}}{{TAG:0003:0025:}}Jamás había visto un ogro que
hiciera como tú. {{TAG:0003:0026:}}{{TAG:0007:0000:14000000}}¡Eres un moderno!","{{TAG:0003:0010:}}Un ogre avec des haricots ?{{TAG:0007:0000:14000000}} On aura
tout vu, ma parole !{{TAG:0007:0000:14000000}}{{TAG:0003:0025:}} Tu essaies de
lancer une nouvelle mode, c'est ça ?","{{TAG:0003:0010:}}C'est très bizarre!{{TAG:0007:0000:14000000}} Uno spirito
malvagio con dei fagioli in mano?{{TAG:0007:0000:14000000}}
{{TAG:0003:0001:}}Come sei {{TAG:0007:0000:05000000}}avant-garde!","{{TAG:0003:0010:}}Ach was!{{TAG:0007:0000:14000000}} Ein Oger mit Bohnen!{{TAG:0007:0000:14000000}} {{TAG:0003:0025:}}So
etwas sieht man nicht alle Tage.{{TAG:0007:0000:14000000}} Du
musst ein sehr moderner Oger sein.","{{TAG:0003:0010:}}Gerçekten{{TAG:0007:0000:14000000}} mi? Fasulye taşıyan {{TAG:0007:0000:14000000}}
bir{{TAG:0003:0025:}} oni? Böyle bir oniyle hiç
karşılaşmamıştım{{TAG:0007:0000:14000000}}. Oldukça sıra dışısın."
