entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,{{TAG:0009:0001:040005000600}},{{TAG:0009:0001:040005000600}},{{TAG:0009:0001:040005000600}},{{TAG:0009:0001:040005000600}},{{TAG:0009:0001:040005000600}},{{TAG:0009:0001:040005000600}}
1,002,{{TAG:000A:0007:07000B000B00070007000700}},{{TAG:000A:0007:07000B000B00070007000700}},{{TAG:000A:0007:07000B000B00070007000700}},{{TAG:000A:0007:07000B000B00070007000700}},{{TAG:000A:0007:07000B000B00070007000700}},{{TAG:000A:0007:07000B000B00070007000700}}
2,003,{{TAG:0009:0001:0E000F001000}},{{TAG:0009:0001:0E000F001000}},{{TAG:0009:0001:0E000F001000}},{{TAG:0009:0001:0E000F001000}},{{TAG:0009:0001:0E000F001000}},{{TAG:0009:0001:0E000F001000}}
3,004,"{{TAG:0003:0020:}}Yo, {{TAG:0005:0008:}}!{{TAG:0007:0000:0A000000}} Out for a walk?{{TAG:0000:0004:}}{{TAG:0003:0000:}}Hey, check my stumpy stump!{{TAG:0007:0000:28000000}}{{TAG:0003:0004:}} It's
so comfy{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} I might never get up, yo!
{{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0020:}}¿Qué, {{TAG:0005:0008:}}?{{TAG:0007:0000:0A000000}} ¿De paseo?{{TAG:0000:0004:}}{{TAG:0003:0000:}}Eh, ¿has visto mi tocón?{{TAG:0007:0000:28000000}}{{TAG:0003:0004:}} No veas
lo cómodo que es{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} ¡podría
pasarme aquí todo el día!","{{TAG:0003:0020:}}Hep, {{TAG:0005:0008:}} !{{TAG:0007:0000:0A000000}} On est {{TAG:000E:0006:0A0073006F007200740069000C0073006F007200740069006500}}
prendre l'air ?{{TAG:0007:0000:14000000}} {{TAG:000E:0003:}}{{TAG:0005:0007:}} !{{TAG:0000:0004:}}{{TAG:0003:0000:}}Vise un peu la souche que j'me suis
dégotée !{{TAG:0007:0000:28000000}} {{TAG:0003:0004:}}Elle est si confortable{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
J'vais p't'être la ramener chez moi !","{{TAG:0003:0020:}}Ehi, {{TAG:0005:0008:}}!{{TAG:0007:0000:0A000000}} Ti fai un giro?{{TAG:0000:0004:}}{{TAG:0003:0000:}}Hai visto dove mi sono seduta?{{TAG:0007:0000:28000000}}{{TAG:0003:0004:}}
Devo dire che sto comoda{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
Magari rimango qui, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0020:}}Jo, {{TAG:0005:0008:}}!{{TAG:0007:0000:0A000000}} Gehste grad
spazieren?{{TAG:0000:0004:}}{{TAG:0003:0000:}}Hey, haste schon meinen ultracoolen
Baumstumpf gesehen?{{TAG:0007:0000:28000000}}{{TAG:0003:0004:}} Der is' so
bequem{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Ich steh hier nie mehr auf!","{{TAG:0003:0020:}}Hey, {{TAG:0005:0008:}}!{{TAG:0007:0000:0A000000}} Yürüyüşte
misin?{{TAG:0000:0004:}}{{TAG:0003:0000:}}Şu kütüğüme bak!{{TAG:0007:0000:28000000}}{{TAG:0003:0004:}} Öyle rahat
ki{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} bir daha hiç kalkmayabilirim!
{{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!"
4,005,"{{TAG:0003:0010:}}Hey hey, {{TAG:0005:0008:}}!{{TAG:0007:0000:28000000}}
{{TAG:0003:0025:}}Heh! This stump makes a pretty
comfy chair! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0010:}}¡Dichosos los ojos, {{TAG:0005:0008:}}!{{TAG:0007:0000:28000000}}
{{TAG:0003:0025:}}¡Ji, ji! ¿Para qué se quieren sillas
habiendo tocones así de cómodos?","{{TAG:0003:0010:}}Oh, {{TAG:0005:0008:}} !{{TAG:0007:0000:1E000000}} {{TAG:0003:0025:}}Hi hi ! Cette
souche fait un siège des plus
confortables,{{TAG:0007:0000:14000000}} {{TAG:0005:0007:}} !","{{TAG:0003:0010:}}Ehi ehi, {{TAG:0005:0008:}}!{{TAG:0007:0000:28000000}} {{TAG:0003:0025:}}Eheh! Questo
è un tronco d'albero, sì! È più
comodo di una sedia, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0010:}}Hey hey, {{TAG:0005:0008:}}!{{TAG:0007:0000:28000000}} {{TAG:0003:0025:}}Hehe!{{TAG:0007:0000:14000000}}
Dieser Baumstumpf ist voll der
abgefahrene Stuhl! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0010:}}Hey hey, {{TAG:0005:0008:}}!{{TAG:0007:0000:28000000}}
{{TAG:0003:0025:}}Heh! Bu kütük bayağı rahat bir sandalye
olmuş! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!"
5,006,"{{TAG:0003:0025:}}Heh! Stumps are like nature's
perfect benches!{{TAG:0000:0004:}}{{TAG:000E:0003:}}{{TAG:0005:0008:}}, you should try sitting
on one too if you find one! But this
one is mine, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0025:}}¡Ji, ji! Normalmente me levanto
tan tarde que cuando voy de paseo
no encuentro dónde sentarme.{{TAG:0000:0004:}}Pero verás, {{TAG:0005:0008:}}, desde que
descubrí los tocones, ¡creo que no
hay cosa mejor para descansar!","{{TAG:0003:0025:}}Hi hi ! Une souche d'arbre, c'est un
peu comme un tabouret mis à
disposition par Dame Nature !
{{TAG:000E:0003:}}{{TAG:0005:0008:}}, tu devrais t'en trouver
une, toi aussi ! Ton popotin en
reviendra pas !{{TAG:0007:0000:14000000}} {{TAG:000E:0003:}}{{TAG:0005:0007:}} !","{{TAG:0003:0025:}}Eheh! I tronchi d'albero sono come
delle poltrone naturali! Forse ho
esagerato... ma beh, si sta comodi!{{TAG:0000:0004:}}{{TAG:000E:0003:}}{{TAG:0005:0008:}}, dovresti provare anche
tu! Trovati un altro tronco però!
Questo è mio, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0025:}}Wahnsinn! {{TAG:0007:0000:14000000}}Baumstümpfe sind so
was wie die Stühle der Natur!{{TAG:0000:0004:}}{{TAG:0005:0008:}}, du solltest auch mal
einen ausprobieren!{{TAG:0007:0000:14000000}}{{TAG:0003:0006:}} Aber nicht den
hier, {{TAG:0007:0000:08000000}}der gehört mir, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0025:}}Heh! Kütükler doğanın kusursuz bankları
gibi!{{TAG:0000:0004:}}{{TAG:000E:0003:}}{{TAG:0005:0008:}}, sen de bulursan oturmayı
dene! Ama bu benim, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!"
6,007,{{TAG:0009:0001:080009000A00}},{{TAG:0009:0001:080009000A00}},{{TAG:0009:0001:080009000A00}},{{TAG:0009:0001:080009000A00}},{{TAG:0009:0001:080009000A00}},{{TAG:0009:0001:080009000A00}}
7,008,"{{TAG:0003:000F:}}Oh! Heya, {{TAG:0005:0008:}}!{{TAG:0007:0000:28000000}}
{{TAG:0003:0026:}}Got some space here if ya wanna
sit down, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!{{TAG:0003:0025:}}","{{TAG:0003:000F:}}¡Ahí va, {{TAG:0005:0008:}}!{{TAG:0007:0000:28000000}} {{TAG:0003:0026:}}Oye, si quieres
sentarte aquí conmigo, ¡te hago un
hueco en un pispás, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!{{TAG:0003:0025:}}","{{TAG:0003:000F:}}Hep, {{TAG:0005:0008:}} !{{TAG:0007:0000:28000000}}
{{TAG:0003:0026:}}J'te fais un peu d'place ?{{TAG:0007:0000:14000000}}
{{TAG:000E:0003:}}{{TAG:0005:0007:}} !{{TAG:0003:0025:}}","{{TAG:0003:000F:}}Oh! Ehi, {{TAG:0005:0008:}}!{{TAG:0007:0000:28000000}} {{TAG:0003:0026:}}C'è un po'
di spazio per sedersi qui. Se proprio
vuoi, eh, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!{{TAG:0003:0025:}}","{{TAG:0003:000F:}}Oh! Hey, {{TAG:0005:0008:}}!{{TAG:0007:0000:28000000}} {{TAG:0003:0026:}}Ich bin heut
mal nett: Willst du dich zu mir
setzen, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}?{{TAG:0003:0025:}}","{{TAG:0003:000F:}}Oh! Selam, {{TAG:0005:0008:}}!{{TAG:0007:0000:28000000}}
{{TAG:0003:0026:}}İstersen burada oturacak yer var, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!{{TAG:0003:0025:}}"
8,009,"{{TAG:0003:000D:}}Arghh! I crossed my legs, and they
fell asleep! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!{{TAG:0007:0000:28000000}}{{TAG:0003:0009:}}","{{TAG:0003:000D:}}¡Qué maaal! ¡Llevo tanto rato aquí
que se me han dormido las patas!
No veas cómo fastidia...{{TAG:0007:0000:28000000}}{{TAG:0003:0009:}}","{{TAG:0003:000D:}}Aoutch ! J'sens plus mes guiboles !
J'ai dû les garder croisées trop
longtemps...{{TAG:0007:0000:14000000}} {{TAG:000E:0003:}}{{TAG:0005:0007:}} !{{TAG:0007:0000:14000000}}{{TAG:0003:0009:}}","{{TAG:0003:000D:}}Aaah! Ho incrociato le gambe e mi
si sono addormentate! Sarà che non
lo faccio mai, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!{{TAG:0007:0000:28000000}}{{TAG:0003:0009:}}","{{TAG:0003:000D:}}Gnaaah! {{TAG:0007:0000:14000000}}Vor lauter Sitzen ist
mir der Hintern eingeschlafen!
{{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!{{TAG:0007:0000:28000000}}{{TAG:0003:0009:}}","{{TAG:0003:000D:}}Ahh! Bacak bacak üstüne attım,
bacaklarım uyuştu! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!{{TAG:0007:0000:28000000}}{{TAG:0003:0009:}}"
9,010,"{{TAG:0003:0010:}}Oh! {{TAG:000E:0003:}}{{TAG:0005:0008:}}!{{TAG:0007:0000:14000000}}
{{TAG:0003:0000:}}You gonna sit down with me?{{TAG:0000:0004:}}{{TAG:0003:0025:}}Doesn't bother me one bit! Go right
on ahead, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0010:}}¡Huy, {{TAG:0005:0008:}}!{{TAG:0007:0000:14000000}} {{TAG:0003:0000:}}¿Quieres sentarte
a mi vera? {{TAG:0003:0025:}}Yo encantada, ¿eh?
Venga, ¡no te cortes, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0010:}}Oh !{{TAG:0007:0000:14000000}} {{TAG:000E:0003:}}{{TAG:0005:0008:}} !{{TAG:0007:0000:14000000}}
{{TAG:0003:0000:}}Tu veux t'poser à côté d'moi ?{{TAG:0000:0004:}}{{TAG:0003:0025:}}Bah nan, évidemment qu'ça
m'dérange pas ! Fais-toi plaisir,{{TAG:0007:0000:14000000}}
{{TAG:0005:0007:}} !","{{TAG:0003:0010:}}Oh! {{TAG:000E:0003:}}{{TAG:0005:0008:}}!{{TAG:0007:0000:14000000}} {{TAG:0003:0000:}}Ti vuoi sedere
vicino a me?{{TAG:0000:0004:}}{{TAG:0003:0025:}}Ma no, non mi dà fastidio! A volte
so essere gentile anch'io,
{{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0010:}}Oh! {{TAG:000E:0003:}}{{TAG:0005:0008:}}!{{TAG:0007:0000:14000000}}
{{TAG:0003:0000:}}Du willst dich zu mir setzen?{{TAG:0000:0004:}}{{TAG:0003:0021:}}Wenn du meinst!{{TAG:0007:0000:14000000}} Kannste machen,
{{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0010:}}Oh! {{TAG:000E:0003:}}{{TAG:0005:0008:}}!{{TAG:0007:0000:14000000}}
{{TAG:0003:0000:}}Yanıma oturacak mısın?{{TAG:0000:0004:}}{{TAG:0003:0025:}}Hiç sorun değil!
Geç otur, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!"
