entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:0003:0001:}}Today is {{TAG:0000:0003:0200}}April Fools' Day{{TAG:0000:0003:FFFF}}!{{TAG:0007:0000:08000000}} {{TAG:0003:0005:}}Oooh!
I'm gonna stir up SO much trouble,
making up fun lies and stuff!","{{TAG:0003:0001:}}¡Hoy es el Día de las Bromas!{{TAG:0007:0000:08000000}}
{{TAG:0003:0005:}}¡Ya tengo pensadas algunas trolas
para contar a los demás, je, je!","{{TAG:0003:0001:}}C'est le 1 avril !!!{{TAG:0007:0000:08000000}} {{TAG:0003:0005:}}Je vais raconter
n'importe quoi aujourd'hui, je vais
me lâcher !","{{TAG:0003:0001:}}Oggi è il 1º aprile!{{TAG:0007:0000:08000000}} {{TAG:0003:0005:}}Evviva!
Ne voglio combinare
di cotte e di crude!
Mi inventerò un sacco di frottole
divertenti per fare un bel
{{TAG:0000:0003:0200}}pesce d'aprile{{TAG:0000:0003:FFFF}} a tutti! ","{{TAG:0003:0001:}}Heute ist der {{TAG:0000:0003:0200}}1. April{{TAG:0000:0003:FFFF}}! {{TAG:0007:0000:14000000}}{{TAG:0003:0005:}}Ich werde
alles aufmischen und mir total
verrückte Lügenstories ausdenken!","{{TAG:0003:0001:}}Bugün 1{{TAG:0000:0003:0200}} Nisan! Ooo!{{TAG:0000:0003:FFFF}}{{TAG:0007:0000:08000000}}{{TAG:0003:0005:}} Eğlenceli
yalanlar uydurup ortalığı biraz karıştıracağım!"
1,002,,,,,,
2,003,,,,,,
3,004,"{{TAG:0003:0011:}}You seem so...out of sorts! What
in the world happened to you?{{TAG:000F:0005:00002800}}
It's horrible!
Eh, it's no biggie.","{{TAG:0003:0011:}}¡Hala, pareces superalterad{{TAG:000E:0006:02006F0002006100}}!
¿Qué te ha pasado?{{TAG:000F:0005:00002800}}
¡Es terrible!
Nada grave","{{TAG:0003:0011:}}C'est quoi cette tête ?!{{TAG:0007:0000:14000000}} On dirait
que t'as vu un fantôme !{{TAG:000F:0005:00002800}}
C'est pire !
C'est rien...","{{TAG:0003:0011:}}Mi sembri... sconvolt{{TAG:000E:0006:02006F0002006100}}! Si può
sapere cosa ti è successo?{{TAG:000F:0005:00002800}}
È terribile!
Non è niente.","{{TAG:0003:0011:}}Hey, du siehst irgendwie so blass
aus... {{TAG:0007:0000:14000000}}Ist irgendwas Schlimmes
passiert?{{TAG:000F:0005:00002800}}
Total übel!
Nö, nichts Wildes.","{{TAG:0003:0011:}}Çok... şaşkın görünüyorsun! Ne
oldu sana?{{TAG:000F:0005:00002800}}
Korkunç bir şey!
Önemli değil."
4,005,"{{TAG:0003:0011:}}Huh?! Are you telling me there's
more than one {{TAG:0011:0001:0000}}?{{TAG:0000:0004:}}{{TAG:0003:000B:}}Why{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}that's the wildest story I've
heard today!{{TAG:0000:0004:}}{{TAG:0003:0002:}}Oh, you big kidder! It may be
{{TAG:0000:0003:0200}}April Fools' Day{{TAG:0000:0003:FFFF}}, but you can't
fool me.","{{TAG:0003:0011:}}¡¿Eh?! ¿Dices que hay más de
u{{TAG:000E:0008:00CD02006E0004006E0061000000}} {{TAG:0011:0001:0000}}?{{TAG:0000:0004:}}{{TAG:0003:000B:}}¿Cómo es eso posi{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}?{{TAG:0007:0000:14000000}}
{{TAG:0003:000F:}}Espera un momento...{{TAG:0000:0004:}}{{TAG:0003:0002:}}¡Me estás intentado colar
una broma!{{TAG:0007:0000:14000000}} ¡Pues te he pillado,
listill{{TAG:000E:0006:02006F0002006100}}!","{{TAG:0003:0011:}}Quoi ?! Plusieurs {{TAG:0011:0001:0000}} ?!{{TAG:0000:0004:}}{{TAG:0003:000B:}}C'est possible{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} un truc pareil ?{{TAG:0000:0004:}}{{TAG:0003:0002:}}Trop fort, ton poisson d'avril !{{TAG:0007:0000:14000000}} Bien
tenté, hi hi hi !","{{TAG:0003:0011:}}Cosa?! Vuoi dirmi che qualcuno
si è travestito da {{TAG:0011:0001:0000}}?{{TAG:0000:0004:}}{{TAG:0003:000B:}}Mmmh{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} è la storia più allucinante
che abbia sentito oggi!{{TAG:0000:0004:}}{{TAG:0003:0002:}}Sei proprio {{TAG:000E:0006:1E0075006E0020006D00610074007400610063006300680069006F006E006500200075006E00610020006D00610074007400610063006300680069006F006E006100}}!
Oggi si festeggerà anche il {{TAG:0000:0003:0200}}pesce
d'aprile{{TAG:0000:0003:FFFF}}, ma io non ci casco mica!","{{TAG:0003:0011:}}Was?!? {{TAG:0007:0000:14000000}}Du sagst also, es gibt
mehr als {{TAG:000E:0012:0E000A00650069006E0065006E000800650069006E0065000000}} {{TAG:0011:0001:0000}}?{{TAG:0000:0004:}}{{TAG:0003:000B:}}Wow, {{TAG:0007:0000:14000000}}das ist die verrückteste
Story, die ich heute gehört hab!{{TAG:0000:0004:}}{{TAG:0003:0002:}}Ahaha, du Scherzkeks! {{TAG:0007:0000:14000000}}Heute ist
vielleicht der {{TAG:0000:0003:0200}}1. April{{TAG:0000:0003:FFFF}}, aber mich
nimmst du nicht auf die Schippe!","{{TAG:0003:0011:}}Ne?! Birden fazla {{TAG:0011:0001:0000}}{{TAG:0000:0004:}}{{TAG:0003:000B:}} mı{{TAG:0007:0000:08000000}}{{TAG:0007:0000:08000000}}{{TAG:0007:0000:08000000}} var{{TAG:0007:0000:08000000}}? Bugün
duyduğum en çılgın hikaye{{TAG:0000:0004:}}{{TAG:0003:0002:}} bu!
Hadi ama şakacı seni!{{TAG:0000:0003:0200}} 1 Nisan
diye{{TAG:0000:0003:FFFF}} beni kandıramazsın."
5,006,"{{TAG:0003:0001:}}Oh, good. From the look on your
face, I thought something terrible
had happened!","{{TAG:0003:0001:}}¿Seguro? Parece que hayas
visto a alguien con un bolso que
no combina con sus zapatos.","{{TAG:0003:0001:}}Ça doit être ta tête habituelle,
alors{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}} J'avais jamais fait gaffe,
trop lol !","{{TAG:0003:0001:}}Oh, meno male! Dalla faccia che
hai fatto, pensavo fosse successo
qualcosa di terribile!","{{TAG:0003:0001:}}Dann bin ich ja beruhigt. {{TAG:0007:0000:14000000}}So, wie du
grad geguckt hast, dachte ich,
es wär sonst was passiert!","{{TAG:0003:0001:}}Oh iyi! Yüzündeki ifadeden
korkunç bir şey oldu sandım!"
6,007,"{{TAG:0003:0027:}}The strangest things have been
known to happen on {{TAG:0000:0003:0200}}April Fools'
Day{{TAG:0000:0003:FFFF}}...","{{TAG:0003:0027:}}¿Sabes? Durante el Día de las
Bromas a veces ocurren cosas
de lo más extrañas...","{{TAG:0003:0027:}}Le 1 avril, on peut vraiment
s'attendre à tout...","{{TAG:0003:0027:}}Beh, si sa che le cose più strane
accadono sempre il 1º aprile...","{{TAG:0003:0027:}}Am {{TAG:0000:0003:0200}}1. April{{TAG:0000:0003:FFFF}} passieren ja
bekanntlich die verrücktesten
Dinge...","{{TAG:0003:0027:}}1 Nisan'da en garip şeylerin
bile olduğu{{TAG:0000:0003:0200}} söylenir.{{TAG:0000:0003:FFFF}}.."
7,008,,,,,,
8,009,,,,,,
9,010,"{{TAG:0003:0017:}}What's going on? You seem all
out of sorts!{{TAG:000F:0005:00002800}}
It's terrible!
Nothing.","{{TAG:0003:0017:}}¿Y esa cara? ¡Parece que te haya
pasado algo requeteterrible!{{TAG:000F:0005:00002800}}
¡Pues sí!
Qué va...","{{TAG:0003:0017:}}Y'a un souci ?{{TAG:0007:0000:14000000}} T'as l'air {{TAG:000E:0006:080074006F00750074000A0074006F00750074006500}}
bizarre !{{TAG:000F:0005:00002800}}
Ça va pas du tout !
Ça va...","{{TAG:0003:0017:}}Che c'è? Mi sembri sconvolt{{TAG:000E:0006:02006F0002006100}}!{{TAG:000F:0005:00002800}}
È terribile!
Niente.","{{TAG:0003:0017:}}Huch, was ist los? {{TAG:0007:0000:14000000}}Du bist ja total
durch den Wind! {{TAG:0007:0000:14000000}}Ist was?{{TAG:000F:0005:00002800}}
Ja! Was Schlimmes!
Nichts.","{{TAG:0003:0017:}}Ne oluyor? Çok tuhaf görünüyorsun!{{TAG:000F:0005:00002800}}
Berbat!
Bir şey yok."
