entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:0003:0017:}}Ready?{{TAG:0007:0000:20000000}} {{TAG:0003:001C:}}We're going {{TAG:0000:0003:0200}}all or nothing{{TAG:0000:0003:FFFF}},{{TAG:0007:0000:08000000}}
so you better bring your A-game.{{TAG:0007:0000:20000000}}
Here we go{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}","{{TAG:0003:001C:}}Solo tienes {{TAG:0000:0003:0200}}una oportunidad{{TAG:0000:0003:FFFF}}.{{TAG:0007:0000:20000000}}
Te aconsejo que lo des todo.
¿List{{TAG:000E:0006:02006F0002006100}}? Allá vamos{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}","{{TAG:0003:001C:}}Nous allons tout jouer sur {{TAG:0000:0003:0200}}une seule
partie{{TAG:0000:0003:FFFF}},{{TAG:0007:0000:08000000}} alors tu n'auras pas droit à
l'erreur.{{TAG:0007:0000:20000000}} {{TAG:0003:0017:}}Prêt{{TAG:000E:0006:000002006500}} ?","{{TAG:0003:0017:}}Sei pront{{TAG:000E:0006:02006F0002006100}}?{{TAG:0007:0000:20000000}} Ci giocheremo tutto
in {{TAG:0000:0003:0200}}una mano{{TAG:0000:0003:FFFF}},{{TAG:0007:0000:08000000}} quindi concentrati!{{TAG:0007:0000:20000000}}
Adesso cominciamo{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}","{{TAG:0003:0017:}}Wärst du dann soweit?{{TAG:0007:0000:14000000}} {{TAG:0003:001C:}}Wir spielen
nur {{TAG:0000:0003:0200}}eine Runde{{TAG:0000:0003:FFFF}}, {{TAG:0007:0000:08000000}}alles oder nichts.{{TAG:0007:0000:14000000}}
Also streng dich lieber an!","{{TAG:0003:0017:}}Hazır mısın?{{TAG:0007:0000:20000000}} {{TAG:0003:001C:}}Bu {{TAG:0000:0003:0200}}ya hep ya hiç{{TAG:0000:0003:FFFF}},{{TAG:0007:0000:08000000}}
yani elinden gelenin en iyisini yap.{{TAG:0007:0000:20000000}}
Başlıyoruz{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}"
1,002,"{{TAG:0003:000B:}}I'm in the mood for a challenge, {{TAG:0007:0000:08000000}}so
we'll play several games.{{TAG:0007:0000:10000000}} First to
{{TAG:0000:0003:0200}}{{TAG:0004:0006:0000}} {{TAG:0000:0003:FFFF}}wins. {{TAG:0007:0000:10000000}}{{TAG:0003:001D:}}OK,{{TAG:0007:0000:08000000}} let's go!","{{TAG:0003:000B:}}Para que sea más emocionante,
{{TAG:000E:0006:040065006C0004006C006100}} primer{{TAG:000E:0006:02006F0002006100}} que gane {{TAG:0000:0003:0200}}{{TAG:0004:0006:0000}} veces{{TAG:0000:0003:FFFF}}, se
proclamará venced{{TAG:000E:0006:04006F00720006006F0072006100}}. ¡Vamos!","{{TAG:0003:000B:}}Je suis d'humeur ludique,
aujourd'hui. {{TAG:0007:0000:14000000}}Alors si tu le veux bien,{{TAG:0007:0000:0A000000}}
nous allons faire plusieurs parties.
{{TAG:000E:0006:14004C00650020007000720065006D0069006500720016004C00610020007000720065006D006900E80072006500}} qui arrive à {{TAG:0000:0003:0200}}{{TAG:0004:0006:0000}}
{{TAG:0000:0003:FFFF}}l'emporte, {{TAG:0007:0000:10000000}}{{TAG:0003:001D:}}d'accord ?{{TAG:0007:0000:14000000}} C'est parti !","{{TAG:0003:000B:}}Voglio una bella sfida, {{TAG:0007:0000:08000000}}quindi
giocheremo {{TAG:0000:0003:0200}}più di una mano{{TAG:0000:0003:FFFF}}.{{TAG:0007:0000:10000000}}{{TAG:0000:0004:}}Chi vince {{TAG:0000:0003:0200}}{{TAG:0004:0006:0000}} {{TAG:0000:0003:FFFF}}{{TAG:000E:0009:00CD0A0076006F006C00740065000A0076006F006C00740061000A0076006F006C0074006500}}, vince tutto!
{{TAG:0007:0000:10000000}}{{TAG:0003:001D:}}Sei pront{{TAG:000E:0006:02006F0002006100}}?","{{TAG:0003:000B:}}Mir ist nach einer Herausforderung.{{TAG:0007:0000:14000000}}
Also spielen wir mehrere Partien.{{TAG:0000:0004:}}Wer zuerst {{TAG:0000:0003:0200}}{{TAG:0004:0006:0000}} Spiele{{TAG:0000:0003:FFFF}} gewinnt, ist
der Sieger.{{TAG:0007:0000:14000000}} {{TAG:0003:001D:}}Also los!","{{TAG:0003:000B:}}Biraz meydan okuma istiyorum, {{TAG:0007:0000:08000000}}o yüzden
birkaç el oynayacağız.{{TAG:0007:0000:10000000}} {{TAG:0000:0003:0200}}{{TAG:0004:0006:0000}} {{TAG:0000:0003:FFFF}}galibiyete ilk
ulaşan kazanır. {{TAG:0007:0000:10000000}}{{TAG:0003:001D:}}Tamam,{{TAG:0007:0000:08000000}} başlayalım!"
2,003,"Rock,{{TAG:0007:0000:08000000}} paper,{{TAG:0007:0000:08000000}} scissors{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}BREAK!{{TAG:000F:0001:000000000000}}
Rock.
Scissors.
Paper.","A la de tres.
Una,{{TAG:0007:0000:08000000}} dos,{{TAG:0007:0000:08000000}} ¡y tres!{{TAG:000F:0001:000000000000}}
Piedra
Tijera
Papel","Pierre,{{TAG:0007:0000:08000000}} papier,{{TAG:0007:0000:08000000}} ciseaux !{{TAG:000F:0001:000000000000}}
Pierre !
Ciseaux !
Papier !","Uno,{{TAG:0007:0000:08000000}} due{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:000F:0001:000000000000}}
Sasso!
Forbici!
Carta!","Eins,{{TAG:0007:0000:08000000}} zwei,{{TAG:0007:0000:08000000}} drei!{{TAG:000F:0001:000000000000}}
Stein!
Schere!
Papier!","Taş,{{TAG:0007:0000:08000000}} kâğıt,{{TAG:0007:0000:08000000}} makas{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}GÖSTER!{{TAG:000F:0001:000000000000}}
Taş.
Makas.
Kâğıt."
3,004,{{TAG:0007:000B:}}Rock!,{{TAG:0007:000B:}}¡Piedra!,{{TAG:0007:000B:}}Pierre !,{{TAG:0007:000B:}}Sasso!,{{TAG:0007:000B:}}STEIN!,{{TAG:0007:000B:}}Taş!
4,005,{{TAG:0007:000B:}}Scissors!,{{TAG:0007:000B:}}¡Tijera!,{{TAG:0007:000B:}}Ciseaux !,{{TAG:0007:000B:}}Forbici!,{{TAG:0007:000B:}}SCHERE!,{{TAG:0007:000B:}}Makas!
5,006,{{TAG:0007:000B:}}Paper!,{{TAG:0007:000B:}}¡Papel!,{{TAG:0007:000B:}}Papier !,{{TAG:0007:000B:}}Carta!,{{TAG:0007:000B:}}PAPIER!,{{TAG:0007:000B:}}Kâğıt!
6,007,"{{TAG:0003:0011:}}Whoa, {{TAG:0007:0000:08000000}}you're good at this.","{{TAG:0003:0011:}}Vaya, {{TAG:0007:0000:08000000}}eres buen{{TAG:000E:0006:02006F0002006100}}...",{{TAG:0003:0011:}}Oh ! {{TAG:0007:0000:0F000000}}Qu'est-ce que tu es fort{{TAG:000E:0006:000002006500}} !,"{{TAG:0003:0011:}}Mamma mia, {{TAG:0007:0000:08000000}}ma sei bravissim{{TAG:000E:0006:02006F0002006100}}!",{{TAG:0003:0011:}}Huch!{{TAG:0007:0000:14000000}} Du bist erstaunlich gut!,"{{TAG:0003:0011:}}Vay, {{TAG:0007:0000:08000000}}bu işte iyisin."
7,008,"{{TAG:0003:000F:}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}, we tied!{{TAG:0007:0000:10000000}} {{TAG:0003:0006:}}OK, {{TAG:0007:0000:08000000}}go
again{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}","{{TAG:0003:000F:}}¡Empate, {{TAG:0005:0007:}}!{{TAG:0007:0000:10000000}}{{TAG:0003:0006:}}
Una vez más{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}","{{TAG:0003:000F:}}{{TAG:000E:0003:}}{{TAG:0005:0007:}},{{TAG:0007:0000:08000000}} égalité !{{TAG:0007:0000:14000000}} {{TAG:0003:0006:}}OK, {{TAG:0007:0000:08000000}}on
recommence{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}","{{TAG:0003:000F:}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}, abbiamo pareggiato!{{TAG:0007:0000:10000000}}
{{TAG:0003:0006:}}Dai, {{TAG:0007:0000:08000000}}dobbiamo rigiocare{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}","{{TAG:0003:000F:}}Ach je!{{TAG:0007:0000:28000000}} Unentschieden!{{TAG:0007:0000:14000000}} Also dann,{{TAG:0007:0000:08000000}}
noch einmal von vorne!","{{TAG:0003:000F:}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}, berabere kaldık!{{TAG:0007:0000:10000000}} {{TAG:0003:0006:}}Tamam, {{TAG:0007:0000:08000000}}bir daha{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}"
8,009,{{TAG:0003:0005:}}YES!{{TAG:0007:0000:10000000}} {{TAG:000E:0003:}}{{TAG:0005:0007:}}!,{{TAG:0003:0005:}}¡Sí!{{TAG:0007:0000:10000000}} ¡{{TAG:000E:0003:}}{{TAG:0005:0007:}}!,{{TAG:0003:0005:}}YES !{{TAG:0007:0000:10000000}} {{TAG:000E:0003:}}{{TAG:0005:0007:}} !,{{TAG:0003:0005:}}Evviva! Che bello!{{TAG:0007:0000:10000000}} {{TAG:000E:0003:}}{{TAG:0005:0007:}}!,"{{TAG:0003:0005:}}Juhu,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!",{{TAG:0003:0005:}}EVET!{{TAG:0007:0000:10000000}} {{TAG:000E:0003:}}{{TAG:0005:0007:}}!
9,010,,,,,,
