entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,{{TAG:0009:0002:0300040007001800}},{{TAG:0009:0002:0300040007001800}},{{TAG:0009:0002:0300040007001800}},{{TAG:0009:0002:0300040007001800}},{{TAG:0009:0002:0300040007001800}},{{TAG:0009:0002:0300040007001800}}
1,002,{{TAG:0009:0001:0E0011001800}},{{TAG:0009:0001:0E0011001800}},{{TAG:0009:0001:0E0011001800}},{{TAG:0009:0001:0E0011001800}},{{TAG:0009:0001:0E0011001800}},{{TAG:0009:0001:0E0011001800}}
2,003,"{{TAG:0003:0023:}}In this town, you might run into
some peeps with rough-and-tumble
pasts.
{{TAG:0003:0006:}}Like {{TAG:0005:0002:}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:0015:}} One look in {{TAG:000E:0007:06006800690073000600680065007200}}
eyes, and you'll see what I mean!{{TAG:0000:0004:}}{{TAG:0003:0025:}}{{TAG:000E:0007:080048006500270073000A0053006800650027007300}} nice now, though, so don't
worry about it, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0023:}}Verás, en este pueblo puede
que te encuentres con gente
con un pasado turbulento y tal...
{{TAG:0003:0006:}}Como {{TAG:0005:0002:}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:0015:}} Con que le veas
la cara... ¡ya te das cuenta!{{TAG:0000:0004:}}{{TAG:0003:0025:}}Pero bueno, no es mala persona,
así que no te preocupes por ello.","{{TAG:0003:0023:}}Dans c'te ville, y'a moyen qu'tu
tombes sur un ou deux zozos au
passé, disons... pas très net.
{{TAG:0003:0006:}}{{TAG:0005:0002:}}, par exemple{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} {{TAG:0003:0015:}}Suffit
d'croiser son regard pour piger où
j'veux en venir !
{{TAG:0003:0025:}}Bon, {{TAG:000E:0007:040069006C00080065006C006C006500}} s'est {{TAG:000E:0007:0C00610064006F007500630069000E00610064006F007500630069006500}} depuis
l'temps, donc te bile pas trop,{{TAG:0007:0000:14000000}}
{{TAG:0005:0007:}} !","{{TAG:0003:0023:}}In questa città potresti incontrare
gente con un passato un po'
burrascoso.
{{TAG:0003:0006:}}Come {{TAG:0005:0002:}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:0015:}} Ti basta vedere
il suo sguardo per capire che cosa
voglio dire!
{{TAG:0003:0025:}}Quel che è stato è stato però.
Ora non ti devi preoccupare,
{{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0023:}}In dieser Stadt hat der ein oder
andere eine düstere Vergangenheit.{{TAG:0000:0004:}}{{TAG:0003:0006:}}{{TAG:000E:0003:}}{{TAG:0005:0002:}} zum Beispiel{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:0015:}} Ein
Blick in {{TAG:000E:0007:0A007300650069006E00650008006900680072006500}} Augen{{TAG:0007:0000:08000000}} und du weißt,
wovon ich spreche!
{{TAG:0003:0024:}}{{TAG:000E:0007:0400450072000600530069006500}} is' aber ganz okay, {{TAG:0007:0000:08000000}}also kein
Grund zur Sorge, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0023:}}Bu kasabada geçmişi biraz sert geçmiş
birkaç tipe rastlayabilirsin.
{{TAG:0003:0006:}}Mesela {{TAG:0005:0002:}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:0015:}} {{TAG:000E:0007:06006800690073000600680065007200}} gözlerine bir bak,
ne demek istediğimi anlarsın!{{TAG:0000:0004:}}{{TAG:0003:0025:}}{{TAG:000E:0007:080048006500270073000A0053006800650027007300}} Şimdi
gayet iyi biri ama, merak etme, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!"
3,004,"{{TAG:0003:000F:}}Oh!{{TAG:0007:0000:28000000}}{{TAG:0003:0000:}} Got a question for ya.{{TAG:0007:0000:28000000}}{{TAG:0003:0017:}} Are there
{{TAG:0005:001F:00CD}}-like folks in your town?{{TAG:0008:0005:0500150006002800}}
Totally!
Nope!","{{TAG:0003:000F:}}¡Anda!{{TAG:0007:0000:28000000}}{{TAG:0003:0000:}} Oye, una cosita...{{TAG:0007:0000:28000000}} {{TAG:0003:0017:}}¿En tu
pueblo hay {{TAG:000E:0012:0A000A0061006C006700FA006E000C0061006C00670075006E0061000000}} {{TAG:0005:001F:00CD}}?{{TAG:0008:0005:0500150006002800}}
¡Ya lo creo!
¡Qué va!","{{TAG:0003:000F:}}Tiens, j'ai une question pour toi !{{TAG:0007:0000:28000000}}
{{TAG:0003:0017:}}Dans ta ville, doit bien y avoir au
moins {{TAG:000E:0002:}}{{TAG:0005:001F:00CD}}, nan ?{{TAG:0008:0005:0500150006002800}}
En effet !
Non !","{{TAG:0003:000F:}}Oh!{{TAG:0007:0000:28000000}}{{TAG:0003:0000:}} Ho una domanda per te.
{{TAG:0007:0000:28000000}}{{TAG:0003:0017:}}Hai mai visto almeno
{{TAG:000E:0002:}}{{TAG:0005:001F:00CD}} nella tua città?{{TAG:0008:0005:0500150006002800}}
Certo che sì!
No, mai!","{{TAG:0003:000F:}}Oh!{{TAG:0007:0000:28000000}}{{TAG:0003:0000:}} Ich hab 'ne Frage.{{TAG:0007:0000:28000000}}{{TAG:0003:0017:}} In deiner
Stadt, ist {{TAG:000E:0002:}}{{TAG:0005:001F:00CD}} da
'n normaler Anblick?{{TAG:0007:0000:14000000}} Schon,{{TAG:0007:0000:08000000}} oder?{{TAG:0008:0005:0500150006002800}}
Na klar!
Nö!","{{TAG:0003:000F:}}Ha!{{TAG:0007:0000:28000000}}{{TAG:0003:0000:}} Sana bir şey soracağım.{{TAG:0007:0000:28000000}}{{TAG:0003:0017:}} Sizin
kasabada {{TAG:0005:001F:00CD}} gibi tipler var mı?{{TAG:0008:0005:0500150006002800}}
Hem de nasıl!
Yok!"
4,005,"{{TAG:0003:000F:}}Really?{{TAG:0007:0000:28000000}} {{TAG:0003:0005:}}Awesome! I'd like to meet
'em someday! I bet we'd have a lot
to talk about, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!","{{TAG:0003:000F:}}¿De verdad?{{TAG:0007:0000:28000000}} {{TAG:0003:0005:}}¡Alucina! ¡Oye, pues
a ver si nos presentas!{{TAG:0000:0004:}}¡Seguro que tenemos un montón
de cosas en común, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!","{{TAG:0003:000F:}}Ah ouais ?!{{TAG:0007:0000:28000000}} {{TAG:0003:0005:}}Mortel ! Voilà qui
m'donne une furieuse envie d'visiter
ton bled,{{TAG:0007:0000:14000000}} {{TAG:0005:0007:}} !","{{TAG:0003:000F:}}Davvero?{{TAG:0007:0000:28000000}} {{TAG:0003:0005:}}Oh, beh! Non sarebbe
male parlarci! Di sicuro avrei
molto da dire, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0010:}}Echt wahr?{{TAG:0007:0000:28000000}} {{TAG:0003:001D:}}Abgefahren!{{TAG:0007:0000:14000000}} Ich wette,{{TAG:0007:0000:08000000}}
wir werden viel zu bequatschen
haben, {{TAG:0007:0000:08000000}}wenn wir uns mal treffen!","{{TAG:0003:000F:}}Cidden mi?{{TAG:0007:0000:28000000}} {{TAG:0003:0005:}}Süper! Bir gün onlarla
tanışmak isterim! Eminim konuşacak çok
şeyimiz olur, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!"
5,006,"{{TAG:0003:000A:}}Oh{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:0009:}} Yeah, I figured as much.{{TAG:0000:0004:}}{{TAG:0003:001B:}}Folks just aren't trying for that
authentic {{TAG:0005:001F:00CD}} style these
days, you know? {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}.","{{TAG:0003:000A:}}Ah{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:0009:}} Sí, ya me lo parecía a mí.{{TAG:0000:0004:}}{{TAG:0003:001B:}}Hoy en día no se ve {{TAG:000E:0012:0A000A006D007500630068006F000A006D0075006300680061000000}}
{{TAG:0005:001F:00CD}}, ¿no crees?","{{TAG:0003:000A:}}Ah{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} {{TAG:0003:0009:}}Bah, j'm'en doutais un peu,{{TAG:0007:0000:14000000}}
{{TAG:0005:0007:}}.{{TAG:0000:0004:}}{{TAG:0003:001B:}}Faut dire qu'la tendance chez
{{TAG:000E:0001:}}{{TAG:0005:001F:00CD}} semble être à
l'isolement, ces temps-ci...","{{TAG:0003:000A:}}Oh{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:0009:}} Sì, capisco.{{TAG:0000:0004:}}{{TAG:0003:001B:}}Al giorno d'oggi lo stile autentico
di {{TAG:000E:0002:}}{{TAG:0005:001F:00CD}} non è molto
ricercato, eh? {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}.","{{TAG:0003:000A:}}Oh{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:0009:}} Das hab ich mir schon gedacht.{{TAG:0000:0004:}}{{TAG:0003:001B:}}{{TAG:000E:0008:00CD0600450069006E000800450069006E0065000600450069006E00}} {{TAG:0005:001F:00CD}} wird wohl
nicht mehr richtig geschätzt.
{{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}.","{{TAG:0003:000A:}}Aa{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:0009:}} Eh, tahmin etmiştim.{{TAG:0000:0004:}}{{TAG:0003:001B:}}İnsanlar
artık o gerçek {{TAG:0005:001F:00CD}} havasını
yakalamaya pek uğraşmıyor, biliyor musun?
{{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}."
6,007,"Hey, so{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:0017:}}what does this town seem
like to someone from the outside?{{TAG:0008:000A:0800090009000A000A000B000B000C00}}
Really pretty
Really dirty","Mmm, oye{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:0017:}} Tú que no eres de
aquí... ¿qué opinas del pueblo?{{TAG:0008:000A:0800090009000A000A000B000B000C00}}
Es precioso
Está sucísimo","Dis{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} {{TAG:0003:0017:}}De quoi c'te ville a l'air pour
quelqu'un qui vient d'ailleurs,
comme toi ?{{TAG:0008:000A:0800090009000A000A000B000B000C00}}
Super propre !
Un vrai dépotoir !","Ehi, allora{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:0017:}} Tu che vieni da fuori,
che ne pensi di questa città?{{TAG:0008:000A:0800090009000A000A000B000B000C00}}
Mi sembra molto bella
Mi sembra molto sporca","Was glaubste{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:0017:}} Wie kommt diese
Stadt bei Fremden rüber?{{TAG:0008:000A:0800090009000A000A000B000B000C00}}
Ziemlich sauber.
Ziemlich schmutzig.","Hey, şey{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:0017:}}dışarıdan gelen birine bu
kasaba nasıl görünüyor?{{TAG:0008:000A:0800090009000A000A000B000B000C00}}
Çok güzel
Çok kirli"
7,008,"{{TAG:0003:0016:}}Oh, awesome!{{TAG:0007:0000:28000000}} {{TAG:0003:0003:}}I gotta tell ya, that 
{{TAG:0005:0024:}} is a real animal when it
comes to weeding and stuff!","{{TAG:0003:0016:}}¡Ay, qué bien!{{TAG:0007:0000:28000000}} {{TAG:0003:0003:}}La verdad es que
se lo debemos a {{TAG:0005:0024:}},
¡se preocupa mucho por el pueblo!","{{TAG:0003:0016:}}Vraiment ?{{TAG:0007:0000:28000000}} {{TAG:0003:0003:}}Faut avouer qu'avec
{{TAG:0005:0024:}}, les mauvaises herbes
ont la vie dure !","{{TAG:0003:0016:}}Oh, grande!{{TAG:0007:0000:28000000}} {{TAG:0003:0003:}}Ti dirò, {{TAG:0005:0024:}}
è una vera furia, quando si tratta
di combattere contro le erbacce!","{{TAG:0003:0016:}}Hammer!{{TAG:0007:0000:28000000}} {{TAG:0003:0003:}}Für die Antwort haste dir
'nen Blumenregen verdient!{{TAG:0000:0004:}}{{TAG:000E:0003:}}{{TAG:0005:0024:}} ist nämlich 'n Tier,{{TAG:0007:0000:08000000}}
wenn's ums Jäten geht!","{{TAG:0003:0016:}}Ooo, süper!{{TAG:0007:0000:28000000}} {{TAG:0003:0003:}}Bak sana söyleyeyim, şu
{{TAG:0005:0024:}} ot yolma falan deyince tam bir canavar!"
8,009,"{{TAG:0003:0016:}}Oh{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} So it's pretty clean?{{TAG:0007:0000:28000000}}{{TAG:0003:0001:}} I guess all
{{TAG:0005:0024:}}'s weeding work is finally
starting to pay off!","{{TAG:0003:0016:}}Ah{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Sí, ¿eh?{{TAG:0007:0000:28000000}}{{TAG:0003:0001:}} Supongo que será
porque {{TAG:0005:0024:}} la ha tomado
con los hierbajos... ¡Ji, ji!","{{TAG:0003:0016:}}Vraiment{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}?{{TAG:0007:0000:14000000}} Plutôt propre, donc ?{{TAG:0007:0000:14000000}}
{{TAG:0003:0001:}}Le boulot abattu par {{TAG:0005:0024:}}
doit commencer à porter ses fruits !","{{TAG:0003:0016:}}Oh{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Secondo te è pulita?{{TAG:0007:0000:28000000}}{{TAG:0003:0001:}} Sarà che
la lotta alle erbacce di {{TAG:0005:0024:}}
sta portando i suoi frutti!","{{TAG:0003:0016:}}Also{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} „ziemlich“ sauber?{{TAG:0007:0000:28000000}}{{TAG:0003:0001:}} 
{{TAG:000E:0003:}}{{TAG:0005:0024:}} kann also schon
ziemlich gut jäten!{{TAG:0007:0000:14000000}} Das is' 'n Wort!","{{TAG:0003:0016:}}Aa{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Demek oldukça temiz?{{TAG:0007:0000:28000000}}{{TAG:0003:0001:}} Sanırım
{{TAG:0005:0024:}} ot yolma çabaları sonunda işe
yaramaya başladı!"
9,010,"{{TAG:0003:000F:}}Oh, really?{{TAG:0007:0000:28000000}} {{TAG:0003:0009:}}Well, we really only do
our weeding here when we've got
time to kill{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
{{TAG:0003:0006:}}I guess we residents better get out
and give this place a good weeding!","{{TAG:0003:000F:}}¿En serio?{{TAG:0007:0000:28000000}} {{TAG:0003:0009:}}Claro, es que solo
arrancamos hierbajos cuando
tenemos un rato libre{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
{{TAG:0003:0006:}}¡La gente del pueblo tendría
que ponerse las pilas!","{{TAG:0003:000F:}}Ah bon ?!{{TAG:0007:0000:28000000}} {{TAG:0003:0009:}}C'est vrai qu'on désherbe
que quand y'a rien d'mieux à faire{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0004:}}{{TAG:0003:0006:}}J'imagine qu'on devrait s'bouger un
bon coup et faire la chasse aux
mauvaises herbes !","{{TAG:0003:000F:}}Oh, davvero?{{TAG:0007:0000:28000000}} {{TAG:0003:0009:}}È che ci diamo da fare
a togliere le erbacce solo quando
non abbiamo altro da fare{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
{{TAG:0003:0006:}}Forse noi abitanti dovremmo darci
una mossa e dare una bella ripulita!","{{TAG:0003:000F:}}Ach ja?{{TAG:0007:0000:28000000}} {{TAG:0003:0009:}}Wir jäten nur, wenn's
wirklich nötig ist{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} {{TAG:0003:0006:}}Wir sollten
echt öfter jäten!","{{TAG:0003:000F:}}Gerçekten mi?{{TAG:0007:0000:28000000}} {{TAG:0003:0009:}}Eh, biz burada otları ancak
boş vaktimiz olunca yoluyoruz{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
{{TAG:0003:0006:}}Galiba biz sakinlerin dışarı çıkıp burayı
güzelce temizlemesi gerekecek!"
