index,key,F,G,I,S,U,TR
0,MID_様子_単独_プレイヤー男_PCM1,Et voilà ! L'entraînement a fini par payer !,Klasse! Das viele Üben hat sich ausgezahlt.,Bene! Ho fatto un po' di allenamento extra.,"¡Je, je, je! Me las he apañado para ir
practicando un poco y... ¡se nota!","All right! I managed to sneak
some practice in.","Elbette! Biraz pratik
yapmayı başardım."
1,MID_様子_単独_プレイヤー男_PCM2,,,,,,
2,MID_様子_単独_プレイヤー男_PCM3,,,,,,
3,MID_様子_単独_プレイヤー女_PCF1,Et voilà ! L'entraînement a fini par payer !,Klasse! Das viele Üben hat sich ausgezahlt.,Bene! Ho fatto un po' di allenamento extra.,"¡Je, je, je! Me las he apañado para ir
practicando un poco y... ¡se nota!","All right! I managed to sneak
some practice in.","Elbette! Biraz pratik
yapmayı başardım."
4,MID_様子_単独_プレイヤー女_PCF2,,,,,,
5,MID_様子_単独_プレイヤー女_PCF3,,,,,,
6,MID_様子_単独_プレイヤー援軍,... !,...,!!!,(!),...!,...!
7,MID_様子_単独_旧マルス,... !,...,!!!,(!),...!,...!
8,MID_様子_単独_クロム,"Un chef doit toujours s'entraîner pour
rester le meilleur dans son domaine !","Ich habe noch ein wenig geübt. Ein Anführer
sollte stets in Bestform sein.","Bene! Ho fatto un po' di allenamento extra.
Ora posso salvare gli amici dai guai.","Siempre intento practicar un rato. Un líder
tiene que mantenerse en plena forma.","I got some quick training in. A leader
should always be at the top of his game.","Hızlı bir eğitim aldım. Bir lider
her zaman oyununun zirvesinde olmalıdır."
9,MID_様子_単独_フレデリク,"L'entraînement est indispensable à la
défense de ses compagnons.","Ich habe ein paar Stunden extra geübt,
damit ich die anderen beschützen kann.","Ho fatto un po' di allenamento extra.
Così potrò proteggere i miei commilitoni.","He sacado tiempo para entrenar aún más.
Mis camaradas dependen de mi destreza.","I managed some extra training. I must
stay sharp to protect my comrades.","Bazı ekstra eğitimler yönettim.
Yoldaşlarımı korumak için uyanık
kalmaliyim."
