entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:0003:0001:}}My {{TAG:0011:0003:0000}}{{TAG:0007:0000:14000000}} is one
of my best buds!{{TAG:0000:0004:}}{{TAG:0003:000B:}}So{{TAG:0007:0000:14000000}} even though I DO love seafood,{{TAG:0007:0000:28000000}}
{{TAG:0003:000D:}}{{TAG:0007:000B:}}I would NEVER eat my pal
{{TAG:0011:0003:0000}}!","{{TAG:0003:0001:}}¡Mi {{TAG:0011:0003:0000}}{{TAG:0007:0000:14000000}} es
un{{TAG:000E:0008:00CD02006F000200610002003000}} de mis mejores amig{{TAG:000E:0008:00CD02006F000200610002003000}}s!{{TAG:0000:0004:}}{{TAG:0003:000B:}}Por eso,{{TAG:0007:0000:14000000}} aunque me encantan las
mariscadas,{{TAG:0007:0000:28000000}} {{TAG:0003:000D:}}{{TAG:0007:000B:}}¡NUNCA me comería
a mi {{TAG:0011:0003:0000}}!","{{TAG:0003:0001:}}{{TAG:000E:0008:00CD06004C0075006900080045006C006C00650002003000}}, c'est {{TAG:000E:0008:00CD14006D006F006E00200063006F007000610069006E0012006D006100200063006F00700069006E00650002003000}}
{{TAG:000E:0001:}}{{TAG:0011:0003:0000}} !{{TAG:0000:0004:}}Même si J'ADORE le poisson,{{TAG:0007:0000:28000000}}
{{TAG:0003:000D:}}{{TAG:0007:000B:}}je ne {{TAG:000E:0008:00CD04006C00650004006C00610002003000}} toucherai jamais !","{{TAG:0003:0001:}}Quest{{TAG:000E:0008:00CD02006F000200610002003000}} {{TAG:0011:0003:0000}}{{TAG:0007:0000:14000000}}
è un{{TAG:000E:0008:00CD02006F000200610002003000}} dei miei migliori amici!{{TAG:0000:0004:}}{{TAG:0003:000B:}}Perciò,{{TAG:0007:0000:14000000}} anche se adoro il pesce,{{TAG:0007:0000:28000000}}{{TAG:0003:000D:}}{{TAG:0007:000B:}}
non potrei mai papparmel{{TAG:000E:0008:00CD02006F000200610002003000}}!","{{TAG:0003:0001:}}{{TAG:000E:0008:00CD08004800650072007200080046007200610075000A004B006C00650069006E00}} {{TAG:0011:0003:0000}} ist
{{TAG:000E:0008:00CD08006D00650069006E000A006D00650069006E00650008006D00650069006E00}} {{TAG:000E:0008:00CD1A00620065007300740065007200200046007200650075006E0064001C0062006500730074006500200046007200650075006E00640069006E001A00620065007300740065007200200046007200650075006E006400}}!{{TAG:0000:0004:}}{{TAG:0003:0011:}}{{TAG:0007:000B:}}Ob ich Sushi mag?{{TAG:0007:0000:14000000}} Wie meinst du
das?{{TAG:0007:0000:28000000}} {{TAG:0003:000D:}}Auf so eine Idee würde ich
niemals kommen!
{{TAG:0003:0028:}}Noch nicht mal, wenn mein ganzer
Vorrat an {{TAG:0005:0010:0100}}
aufgebraucht wär!","{{TAG:0003:0001:}}{{TAG:0011:0003:0000}}{{TAG:0007:0000:14000000}} en iyi dostlarımdan biri!{{TAG:0000:0004:}}{{TAG:0003:000B:}}Yani{{TAG:0007:0000:14000000}}
deniz ürünlerine bayılıyor OLSAM
da,{{TAG:0007:0000:28000000}} {{TAG:0003:000D:}}{{TAG:0007:000B:}}dostum {{TAG:0011:0003:0000}} ASLA yemem!"
1,002,"{{TAG:0003:0023:}}Uh huh huh{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Are you surprised I'm
interested in art?{{TAG:0000:0004:}}{{TAG:0003:0021:}}My {{TAG:0011:0003:0000}}{{TAG:0007:0000:14000000}} is my
favorite picture.{{TAG:0000:0004:}}{{TAG:0003:0004:}}For some reason,{{TAG:0007:0000:14000000}} it reminds me of
{{TAG:0005:0013:0000}}.","{{TAG:0003:0023:}}Je, je, je{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} ¿Te sorprende
que me interese el arte?{{TAG:0000:0004:}}{{TAG:0003:0021:}}Mi {{TAG:0011:0003:0000}}{{TAG:0007:0000:14000000}} es
mi cuadro favorito.{{TAG:0000:0004:}}{{TAG:0003:0004:}}Por algún motivo,{{TAG:0007:0000:14000000}} siempre me hace
pensar en {{TAG:000E:0002:}}{{TAG:0005:0013:0000}}.","{{TAG:0003:0023:}}Hé hé hé{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Ça t'étonne que je
m'intéresse à l'art ?{{TAG:0000:0004:}}{{TAG:0003:0021:}}{{TAG:000E:0003:}}{{TAG:000E:0001:}}{{TAG:0011:0003:0000}}{{TAG:0007:0000:14000000}} est
mon tableau préféré, c'est pour ça
que je l'ai exposé chez moi.{{TAG:0000:0004:}}{{TAG:0003:0004:}}Le regarder me procure autant de
plaisir que savourer {{TAG:000E:0012:06000C0075006E00200062006F006E00120075006E006500200062006F006E006E0065000000}}
{{TAG:0005:0013:0000}}.","{{TAG:0003:0023:}}Ah ah ah{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Non ti aspettavi
che fossi un appassionato
d'arte, vero?{{TAG:0000:0004:}}{{TAG:0003:0021:}}Quest{{TAG:000E:0008:00CD02006F000200610002003000}} {{TAG:0011:0003:0000}}{{TAG:0007:0000:14000000}}
è il mio quadro preferito.{{TAG:0000:0004:}}{{TAG:0003:0004:}}Non so perché,{{TAG:0007:0000:14000000}} ma ogni volta
che lo guardo mi viene voglia
di {{TAG:0005:0013:0000}}...","{{TAG:0003:002B:}}{{TAG:000E:0003:}}{{TAG:000E:0008:00CD0C006400690065007300650072000A00640069006500730065000C00640069006500730065007300}} {{TAG:0011:0003:0000}}{{TAG:0007:0000:14000000}}
ist mein Lieblingsbild.{{TAG:0007:0000:14000000}} Wenn
ich es sehe, denke ich an...
{{TAG:0003:0004:}}An {{TAG:0005:0013:0100}}!{{TAG:0007:0000:14000000}}
Ganz genau!{{TAG:0007:0000:28000000}} Ich kann {{TAG:000E:0008:01CD0600690068006E000600730069006500040065007300}}
fast riechen...{{TAG:0007:0000:14000000}} Hmmm!","{{TAG:0003:0023:}}Hı hı hı{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Sanata meraklı olmama
şaşırdın mı?{{TAG:0000:0004:}}{{TAG:0003:0021:}}{{TAG:0011:0003:0000}}{{TAG:0007:0000:14000000}} en sevdiğim
tablo.{{TAG:0000:0004:}}{{TAG:0003:0004:}}Nedense{{TAG:0007:0000:14000000}} bana
{{TAG:0005:0013:0000}} hatırlatıyor."
2,003,"{{TAG:0003:0015:}}Plants are kind of amazing.{{TAG:0007:0000:28000000}} {{TAG:0003:0001:}}All they
need to stay alive is light and water!{{TAG:0000:0004:}}{{TAG:0003:0009:}}I definitely couldn't hack it as a
plant,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","{{TAG:0003:0015:}}Las plantas son increíbles...{{TAG:0007:0000:28000000}} {{TAG:0003:0001:}}¡Para
mantenerse con vida les basta
con tener un poco de agua y luz!{{TAG:0000:0004:}}{{TAG:0003:0009:}}Y además vaya vida más tranqui
que llevan,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","{{TAG:0003:0015:}}Les plantes sont super fortes.{{TAG:0007:0000:28000000}} {{TAG:0003:0001:}}Elles
peuvent littéralement vivre de
lumière et d'eau fraîche !{{TAG:0000:0004:}}{{TAG:0003:0009:}}Si je devais un jour me réincarner
en plante, j'espère au moins devenir
une plante carnivore,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","{{TAG:0003:0015:}}Lo sapevi{{TAG:0007:0000:28000000}} {{TAG:0003:0001:}}che le piante hanno
bisogno solo di un po' di acqua
e di luce per sopravvivere?{{TAG:0000:0004:}}{{TAG:0003:0017:}}Ma come fanno a fare a meno
{{TAG:000E:0002:}}{{TAG:0005:0010:0000}}?{{TAG:0007:0000:14000000}}
Per me è un mistero,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!","{{TAG:0003:0021:}}Weißt du, was?{{TAG:0007:0000:14000000}} Pflanzen brauchen
nur Licht und Wasser zum Leben!{{TAG:0000:0004:}}{{TAG:0003:0017:}}Wie schaffen sie es nur, ganz ohne
{{TAG:0005:0010:0000}} klarzukommen?{{TAG:0007:0000:14000000}}
Faszinierend,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","{{TAG:0003:0015:}}Bitkiler aslında acayip şeyler.{{TAG:0007:0000:28000000}} {{TAG:0003:0001:}}Hayatta
kalmak için tek ihtiyaçları ışık
ve su!{{TAG:0000:0004:}}{{TAG:0003:0009:}}Ben bitki olsam kesin
dayanamazdım,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}."
3,004,"{{TAG:0003:002B:}}When listening to music,{{TAG:0007:0000:08000000}} I like to
close my eyes{{TAG:0007:0000:14000000}} and imagine the
scenery the music is describing.
{{TAG:0003:002D:}}Hm{{TAG:0007:0000:14000000}}.{{TAG:0007:0000:14000000}}.{{TAG:0007:0000:14000000}}.{{TAG:0007:0000:28000000}} {{TAG:0003:000F:}}{{TAG:0007:000A:}}Whoops!{{TAG:0007:0000:3C000000}} {{TAG:0003:001A:}}A huh huh huh...{{TAG:0007:0000:14000000}}
I guess I accidentally fell asleep
there,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","{{TAG:0003:002B:}}Cuando escucho música,{{TAG:0007:0000:08000000}} me gusta
cerrar los ojos{{TAG:0007:0000:14000000}} e imaginarme
lo que está describiendo...
{{TAG:0003:002D:}}Mmm{{TAG:0007:0000:14000000}}.{{TAG:0007:0000:14000000}}.{{TAG:0007:0000:14000000}}.{{TAG:0007:0000:28000000}} {{TAG:0003:000F:}}{{TAG:0007:000A:}}¡Ay, ay!{{TAG:0007:0000:3C000000}} {{TAG:0003:001A:}}Je, je, je...{{TAG:0007:0000:14000000}}
Parece que me he quedado
dormido sin querer,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","{{TAG:0003:002B:}}Quand j'écoute de la musique,{{TAG:0007:0000:08000000}}
j'aime bien fermer les yeux{{TAG:0007:0000:14000000}} et me
laisser porter par mon imagination.
{{TAG:0003:002D:}}Hmmm{{TAG:0007:0000:14000000}}.{{TAG:0007:0000:14000000}}.{{TAG:0007:0000:14000000}}.{{TAG:0007:0000:28000000}} {{TAG:0003:000F:}}{{TAG:0007:000A:}}Oups !{{TAG:0007:0000:3C000000}} {{TAG:0003:001A:}}Hé hé hé...{{TAG:0007:0000:14000000}} Je crois
que je me suis endormi sans le faire
exprès,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}} !","{{TAG:0003:002B:}}Quando ascolto la musica,{{TAG:0007:0000:08000000}} mi piace
chiudere gli occhi{{TAG:0007:0000:14000000}} e lasciarmi
trascinare dalla melodia... {{TAG:0003:0019:}}Yawn...
{{TAG:0003:002D:}}Zzzz{{TAG:0007:0000:14000000}}.{{TAG:0007:0000:14000000}}.{{TAG:0007:0000:14000000}}.{{TAG:0007:0000:28000000}} {{TAG:0003:000F:}}{{TAG:0007:000A:}}Ooops!{{TAG:0007:0000:3C000000}} {{TAG:0003:001A:}}Ah ah ah...{{TAG:0007:0000:14000000}}
Scusami! Mi sono appisolato
un attimino, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}.","{{TAG:0003:002B:}}Das ist mein Lieblingslied...{{TAG:0007:0000:14000000}}
Hör doch nur, wie schön es ist:{{TAG:0007:0000:14000000}}
La di da, la di...{{TAG:0003:0019:}} daaa...{{TAG:0007:0000:14000000}} Gääähn...
{{TAG:0003:002D:}}Chrrrrrrrr...{{TAG:0007:0000:3C000000}} {{TAG:0003:000F:}}{{TAG:0007:000A:}}Huch!{{TAG:0007:0000:14000000}} {{TAG:0003:001A:}}Äh, he he he!{{TAG:0007:0000:14000000}}
Dieses Lied hör ich sonst immer
zum Einschlafen,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","{{TAG:0003:002B:}}Müzik dinlerken{{TAG:0007:0000:08000000}} gözlerimi kapatıp{{TAG:0007:0000:14000000}}
müziğin anlattığı manzarayı hayal
etmeyi seviyorum.
{{TAG:0003:002D:}}Hımm{{TAG:0007:0000:14000000}}.{{TAG:0007:0000:14000000}}.{{TAG:0007:0000:14000000}}.{{TAG:0007:0000:28000000}} {{TAG:0003:000F:}}{{TAG:0007:000A:}}Hop!{{TAG:0007:0000:3C000000}} {{TAG:0003:001A:}}Hı hı hı...{{TAG:0007:0000:14000000}} Galiba
yanlışlıkla uyuyakaldım,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}."
4,005,"{{TAG:0003:0005:}}I {{TAG:0007:0000:14000000}}love TV!{{TAG:0007:0001:}} {{TAG:0003:0029:}}But sometimes I watch
way too much{{TAG:0007:0000:08000000}} and my eyes get all
bloodshot!
{{TAG:0003:000C:}}It makes me look like a scary
monster,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","{{TAG:0003:0005:}}¡Me encanta {{TAG:0007:0000:14000000}}ver la tele!{{TAG:0007:0001:}} {{TAG:0003:0029:}}Pero
a veces la veo demasiado,{{TAG:0007:0000:14000000}} ¡y
se me quedan los ojos rojos!
{{TAG:0003:000C:}}Se me pone una mirada que
parezco un monstruo de las
películas,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","{{TAG:0003:0005:}}J'adore {{TAG:0007:0000:14000000}}regarder la télé !{{TAG:0007:0001:}} {{TAG:0003:0029:}}Mais
quand je la regarde trop longtemps,{{TAG:0007:0000:14000000}}
ça me donne les yeux rouges !
{{TAG:0003:000C:}}Et quand j'ai les yeux rouges, je
peux pas sortir sans faire peur aux
gens, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.","{{TAG:0003:0005:}}Adoro la tivù!{{TAG:0007:0001:}} {{TAG:0003:0029:}}Ma quando la guardo
troppo,{{TAG:0007:0000:14000000}} mi vengono sempre
gli occhi rossi!
{{TAG:0003:000C:}}E con quello sguardo sembro
un mostro,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","{{TAG:0003:0005:}}Ich liebe Zeichentrickserien!{{TAG:0007:0000:14000000}}
{{TAG:0003:0029:}}Manchmal vergess ich vor lauter
Fernsehen sogar mein Nickerchen.
{{TAG:0003:000C:}}Danach bin ich immer so quengelig,
dass nur noch {{TAG:0005:0010:0000}}
hilft, sagen meine Freunde.
{{TAG:0003:0004:}}Hmmm, {{TAG:0005:0010:0000}}!{{TAG:0007:0000:14000000}}
Ich krieg schon wieder Hunger,{{TAG:0007:0000:08000000}}
{{TAG:0005:0007:}}!","{{TAG:0003:0005:}}Televizyona {{TAG:0007:0000:14000000}}bayılırım!{{TAG:0007:0001:}} {{TAG:0003:0029:}}Ama bazen fazla
izliyorum{{TAG:0007:0000:08000000}} ve gözlerim kıpkırmızı oluyor!
{{TAG:0003:000C:}}Beni korkunç bir canavara benzetiyor,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}."
5,006,"{{TAG:0003:0009:}}I haven't been practicing my
{{TAG:0011:0003:0000}} as much as
I should.
{{TAG:0003:002B:}}I really wanna be able to start 
busking,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","{{TAG:0003:0009:}}No he estado practicando con
mi {{TAG:0011:0003:0000}}
tanto como me gustaría.
{{TAG:0003:002B:}}Debería ponerme a tocar en la
calle. Y si a la gente le gusta, ¡que
me inviten a comer,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!","{{TAG:0003:0009:}}Ça fait longtemps que je n'ai pas
utilisé {{TAG:000E:0008:00CD10006D006F006E002000620065006100750010006D0061002000620065006C006C00650002003000}}
{{TAG:0011:0003:0000}}.
{{TAG:0003:002B:}}Ça serait bien que je m'y remette
à l'occasion,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","{{TAG:0003:0009:}}È un bel po' che non vado più
a lezione di {{TAG:0011:0003:0000}}.{{TAG:0000:0004:}}{{TAG:0003:002B:}}Sarebbe mitico se riprendessi
a suonare,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!","{{TAG:0003:002B:}}Irgendwann werde ich mal so gut
{{TAG:0011:0003:0000}} spielen,
dass ich damit auftreten kann.
Von der Gage kauf ich mir dann so
viel {{TAG:0005:0010:0200}}, wie ich nur
essen kann!{{TAG:0007:0000:14000000}} Äh, he he he!
{{TAG:0003:000C:}}Aber dafür müsste ich üben.{{TAG:0007:0000:14000000}}
Zu dumm,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!","{{TAG:0003:0009:}}{{TAG:0011:0003:0000}} çalışmam gerektiği
kadar pratik yapmıyorum.
{{TAG:0003:002B:}}Sokakta çalıp söylemeye başlayabilmeyi
gerçekten istiyorum,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}."
6,007,"{{TAG:0003:0021:}}I do a fair bit of cooking these days.{{TAG:0007:0001:}}
{{TAG:0003:0029:}}Unfortunately, I'm a lot better at
eating than I am at cooking.","{{TAG:0003:0021:}}Últimamente estoy cocinando
bastante.{{TAG:0007:0001:}} {{TAG:0003:0029:}}Lo malo es que cocinar
no se me da tan bien como comer.","{{TAG:0003:0021:}}J'ai fait pas mal de progrès en
cuisine dernièrement !{{TAG:0000:0004:}}{{TAG:0003:0029:}}Mais faut croire que je reste quand
même plus doué pour vider les
assiettes que pour les remplir...","{{TAG:0003:0021:}}Ultimamente non cucino tanto...{{TAG:0007:0001:}}
{{TAG:0003:0029:}}Sai com'è, sono più bravo
a mangiare che a cucinare...","{{TAG:0003:0021:}}Ich bin ein guter Koch, sagen alle.{{TAG:0007:0000:1E000000}}
Aber essen kann ich noch viel
besser!{{TAG:0007:0000:14000000}} Äh, he he he,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!","{{TAG:0003:0021:}}Bu aralar epey yemek yapıyorum.{{TAG:0007:0001:}} {{TAG:0003:0029:}}Ne yazık ki
yemek yemekte, yapmaktan
çok daha iyiyim."
7,008,"{{TAG:0003:0005:}}My {{TAG:0011:0003:0000}} is a
really great bed!{{TAG:0007:0001:}} {{TAG:0003:0019:}}Lie down on it,{{TAG:0007:0000:14000000}} and
you'll be asleep in no time.","{{TAG:0003:0005:}}¡Mi {{TAG:0011:0003:0000}} es una
cama estupenda!{{TAG:0007:0001:}} {{TAG:0003:0019:}}Es que te tumbas
ahí{{TAG:0007:0000:14000000}} y en dos minutos ya estás frito.","{{TAG:0003:0005:}}Je suis vraiment content d'avoir
{{TAG:000E:0002:}}{{TAG:0011:0003:0000}} !{{TAG:0000:0004:}}D'ailleurs, il me suffit à peine de
penser à moi couché dessus,{{TAG:0007:0000:14000000}}{{TAG:0003:0019:}} pour
commencer à avoir sommeil{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.","{{TAG:0003:0005:}}Sono soddisfattissimo
di quest{{TAG:000E:0008:00CD02006F000200610002003000}} {{TAG:0011:0003:0000}}!{{TAG:0000:0004:}}Pensa che mi basta pensare a come
ci sto comodo spaparanzato sopra,
{{TAG:0003:0019:}}che mi viene un sonno...","{{TAG:0003:0005:}}{{TAG:000E:0003:}}{{TAG:000E:0008:00CD08006D00650069006E000A006D00650069006E00650008006D00650069006E00}} {{TAG:0011:0003:0000}} ist
sooo gemütlich!{{TAG:0007:0000:14000000}} Fühl doch mal!{{TAG:0007:0001:}}
{{TAG:0003:0019:}}Gääähn{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} 'tschuldigung{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.","{{TAG:0003:0005:}}{{TAG:0011:0003:0000}} gerçekten harika bir yatak!{{TAG:0007:0001:}}
{{TAG:0003:0019:}}Bir uzan,{{TAG:0007:0000:14000000}} göz açıp kapayıncaya
kadar uyursun."
8,009,"{{TAG:0003:0001:}}You checking out how nice and big
my {{TAG:0011:0003:0000}} is?{{TAG:0000:0004:}}{{TAG:0003:0005:}}The best thing about a big bed{{TAG:0007:0000:14000000}}
is that you can roll around in it!{{TAG:0000:0004:}}Every night before I sleep, I just{{TAG:0007:0000:14000000}} roll{{TAG:0007:0000:08000000}}
and roll{{TAG:0007:0000:14000000}} and roll{{TAG:0007:0000:08000000}} and roll{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0004:}}{{TAG:0003:000C:}}That might be why{{TAG:0007:0000:14000000}} I'm so tired in
the morning,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","{{TAG:0003:0001:}}¿Has visto lo grande que es
mi {{TAG:0011:0003:0000}}?{{TAG:0000:0004:}}{{TAG:0003:0005:}}¡Lo mejor de tener una cama muy
grande{{TAG:0007:0000:14000000}} es que puedes dar vueltas
en ella tranquilamente!{{TAG:0000:0004:}}Todas las noches antes de dormir
doy vueltas{{TAG:0007:0000:14000000}} y vueltas{{TAG:0007:0000:08000000}} y vueltas y
más vueltas, {{TAG:0007:0000:14000000}}y más,{{TAG:0007:0000:08000000}} venga, dale{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0004:}}{{TAG:0003:000C:}}Creo que por eso{{TAG:0007:0000:14000000}} esta mañana
me he levantado tan cansado,{{TAG:0007:0000:08000000}}
{{TAG:0005:0007:}}.","{{TAG:0003:0001:}}T'as envie d'avoir
{{TAG:000E:0002:}}{{TAG:0011:0003:0000}} chez
toi aussi ?{{TAG:0000:0004:}}{{TAG:0003:0005:}}Ce que je préfère, dans un grand lit,{{TAG:0007:0000:14000000}}
c'est qu'on a plein de place pour se
rouler dans ses draps !{{TAG:0000:0004:}}Chaque soir, avant de dormir, je me
roule dedans.{{TAG:0007:0000:14000000}} Encore{{TAG:0007:0000:08000000}} et encore{{TAG:0007:0000:14000000}} et
encore{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0004:}}{{TAG:0003:000C:}}Mais par contre, quand je me
réveille,{{TAG:0007:0000:14000000}} je me retrouve toujours
coincé,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","{{TAG:0003:0001:}}Di' la verità, non ti piacerebbe
avere {{TAG:000E:0002:}}{{TAG:0011:0003:0000}}
come quest{{TAG:000E:0008:00CD02006F000200610002003000}}?{{TAG:0000:0004:}}{{TAG:0003:0005:}}Adoro i lettoni grandi grandi:{{TAG:0007:0000:14000000}}
ti ci puoi rotolare sopra senza
il rischio di finire per terra!{{TAG:0000:0004:}}Ogni notte, prima di andare a letto,{{TAG:0007:0000:14000000}}
ci rotolo sopra almeno una ventina
di volte{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0004:}}{{TAG:0003:000C:}}Ecco perché{{TAG:0007:0000:14000000}} la mattina sono sempre
così stanco, {{TAG:0005:0007:}}.","{{TAG:0003:0023:}}Bist du neidisch auf {{TAG:000E:0008:00CD1E006D00650069006E0065006E00200072006900650073006900670065006E001A006D00650069006E006500200072006900650073006900670065001A006D00650069006E00200072006900650073006900670065007300}}
{{TAG:0011:0003:0000}}?{{TAG:0000:0004:}}{{TAG:0003:0005:}}Darin kann ich mich hin und her
rollen, wie ich will!{{TAG:0007:0000:14000000}} Ich kann sogar
quer schlafen!{{TAG:0007:0000:14000000}} Und verkehrt herum!
{{TAG:0003:001B:}}Kein Wunder, dass ich morgens
immer so kaputt bin,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","{{TAG:0003:0001:}}{{TAG:0011:0003:0000}} ne kadar güzel ve büyük diye
mi bakıyorsun?{{TAG:0000:0004:}}{{TAG:0003:0005:}}Büyük yatağın en güzel yanı{{TAG:0007:0000:14000000}}
içinde yuvarlanabilmek!{{TAG:0000:0004:}}Her gece uyumadan
önce{{TAG:0007:0000:14000000}} yuvarlanıyorum{{TAG:0007:0000:08000000}}, yuvarlanıyorum{{TAG:0007:0000:14000000}},
yuvarlanıyorum{{TAG:0007:0000:08000000}}, yuvarlanıyorum{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0004:}}{{TAG:0003:000C:}}Sabahları
bu kadar yorgun olmamın sebebi{{TAG:0007:0000:14000000}}
bu olabilir,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}."
9,010,"{{TAG:0003:000B:}}Right now, I fit perfectly in my
{{TAG:0011:0003:0000}}.{{TAG:0007:0001:}} But I'm a
growing boy.
{{TAG:0003:000D:}}What happens if I grow too much
one day and get stuck in it,{{TAG:0007:0000:08000000}}
{{TAG:0005:0007:}}?!","{{TAG:0003:000B:}}Ahora mismo, quepo sin problemas
en mi {{TAG:0011:0003:0000}}.{{TAG:0007:0001:}} Pero
todavía estoy creciendo, y...
{{TAG:0003:000D:}}¡¿Qué pasa si un día crezco tanto
que me quedo atrapado ahí,{{TAG:0007:0000:08000000}}
{{TAG:0005:0007:}}?!","{{TAG:0003:000B:}}Pour l'instant, je fais pile-poil la
bonne taille pour rentrer dans {{TAG:000E:0008:00CD06006D006F006E0004006D00610002003000}}
{{TAG:000E:0008:00CD080063006800650072000A0063006800E8007200650002003000}} {{TAG:0011:0003:0000}}.
Mais je n'ai pas fini ma croissance...{{TAG:0000:0004:}}{{TAG:0003:000D:}}Qu'est-ce qui va se passer,{{TAG:0007:0000:08000000}} si à
force de grandir je me retrouve
coincé dedans,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}} ?!","{{TAG:0003:000B:}}Al momento sto comodissimo
su quest{{TAG:000E:0008:00CD02006F000200610002003000}} {{TAG:0011:0003:0000}}.{{TAG:0007:0001:}}
Ma non ho ancora finito di crescere!
{{TAG:0003:000D:}}Caspitina! E se poi cresco troppo
e finisce che non ci sto più,{{TAG:0007:0000:08000000}}
{{TAG:0005:0007:}}?!","{{TAG:0003:000B:}}Im Moment passe ich noch ganz gut
in {{TAG:000E:0008:00CD0C006D00650069006E0065006E000A006D00650069006E00650008006D00650069006E00}} {{TAG:0011:0003:0000}}.{{TAG:0007:0000:14000000}}
Aber was, wenn ich noch wachse?
{{TAG:0003:000D:}}Vielleicht bleib ich nach der dritten
Portion {{TAG:0005:0010:0200}} stecken
und komm nicht mehr raus!
Dann müsste ich fasten, bis ich
wieder aufstehen kann.{{TAG:0007:0000:14000000}} Schrecklich,{{TAG:0007:0000:08000000}}
{{TAG:0005:0007:}}!{{TAG:0007:0000:14000000}}{{TAG:0003:0009:}}","{{TAG:0003:000B:}}Şimdilik {{TAG:0011:0003:0000}} tam bana göre.{{TAG:0007:0001:}} Ama ben
büyüyen bir çocuğum.
{{TAG:0003:000D:}}Bir gün fazla büyüyüp içine sıkışırsam
ne olacak,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}?!"
