entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,{{TAG:0003:0001:}}I love how alive this part of town is!,"{{TAG:0003:0001:}}¡Me encanta toda la vida que tiene
esta zona del pueblo!",{{TAG:0003:0001:}}J'adore ce quartier ! Il est si vivant !,"{{TAG:0003:0001:}}Mi piace questa parte della città.
È così vivace!","{{TAG:0003:0001:}}Ist doch schön, wie belebt es hier
ist, meinst du nicht?","{{TAG:0003:0001:}}Kasabanın bu kısmının canlılığını
çok seviyorum!"
1,002,"{{TAG:0003:0001:}}With all the different kinds of
stores here,{{TAG:0007:0000:0A000000}} {{TAG:0003:0005:}}it's fun to just wander
around and window-shop.
It's a place worth visiting even if
you have to travel a long way!","{{TAG:0003:0001:}}Como tenemos tantísimas tiendas
por aquí,{{TAG:0007:0000:0A000000}} es muy divertido salir y
pasar el día mirando escaparates.
Por lejos que vivas,{{TAG:0007:0000:0A000000}} siempre merece
la pena acercarte a dar una vuelta.","{{TAG:0003:0001:}}Franchement, on n'est pas bien, là ?{{TAG:0007:0000:10000000}}
{{TAG:0003:0005:}}Quoi de plus amusant que de flâner
en faisant du lèche-vitrine ?{{TAG:0000:0004:}}Je pourrais parcourir des lieues rien
que pour le plaisir de vadrouiller
dans un endroit aussi charmant !","{{TAG:0003:0001:}}Ci sono così tanti negozi diversi
qui {{TAG:0007:0000:0A000000}}{{TAG:0003:0005:}}che è divertente anche solo
{{TAG:0007:0000:0A000000}}guardare le vetrine.
Anche se ci si trasferisce in un'altra
città,{{TAG:0007:0000:0A000000}} viene sempre voglia di tornare
qui a fare un giretto!","{{TAG:0003:0001:}}Da es hier so viele verschiedene
Läden gibt, komme ich auch gerne
nur zum Schaufensterbummel her.
{{TAG:0003:0005:}}Manche Leute kommen von weit
weg, nur um hier einzukaufen!","{{TAG:0003:0001:}}Burada bu kadar farklı dükkân olunca{{TAG:0007:0000:0A000000}} {{TAG:0003:0005:}}
sadece dolaşıp vitrinlere bakmak bile
keyifli. Uzaklardan gelmeye değer!"
2,003,"{{TAG:0003:0003:}}Shopping is so much more fun when
the atmosphere is lively.{{TAG:0007:0000:14000000}} That's why
I love shopping here.{{TAG:0007:0000:1E000000}}{{TAG:0003:0025:}}","{{TAG:0003:0003:}}Ir de tiendas es mucho mejor en
este ambiente alegre y animado.{{TAG:0007:0000:14000000}}
¡Por eso vengo siempre aquí!{{TAG:0003:0025:}}","{{TAG:0003:0003:}}Le shopping, c'est bien. Mais dans
une ambiance aussi survoltée, c'est
mieux ! Je suis folle de cet endroit !","{{TAG:0003:0003:}}Lo shopping è più divertente quando
l'ambiente è così vivace.{{TAG:0007:0000:14000000}} È per
questo che adoooro fare spese qui.{{TAG:0007:0000:1E000000}}{{TAG:0003:0025:}}","{{TAG:0003:0003:}}Wenn die Einkaufsmeile belebt ist,
macht Einkaufen viel mehr Spaß.{{TAG:0007:0000:0A000000}} 
Darum komme ich so gerne her.{{TAG:0003:0025:}}","{{TAG:0003:0003:}}Ortam hareketliyken alışveriş çok
daha eğlenceli oluyor.{{TAG:0007:0000:14000000}} O yüzden
burada alışveriş yapmayı seviyorum.{{TAG:0007:0000:1E000000}}{{TAG:0003:0025:}}"
3,004,"{{TAG:0003:0001:}}I like chatting with the shopkeepers
and friends like you,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}.{{TAG:0000:0004:}}{{TAG:0003:0005:}}It makes visiting Main Street even
more fun.","{{TAG:0003:0001:}}Con los vecinos y dependientes tan
agradables que andan por esta zona,{{TAG:0007:0000:0A000000}}
da gusto ir de compras,{{TAG:0007:0000:0A000000}} {{TAG:0005:0008:}}.
{{TAG:0003:0005:}}¡No pierdas la oportunidad de
saludarlos a todos!","{{TAG:0003:0001:}}Une bavette avec les commerçants
par-ci, un bout de gras avec les
voisins par-là...{{TAG:0000:0004:}}{{TAG:0003:0005:}}C'est le fait de bavarder avec les
gens qui donne toute sa saveur à la
rue commerçante, {{TAG:0005:0008:}} !","{{TAG:0003:0001:}}Mi piace chiacchierare con
le commesse e con gli amici
come te,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}.
{{TAG:0003:0005:}}Lo shopping è più piacevole
e io mi diverto una sacco!","{{TAG:0003:0001:}}Ich plaudere gerne mit den
Ladenbesitzern und den anderen
Leuten, die hier einkaufen.
{{TAG:0003:0005:}}Das gehört für mich bei einem
gelungenen Einkauf einfach dazu!","{{TAG:0003:0001:}}Dükkân sahipleriyle ve senin gibi
arkadaşlarla sohbet etmeyi seviyorum,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}.{{TAG:0000:0004:}}{{TAG:0003:0005:}}
Ana Cadde’ye gelmek daha da keyifli oluyor."
4,005,"{{TAG:0003:0001:}}When you're reading a book,{{TAG:0007:0000:0A000000}} a quiet
place is best.{{TAG:0000:0004:}}{{TAG:0003:0003:}}But when you're out shopping,{{TAG:0007:0000:0A000000}}
a lively place{{TAG:0007:0000:0A000000}} is much more fun.{{TAG:0007:0000:1E000000}}{{TAG:0003:0025:}}","{{TAG:0003:0001:}}No hay nada como un sitio tranquilo
para sentarse a leer un librito.{{TAG:0000:0004:}}{{TAG:0003:0003:}}Eso sí,{{TAG:0007:0000:0A000000}} a la hora de ir de compras,{{TAG:0007:0000:0A000000}}
¡cuanto más ajetreo,{{TAG:0007:0000:0A000000}} mejor!{{TAG:0003:0025:}}","{{TAG:0003:0001:}}Quand je suis plongée dans mes
livres, {{TAG:0007:0000:0A000000}}j'ai besoin de calme, bien sûr.
Il faut bien s'entendre penser !{{TAG:0000:0004:}}{{TAG:0003:0003:}}Mais quand vient l'heure du
shopping, place au tumulte,{{TAG:0007:0000:0A000000}}
{{TAG:0005:0007:}} !","{{TAG:0003:0001:}}Per leggere un libro{{TAG:0007:0000:0A000000}} ci vuole
un posto tranquillo.{{TAG:0000:0004:}}{{TAG:0003:0003:}}Ma per lo shopping,{{TAG:0007:0000:0A000000}} un posto allegro
e vivace{{TAG:0007:0000:0A000000}} è senza dubbio l'ideale.{{TAG:0007:0000:1E000000}}{{TAG:0003:0025:}}","{{TAG:0003:0001:}}Wenn man lesen will, braucht man
ein stilles Plätzchen, aber beim
Einkaufen ist es andersrum.
{{TAG:0003:0003:}}Einkaufen macht erst dann großen
Spaß, wenn die Geschäfte so richtig
belebt sind, findest du nicht?{{TAG:0007:0000:1E000000}}{{TAG:0003:0025:}}","{{TAG:0003:0001:}}Kitap okurken{{TAG:0007:0000:0A000000}} sessiz bir yer en iyisi.{{TAG:0000:0004:}}{{TAG:0003:0003:}}
Ama alışveriş yaparken{{TAG:0007:0000:0A000000}} hareketli bir
ortam{{TAG:0007:0000:0A000000}} çok daha eğlenceli.{{TAG:0007:0000:1E000000}}{{TAG:0003:0025:}}"
5,006,{{TAG:000A:0006:0900140007000800}},{{TAG:000A:0006:0900140007000800}},{{TAG:000A:0006:0900140007000800}},{{TAG:000A:0006:0900140007000800}},{{TAG:000A:0006:0900140007000800}},{{TAG:000A:0006:0900140007000800}}
6,007,{{TAG:0009:0003:01000200030004000500}},{{TAG:0009:0003:01000200030004000500}},{{TAG:0009:0003:01000200030004000500}},{{TAG:0009:0003:01000200030004000500}},{{TAG:0009:0003:01000200030004000500}},{{TAG:0009:0003:01000200030004000500}}
7,008,{{TAG:0009:0000:09000A00}},{{TAG:0009:0000:09000A00}},{{TAG:0009:0000:09000A00}},{{TAG:0009:0000:09000A00}},{{TAG:0009:0000:09000A00}},{{TAG:0009:0000:09000A00}}
8,009,"{{TAG:0003:0001:}}I like that the vibe{{TAG:0007:0000:0A000000}} of this area is so
different now than during the day.","{{TAG:0003:0001:}}Este lugar emana una energía
diferente y positiva por la noche.{{TAG:0007:0000:14000000}}
¡La percibo claramente!","{{TAG:0003:0001:}}Cet endroit change du tout au tout
à la lumière de la lune et de
l'éclairage public, {{TAG:0005:0007:}} !","{{TAG:0003:0001:}}Adoooro l'atmosfera{{TAG:0007:0000:0A000000}} che c'è qui
a quest'ora. Ha qualcosa di magico!","{{TAG:0003:0001:}}Ich finde es faszinierend, wie fremd
die Gegend im Dunkeln wirkt.{{TAG:0007:0000:0A000000}}
Tagsüber ist es hier ganz anders.","{{TAG:0003:0001:}}Buranın havasının{{TAG:0007:0000:0A000000}} gündüzden bu kadar
farklı olması hoşuma gidiyor."
9,010,"{{TAG:0003:0001:}}This is a nice part of town for both
shopping and just taking a casual
stroll around,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","{{TAG:0003:0001:}}Conozco pocos lugares tan amenos
como este para pasear.{{TAG:0007:0000:14000000}} ¡Y además
puedes irte de compras,{{TAG:0007:0000:0A000000}} bichín!","{{TAG:0003:0001:}}Si tu as le shopping dans la peau et
que tu aimes les balades futées,
tu es dans le bon quartier !","{{TAG:0003:0001:}}Questa parte della città è perfetta
{{TAG:0007:0000:0F000000}}per lo shopping, ma anche per
fare due passi,{{TAG:0007:0000:0F000000}} {{TAG:0005:0007:}}.","{{TAG:0003:0001:}}Hier kann man nicht nur sehr gut
einkaufen, sondern auch prima
spazieren gehen, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}.","{{TAG:0003:0001:}}Burası hem alışveriş hem de şöyle
sakin sakin gezinmek için çok güzel,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}."
