entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:0003:0001:}}The moon looks so pretty, right?{{TAG:0007:0000:1E000000}}
I hope it'll look just as beautiful
next year too!","{{TAG:0003:0001:}}La luna está preciosa, ¿verdad?{{TAG:0007:0000:1E000000}}{{TAG:0000:0004:}}Ojalá el año que viene esté
igual de bonita...","{{TAG:0003:0001:}}La lune est belle ce soir, vous ne
trouvez pas ?{{TAG:0007:0000:1E000000}} Comme à chaque fois
à cette période de l'année...","{{TAG:0003:0001:}}La luna stanotte è proprio fuffosa,
non è vero?{{TAG:0007:0000:1E000000}} Spero che l'anno
prossimo sarà altrettanto bella!","{{TAG:0003:0001:}}Ist der Mond nicht einfach herrlich?{{TAG:0007:0000:14000000}}
Hoffentlich ist er auch nächstes
Jahr wieder genauso schön!","{{TAG:0003:0001:}}Ay ne kadar güzel görünüyor,
değil mi?{{TAG:0007:0000:1E000000}}
Umarım gelecek yıl da böyle
güzel olur!"
1,002,"{{TAG:0003:0025:}}Are you enjoying {{TAG:0000:0003:0200}}Chuseok{{TAG:0000:0003:FFFF}}?{{TAG:0000:0004:}}{{TAG:0003:0001:}}I've been staring at the moon so
much tonight,{{TAG:0007:0000:0A000000}} my neck is starting
to hurt! {{TAG:0003:0002:}}Heehee! Silly me!{{TAG:0003:0025:}}","{{TAG:0003:0025:}}¿Disfrutando del Chuseok?{{TAG:0000:0004:}}{{TAG:0003:0001:}}¡Yo llevo tanto rato mirando la luna
que ya empieza a dolerme el cuello!
{{TAG:0003:0002:}}Je, je, je, {{TAG:0003:0025:}}qué cosas tengo a veces...","{{TAG:0003:0025:}}Êtes-vous charmé{{TAG:000E:0006:000002006500}} par {{TAG:0000:0003:0200}}Chuseok {{TAG:0000:0003:FFFF}}?{{TAG:0000:0004:}}{{TAG:0003:0001:}}Le problème, c'est qu'à force de
regarder la lune, {{TAG:0007:0000:0A000000}}ma nuque me fait
des misères ! Suis-je bête...{{TAG:0003:0025:}}","{{TAG:0003:0025:}}Cosa ne dici del {{TAG:0000:0003:0200}}Chuseok{{TAG:0000:0003:FFFF}}?{{TAG:0007:0000:0F000000}}
Ti stai divertendo?{{TAG:0000:0004:}}{{TAG:0003:0001:}}Io sono stata a muso in su così
a lungo{{TAG:0007:0000:0A000000}} che mi è rimasto il collo
tutto incriccato! {{TAG:0003:0002:}}Ah ah ah!{{TAG:0003:0025:}}","{{TAG:0003:0001:}}Ich habe schon einen steifen Nacken,
weil ich heute Nacht so lange den
Mond angestarrt habe! {{TAG:0003:0002:}}{{TAG:0007:0000:14000000}}Tihi!{{TAG:0003:0025:}}","{{TAG:0003:0025:}}{{TAG:0000:0003:0200}}Chuseok'un{{TAG:0000:0003:FFFF}} tadını çıkarıyor
musun?{{TAG:0000:0004:}}{{TAG:0003:0001:}}
Bu gece aya o kadar çok baktım
ki{{TAG:0007:0000:0A000000}}
boynum ağrımaya başladı! {{TAG:0003:0002:}}Hihihi!
Şu hâlime bak!{{TAG:0003:0025:}}"
2,003,"{{TAG:0003:0001:}}{{TAG:0000:0003:0200}}Chuseok{{TAG:0000:0003:FFFF}} passed by so quickly!{{TAG:0007:0001:}}
{{TAG:0003:0005:}}I hope everyone enjoys it as much
when it comes around next year!","{{TAG:0003:0001:}}Buf, se me ha pasado el Chuseok
volando. ¿A ti no?{{TAG:0007:0001:}} {{TAG:0003:0005:}}¡Seguro que
el año que viene es igual de díver!","{{TAG:0003:0001:}}Ça y est, {{TAG:0000:0003:0200}}Chuseok {{TAG:0000:0003:FFFF}}est déjà
terminé{{TAG:0007:0000:07000000}}.{{TAG:0007:0000:07000000}}.{{TAG:0007:0000:07000000}}.{{TAG:0007:0000:07000000}} {{TAG:0007:0001:}}{{TAG:0003:0005:}}C'était super ! Vivement
l'année prochaine !","{{TAG:0003:0001:}}Questa volta il {{TAG:0000:0003:0200}}Chuseok{{TAG:0000:0003:FFFF}} è passato
in un attimo!{{TAG:0007:0001:}} {{TAG:0003:0005:}}Già non vedo l'ora
che arrivi quello dell'anno prossimo!","{{TAG:0003:0001:}}{{TAG:0000:0003:0200}}Chuseok{{TAG:0000:0003:FFFF}} ging dieses Jahr so schnell
vorbei, dass ich mich jetzt schon
auf nächstes Jahr freue!","{{TAG:0003:0001:}}{{TAG:0000:0003:0200}}Chuseok{{TAG:0000:0003:FFFF}} ne çabuk geçti!{{TAG:0007:0001:}}
{{TAG:0003:0005:}}Umarım gelecek yıl geldiğinde de
herkes bu kadar eğlenir!"
3,004,"{{TAG:0003:0001:}}It's still too early for the moon to
make an appearance,{{TAG:0007:0000:0F000000}} but I hope you
stay around to see it tonight!","{{TAG:0003:0001:}}En días así, ¿no te entran ganas de
arroparte con una manta y salir al
jardín a contemplar la luna?","{{TAG:0003:0001:}}Il est encore un peu tôt pour voir la
lune apparaître,{{TAG:0007:0000:0F000000}} mais j'espère que
vous patienterez jusque-là !","{{TAG:0003:0001:}}Ci vuole ancora un po' prima che
sorga la luna,{{TAG:0007:0000:0F000000}} ma spero che tu
voglia aspettarla insieme a noi!","{{TAG:0003:0001:}}Für den Mond ist es noch ein wenig
zu früh.{{TAG:0007:0000:0F000000}} Bleib doch noch hier und
sieh ihn dir später mit uns an!","{{TAG:0003:0001:}}Ayın görünmesine daha var{{TAG:0007:0000:0F000000}}, ama
umarım bu gece onu görene kadar
buralarda kalırsın!"
4,005,"{{TAG:0003:0025:}}{{TAG:000E:0003:}}{{TAG:0005:0005:}}'s moon will look so
pretty tonight for {{TAG:0000:0003:0200}}Chuseok{{TAG:0000:0003:FFFF}}!{{TAG:0000:0004:}}{{TAG:0003:0001:}}There's still time before it shows
its face,{{TAG:0007:0000:0F000000}} but if you can, please
stay around to see it!","{{TAG:0003:0025:}}¡La luna del {{TAG:0000:0003:0200}}Chuseok {{TAG:0000:0003:FFFF}}se ve preciosa
desde {{TAG:000E:0003:}}{{TAG:0005:0005:}}!{{TAG:0000:0004:}}{{TAG:0003:0001:}}A veces se hace de rogar, pero
la espera merece la pena.
¡Es todo un espectáculo!","{{TAG:0003:0025:}}Ce soir, tous les regards seront
rivés sur la lune !{{TAG:0003:0001:}} Mais il est encore
un peu tôt...
Si vous n'avez rien d'autre à faire,
restez à {{TAG:0005:0005:}} pour {{TAG:0000:0003:0200}}Chuseok{{TAG:0000:0003:FFFF}}.","{{TAG:0003:0025:}}La luna vista da {{TAG:0005:0005:}}
è sempre fuffissima!
Evviva il {{TAG:0000:0003:0200}}Chuseok{{TAG:0000:0003:FFFF}}!{{TAG:0000:0004:}}{{TAG:0003:0001:}}Non c'è niente di meglio che uscire
ad ammirarla con una bella
tazza di cioccolata calda in mano!","{{TAG:0003:0025:}}Der Mond in {{TAG:0005:0005:}} wird heute
an {{TAG:0000:0003:0200}}Chuseok{{TAG:0000:0003:FFFF}} wunderschön aussehen!{{TAG:0000:0004:}}{{TAG:0003:0001:}}Bis er aufgeht, ist noch etwas Zeit,{{TAG:0007:0000:0F000000}}
aber bleib doch einfach so lange
hier und sieh ihn dir mit uns an!","{{TAG:0003:0025:}}{{TAG:000E:0003:}}{{TAG:0005:0005:}} kasabasının ayı bu gece
{{TAG:0000:0003:0200}}Chuseok{{TAG:0000:0003:FFFF}} için çok güzel
görünecek!{{TAG:0000:0004:}}{{TAG:0003:0001:}}
Yüzünü göstermesine daha vakit
var{{TAG:0007:0000:0F000000}},
ama fırsatın varsa lütfen kalıp gör!"
5,006,"{{TAG:0003:0025:}}I think everyone in town is excited
about {{TAG:0000:0003:0200}}Chuseok{{TAG:0000:0003:FFFF}}!{{TAG:0000:0004:}}{{TAG:0003:0000:}}There's still time until the moon
appears,{{TAG:0007:0000:0F000000}} so {{TAG:0003:0025:}}I hope you'll have fun
today while you wait!","{{TAG:0003:0025:}}¿Te has fijado en lo ilusionada que
está la gente por el Chuseok?{{TAG:0000:0004:}}{{TAG:0003:0000:}}Quédate hoy hasta tarde y mira
la luna con nosotros.{{TAG:0007:0000:0F000000}} {{TAG:0003:0025:}}¡Es preciosa!","{{TAG:0003:0025:}}Tout le monde n'attend qu'une
chose en ville : la veillée en
l'honneur de {{TAG:0000:0003:0200}}Chuseok{{TAG:0000:0003:FFFF}} !
{{TAG:0003:0000:}}On a encore un peu de temps, cela
dit... Trouvez donc une occupation
pour patienter jusqu'à ce soir !","{{TAG:0003:0025:}}Tutta la città è in fibrillazione
per l'evento del {{TAG:0000:0003:0200}}Chuseok{{TAG:0000:0003:FFFF}}!{{TAG:0000:0004:}}{{TAG:0003:0000:}}Per vedere la luna piena dovrai
aspettare ancora un po',{{TAG:0007:0000:0F000000}} {{TAG:0003:0025:}}ma spero
che tu voglia aspettare qui con noi!","{{TAG:0003:0025:}}Alle Einwohner freuen sich
schon auf den Aufgang des
Mondes heute an {{TAG:0000:0003:0200}}Chuseok{{TAG:0000:0003:FFFF}}!
{{TAG:0003:0025:}}Ich hoffe, du amüsierst dich gut bei
uns, bis es so weit ist!","{{TAG:0003:0025:}}Bence kasabadaki herkes {{TAG:0000:0003:0200}}Chuseok{{TAG:0000:0003:FFFF}}
için çok heyecanlı!{{TAG:0000:0004:}}{{TAG:0003:0000:}}
Ayın görünmesine daha var{{TAG:0007:0000:0F000000}}, {{TAG:0003:0025:}}o
zamana kadar bugün bol bol eğlen!"
6,007,"{{TAG:0003:0001:}}{{TAG:0000:0003:0200}}Chuseok {{TAG:0000:0003:FFFF}}is one of my favorite times
of the year, {{TAG:0003:0015:}}partly because I get to
make songpyeon for everyone!
{{TAG:0003:0025:}}I really love a good excuse to make
treats for the whole town. {{TAG:0003:0027:}}I just
hope everyone likes what I make...","{{TAG:0003:0001:}}¡Espero que te quedes en
{{TAG:000E:0003:}}{{TAG:0005:0005:}} a disfrutar
del Chuseok!","{{TAG:0003:0001:}}J'espère que vous resterez parmi
nous jusqu'à la fin de la soirée pour
célébrer {{TAG:0000:0003:0200}}Chuseok{{TAG:0000:0003:FFFF}}.","{{TAG:0003:0001:}}Il Chuseok è una delle mie ricorrenze
preferite, {{TAG:0003:0015:}}anche perché ho la scusa
per preparare songpyeon per tutti!
Cosa posso dire?{{TAG:0003:0025:}}
Adoro cucinare per gli altri!
{{TAG:0003:0027:}}Spero solo che apprezzino...","{{TAG:0003:0001:}}Hoffentlich hast du Spaß an
{{TAG:0000:0003:0200}}Chuseok{{TAG:0000:0003:FFFF}}, unserem berühmten
Mondfest hier in {{TAG:0005:0005:}}!","{{TAG:0003:0001:}}{{TAG:0000:0003:0200}}Chuseok{{TAG:0000:0003:FFFF}} yılın en sevdiğim
zamanlarından biri{{TAG:0003:0015:}}; biraz da
herkese songpyeon yapabildiğim için!
{{TAG:0003:0025:}}Bütün kasabaya tatlı yapmak için
bahane bulmaya bayılıyorum.
{{TAG:0003:0027:}}Umarım
yaptıklarımı herkes sever..."
7,008,"{{TAG:0003:0004:}}Nights like this really remind me
how important your friends and
family can be.
{{TAG:0003:0018:}}It's sort of sad that most of the
night, {{TAG:0000:0003:0400}}Digby{{TAG:0000:0003:FFFF}} and I are both working,
so we can't just enjoy it together.
{{TAG:0003:0025:}}But we still sneak in some time
anyway! In fact, {{TAG:0003:0002:}}I just ran over and
said hi when you weren't looking!","{{TAG:0003:0001:}}¡Esta noche la luna está preciosa!{{TAG:0007:0001:}}
Es como si te diera la bienvenida
a {{TAG:000E:0003:}}{{TAG:0005:0005:}}.","{{TAG:0003:0001:}}La lune est enveloppée d'un voile de
mystère ce soir{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}{{TAG:0007:0001:}} Comme si elle
voulait nous dire quelque chose{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.","{{TAG:0003:0004:}}Sono serate come questa
che mi ricordano l'importanza
di famiglia e amici.
{{TAG:0003:0018:}}Purtroppo io e {{TAG:0000:0003:0400}}Fofò{{TAG:0000:0003:FFFF}} facciamo quasi
sempre gli stessi orari, perciò non
riusciamo a passare tempo assieme.
{{TAG:0003:0025:}}Eppure qualche volta riusciamo
a beccarci! Appena non mi vede
nessuno {{TAG:0003:0002:}}corro a salutarlo!","{{TAG:0003:0001:}}Der Mond sieht aus, als ob er
sagen will:{{TAG:0007:0000:14000000}} „Willkommen in
{{TAG:0005:0005:}}, {{TAG:0005:0000:}}!“","{{TAG:0003:0004:}}Böyle geceler dostların ve
ailenin ne kadar önemli olduğunu hatırlatıyor.
{{TAG:0003:0018:}}Gecenin çoğunda{{TAG:0000:0003:0400}} {{TAG:0000:0003:FFFF}}Digby{{TAG:0003:0025:}} ile ikimiz
de çalıştığımız için birlikte
keyfini çıkaramamak biraz üzücü.
{{TAG:0003:0002:}}Ama yine de araya biraz vakit
sıkıştırıyoruz! Hatta sen
bakmıyorken yanına koşup selam verdim!"
8,009,"{{TAG:0003:0001:}}I sure hope you have some place to
stay in {{TAG:0005:0005:}} tonight. {{TAG:0003:0009:}}I'd hate
to think of you traveling so late.
{{TAG:0003:0025:}}If it comes to it, {{TAG:0003:0015:}}you might just
want to sleep under the stars. {{TAG:0003:0026:}}It's
certainly the perfect night for it!","{{TAG:0003:0001:}}Ya que te has molestado en venir
hasta aquí,{{TAG:0007:0000:0F000000}} disfruta de esta noche
otoñal en {{TAG:000E:0003:}}{{TAG:0005:0005:}}. ¡Relájate!","{{TAG:0003:0001:}}Après avoir fait tout ce chemin,{{TAG:0007:0000:0F000000}}
vous avez bien mérité un peu de
repos.
Profitez donc de cette calme
soirée automnale dans notre belle
ville {{TAG:000E:000A:0600640065002000040064002700}}{{TAG:0005:0005:}} !","{{TAG:0003:0009:}}Mi auguro che tu non abbia
intenzione di rimetterti in viaggio
stanotte. Starei tanto in pensiero!
{{TAG:0003:0025:}}Male che vada, {{TAG:0003:0015:}}puoi sempre
dormire sotto il cielo stellato.
{{TAG:0003:0026:}}Quale serata migliore di questa...?","{{TAG:0003:0024:}}Ich hoffe, du hast dich schon um
eine Übernachtungsmöglichkeit in
{{TAG:0005:0005:}} gekümmert!
{{TAG:0003:0009:}}Ich hätte kein gutes Gefühl dabei,
wenn du dich so spät noch auf die
Heimreise machen würdest.
{{TAG:0003:0025:}}Zur Not kannst du ja einfach unter
den Sternen schlafen. {{TAG:0007:0000:14000000}}{{TAG:0003:0026:}}Dafür wäre
heute jedenfalls die perfekte Nacht!","{{TAG:0003:0001:}}Umarım bu gece {{TAG:0005:0005:}} kasabasında
kalacak bir yerin vardır. {{TAG:0003:0009:}}Bu
saatte yolda olmanı düşünmek bile istemem.
{{TAG:0003:0025:}}Gerekirse{{TAG:0003:0015:}} yıldızların altında
uyumayı düşünebilirsin. {{TAG:0003:0026:}}Bunun
için harika bir gece!"
9,010,,,,,,
