entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:0003:0001:}}Where are you headed with that
shovel?{{TAG:0008:0000:1400000015000000}}
Just over there.
Um...nowhere!","{{TAG:0003:0001:}}Anda, {{TAG:0007:0000:0A000000}}¿adónde vas con esa pala,
bichín?{{TAG:0008:0000:1400000015000000}}
Un poco más para allá
Mmm... ¡A ningún sitio!","{{TAG:0003:0001:}}Où tu vas comme ça, avec ta pelle ?{{TAG:0008:0000:1400000015000000}}
Là bas.
Euh... Nulle part.","{{TAG:0003:0001:}}Dove vai di bello con quella pala?{{TAG:0008:0000:1400000015000000}}
Vado laggiù.
Mmh... In nessun posto!","{{TAG:0003:0001:}}He, wo gehst du denn mit der
Schaufel hin?{{TAG:0008:0000:1400000015000000}}
Nach da drüben.
Äh... Nirgendwo.","{{TAG:0003:0001:}}O kürekle nereye gidiyorsun?{{TAG:0008:0000:1400000015000000}}
Şuraya kadar.
Şey... hiçbir yere!"
1,002,{{TAG:000A:0003:160016001600160016001600160016001700170017001700}},{{TAG:000A:0003:160016001600160016001600160016001700170017001700}},{{TAG:000A:0003:160016001600160016001600160016001700170017001700}},{{TAG:000A:0003:160016001600160016001600160016001700170017001700}},{{TAG:000A:0003:160016001600160016001600160016001700170017001700}},{{TAG:000A:0003:160016001600160016001600160016001700170017001700}}
2,003,{{TAG:000A:0004:180018001800180018001800180018001900190019001900}},{{TAG:000A:0004:180018001800180018001800180018001900190019001900}},{{TAG:000A:0004:180018001800180018001800180018001900190019001900}},{{TAG:000A:0004:180018001800180018001800180018001900190019001900}},{{TAG:000A:0004:180018001800180018001800180018001900190019001900}},{{TAG:000A:0004:180018001800180018001800180018001900190019001900}}
3,004,"{{TAG:0003:0010:}}Oh!{{TAG:0007:0000:0A000000}} You must be out watering
flowers with that watering can!{{TAG:0000:0004:}}{{TAG:0003:0001:}}I love flowers too.{{TAG:0007:0000:0A000000}} We should get
together and trade gardening tips
sometime.","{{TAG:0003:0010:}}¡Anda! {{TAG:0007:0000:14000000}}¿Estás dedicando un ratito
a regar las flores? {{TAG:0007:0000:14000000}}¡Bien hecho!{{TAG:0000:0004:}}Si les dedicas tiempo y cariño,
{{TAG:0007:0000:0A000000}}las flores te lo agradecen mucho.
{{TAG:0007:0000:14000000}}¡Así que sigue así con tu regadera!","{{TAG:0003:0010:}}Oh ! Quelque chose me dit que tu
vas faire de l'arrosage{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}. Je sais,
je suis très perspicace.
{{TAG:0003:0001:}}Moi aussi, j'adore les fleurs.{{TAG:0007:0000:0A000000}} Il
faudrait qu'on échange des astuces
de jardinage à l'occasion !","{{TAG:0003:0010:}}Oh!{{TAG:0007:0000:0A000000}} Hai deciso di annaffiare un po'
di fiori {{TAG:0007:0000:0A000000}}col tuo bell'annaffiatoio?!{{TAG:0000:0004:}}{{TAG:0003:0001:}}Anch'io adoooro i fiori!{{TAG:0007:0000:0A000000}} Potremmo
organizzare delle passeggiate e dare
da bere a tutti i fiori della città!","{{TAG:0003:0010:}}Oh!{{TAG:0007:0000:0A000000}} Du bist wohl am Blumengießen!{{TAG:0007:0000:0A000000}}
Hihihi, hab ich an der Gießkanne
erkannt.
{{TAG:0003:0001:}}Blumen sind toll.{{TAG:0007:0000:0A000000}} Wir müssen uns
mal zusammensetzen und unsere
Gärtnertipps austauschen!","{{TAG:0003:0010:}}Oo!{{TAG:0007:0000:0A000000}} Sulama kabıyla çiçekleri
sulamaya çıkmışsın!{{TAG:0000:0004:}}{{TAG:0003:0001:}}Ben de
çiçekleri çok severim.{{TAG:0007:0000:0A000000}} Bir ara
bahçecilik önerileri paylaşalım."
4,005,"{{TAG:0003:0001:}}That's a very nice umbrella!{{TAG:0007:0000:14000000}} It really
suits you, {{TAG:0005:0008:}}.","{{TAG:0003:0001:}}¡Ay! {{TAG:0007:0000:14000000}}¡Qué paraguas más bonito!
Te pega mucho,{{TAG:0007:0000:0A000000}} {{TAG:0005:0008:}}.","{{TAG:0003:0001:}}Oh, tu en as, de la chance,
{{TAG:0005:0008:}} ! {{TAG:0007:0000:14000000}}Moi aussi, j'aimerais
avoir un aussi joli parapluie !{{TAG:0007:0000:14000000}}","{{TAG:0003:0001:}}Che ombrellino delizioso!{{TAG:0007:0000:14000000}}
Ti si addice proprio,{{TAG:0007:0000:0A000000}} {{TAG:0005:0008:}}.","{{TAG:0003:0001:}}Oho, das ist aber ein hübscher
Regenschirm.{{TAG:0007:0000:14000000}} Der passt zu dir,
{{TAG:0005:0008:}}.","{{TAG:0003:0001:}}Ne güzel bir şemsiye!{{TAG:0007:0000:14000000}} Sana
gerçekten yakışmış, {{TAG:0005:0008:}}."
5,006,{{TAG:000A:0001:1A001B00}},{{TAG:000A:0001:1A001B00}},{{TAG:000A:0001:1A001B00}},{{TAG:000A:0001:1A001B00}},{{TAG:000A:0001:1A001B00}},{{TAG:000A:0001:1A001B00}}
6,007,"{{TAG:0003:000D:}}Don't you find slingshots difficult to
use?!{{TAG:0007:0001:}} {{TAG:0003:0009:}}Even at maximum power,{{TAG:0007:0000:08000000}} my
rocks usually land a few feet away.","{{TAG:0003:000D:}}¡¿A ti no te cuesta mucho usar
el tirachinas?!{{TAG:0007:0001:}} {{TAG:0003:001B:}}Es que no logro que
lleguen más allá de cinco metros{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.","{{TAG:0003:000D:}}Se servir correctement d'un
lance-pierre, {{TAG:0007:0000:0A000000}}c'est vraiment
pas de la tarte.
{{TAG:0003:001B:}}La dernière fois que j'ai essayé, j'ai
mis dix minutes à retrouver le
caillou{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:0003:001A:}} Il était à mes pieds.","{{TAG:0003:000D:}}Tu sei brav{{TAG:000E:0006:02006F0002006100}}{{TAG:0007:0000:0A000000}} a usare la fionda?{{TAG:0007:0001:}} {{TAG:0003:001B:}}Io
non tanto...{{TAG:0007:0000:0A000000}} Colpisco solo gli oggetti
a non più di 10 centimetri da me...","{{TAG:0003:000D:}}Es ist gar nicht so einfach, so eine
Schleuder zu verwenden...{{TAG:0000:0004:}}{{TAG:0003:001B:}}Immer, wenn ich es versucht hab,
hat es den Stein nur vor meine
Füße geschleudert...","{{TAG:0003:000D:}}Sapan kullanmak sana da zor
gelmiyor mu?!{{TAG:0007:0001:}} {{TAG:0003:0009:}}Ne kadar gersem
de{{TAG:0007:0000:08000000}} taşlarım birkaç metre öteye
zor gidiyor."
7,008,"{{TAG:0003:0001:}}Does that party popper mean
there's a celebration going on?{{TAG:0007:0000:14000000}}
You seem very festive today!","{{TAG:0003:0001:}}¿Eso es un cañón de confeti?
{{TAG:0007:0000:14000000}}¿Acaso hay alguna fiesta hoy?
{{TAG:0007:0000:14000000}}¡Si es así, {{TAG:0007:0000:0A000000}}diviértete mucho!","{{TAG:0003:0001:}}Un pétard ? Il y a une fête
aujourd'hui ? {{TAG:0007:0000:14000000}}Tu as l'air d'humeur
à faire la nouba !","{{TAG:0003:0001:}}Quel grazioso sparacoriandoli mi
fa pensare che ci sia una festa oggi.
{{TAG:0007:0000:14000000}}In effetti, sei molto festaiol{{TAG:000E:0006:02006F0002006100}}!","{{TAG:0003:0001:}}Was hast du denn da?{{TAG:0007:0000:14000000}} Partyknaller?{{TAG:0007:0000:14000000}}
Ist hier irgendwo eine Feier?","{{TAG:0003:0001:}}O parti patlatıcısı bir kutlama
olduğu anlamına mı geliyor?{{TAG:0007:0000:14000000}}
Bugün çok şen görünüyorsun!"
8,009,"{{TAG:0003:0001:}}Oooh!{{TAG:0007:0000:14000000}} You have bubbles!{{TAG:0000:0004:}}Watching bubbles ride the breeze{{TAG:0007:0000:08000000}}
makes me feel like I could float
away with happiness too!","{{TAG:0003:0001:}}¡Ay, {{TAG:0007:0000:0A000000}}si tienes un lanzapompas!
{{TAG:0007:0000:14000000}}¡Con lo que me gustan!{{TAG:0000:0004:}}{{TAG:0003:0004:}}Me da mucha sensación de calma
ver cómo las burbujas cabalgan
en la brisa{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.","{{TAG:0003:0001:}}Oh, mazette ! Des bulles !{{TAG:0000:0004:}}J'aime regarder virevolter les bulles
dans le vent...{{TAG:0007:0000:0F000000}} {{TAG:0003:0004:}}Leur chorégraphie
irisée me transporte toujours...","{{TAG:0003:0001:}}Oh, caspiterina!{{TAG:0007:0000:14000000}} Uno sparabolle!{{TAG:0000:0004:}}Guardare le bolle{{TAG:0007:0000:0A000000}} trasportate
dal vento{{TAG:0007:0000:05000000}} mi fa sentire{{TAG:0007:0000:0F000000}} {{TAG:0003:0004:}}leggera,
libera e feliiice!","{{TAG:0003:0001:}}Oh, Seifenblasen!{{TAG:0000:0004:}}{{TAG:0003:0004:}}Die mag ich sehr gerne, besonders
wenn ein leichter Wind weht und
sie durch die Luft wirbeln!","{{TAG:0003:0001:}}Ooo!{{TAG:0007:0000:14000000}} Baloncukların var!{{TAG:0000:0004:}}Rüzgârda
süzülmelerini izlemek{{TAG:0007:0000:08000000}} beni de
mutluluktan uçuracakmış gibi yapıyor!"
9,010,"{{TAG:0003:0001:}}That pinwheel looks like so much
fun!{{TAG:0007:0000:1E000000}} {{TAG:0003:000D:}}But staring at it too long makes
me dizzy.","{{TAG:0003:0001:}}¡Qué molinete más gracioso!
{{TAG:0007:0000:14000000}}Aunque si te pasas el día mirándolo,
{{TAG:0007:0000:0A000000}}{{TAG:0003:000D:}}¡seguro que te mareas y todo!","{{TAG:0003:0001:}}Hi hi ! Un moulin,{{TAG:0007:0000:0A000000}} c'est amusant !
{{TAG:0007:0000:1E000000}}{{TAG:0003:000D:}}Mais ça me donne le tournis de le
regarder...","{{TAG:0003:0001:}}Quella girandola {{TAG:0007:0000:0A000000}}mette allegria solo
a guardarla!{{TAG:0007:0000:1E000000}} {{TAG:0003:000D:}}Ma se la fisso troppo
a lungo... mi gira la testa!","{{TAG:0003:0001:}}Oh, wie lustig, du hast ein Windrad!{{TAG:0007:0000:1E000000}}
{{TAG:0003:000D:}}Puh, aber mir wird's ganz anders,
wenn ich es zu lange ansehe...","{{TAG:0003:0001:}}Rüzgâr gülü çok eğlenceli
görünüyor!{{TAG:0007:0000:1E000000}} {{TAG:0003:000D:}}Ama uzun bakınca
başım dönüyor."
