index,codepoint,char,page,x,y,width,height,byte10,byte11,byte12,tail_hex
0,33,!,1,554,678,6,15,0,11,6,000000
1,34,"""",1,764,469,6,13,0,11,6,000000
2,35,#,1,705,509,9,15,0,11,9,000000
3,36,$,1,383,826,9,16,0,12,9,000000
4,37,%,0,180,1008,14,15,0,11,14,000000
5,38,&,1,762,437,11,15,0,11,11,000000
6,39,',1,856,379,5,10,0,11,5,000000
7,40,(,1,515,706,6,17,0,13,6,000000
8,41,),1,820,407,6,17,0,13,6,000000
9,42,*,1,744,483,7,14,0,11,7,000000
10,43,+,1,999,228,9,11,0,7,9,000000
11,44,",",1,781,455,5,6,0,2,5,000000
12,45,-,1,411,825,6,6,0,4,6,000000
13,46,.,1,724,512,5,6,0,2,5,000000
14,47,/,1,231,992,6,16,0,12,6,000000
15,48,0,1,960,254,9,15,0,11,9,000000
16,49,1,1,480,735,9,15,0,11,9,000000
17,50,2,1,658,551,9,15,0,11,9,000000
18,51,3,1,315,900,9,15,0,11,9,000000
19,52,4,1,570,645,9,15,0,11,9,000000
20,53,5,1,825,390,9,15,0,11,9,000000
21,54,6,1,1005,206,9,16,0,12,9,000000
22,55,7,1,800,415,9,15,0,11,9,000000
23,56,8,1,252,961,9,15,0,11,9,000000
24,57,9,1,505,706,9,15,0,11,9,000000
25,58,:,1,752,483,5,12,0,8,5,000000
26,59,;,1,271,964,5,12,0,8,5,000000
27,60,<,1,450,775,9,12,0,8,9,000000
28,61,=,1,278,955,9,10,0,6,9,000000
29,62,>,1,658,567,9,12,0,8,9,000000
30,63,?,1,237,976,9,15,0,11,9,000000
31,64,@,1,255,929,12,15,0,11,12,000000
32,65,A,1,210,991,10,16,0,12,10,000000
33,66,B,1,675,531,10,15,0,11,10,000000
34,67,C,1,225,974,11,15,0,11,11,000000
35,68,D,1,510,674,12,15,0,11,12,000000
36,69,E,1,885,326,9,15,0,11,9,000000
37,70,F,1,735,483,8,15,0,11,8,000000
38,71,G,1,765,419,12,15,0,11,12,000000
39,72,H,1,480,719,11,15,0,11,11,000000
40,73,I,1,225,1008,5,15,0,11,5,000000
41,74,J,1,325,903,6,15,0,11,6,000000
42,75,K,1,930,276,10,15,0,11,10,000000
43,76,L,1,720,496,9,15,0,11,9,000000
44,77,M,1,240,931,13,15,0,11,13,000000
45,78,N,1,255,945,11,15,0,11,11,000000
46,79,O,1,495,676,13,15,0,11,13,000000
47,80,P,1,975,241,9,15,0,11,9,000000
48,81,Q,1,750,421,13,15,0,11,13,000000
49,82,R,1,281,925,10,15,0,11,10,000000
50,83,S,1,536,670,10,15,0,11,10,000000
51,84,T,1,435,781,9,15,0,11,9,000000
52,85,U,1,510,690,11,15,0,11,11,000000
53,86,V,1,690,526,9,15,0,11,9,000000
54,87,W,1,360,811,13,15,0,11,13,000000
55,88,X,1,945,271,9,15,0,11,9,000000
