index,label,English,French,German,Italian,Spanish,Turkish
0,ScrambleForBear_00,It's my bear!,C'est mon nounours !,Das ist mein Teddy!,"Ehi, è il mio orsacchiotto!",¡Es mi osito!,O benim ayıcığım!
1,ScrambleForBear_01,No! This is my teddy!,Non ! C'est MON nounours !,Nein! Das ist MEIN Teddy!,Ti sbagli! Questo è il mio orsacchiotto!,¡No! ¡Es mío!,Hayır! O benim oyuncak ayım!
2,ScrambleForBear_02,"{TAG_1}, your one looks
nothing like this!","Ton nounours ne ressemble pas à celui-là,
{TAG_1} !","Deiner sieht ganz anders aus,
{TAG_1}!","{TAG_1}, il tuo orsacchiotto
non somiglia per niente a questo qui!","¡Tu osito no se parece en nada
a este, {TAG_1}!","{TAG_1}, seninki buna
hiç benzemiyor!"
3,ScrambleForBear_03,Yes it does! YOUR bear looks nothing like this!,"Bien sûr que si, {TAG_1} ! C'est le tien
qui ne ressemble pas du tout à ça !",Gar nicht! DEINER sieht ganz anders aus!,"E invece sì! Il TUO non somiglia a questo
nemmeno un po'!","¡Claro que sí! ¡El tuyo es el que
no se parece!","Benzemiyor da ne demek!
Asıl SENİN ayın buna benzemiyor!"
4,ScrambleForBear_04,You know nothing about bears!,"Tu ne comprends même pas l'importance
de ce nounours, {TAG_1} !",Du hast doch gar keine Ahnung von Teddys!,Non capisci niente di orsi!,¡Qué sabrás tú de ositos!,Ayılardan hiç anlamıyorsun!
5,ScrambleForBear_05,"No, YOU know nothing about teddies!","Et toi, alors ! Qu'est-ce que tu comprends
aux nounours ?","Nein, DU hast keine Ahnung von Teddys!",Non capisci niente di orsacchiotti!,¡Pues anda que tú!,"Hayır, asıl SEN oyuncak ayılardan anlamıyorsun!"
6,ScrambleForBear_06,"{TAG_1}, you're going to rip it!","Si on déchire le nounours, ça sera de ta faute,
{TAG_1} !","{TAG_1}, du machst ihn noch kaputt!","{TAG_1}, così lo rompi!","¡{TAG_1}, lo vas a romper!","{TAG_1}, yırtacaksın onu!"
7,ScrambleForBear_07,"You're the one that's pulling, not me!","Non ! Ça sera de TA faute, {TAG_1} !","DU ziehst doch dran, nicht ich!","Sei tu che lo stai tirando, non io!","¡Tú eres quien está tirando, no yo!","Çeken sensin, ben değil!"
8,ScrambleForBear_08,I'm not giving it to YOU!,Je ne te laisserai jamais ce nounours !,Jetzt lass sofort meinen Teddy los!,Non te lo darò mai!,¡No te lo voy a dar!,SANA vermeyeceğim!
9,ScrambleForBear_09,"Me neither! You'll never take my teddy away
from me!","Et moi, donc ! Jamais je ne te le laisserai !",Lass du den Teddy los! Das ist MEINER!,"Neanch'io! Non mi separerò mai
dal mio orsacchiotto!","¡Ni yo a ti! ¡Es mi osito y no me lo puedes
quitar!","Ben de vermem! Oyuncak ayımı benden
asla alamazsın!"
10,ScrambleForBear_10,I found him FIRST!,C'est moi qui l'ai trouvé en premier !,Ich hab ihn zuerst gesehen!,L'ho trovato prima io!,¡Yo lo vi primero!,Onu İLK ben buldum!
11,ScrambleForBear_11,"Well, I touched him LAST!","Oui, mais moi, je l'ai touché avant toi !",Und ich hab ihn mir zuerst GESCHNAPPT!,"Beh, l'ultima persona che lo ha
toccato sono io!",¡Pues yo lo he tocado antes!,Ama ona EN SON ben dokundum!
12,ScrambleForBear_12,This bear belongs in my bed with me!,"Je vais dormir en serrant ce nounours dans mes
bras !",Ich brauch den Teddy zum Einschlafen!,"Il posto di questo orsacchiotto è a letto
accanto a me!",¡No puedo dormir sin este osito a mi lado!,"Bu ayıcığın yeri benim yatağımda, yanımda!"
13,ScrambleForBear_13,NO! Teddy belongs with me!,"Sûrement pas ! C'est moi qui vais dormir en
serrant ce nounours dans mes bras !",Nein! ICH nehm den Teddy mit ins Bett!,"NO! Il posto giusto per questo orsacchiotto
è tra le mie braccia!",¡NO! ¡Te digo que es mío!,HAYIR! Oyuncak ayının yeri benim yanım!
14,ScrambleForBear_14,"What's that, Mr Bear? You don't
like {TAG_1}?","Ce nounours dit qu'il te déteste,
{TAG_1} !","Was hör ich da, Bärchen? Du findest
{TAG_1} komisch?","Che c'è, mister Orsacchiotto,
non ti piace {TAG_1}?","¿Qué dice usted, señor Oso? ¿Que {TAG_1}
no le cae bien?","Ne dedin Ayıcık? {TAG_1} hoşuna
gitmiyor mu?"
15,ScrambleForBear_15,HEY! No... Teddy says he wants to be with me!,"Non, il dit qu'il te déteste, toi,
{TAG_1} !","HEY! Was redest du da? Das Bärchen
sagt, dass es bei MIR sein will!",Un momento! Orsy dice che vuole stare con me!,"¡Y un jamón! El osito dice que quiere venirse
conmigo.","HEY! Hayır... Ayıcık benimle
olmak istediğini söylüyor!"
