label,index,deu,eng,esp,fra,ita,nld,tur
CharaSerif_00_M,0,Das ist es! Das Sushi-Spielfeld\nfür den \u000E\u0000\u0003\u0004ﾑ＞Knobelkampf\u000E\u0000\u0003\u0004\u0000＀! Gefällt's dir?,Here it is! The sushi field for \u000E\u0000\u0003\u0004ﾑ＞Puzzle Matches\u000E\u0000\u0003\u0004\u0000＀!,"¡A ver qué te parece esto! ¡La pista de sushi,\nescenario de los \u000E\u0000\u0003\u0004ﾑ＞combates de ingenio\u000E\u0000\u0003\u0004\u0000＀!",Nous y voilà ! Voici le domaine des sushis\ndédié aux \u000E\u0000\u0003\u0004ﾑ＞combats casse-tête\u000E\u0000\u0003\u0004\u0000＀.,Eccoci qua! Questa è la dimensione sushi\nper le \u000E\u0000\u0003\u0004ﾑ＞sfide rompicapo\u000E\u0000\u0003\u0004\u0000＀!,Dit is het sushiveld voor \u000E\u0000\u0003\u0004ﾑ＞puzzelgevechten\u000E\u0000\u0003\u0004\u0000＀!,İşte burada! \u000E\u0000\u0003\u0004ﾑ＞Bulmaca Maçları\u000E\u0000\u0003\u0004\u0000＀ için suşi alanı!
CharaSerif_00_F,1,,,,,,,
CharaSerif_01_M,2,"Hier musst du alle Sushi in \u000E\u0000\u0003\u0004껿＀5 Zügen\u000E\u0000\u0003\u0004\u0000＀ sammeln,\njeweils \u000E\u0000\u0003\u0004껿＀alle gleichfarbigen Teller\u000E\u0000\u0003\u0004\u0000＀ zugleich.","Your job is to take the sushi here in \u000E\u0000\u0003\u0004쳿Ｏ5 moves\u000E\u0000\u0003\u0004\u0000＀,\none string of \u000E\u0000\u0003\u0004쳿Ｏsame-colored plates \u000E\u0000\u0003\u0004\u0000＀at a time.","Coge todo el sushi en \u000E\u0000\u0003\u0004껿＀5 movimientos\u000E\u0000\u0003\u0004\u0000＀,\n¡y \u000E\u0000\u0003\u0004껿＀los platos del mismo color, a la vez\u000E\u0000\u0003\u0004\u0000＀!",Prends tous les sushis en \u000E\u0000\u0003\u0004껿＀5 actions\u000E\u0000\u0003\u0004\u0000＀ en reliant\n\u000E\u0000\u0003\u0004껿＀d'un coup\u000E\u0000\u0003\u0004\u0000＀ les \u000E\u0000\u0003\u0004껿＀assiettes de même couleur\u000E\u0000\u0003\u0004\u0000＀.,Prendi questo sushi in \u000E\u0000\u0003\u0004껿＀5 mosse\u000E\u0000\u0003\u0004\u0000＀. Collega tutti\n\u000E\u0000\u0003\u0004껿＀i piatti dello stesso colore in una volta\u000E\u0000\u0003\u0004\u0000＀.,Werk alle sushi weg in \u000E\u0000\u0003\u0004껿＀5 zetten\u000E\u0000\u0003\u0004\u0000＀. Verbind per\nzet alle borden met \u000E\u0000\u0003\u0004껿＀dezelfde kleur\u000E\u0000\u0003\u0004\u0000＀.,"Görevin, buradaki tüm suşiyi \u000E\u0000\u0003\u0004껿Ｏ5 hamlede\u000E\u0000\u0003\u0004\u0000＀\ntoplamak. Her hamlede \u000E\u0000\u0003\u0004껿Ｏaynı renkli tabakları\u000E\u0000\u0003\u0004\u0000＀\nzincirleyip al."
CharaSerif_01_F,3,,,,,,,
CharaSerif_02_M,4,"Wart mal! Ich zeig dir rasch, wie's geht...","Here, I'll show you how it's done!","Atiende, que te voy a enseñar cómo hacerlo.","Tiens, je vais te montrer comment faire !",Ti mostro brevemente come fare.,Ik zal het even voordoen!,"Bak, nasıl yapıldığını göstereceğim!"
CharaSerif_02_F,5,,,,,,,
CharaSerif_03_M,6,Wow! Ich werd verrückt!\nDas klappt ja tatsächlich in nur \u000E\u0000\u0003\u0004껿＀5 Zügen\u000E\u0000\u0003\u0004\u0000＀!,Whoa! You really do need only \u000E\u0000\u0003\u0004쳿Ｏ5 moves\u000E\u0000\u0003\u0004\u0000＀!,¡Excelente! ¡Solo hacen falta \u000E\u0000\u0003\u0004껿＀5 movimientos\u000E\u0000\u0003\u0004\u0000＀!,Ouah ! C'est vraiment possible de tout\nprendre en seulement \u000E\u0000\u0003\u0004껿＀cinq actions\u000E\u0000\u0003\u0004\u0000＀ !,Wow! Puoi davvero prenderlo tutto\nin \u000E\u0000\u0003\u0004껿＀5 mosse\u000E\u0000\u0003\u0004\u0000＀!,Wauw! Je hebt echt maar \u000E\u0000\u0003\u0004껿＀5 zetten \u000E\u0000\u0003\u0004\u0000＀nodig!,Vay be! Gerçekten de sadece \u000E\u0000\u0003\u0004쳿Ｏ5 hamle\u000E\u0000\u0003\u0004\u0000＀ gerekiyor!
CharaSerif_03_F,7,,Whoa! You really do need only \u000E\u0000\u0003\u0004쳿Ｏ5 moves\u000E\u0000\u0003\u0004\u0000＀!,,,,,Vay be! Gerçekten de sadece \u000E\u0000\u0003\u0004쳿Ｏ5 hamle\u000E\u0000\u0003\u0004\u0000＀ gerekiyor!
CharaSerif_04_M,8,"Ach ja, aber das Zeitlimit wird immer knapper!\nAlso musst du wirklich schnell sein...","Yep! But the time limit gets smaller and\nsmaller, so you gotta figure it out quick.","Cada vez tendrás menos tiempo para resolver\nel puzle, así que tendrás que estar ágil.","Oui, mais il y a de moins en moins de temps,\ndonc il faut penser de plus en plus vite !",Già! Ma il tempo limite continua a ridursi ed\nè sempre più difficile prenderlo tutto.,"Je krijgt steeds minder tijd, dus het wordt\nsteeds lastiger om ze allemaal te pakken.",Aynen! Ama süre sınırı gittikçe daha da\nkısalıyor; o yüzden çabucak çözmen gerek.
CharaSerif_04_F,9,,,,,,,
