entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"I'm so glad you've grown up
to be all strong and
independent.

But you're still my little
baby.","Estoy muy orgullosa de ver
lo fuerte e independiente
que eres.

Aunque en el fondo siempre
serás mi pequeñuel{{TAG:000E:0006:02006F0002006100}}.","Tu as tellement grandi, ces
années sont passées comme
un éclair !

Mais pour moi, tu seras
toujours {{TAG:000E:0006:20006D006F006E002000700065007400690074002000670061007200E7006F006E001E006D00610020007000650074006900740065002000660069006C006C006500}} !","sono contenta di vederti
così grande e indipendente.

Anche se, per una mamma,
i figli restano sempre piccoli.","Ich bin froh, dass du so stark
und selbstständig geworden
bist! Aber für mich wirst du
trotzdem immer mein süßes
Baby bleiben.","Büyüyüp güçlü ve kendi ayakları
üstünde duran biri olmana çok
seviniyorum.

Ama benim gözümde hâlâ bebeğimsin."
1,002,"In honor of your birthday,
I've prepared a full-course
meal.

Yes, I know you're not
actually here.","Para celebrar tu cumple
he preparado una tarta
de chocolate de tres pisos.

Sí, ya sé que no estarás
aquí para celebrarlo.","Je me suis surpassée en
cuisine pour célébrer ton
anniversaire...
Je sais, tu n'es pas là pour
te régaler avec nous, mais
nous pensons fort à toi !","per festeggiare il tuo
compleanno, ho preparato
una bella cenetta.

Sì, lo so che non abiti più
qui da noi.","Weil du Geburtstag hast,
habe ich ein ganz aufwendi-
ges Essen gekocht.
Und ja, ich weiß, dass du gar
nicht hier bist, um es zu
essen...","Doğum günün şerefine baştan sona
bir ziyafet hazırladım.

Evet, biliyorum; burada değilsin."
2,003,"Your dad actually helped me
with the housework today.

If only it could always be like
this.","Tu padre me ha llevado hoy
a comer a un restaurante
encantador.

¡Ojalá hubiese un Día de la
Madre todas las semanas!","Je ne sais pas quelle mouche
a piqué ton père aujourd'hui,
mais voilà qu'il m'aide dans
les tâches ménagères... Si
seulement la fête des mères
avait lieu tous les jours...","oggi tuo padre mi ha aiutato
a fare le faccende.

Il miglior regalo che mi
potesse mai fare!","Weil heute Muttertag ist, ist
dein Vater mir heute bei der
Hausarbeit zur Hand
gegangen.

Wenn er das nur öfter täte...","Baban bugün ev işlerine gerçekten
yardım etti.

Keşke her gün böyle olsa!"
3,004,"All those Mother's Day
presents you've given me
over the years...

I've kept each and every one
of them. ","¿Te acuerdas de todos los
regalos que me has hecho
por el Día de la Madre?

Pues los he guardado todos,
con mucho amor y cariño.","J'ai conservé tous les
cadeaux de fête des mères
que tu m'as offerts au fil
des années.
Ils me rappellent de si
tendres souvenirs...","ti ricordi tutti i regali che
mi hai fatto negli anni
per la Festa della mamma?

Li ho conservati tutti,
dal primo all'ultimo.","All die Geschenke, die du mir
über die Jahre zum Mutter-
tag gegeben hast...

Ich habe noch jedes einzelne.","Yıllar boyunca Anneler Günü'nde
verdiğin bütün hediyeleri...

Tek tek hepsini sakladım."
4,005,"If things get tough, you can
always come home.

Your dad's too old fashioned
to say it himself.","Si algún día se tuercen las
cosas, siempre tendrás las
puertas de casa abiertas.

Tu padre opina lo mismo,
pero no quiere reconocerlo.","Ton père ne trouve pas les
mots pour te le dire, mais si
tu traverses des moments
difficiles, tu sais que tu peux
toujours venir passer
quelques jours chez nous...","se mai avessi un problema,
sai che puoi tornare
ad abitare qui da noi.

Tuo padre non lo dice,
ma lo pensa anche lui.","Wenn du unglücklich bist,
kannst du jederzeit zu uns
zurückkommen, sagt Papa!

Es ist ihm wohl peinlich, dir
das persönlich zu sagen.","İşler zorlaşırsa her zaman eve
dönebilirsin.

Baban eski kafalıdır; bunu kendi
ağzıyla söyleyemez."
5,006,"How ya doing? Made any
friends? Eating enough?

Your mom is always
worrying about you!","¿Cómo estás? ¿Ya has hecho
amigos? ¿Comes bien?

Tu madre no para de hablar
de ti.","Comment ça va ? Tu
t'amuses bien avec tes
amis ? Tu te prépares de
bons repas ? Raconte-nous :
ta mère se fait tellement
de soucis pour toi !","come stai? Hai nuovi amici?
Mangi assai? Mangi bene?

Tua madre si preoccupa
sempre per te!","Wie geht es dir? Hast du
viele neue Freunde?
Verdienst du gut?
Deine Mutter macht sich
immer ganz viele Sorgen
um dich.","Nasılsın? Arkadaş edindin mi?
Doğru düzgün yiyor musun?

Annen seni hep merak ediyor!"
6,007,"Your dad and I are so glad
you're our kid.

We're very lucky.","Tu padre y yo estamos
muy orgullosos de ti.

¡Somos muy afortunados
de tener u{{TAG:000E:0006:02006E0004006E006100}} hij{{TAG:000E:0006:02006F0002006100}} así!","Ton papounet et moi
sommes très fiers d'avoir
{{TAG:000E:0006:160075006E002000660069006C0073002000740065006C001E0075006E0065002000660069006C006C0065002000740065006C006C006500}} que toi.

Nous avons beaucoup de
chance !","tuo padre ed io siamo
orgogliosi di avere
{{TAG:000E:0006:120075006E0020006600690067006C0069006F00140075006E00610020006600690067006C0069006100}} come te.

Possiamo considerarci
dei genitori fortunati.","Dein Vater und ich sind
überglücklich, dich zu haben.

Wenn es dich nicht gäbe,
müsstest du geboren
werden!","Babanla ikimiz senin çocuğumuz
olmana çok seviniyoruz.

Gerçekten çok şanslıyız."
7,008,"Your dad and I are so glad
you're our kid.

We're very lucky.","Tu padre y yo estamos
muy orgullosos de ti.

¡Somos muy afortunados
de tener u{{TAG:000E:0006:02006E0004006E006100}} hij{{TAG:000E:0006:02006F0002006100}} así!","Ton papounet et moi
sommes très fiers d'avoir
{{TAG:000E:0006:160075006E002000660069006C0073002000740065006C001E0075006E0065002000660069006C006C0065002000740065006C006C006500}} que toi.

Nous avons beaucoup de
chance !","i tuoi genitori sono tanto
orgogliosi di te!

Ci sentiamo molto fortunati.","Dein Vater und ich sind
überglücklich, dich zu haben.

Wenn es dich nicht gäbe,
müsstest du geboren
werden!","Babanla ikimiz senin çocuğumuz
olmana çok seviniyoruz.

Gerçekten çok şanslıyız."
8,009,"What's it like living on your
own for the first time?

I'm sending you a little
housewarming gift.","¿Qué se siente al
independizarse?

Te mando una cosita para
que te sientas como en casa.","Tu trouves tes repères dans
ta nouvelle vie ? Ce n'est pas
trop dur au quotidien de
te débrouiller tout{{TAG:000E:0006:000002006500}} seul{{TAG:000E:0006:000002006500}} ?
Tiens, un petit cadeau pour
les jours de cafard !","come ti senti ad abitare
lontano da casa per la prima
volta?

Ecco un regalo per iniziare.
Può sempre servirti!","Wie ist es so, nicht mehr zu
Hause bei den Eltern zu
wohnen? Hier ist ein kleines
Einweihungsgeschenk für
die erste eigene Wohnung!","İlk kez tek başına yaşamak nasıl
bir duygu?

Sana küçük bir ev hediyesi
gönderiyorum."
9,010,"I can't help but be a bit
nervous about your first
solo journey.

I'm sending you something to
help you along.","Como es la primera vez que
vas a vivir tú sol{{TAG:000E:0006:02006F0002006100}}, estoy
algo preocupada.

Te mando una cosilla para
que no nos eches de menos.","Je ne peux pas m'empêcher
de me ronger les sangs en
t'imaginant tout{{TAG:000E:0006:000002006500}} seul{{TAG:000E:0006:000002006500}}...
J'espère que ce que je
t'envoie t'aidera à tenir
le coup !","devo ammettere che questo
tuo primo viaggio lontano
da casa mi ha reso nervosa.

Ecco un regalo. Spero che
possa servirti!","Du, ganz allein in der großen,
weiten Welt... Ich bin schon
ein bisschen nervös.

Hier ist etwas, das du sicher
gebrauchen kannst!","İlk kez tek başına yolculuğa
çıkmana biraz endişelenmeden
edemiyorum.

İşine yarar diye sana bir şey
gönderiyorum."
