entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:0003:000F:}}Oh, you didn't forget, did you?{{TAG:0007:0000:0A000000}}
I asked you to bring me any
kind of {{TAG:0000:0003:0200}}fruit{{TAG:0000:0003:FFFF}}, {{TAG:0005:0008:}}.","{{TAG:0003:000F:}}Vaya, ¿no me digas que ya se te ha
olvidado, {{TAG:0005:0008:}}?{{TAG:0007:0000:0A000000}} Te he pedido
que me traigas una {{TAG:0000:0003:0200}}fruta{{TAG:0000:0003:FFFF}}.","{{TAG:0003:000F:}}Oh, t'as oublié ?{{TAG:0007:0000:0A000000}} Je t'ai demandé de
m'apporter un {{TAG:0000:0003:0200}}fruit{{TAG:0000:0003:FFFF}}... {{TAG:0007:0000:0F000000}}n'importe
lequel. C'est pas compliqué,{{TAG:0007:0000:08000000}} si ?","{{TAG:0003:000F:}}Oh, non ti sei dimenticat{{TAG:000E:0006:02006F0002006100}}, vero?
{{TAG:0007:0000:0A000000}}Ti avevo chiesto di portarmi
un {{TAG:0000:0003:0200}}frutto{{TAG:0000:0003:FFFF}} qualsiasi, {{TAG:0005:0008:}}.","{{TAG:0003:000F:}}Oh, du hast es doch nicht
vergessen, oder?{{TAG:0007:0000:14000000}} Du wolltest mir
eine {{TAG:0000:0003:0200}}Frucht{{TAG:0000:0003:FFFF}} bringen, {{TAG:0005:0008:}}.","{{TAG:0003:000F:}}Unutmadın, değil mi? Bana{{TAG:0007:0000:0A000000}}
herhangi bir meyve getirecektin{{TAG:0000:0003:0200}}{{TAG:0000:0003:FFFF}},
{{TAG:0005:0008:}}."
1,002,"{{TAG:0003:0024:}}Heh. Stop being such a kidder,
{{TAG:0005:0008:}}. You totally remember.{{TAG:0007:0000:0A000000}}
Bring me any kind of {{TAG:0000:0003:0200}}fruit{{TAG:0000:0003:FFFF}}.","{{TAG:0003:0024:}}Je, je, muy gracios{{TAG:000E:0006:02006F0002006100}}, {{TAG:0005:0008:}}.
Claro que te acuerdas de que tienes
que traerme una {{TAG:0000:0003:0200}}fruta{{TAG:0000:0003:FFFF}}.","{{TAG:0003:0024:}}Hé, arrête de me faire marcher,
{{TAG:0005:0008:}}. Tu te rappelles, non ?{{TAG:0007:0000:0A000000}}
Apporte-moi n'importe quel {{TAG:0000:0003:0200}}fruit{{TAG:0000:0003:FFFF}}.","{{TAG:0003:0024:}}Eh eh, smettila di scherzare,
{{TAG:0005:0008:}}. Ti ricordi di sicuro.{{TAG:0007:0000:0A000000}}
Portami un {{TAG:0000:0003:0200}}frutto{{TAG:0000:0003:FFFF}} qualsiasi.","{{TAG:0003:0024:}}Ach komm, du weißt es doch noch,
{{TAG:0005:0008:}}.{{TAG:0007:0000:14000000}} Ich wollte irgendeine
{{TAG:0000:0003:0200}}Frucht {{TAG:0000:0003:FFFF}}haben. Egal welche.","{{TAG:0003:0024:}}Heh. Şakayı bırak, {{TAG:0005:0008:}}. Elbette
hatırlıyorsun.{{TAG:0007:0000:0A000000}} Bana herhangi bir
meyve{{TAG:0000:0003:0200}} getir{{TAG:0000:0003:FFFF}}."
2,003,"{{TAG:0003:0009:}}What, having a hard time finding
{{TAG:000E:0002:}}{{TAG:0000:0003:0200}}{{TAG:0011:0003:0000}}{{TAG:0000:0003:FFFF}}?{{TAG:0007:0000:14000000}}
Well, keep at it, OK?","{{TAG:0003:0009:}}¿Qué tal, no encuentras por ningún
lado {{TAG:000E:0002:}}{{TAG:0000:0003:0200}}{{TAG:0011:0003:0000}}{{TAG:0000:0003:FFFF}}?{{TAG:0007:0000:14000000}}
No te rindas tan pronto.","{{TAG:0003:0009:}}Qu'est-ce que tu dis ? {{TAG:0007:0000:0F000000}}Trouver
{{TAG:000E:0002:}}{{TAG:0000:0003:0200}}{{TAG:0011:0003:0000}} {{TAG:0000:0003:FFFF}}est
plus dur que prévu ?
Eh ben persévère, {{TAG:0005:0008:}}.","{{TAG:0003:0009:}}Non riesci a trovare
{{TAG:000E:0008:00CD040075006E00060075006E0061000000}} {{TAG:0000:0003:0200}}{{TAG:0011:0003:0000}}{{TAG:0000:0003:FFFF}}?{{TAG:0007:0000:14000000}}
Beh, non mollare, OK?","{{TAG:0003:0009:}}Gar nicht so einfach, {{TAG:000E:0008:00CD0A00650069006E0065006E000800650069006E0065000600650069006E00}}
{{TAG:0000:0003:0200}}{{TAG:0011:0003:0000}} {{TAG:0000:0003:FFFF}}zu finden,
was?{{TAG:0007:0000:14000000}} Nur nicht aufgeben!","{{TAG:0003:0009:}}Ne oldu, {{TAG:000E:0002:}}{{TAG:0000:0003:0200}}{{TAG:0011:0003:0000}}{{TAG:0000:0003:FFFF}}{{TAG:0007:0000:14000000}} bulmakta zorlanıyor
musun? Pes etme, tamam mı?"
3,004,"{{TAG:0003:002B:}}Please, {{TAG:0005:0008:}}! {{TAG:0007:0000:0A000000}}This obsession
with {{TAG:0000:0003:0200}}perfect fruit{{TAG:0000:0003:FFFF}} isn't fading!{{TAG:0000:0004:}}{{TAG:0003:000D:}}I need just one piece, so find some
soon, OK? I'm going fruit crazy,
{{TAG:0005:0007:}}!","{{TAG:0003:002B:}}¡{{TAG:000E:0003:}}{{TAG:0005:0008:}}! {{TAG:0007:0000:0A000000}}¡Solo de soñar con una
{{TAG:0000:0003:0200}}fruta deliciosa{{TAG:0000:0003:FFFF}} vive
{{TAG:000E:0001:}}{{TAG:0005:001F:00CD}}!
{{TAG:0003:000D:}}¡Tráeme una, {{TAG:0005:0007:}}!","{{TAG:0003:002B:}}Hé, {{TAG:0005:0008:}} ! {{TAG:0007:0000:0A000000}}Je rêve de manger
un {{TAG:0000:0003:0200}}fruit parfait{{TAG:0000:0003:FFFF}}...{{TAG:0007:0000:0F000000}} Mais ce rêve ne
me nourrit pas...
{{TAG:0003:000D:}}Alors il m'en faut un pour de vrai !
C'est urgent, là, {{TAG:0005:0007:}} !","{{TAG:0003:002B:}}Ti prego, {{TAG:0005:0008:}}!
{{TAG:0007:0000:0A000000}}Non ne posso più di sognare.
Voglio un {{TAG:0000:0003:0200}}frutto perfetto{{TAG:0000:0003:FFFF}}!
{{TAG:0003:000D:}}Me ne basta uno... Ma presto,
por favor! Sto per avere un attacco
di fruttomania, {{TAG:0005:0007:}}!","{{TAG:0003:002B:}}Bitte, {{TAG:0005:0008:}}! {{TAG:0007:0000:14000000}}Es reicht mir
nicht, immer nur von einer
{{TAG:0000:0003:0200}}1a-Frucht {{TAG:0000:0003:FFFF}}zu träumen.
{{TAG:0003:000D:}}Ich werde noch ganz verrückt,
wenn du mir nicht bald eine
bringst, {{TAG:0005:0007:}}!","{{TAG:0003:002B:}}Lütfen, {{TAG:0005:0008:}}!{{TAG:0007:0000:0A000000}} Kusursuz meyve{{TAG:0000:0003:0200}}
takıntım{{TAG:0000:0003:FFFF}} geçmiyor! Bir{{TAG:0000:0004:}}{{TAG:0003:000D:}} tane
yeter; çabuk bul, olur mu? Meyve
delisine döndüm, {{TAG:0005:0007:}}!"
4,005,"{{TAG:0003:0009:}}Sorry, {{TAG:0005:0008:}}. My fruit frenzy
has passed. I don't need it now.{{TAG:0000:0004:}}Next time see if you can bring it
faster, OK, {{TAG:0005:0007:}}?","{{TAG:0003:0009:}}Lo siento, {{TAG:0005:0008:}}, se me han
quitado las ganas de fruta.{{TAG:0000:0004:}}Intenta tardar menos la próxima
vez, ¿vale, {{TAG:0005:0007:}}?","{{TAG:0003:001B:}}Désolé, {{TAG:0005:0008:}}. Tu arrives trop
tard, {{TAG:0007:0000:0F000000}}un autre admirateur m'a déjà
apporté l'offrande demandée !
{{TAG:0003:0024:}}Donc tu peux garder le fruit que tu
as trouvé pour moi,{{TAG:0007:0000:08000000}} mais sache que
tu as progressé dans mon estime.
{{TAG:0003:0001:}}Ça suffit sans doute à te consoler,
mais la prochaine fois, sois plus
rapide pour éviter les déconvenues.","{{TAG:0003:0009:}}Scusa, {{TAG:0005:0008:}}.
L'attacco di fruttomania è passato.
Non ne ho più bisogno adesso.
Vedi di fare più in fretta la prossima
volta, OK, {{TAG:0005:0007:}}?","{{TAG:0003:0009:}}Tut mir leid, {{TAG:0005:0008:}}.{{TAG:0007:0000:14000000}} Mein
Obsthunger hat sich schon
wieder verflüchtigt.
Nächstes Mal musst du dich
ein bisschen mehr beeilen,
{{TAG:0005:0007:}}.","{{TAG:0003:0009:}}Üzgünüm, {{TAG:0005:0008:}}. Meyve çılgınlığım
geçti. Artık ihtiyacım yok. Bir{{TAG:0000:0004:}}
dahaki sefere biraz daha hızlı
getir, olur mu, {{TAG:0005:0007:}}?"
5,006,"{{TAG:0003:0025:}}Oh boy! I can hardly wait to see
what you brought, {{TAG:0005:0008:}}!","{{TAG:0003:0025:}}¡A ver, a ver, {{TAG:0005:0008:}}!","{{TAG:0003:0025:}}Je suis pressé de découvrir ce que
tu m'as amené, {{TAG:0005:0008:}} !","{{TAG:0003:0025:}}Ah, non vedo l'ora di vedere cosa
mi hai portato, {{TAG:0005:0008:}}!","{{TAG:0003:0025:}}Ich bin wirklich gespannt, was du
mir mitgebracht hast, {{TAG:0005:0008:}}!","{{TAG:0003:0025:}}Aman! Ne getirdiğini görmek için
sabırsızlanıyorum, {{TAG:0005:0008:}}!"
6,007,"{{TAG:0003:0024:}}Oh, great! I was hoping I wouldn't
have to wait much longer for
something, {{TAG:0005:0008:}}!","{{TAG:0003:0024:}}¡Genial, ración extra de vitaminas,
{{TAG:0005:0008:}}!","{{TAG:0003:0024:}}Oh cool !{{TAG:0007:0000:08000000}} Enfin !{{TAG:0007:0000:08000000}} Je commençais à
m'interroger sur ton ardeur à me
combler, {{TAG:0005:0008:}} !","{{TAG:0003:0024:}}Evvai! Speravo proprio che
non ci fosse ancora tanto
da aspettare, {{TAG:0005:0008:}}!","{{TAG:0003:0024:}}Hey, super!{{TAG:0007:0000:14000000}} Ich hatte schon
befürchtet, dass ich noch
länger warten muss, {{TAG:0005:0008:}}!","{{TAG:0003:0024:}}Aa, harika! Daha fazla beklemek
zorunda kalmayacağımı umuyordum,
{{TAG:0005:0008:}}!"
7,008,"Something for me?{{TAG:0007:0000:08000000}} {{TAG:0003:0025:}}Hopefully it
wasn't too much trouble to find,
{{TAG:0005:0008:}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.","{{TAG:0003:0017:}}¿Me traes algo? {{TAG:0003:0025:}}Espero que
no te haya costado mucho
encontrarlo, {{TAG:0005:0008:}}.","{{TAG:0003:0025:}}Un truc pour moi ? J'espère que tu
as pris du plaisir à remplir cette
quête pour ton idole, {{TAG:0005:0008:}}.","Mi hai portato qualcosa?{{TAG:0003:0025:}}
Spero che non ti sia dat{{TAG:000E:0006:02006F0002006100}}
troppo disturbo, {{TAG:0005:0008:}}.","{{TAG:0003:0017:}}Du hast was für mich?{{TAG:0007:0000:14000000}}
{{TAG:0003:0025:}}Hoffentlich hat dir das nicht zu
viel Mühe gemacht, {{TAG:0005:0008:}}.","Benim için mi?{{TAG:0007:0000:08000000}}{{TAG:0003:0025:}} Umarım bulmak
seni çok uğraştırmamıştır, {{TAG:0005:0008:}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}."
8,009,"{{TAG:0003:0009:}}No? Nothing? I was hoping for
something tasty there,
{{TAG:0005:0007:}}.","{{TAG:0003:0009:}}¿No me das nada? Necesito mi
ración diaria de fruta, {{TAG:0005:0007:}}.","{{TAG:0003:0009:}}Rien ? {{TAG:0007:0000:08000000}}T'as changé d'avis ? {{TAG:0007:0000:0F000000}}Tu es
conscient{{TAG:000E:0006:000002006500}} que ça risque de me
faire de la peine, {{TAG:0005:0007:}} ?","{{TAG:0003:0009:}}No? Niente? Speravo che mi avresti
portato qualcosa di buono,
{{TAG:0005:0007:}}.","{{TAG:0003:0009:}}Nein? {{TAG:0007:0000:14000000}}Nichts?{{TAG:0007:0000:14000000}} Ich hatte mich schon
so auf was Leckeres gefreut, 
{{TAG:0005:0007:}}.","{{TAG:0003:0009:}}Yok mu? Hiçbir şey? Lezzetli bir
şey ummuştum, {{TAG:0005:0007:}}."
9,010,"{{TAG:0003:0009:}}I thought you might be serving up
some tasty stuff there. {{TAG:0007:0000:0A000000}}But I guess
not, {{TAG:0005:0008:}}.","{{TAG:0003:0009:}}Jo, pensaba que me ibas a dar
todo un manjar, {{TAG:0007:0000:0A000000}}{{TAG:0005:0008:}}.
Veo que me equivocaba.","{{TAG:0003:0009:}}Bon, j'avais déjà la bouche grande
ouverte pour accueillir ton offrande,{{TAG:0007:0000:0A000000}}
mais tant pis, {{TAG:0005:0008:}}.","{{TAG:0003:0009:}}Speravo che avessi qualcosa
di buono per me, {{TAG:0005:0008:}}.
{{TAG:0007:0000:0A000000}}Ma, a quanto pare, mi sbagliavo...","{{TAG:0003:0009:}}Ich dachte schon, du packst jetzt
die wildesten Leckereien aus. {{TAG:0007:0000:14000000}}
War wohl nichts, {{TAG:0005:0008:}}.","{{TAG:0003:0009:}}Lezzetli bir şey çıkaracaksın
sandım. Demek{{TAG:0007:0000:0A000000}} yanılmışım, {{TAG:0005:0008:}}."
