entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:0003:0025:}}My house is on your map.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}just in
case you've lost track of where
I live, {{TAG:0005:0008:}}.","{{TAG:0003:0025:}}Puedes consultar dónde está
mi casa en el mapa, flor.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}
por si no te acuerdas.","{{TAG:0003:0025:}}Ma maison est indiquée sur la
carte{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}. {{TAG:0007:0000:1E000000}}Je dis cela au cas où tu
aurais oublié où j'habite...","{{TAG:0003:0025:}}Nel caso in cui avessi dimenticato
dove vivo.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}} La mia casa è
sulla mappa, {{TAG:0005:0008:}}.","{{TAG:0003:0025:}}Mein Haus ist auf deiner Karte
vermerkt, sollte dir entfallen sein,
wo ich wohne, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}.","{{TAG:0003:0025:}}Nerede yaşadığımı unutmuş olursan diye
evim haritanda işaretli{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}, {{TAG:0005:0008:}}."
1,002,"{{TAG:0003:0025:}}You know, seeing you run around
like this.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}I bet you'd be good at
{{TAG:0005:0014:0200}} dancing.","{{TAG:0003:0025:}}Te mueves con mucha fluidez,
terroncín.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}} Seguro que bailas
{{TAG:0005:0014:0200}} divinamente.","{{TAG:0003:0025:}}À voir la grâce avec laquelle tu
marches,{{TAG:0007:0000:14000000}} je suis certaine que tu
danses merveilleusement bien.","{{TAG:0003:0025:}}Vedendoti sgambettare
così in giro.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}{{TAG:0000:0004:}}... penso che saresti
un{{TAG:000E:0006:0E0020006F007400740069006D006F000E0027006F007400740069006D006100}} ballerin{{TAG:000E:0006:02006F0002006100}}
di musica {{TAG:0005:0014:0200}}.","{{TAG:0003:0025:}}Wenn ich dich so herumeilen sehe,
frage ich mich, ob du eigentlich
{{TAG:000E:0006:2000650069006E0020006700750074006500720020005400E4006E007A00650072002400650069006E0065002000670075007400650020005400E4006E007A006500720069006E00}} bist.
Bei einem Tanzmarathon würde dir
jedenfalls nicht die Puste ausgehen!{{TAG:0007:0000:14000000}}{{TAG:0003:0002:}}
Haha!","{{TAG:0003:0025:}}Böyle koşturup durduğunu görünce{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}} bence
{{TAG:0005:0014:0200}} dansında iyi olurdun."
2,003,"{{TAG:0003:001B:}}Oh, don't mind me. {{TAG:0007:0000:0A000000}}Let's just head
to my house, {{TAG:0005:0007:}}.","{{TAG:0003:001B:}}Voy justo detrás de ti, tranquil{{TAG:000E:0006:02006F0002006100}}.{{TAG:0007:0000:0A000000}}
No te demores y vayamos a
mi casa, {{TAG:0005:0007:}}.","{{TAG:0003:001B:}}Je me doutais que tu dirais oui,
{{TAG:0007:0000:14000000}}alors j'ai fait le ménage avant de
sortir, {{TAG:0005:0007:}}.","{{TAG:0003:001B:}}Oh, non fare troppo caso a me.
{{TAG:0007:0000:0A000000}}Pensiamo solo ad andare
a casa mia, {{TAG:0005:0007:}}.","{{TAG:0003:001B:}}Es gibt keinen Grund zu trödeln.{{TAG:0007:0000:28000000}}
Wir wollten zu meinem Haus,{{TAG:0007:0000:08000000}}
{{TAG:0005:0007:}}.","{{TAG:0003:001B:}}Ah, beni önemseme. {{TAG:0007:0000:0A000000}}Benim eve doğru
gidelim, {{TAG:0005:0007:}}."
3,004,"{{TAG:0003:0002:}}Oh, {{TAG:0005:0008:}}, your footprints
look like {{TAG:0005:001F:04CD}} tracks!","{{TAG:0003:0002:}}¡Ja, ja! {{TAG:000E:0003:}}{{TAG:0005:0008:}}, tus huellas
parecen pisadas de {{TAG:0005:001F:04CD}}.","{{TAG:0003:000F:}}Oh, {{TAG:0005:0008:}}...{{TAG:0007:0000:3C000000}} Tes traces de pas
sont si grandes...","{{TAG:0003:0002:}}Oh, {{TAG:0005:0008:}}, sai che
le tue impronte sembrano
quelle di {{TAG:000E:0002:}}{{TAG:0005:001F:04CD}}?","{{TAG:0003:0025:}}Oh, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}! {{TAG:0007:0000:14000000}}Deine Fußabdrücke
sehen aus, als hätte {{TAG:000E:0008:04CD0600650069006E000800650069006E0065000600650069006E00}}
{{TAG:0005:001F:04CD}} sie gemacht! {{TAG:0007:0000:14000000}}{{TAG:0003:0002:}}Haha!","{{TAG:0003:0002:}}Ah, {{TAG:0005:0008:}}, ayak izlerin {{TAG:0005:001F:04CD}}
izlerine benziyor!"
4,005,"{{TAG:0003:000D:}}I can't wait for you to see what
I've done with my place lately!","{{TAG:0003:000D:}}¡Qué nerviosa estoy! Espero que
no me haya dejado ni un rincón
de la casa sin limpiar.","{{TAG:0003:000D:}}J'ai hâte de voir ta réaction quand
tu verras mon intérieur !","{{TAG:0003:000D:}}Non vedo l'ora di mostrarti cosa c'è
di nuovo nella mia adorata casetta!","{{TAG:0003:000D:}}Ich bin so gespannt darauf, was du
von der Einrichtung in meinem Haus
hältst, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!","{{TAG:0003:000D:}}Son zamanlarda evime yaptıklarımı
görmeni sabırsızlıkla bekliyorum!"
5,006,"{{TAG:0003:0025:}}Now you'll finally see what my
home looks like, {{TAG:0005:0008:}}!","{{TAG:0003:0025:}}¡Por fin podrás conocer mi hogar,
{{TAG:0005:0008:}}!","{{TAG:0003:0025:}}Tu vas enfin pouvoir voir l'intérieur
de ma maison, {{TAG:0005:0008:}}.","{{TAG:0003:0025:}}Finalmente avrò l'occasione
di mostrarti casa mia, {{TAG:0005:0008:}}!","{{TAG:0003:0025:}}Nun siehst du endlich, wie schön
ich mein Haus eingerichtet habe,{{TAG:0007:0000:08000000}}
{{TAG:0005:0008:}}!","{{TAG:0003:0025:}}Sonunda evimin nasıl göründüğünü
göreceksin, {{TAG:0005:0008:}}!"
6,007,"{{TAG:0003:0026:}}This will be a first! {{TAG:0007:0000:0A000000}}You're
finally visiting my place!","{{TAG:0003:0026:}}¡Estaba impaciente por invitarte
a mi casa, cielín!{{TAG:0007:0000:14000000}} Espero que sea
la primera de muchas visitas.","{{TAG:0003:0026:}}J'y pense... {{TAG:0007:0000:1E000000}}C'est la première fois
que tu viens chez moi... {{TAG:0007:0000:1E000000}}Comme
c'est excitant !","{{TAG:0003:0026:}}Oggi avrò finalmente il piacere
di farti vedere casa mia!","{{TAG:0003:0026:}}Das wird sozusagen dein Debüt bei
mir! {{TAG:0007:0000:28000000}}Es ist längst überfällig, dass du
bei mir zur Visite kommst.",{{TAG:0003:0026:}}Bu bir ilk olacak! {{TAG:0007:0000:0A000000}}Sonunda benim eve geliyorsun!
7,008,"{{TAG:0003:0001:}}I'm SO looking forward to
welcoming you into my home,
{{TAG:0005:0008:}}!","{{TAG:0003:0001:}}¡Ayer me pasé el día limpiando para
que la casa estuviera divina
para ti, {{TAG:0005:0008:}}!","{{TAG:0003:0001:}}Tu n'es encore jamais venu{{TAG:000E:0006:000002006500}} chez
moi, {{TAG:0005:0008:}}, n'est-ce pas ?","{{TAG:0003:0001:}}Non vedo l'ora di aprire
la porta e darti il benvenuto
nel mio castello, {{TAG:0005:0008:}}!","{{TAG:0003:0001:}}Ich freue mich schon darauf, dich
in meinem Haus willkommen heißen
zu können,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}!","{{TAG:0003:0001:}}Seni evimde ağırlamak
için ÇOK sabırsızlanıyorum, {{TAG:0005:0008:}}!"
8,009,"{{TAG:0003:0017:}}Hmm. I wonder how much my home
has changed since you last came
over, {{TAG:0005:0008:}}?","{{TAG:0003:0017:}}Coméntame si te parece que
la casa ha cambiado mucho desde
tu última visita, {{TAG:0005:0008:}}.","{{TAG:0003:0017:}}Hmm... {{TAG:0007:0000:3C000000}}Quand es-tu venu{{TAG:000E:0006:000002006500}} à la
maison pour la dernière fois ? {{TAG:0007:0000:1E000000}}Cela
ne doit pas faire si longtemps...","{{TAG:0003:0017:}}Mmmh, chissà se troverai la mia
casa cambiata dall'ultima volta
che ci sei stat{{TAG:000E:0006:02006F0002006100}}, {{TAG:0005:0008:}}?","{{TAG:0003:0017:}}Wie sehr sich mein Haus wohl
verändert hat, seit du zum letzten
Mal dort warst,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}?","{{TAG:0003:0017:}}Hımm. Son gelişinden beri evim
ne kadar değişti acaba, {{TAG:0005:0008:}}?"
9,010,"{{TAG:0003:0015:}}You know, I'd like to think a
smart {{TAG:0005:001F:00CD}} like me has a
nice touch with home design!","{{TAG:0003:0015:}}Tengo que enseñarte mis nuevas
adquisiciones, estrellita.{{TAG:0007:0000:14000000}}{{TAG:0003:0001:}} ¡Oh,
te van a encantar!","{{TAG:0003:0015:}}Je suis positivement ravie que tu
viennes chez moi. {{TAG:0007:0000:1E000000}}C'est toujours un
plaisir.","{{TAG:0003:0015:}}{{TAG:000E:0003:}}{{TAG:000E:0002:}}{{TAG:0005:001F:00CD}} che si rispetti
tiene molto all'arredamento!
Te ne sarai accort{{TAG:000E:0006:02006F0002006100}}, spero.","{{TAG:0003:0015:}}Weißt du, {{TAG:0007:0000:08000000}}ich denke, ich als
{{TAG:000E:0008:00CD140067006500620069006C0064006500740065007200120067006500620069006C006400650074006500140067006500620069006C0064006500740065007300}} {{TAG:0005:001F:00CD}} verstehe
einiges von guter Raumgestaltung.","{{TAG:0003:0015:}}Benim gibi zeki bir {{TAG:0005:001F:00CD}}'ın ev
tasarımında da zevkli olduğunu
düşünmek isterim!"
10,011,"{{TAG:0003:0003:}}I'm so glad that you were free for a
visit,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}.","{{TAG:0003:0025:}}¿Cuánto hace de la última vez
que viniste, clavelito?","{{TAG:0003:0025:}}Je me souviens de ta dernière
visite... {{TAG:0007:0000:1E000000}}C'est toujours un plaisir que
de t'avoir à la maison.","{{TAG:0003:0025:}}Quand'è l'ultima volta
che sei stat{{TAG:000E:0006:02006F0002006100}} da me?","{{TAG:0003:0025:}}Ein Besuch von dir ist immer wieder
ein erfreulicher Anlass, {{TAG:0005:0008:}}.","{{TAG:0003:0003:}}Ziyaret için vaktin olmasına
çok sevindim,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}."
11,012,"{{TAG:0003:0025:}}We should be going to my place,
not yours, {{TAG:0005:0008:}}.","{{TAG:0003:0025:}}No te confundas, {{TAG:0005:0008:}}.
Vamos a mi casa, no a la tuya.","{{TAG:0003:0025:}}Allons plutôt chez moi, {{TAG:0005:0008:}}...","{{TAG:0003:0025:}}{{TAG:000E:0003:}}{{TAG:0005:0008:}}, ero convinta che
volessimo andare a casa mia,
non a casa tua.","{{TAG:0003:0025:}}Aber {{TAG:0005:0008:}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Wir wollten doch
zu mir gehen, {{TAG:0007:0000:08000000}}nicht zu dir!","{{TAG:0003:0025:}}Seninkine değil, benim eve gidiyor
olmamız gerekiyor, {{TAG:0005:0008:}}."
12,013,"{{TAG:0003:0025:}}We should be going to my place,
not lounging on the shore!","{{TAG:0003:0009:}}¡Oye, oye! ¡No voy vestida para
andar por la arena!{{TAG:0007:0000:14000000}} No te demores
más y vayamos a mi casa.","{{TAG:0003:0025:}}Allons chez moi.{{TAG:0007:0000:1E000000}} La plage,{{TAG:0007:0000:0F000000}} c'est
plein de sable.","{{TAG:0003:0025:}}Vuoi farmi visita o ti è venuta
voglia di raccogliere conchiglie?","{{TAG:0003:0025:}}Wir wollten doch zu mir gehen,{{TAG:0007:0000:08000000}}
nicht an den Strand!",{{TAG:0003:0025:}}Sahilde oyalanmak yerine benim eve gitmeliyiz!
