entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:0003:000F:}}Wow, dressing for a very special
occasion or something?{{TAG:0007:0001:}} {{TAG:0003:000D:}}I'm SO
jealous, {{TAG:0005:0008:}}!","{{TAG:0003:000F:}}¿Te has vestido así para
alguna ocasión especial?{{TAG:0007:0001:}}{{TAG:0003:000D:}}
¡Qué envidia, {{TAG:0005:0008:}}!","{{TAG:0003:000F:}}Waouh ! C'est en quel honneur, cette
tenue ?{{TAG:0007:0001:}} {{TAG:0003:000D:}}Et pourquoi je suis pas
invitée, {{TAG:0005:0008:}} ?!","{{TAG:0003:000F:}}Uau, ti sei vestit{{TAG:000E:0006:02006F0002006100}} così per qualche
occasione speciale?{{TAG:0007:0001:}} {{TAG:0003:000D:}}Sono
invidiosissimaaa, {{TAG:0005:0008:}}!","{{TAG:0003:000F:}}Wow, {{TAG:0007:0000:0A000000}}hast du dich für einen
besonderen Anlass so in Schale
geworfen?
{{TAG:0003:000D:}}Du siehst toll aus! {{TAG:0007:0000:0A000000}}Ich bin echt
neidisch, {{TAG:0007:0000:0A000000}}{{TAG:0005:0008:}}!","{{TAG:0003:000F:}}Vay, özel bir gün için falan mı
süslendin?{{TAG:0007:0001:}} {{TAG:0003:000D:}}Çok kıskandım, {{TAG:0005:0008:}}!"
1,002,"{{TAG:0003:0023:}}Heh, pretty cute outfit you've
got there, {{TAG:0005:0008:}}. {{TAG:0007:0000:0A000000}}I should
totally give you a carrot!","{{TAG:0003:0023:}}Anda, qué disfraz tan cuco llevas,
{{TAG:0005:0008:}}. ¡Lástima que no tenga
ninguna zanahoria para ti, ja, ja!","{{TAG:0003:0023:}}Petit, petit, petit... Par ici la bonne
carotte, {{TAG:0005:0008:}} !{{TAG:0007:0000:14000000}} {{TAG:0003:0002:}}Enfin, je veux
dire : sympa ton costume, hi hi hi !","{{TAG:0003:0023:}}Come sei carin{{TAG:000E:0006:02006F0002006100}} vestit{{TAG:000E:0006:02006F0002006100}} così,
{{TAG:0005:0008:}}. {{TAG:0007:0000:0A000000}}Mi viene voglia
di darti una carota!","{{TAG:0003:0023:}}Hihihi, {{TAG:0007:0000:0A000000}}da hast du ja echt mal 'n
cooles Outfit an, {{TAG:0005:0008:}}. {{TAG:0007:0000:14000000}}Magst
du vielleicht 'ne Karotte? {{TAG:0007:0000:14000000}}Hihihi!","{{TAG:0003:0023:}}Hehe, şu kıyafet baya tatlı
olmuş, {{TAG:0005:0008:}}. {{TAG:0007:0000:0A000000}}Sana havuç veresim geldi!"
2,003,"{{TAG:0003:0001:}}Nice outfit there, {{TAG:0005:0008:}}!{{TAG:0007:0000:0A000000}}
Did you dress to go swimming
or something, {{TAG:0005:0007:}}?","{{TAG:0003:0001:}}¡Qué traje tan chuli, {{TAG:0005:0008:}}!{{TAG:0007:0000:0A000000}}
¿Vas vestid{{TAG:000E:0006:02006F0002006100}} así para ir
a nadar y eso?","{{TAG:0003:0001:}}Côa ? Qu'est-ce que tu dis, ma
petite grenouille adorée ?! Délire,
ton costume, {{TAG:0005:0008:}} !","{{TAG:0003:0001:}}Occhio a quest{{TAG:000E:0006:02006F0002006100}} ranocchi{{TAG:000E:0006:02006F0002006100}}
elegantissim{{TAG:000E:0006:02006F0002006100}}!{{TAG:0007:0000:0A000000}} Sei un anfibio
troppo trendy, {{TAG:0005:0008:}}!","{{TAG:0003:0001:}}Sehr hübsches Outfit, {{TAG:0007:0000:0A000000}}{{TAG:0005:0008:}}!
{{TAG:0007:0000:14000000}}Gehst du etwa schwimmen
oder so, {{TAG:0007:0000:0A000000}}{{TAG:0005:0007:}}?","{{TAG:0003:0001:}}Güzel kıyafet, {{TAG:0005:0008:}}!{{TAG:0007:0000:0A000000}}
Yüzmeye falan mı gidiyorsun, {{TAG:0005:0007:}}?"
3,004,"{{TAG:0003:0001:}}Hey, what an adorable outfit that
is, {{TAG:0005:0008:}}! {{TAG:0007:0000:0A000000}}I should totally get
you a ball of string to play with.","{{TAG:0003:0001:}}¡Ay, qué gatete tan adorable estás
hech{{TAG:000E:0006:02006F0002006100}}, {{TAG:0005:0008:}}! {{TAG:0007:0000:0A000000}}{{TAG:0003:0004:}}¿Puedo llevarte
a casa conmigo?","{{TAG:0003:0001:}}T'es trop trop mimi comme ça,
{{TAG:0005:0008:}} ! {{TAG:0007:0000:0A000000}}Je craque ! Tu veux un
bol de lait ?","{{TAG:0003:0001:}}Uau, certo che per vestirti così
devi essere un po' fus{{TAG:000E:0006:02006F0002006100}}, {{TAG:0005:0008:}}!
{{TAG:000E:0006:0E0055006E0020006600750073006F00100055006E00610020006600750073006100}} che fa le fusa!","{{TAG:0003:0001:}}Hey, was für ein knuffiges Outfit,
{{TAG:0005:0008:}}! {{TAG:0007:0000:14000000}}Ich sollte dir echt ein
Wollknäuel zum Spielen geben!","{{TAG:0003:0001:}}Ay, ne kadar sevimli bir
kıyafet bu, {{TAG:0005:0008:}}! {{TAG:0007:0000:0A000000}}Sana oynayasın
diye bir yumak ip almalıyım!"
4,005,"{{TAG:0003:000D:}}Hold it! {{TAG:0007:0000:14000000}}Think you're a total hero
with that outfit? {{TAG:0007:0000:14000000}}{{TAG:0007:0000:0A000000}}This town has
room for ONE hero.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}
{{TAG:0003:0007:}}and that's ME!","{{TAG:0003:000D:}}¡Alto! {{TAG:0007:0000:14000000}}¿De qué crees que vas con
ese traje? {{TAG:0007:0000:14000000}}{{TAG:0007:0000:0A000000}}¿De {{TAG:000E:0006:0A006800E90072006F0065000E006800650072006F00ED006E006100}}?{{TAG:0007:0000:14000000}} Pues en
este pueblo solo puede haber un{{TAG:000E:0006:02006F0002006100}}.
{{TAG:0003:0007:}}¡Y esa soy yo!","{{TAG:0003:000D:}}Houlà ! {{TAG:0007:0000:14000000}}Bien essayé, mais cette ville
a déjà une super-héroïne{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:14000000}} et c'est
MOI !","{{TAG:0003:000D:}}Ferm{{TAG:000E:0006:02006F0002006100}} lì! {{TAG:0007:0000:14000000}}No, dico, non crederai
mica di essere tu l'ero{{TAG:000E:0006:02006500060069006E006100}} di questa
città?{{TAG:0000:0004:}}In questa città c'è spazio
per un'unica supereroina: {{TAG:0003:0007:}}IO!","{{TAG:0003:000D:}}Halt, {{TAG:0007:0000:0A000000}}stopp! {{TAG:0007:0000:14000000}}Denkst du, du bist {{TAG:000E:0006:06006400650072000600640069006500}}
{{TAG:000E:0006:120053007500700065007200680065006C006400160053007500700065007200680065006C00640069006E00}} mit dem Outfit?{{TAG:0000:0004:}}In dieser Stadt ist nur Platz für
eine Heldin... {{TAG:0007:0000:14000000}}{{TAG:0003:0007:}}MICH!","{{TAG:0003:000D:}}Hop! {{TAG:0007:0000:14000000}}Bu kıyafetle kendini süper
kahraman mı sandın?{{TAG:0007:0000:14000000}}{{TAG:0007:0000:0A000000}}Bu kasabada
TEK kahramana yer var.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}
{{TAG:0003:0007:}}o da BENİM!"
5,006,"{{TAG:0003:0023:}}Ahoy, sailor! {{TAG:0007:0000:0A000000}}Where you off to
in an outfit like that? {{TAG:0007:0001:}}{{TAG:0003:0002:}}Oh, I'm
just kidding around, {{TAG:0005:0008:}}!","{{TAG:0003:0023:}}¡Hola, mariner{{TAG:000E:0006:02006F0002006100}}! {{TAG:0007:0000:0A000000}}¿No vas un poco
a la deriva con ese traje?{{TAG:0007:0001:}}{{TAG:0003:0002:}}
¡Es broma, {{TAG:0005:0008:}}! ¡Ja, ja, ja!","{{TAG:0003:0023:}}Ohé, du bateau ! {{TAG:0007:0000:0A000000}}Hi hi hi !{{TAG:0007:0001:}} Quel bon
vent t'amène ? Hi hi hi,{{TAG:0007:0000:05000000}} trop lol,
{{TAG:0005:0008:}} !","{{TAG:0003:0023:}}Corpo di mille balene, marinai{{TAG:000E:0006:02006F0002006100}}!
{{TAG:0007:0000:0A000000}}Sei appena sbarcat{{TAG:000E:0006:02006F0002006100}}? {{TAG:0007:0001:}}{{TAG:0003:0002:}}Mi piace
il tuo look marinaresco, {{TAG:0005:0008:}}!","{{TAG:0003:0023:}}Ahoi, {{TAG:000E:0006:0E004D006100740072006F007300650010004D006100740072006F00730069006E00}}! {{TAG:0007:0000:14000000}}Welche Meere willst
du heute besegeln?{{TAG:0007:0001:}} {{TAG:0003:0002:}}Ach, {{TAG:0007:0000:0A000000}}ich mach
doch nur Spaß, {{TAG:0005:0008:}}!","{{TAG:0003:0023:}}Hey denizci! {{TAG:0007:0000:0A000000}}Bu kıyafetle
nereye böyle?{{TAG:0007:0001:}}{{TAG:0003:0002:}}Şaka yapıyorum
sadece, {{TAG:0005:0008:}}!"
6,007,,,,,,
7,008,,,,,,
8,009,,,,,,
9,010,"{{TAG:0003:0012:}}Wow, you're really pulling off that
whole ""grrr, I'll bite your head
off"" look, {{TAG:0005:0008:}}!
{{TAG:0003:001D:}}You're way cool! {{TAG:0007:0000:0A000000}}No one would take
me that seriously if I wore that
{{TAG:0011:0003:0200}}!","{{TAG:0003:0012:}}Vaya, vas de dur{{TAG:000E:0006:02006F0002006100}}, ¿eh?
¿Te gusta dar miedo a los demás,
{{TAG:0005:0008:}}?
{{TAG:0003:001D:}}¡Pues es muy chachi! {{TAG:0007:0000:0A000000}}¡A mí nadie
me tomaría en serio si llevara
es{{TAG:000E:0008:02CD02006500020061000000}} {{TAG:0011:0003:0200}}!","{{TAG:0003:0012:}}Waouh, trop génial le style {{TAG:000E:0006:0E00620061006400200062006F007900100062006100640020006700690072006C00}} !
{{TAG:0003:001D:}}Bravo, {{TAG:0005:0008:}} !{{TAG:0000:0004:}}On me prendrait pas au sérieux
avec {{TAG:000E:0002:}}{{TAG:0011:0003:0200}},
mais toi, tu déchires !!!","{{TAG:0003:0012:}}Uau, questo sì che è un look
aggressivo alla ""adesso ti mangio"",
{{TAG:0005:0008:}}! {{TAG:0003:001D:}}Che trendy!
{{TAG:000E:0003:}}{{TAG:000E:0002:}}{{TAG:0011:0003:0200}}!
Se l{{TAG:000E:0008:02CD02006F000200610002003000}} indossassi io, però, i miei fan
scapperebbero a zampe levate!","{{TAG:0003:0012:}}Wow, du stehst echt auf diesen
fiesen „Ich klau dir gleich den Lolli“-
Look, {{TAG:0007:0000:0A000000}}oder, {{TAG:0005:0008:}}?
{{TAG:0003:001D:}}Das ist ja sooo cool!{{TAG:0000:0004:}}Niemand würde MICH ernst
nehmen, wenn ich {{TAG:000E:0008:02CD0C00640069006500730065006E000A00640069006500730065000C00640069006500730065007300}}
{{TAG:0011:0003:0200}} anhätte!","{{TAG:0003:0012:}}Vay, şu 'grrr, kafanı ısırırım'
havasını müthiş taşımışsın, {{TAG:0005:0008:}}!
{{TAG:0003:001D:}}Çok havalısın! {{TAG:0007:0000:0A000000}}Ben {{TAG:0011:0003:0200}}'i giysem
kimse beni ciddiye almazdı!"
