entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,{{TAG:0009:0001:09000A000B00}},{{TAG:0009:0001:09000A000B00}},{{TAG:0009:0001:09000A000B00}},{{TAG:0009:0001:09000A000B00}},{{TAG:0009:0001:09000A000B00}},{{TAG:0009:0001:09000A000B00}}
1,002,{{TAG:0009:0002:0C000D000E001E00}},{{TAG:0009:0002:0C000D000E001E00}},{{TAG:0009:0002:0C000D000E001E00}},{{TAG:0009:0002:0C000D000E001E00}},{{TAG:0009:0002:0C000D000E001E00}},{{TAG:0009:0002:0C000D000E001E00}}
2,003,{{TAG:0009:0004:0F0010001100120013001E00}},{{TAG:0009:0004:0F0010001100120013001E00}},{{TAG:0009:0004:0F0010001100120013001E00}},{{TAG:0009:0004:0F0010001100120013001E00}},{{TAG:0009:0004:0F0010001100120013001E00}},{{TAG:0009:0004:0F0010001100120013001E00}}
3,004,{{TAG:0009:0002:1400150016001E00}},{{TAG:0009:0002:1400150016001E00}},{{TAG:0009:0002:1400150016001E00}},{{TAG:0009:0002:1400150016001E00}},{{TAG:0009:0002:1400150016001E00}},{{TAG:0009:0002:1400150016001E00}}
4,005,{{TAG:0009:0001:170018001900}},{{TAG:0009:0001:170018001900}},{{TAG:0009:0001:170018001900}},{{TAG:0009:0001:170018001900}},{{TAG:0009:0001:170018001900}},{{TAG:0009:0001:170018001900}}
5,006,{{TAG:0009:0001:1A001B001C00}},{{TAG:0009:0001:1A001B001C00}},{{TAG:0009:0001:1A001B001C00}},{{TAG:0009:0001:1A001B001C00}},{{TAG:0009:0001:1A001B001C00}},{{TAG:0009:0001:1A001B001C00}}
6,007,,,,,,
7,008,,,,,,
8,009,"{{TAG:0003:0001:}}The fireworks are about to start!{{TAG:0007:0000:14000000}}
Are you ready for this?","{{TAG:0003:0001:}}¡Qué emoción! ¡Los fuegos están
a punto de empezar!{{TAG:0007:0000:14000000}} ¿Estás list{{TAG:000E:0006:02006F0002006100}}?","{{TAG:0003:0001:}}Le feu d'artifice va bientôt
commencer !{{TAG:0007:0000:14000000}} J'espère que t'es
{{TAG:000E:0006:080070007200EA0074000A0070007200EA0074006500}} !","{{TAG:0003:0001:}}Fra un po' inizia lo spettacolo
dei {{TAG:0000:0003:0200}}fuochi d'artificio{{TAG:0000:0003:FFFF}}!{{TAG:0007:0000:14000000}} Sei pront{{TAG:000E:0006:02006F0002006100}}?","{{TAG:0003:0001:}}Gleich geht das Feuerwerk los!{{TAG:0007:0000:14000000}}
Bist du bereit?","{{TAG:0003:0001:}}Havai fişekler başlamak {{TAG:0007:0000:14000000}}üzere!
Hazır mısın?"
9,010,"{{TAG:0003:0001:}}Not much longer until the fireworks!{{TAG:0007:0001:}}
{{TAG:0003:0015:}}We should get somewhere{{TAG:0007:0000:14000000}} with a 
good view while we can.","{{TAG:0003:0001:}}¡Ya no queda nada para los fuegos!{{TAG:0007:0001:}}
{{TAG:0003:0015:}}Tenemos que buscar un buen sitio
para verlos bien.","{{TAG:0003:0001:}}Plus que quelques minutes avant le
début du feu d'artifice !{{TAG:0000:0004:}}{{TAG:0003:0015:}}Profitons-en pour trouver le
meilleur endroit pour pouvoir
l'admirer !","{{TAG:0003:0001:}}Ormai non manca molto all'inizio
dei {{TAG:0000:0003:0200}}fuochi d'artificio{{TAG:0000:0003:FFFF}}!{{TAG:0000:0004:}}{{TAG:0003:0015:}}Dovremmo andare in un posto
con una buona visuale per goderci
lo spettacolo.","{{TAG:0003:0001:}}Es dauert nicht mehr lang bis zum
Feuerwerk!{{TAG:0007:0001:}} {{TAG:0003:0015:}}Wir sollten uns einen
Platz mit guter Sicht suchen.","{{TAG:0003:0001:}}Başlamasına az kaldı! Fırsat{{TAG:0007:0001:}}{{TAG:0003:0015:}}
varken manzarası{{TAG:0007:0000:14000000}} güzel bir yer bulalım."
