index,label,English,French,German,Italian,Spanish,Turkish
0,Normal_man,"I can't live without you, please go out
with me!","Je ne peux pas vivre sans toi !
Sors avec moi !","Ich kann ohne dich nicht leben!
Also bitte geh mit mir!","Non posso vivere senza di te!
Ti prego, usciamo insieme!","¡No puedo vivir sin ti!
¡Sal conmigo!","Sensiz yaşayamam, lütfen benimle çık!"
1,Normal_woman,"I want to be with you together forever. 
Please go out with me!","Je veux rester avec toi pour toujours.
Sors avec moi !","Ich will für immer mit dir zusammen sein!
Bitte sei mein starker Mann!","Voglio stare sempre con te!
Usciamo insieme!","¡Quiero estar siempre a tu lado!
¡Sal conmigo!","Sonsuza dek seninle olmak istiyorum.
Lütfen benimle çık!"
2,Romantic_man,"You and I have been joined by destiny, so
nothing can ever come between us!","Nous sommes liés par le destin,
rien ne pourra nous séparer !","Das Schicksal hat uns vereint. Also kann
keine Macht der Welt uns trennen!","Il nostro incontro è stato un segno del destino!
Niente e nessuno potrà mai separarci!","Nuestros destinos están unidos, ¡y nada
los podrá separar!","Kader bizi birbirimize bağladı;
artık hiçbir şey aramıza giremez!"
3,Romantic_woman,"The stage is ours alone. Won't you be my
Prince Charming?","Cette scène nous appartient. Je serai ton héroïne,
alors deviens mon héros !","Das hier ist unsere Bühne... Lass mich die weib-
liche Hauptrolle in deinem Leben übernehmen!","Il palcoscenico è tutto nostro!
Vuoi essere il mio principe azzurro?","Este es el escenario de nuestra vida. Yo seré
tu heroína, ¿serás tú mi héroe?","Bu sahne yalnızca ikimizin.
Benim yakışıklı prensim olur musun?"
4,Proudly_man,Don't you understand? I love you!,"Tu ne comprends toujours pas ?
Je t'aime !","Hast du's immer noch nicht bemerkt?
Im Ernst, ich bin verliebt in dich!",Non capisci? Io ti amo!,"¿Todavía no te has dado cuenta?
¡Te amo y quiero que salgas conmigo!",Anlamıyor musun? Seni seviyorum!
5,Proudly_woman,"I wouldn't go out with you in a million years...
but I have some time free, so why don't we?","Je ne sais pas trop si tu mérites de sortir
avec moi, mais si tu insistes, je veux bien.","Ich würde in hundert Jahren nicht mit dir gehen.
Außer, ich hab nichts Besseres zu tun... Also?!","Non uscirei con te neanche tra un milione
di anni... ma facciamo pure una prova.","No saldría contigo ni loca, pero estoy
aburrida, así que, ¿por qué no?","Bir milyon yıl geçse seninle çıkmazdım...
ama boş vaktim var, hadi çıkalım bari."
6,Desperate_man,"I think I might not have long left...
So, please go out with me!","C'est peut-être la dernière chance que j'ai de te
le demander... Sors avec moi !","Ich denke manchmal, du bist meine letzte
Chance... Bitte, lass uns miteinander gehen!","Non so se mi ricapiterà un'altra occasione!
Ti prego, esci con me!","¡Puede que sea mi última oportunidad!
¿Quieres salir conmigo?","Belki bir daha fırsatım olmayacak...
O yüzden lütfen benimle çık!"
7,Desperate_woman,"I may not be all that much, but would you
please go out with me!","Je ne suis peut-être pas la meilleure, mais...
sors avec moi, je t'en prie !","Ich bin sicher nichts Besonderes, aber
bitte werd' trotzdem mein Freund!","So di non essere una persona speciale,
ma ti prego, esci con me!","Soy una persona bastante normal y corriente, pero
¿quieres salir conmigo?","Pek matah biri olmayabilirim ama...
lütfen benimle çıkar mısın?"
8,Cute_both_00,"I never expected to fall for you, but I think
it's already too late...","Je n'avais pas prévu de t'aimer, mais on dirait
que c'est déjà trop tard...","Ich hätte nie gedacht, dass ich mich irgendwann
in dich verliebe, aber jetzt ist's halt passiert...","Non pensavo di innamorarmi di te,
ma mi sbagliavo...","No tenía planeado enamorarme de ti,
pero ya es demasiado tarde...","Sana âşık olacağımı hiç düşünmemiştim ama
galiba artık çok geç..."
9,Cute_man_01,Would you be my girlfriend?,Tu veux devenir ma petite amie ?,"Hast du Lust, meine Freundin zu werden?",Vuoi essere la mia ragazza?,¿Quieres ser mi novia?,Sevgilim olur musun?
