entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,{{TAG:0009:0001:040005000600}},{{TAG:0009:0001:040005000600}},{{TAG:0009:0001:040005000600}},{{TAG:0009:0001:040005000600}},{{TAG:0009:0001:040005000600}},{{TAG:0009:0001:040005000600}}
1,002,{{TAG:000A:0007:07000700070007000B000B00}},{{TAG:000A:0007:07000700070007000B000B00}},{{TAG:000A:0007:07000700070007000B000B00}},{{TAG:000A:0007:07000700070007000B000B00}},{{TAG:000A:0007:07000700070007000B000B00}},{{TAG:000A:0007:07000700070007000B000B00}}
2,003,{{TAG:0009:0001:100011001200}},{{TAG:0009:0001:100011001200}},{{TAG:0009:0001:100011001200}},{{TAG:0009:0001:100011001200}},{{TAG:0009:0001:100011001200}},{{TAG:0009:0001:100011001200}}
3,004,"{{TAG:0003:0025:}}Hey,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}!","{{TAG:0003:0025:}}¡Hola,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}!","{{TAG:0003:0025:}}Hé,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}} !","{{TAG:0003:0025:}}Ehi,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}!","{{TAG:0003:0025:}}Hey,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}!","{{TAG:0003:0025:}}Selam,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}!"
4,005,{{TAG:0003:0024:}}I'm just taking a moment to rest{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}},{{TAG:0003:0024:}}Estoy descansando las patas{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}},{{TAG:0003:0024:}}Je me repose une minute{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.,"{{TAG:0003:0024:}}Sto riposando un po' i miei
muscolazzi{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}","{{TAG:0003:0024:}}Ich ruhe mich hier nur ein bisschen
aus{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.",{{TAG:0003:0024:}}Sadece biraz dinleniyorum{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}
5,006,"{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:0003:000F:}}Oh, hey, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}?{{TAG:0007:0000:20000000}} {{TAG:0003:0025:}}I was just
sitting here thinking about nothing
in particular.","{{TAG:0003:000F:}}Huy{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} ¿{{TAG:0005:0008:}}?{{TAG:0007:0000:20000000}} {{TAG:0003:0025:}}Estoy aquí
echando un rato sentado.","{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} {{TAG:0003:000F:}}Oh, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}} ?{{TAG:0007:0000:20000000}} {{TAG:0003:0025:}}Je me suis assis
là pour rêvasser un moment.","{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:0003:000F:}} Ehi, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}!{{TAG:0007:0000:20000000}} {{TAG:0003:0025:}}Ero qui seduto
che riflettevo sui sistemi massimi...
Si dice così, no? Vabbè, hai capito!","{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:0003:000F:}}Oh, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}.{{TAG:0007:0000:20000000}}
{{TAG:0003:0025:}}Ich sitze hier nur rum und denke an
nichts Bestimmtes.","{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:0003:000F:}}Ah, selam, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}?{{TAG:0007:0000:20000000}} {{TAG:0003:0025:}}Burada oturmuş
hiçbir şey düşünmüyordum."
6,007,{{TAG:0009:0001:080009000A00}},{{TAG:0009:0001:080009000A00}},{{TAG:0009:0001:080009000A00}},{{TAG:0009:0001:080009000A00}},{{TAG:0009:0001:080009000A00}},{{TAG:0009:0001:080009000A00}}
7,008,"{{TAG:0003:0025:}}There's a space next to me.{{TAG:0007:0000:20000000}} Don't
be shy.{{TAG:0007:0000:10000000}} {{TAG:0003:0026:}}Sit on down!","{{TAG:0003:0025:}}Aquí al lado hay un hueco.{{TAG:0007:0000:20000000}}
¡Venga,{{TAG:0007:0000:10000000}} {{TAG:0003:0026:}}siéntate, no te cortes!","{{TAG:0003:0025:}}Y'a de la place à côté de moi, si tu
veux.{{TAG:0007:0000:20000000}} {{TAG:0003:0024:}}Viens, sois pas timide !","{{TAG:0003:0025:}}C'è un posticino qui accanto a me.{{TAG:0007:0000:20000000}}
Non fare {{TAG:000E:0006:160069006C002000740069006D00690064006F006E00650016006C0061002000740069006D00690064006F006E006100}},{{TAG:0007:0000:10000000}} {{TAG:0003:0026:}}siediti!","{{TAG:0003:0025:}}Neben mir ist ein Platz frei.{{TAG:0007:0000:20000000}} Nicht
so schüchtern,{{TAG:0007:0000:10000000}} {{TAG:0003:0026:}}setz dich ruhig hin!",{{TAG:0003:0025:}}Yanımda boş yer var.{{TAG:0007:0000:20000000}} Çekinme.{{TAG:0007:0000:10000000}} {{TAG:0003:0026:}}Gel otur!
8,009,"{{TAG:0003:0025:}}Just sit down there,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}!{{TAG:0007:0001:}}
{{TAG:0003:0024:}}If you want,{{TAG:0007:0000:10000000}} {{TAG:0003:0026:}}you can take my spot
and I'll sit on your lap!{{TAG:0007:0000:20000000}} Hah ha!","{{TAG:0003:0025:}}¡Te puedes sentar aquí,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}!{{TAG:0007:0001:}}
{{TAG:0003:0024:}}A las malas,{{TAG:0007:0000:10000000}} {{TAG:0003:0026:}}¡te dejo mi sitio y yo
me siento encima de ti!{{TAG:0007:0000:20000000}} ¡Je, je!","{{TAG:0003:0025:}}Viens, assieds-toi,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}} !{{TAG:0007:0001:}} {{TAG:0003:0024:}}T'as
qu'à prendre ma place et moi, je
m'assiérai sur tes genoux, hé hé !","{{TAG:0003:0025:}}Siediti qui con me,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}!{{TAG:0007:0001:}}
{{TAG:0003:0024:}}Ti puoi sedere{{TAG:0007:0000:10000000}}{{TAG:0003:0026:}} al posto mio e io mi
metto in braccio a te!{{TAG:0007:0000:20000000}} Ah ah ah!","{{TAG:0003:0025:}}Setz dich neben mich,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}!{{TAG:0007:0001:}}
{{TAG:0003:0024:}}Wenn du willst,{{TAG:0007:0000:10000000}} {{TAG:0003:0026:}}kannst du dich auch
auf meinen Schoß setzen!{{TAG:0007:0000:20000000}} Hahaha!","{{TAG:0003:0025:}}Şuraya otur,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}!{{TAG:0007:0001:}}
{{TAG:0003:0024:}}İstersen,{{TAG:0007:0000:10000000}} {{TAG:0003:0026:}}sen benim yerime otur, ben
de kucağına oturayım!{{TAG:0007:0000:20000000}} Ha ha!"
9,010,"{{TAG:0003:0025:}}Hey there,{{TAG:0007:0000:10000000}} don't be shy{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} Come and
sit next to me!","{{TAG:0003:0025:}}Vamos,{{TAG:0007:0000:10000000}} no seas más cortad{{TAG:000E:0006:02006F0002006100}} que un
café de {{TAG:0000:0003:0400}}Fígaro{{TAG:0000:0003:FFFF}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} ¡Siéntate a mi lado!","{{TAG:0003:0025:}}Approche,{{TAG:0007:0000:10000000}} sois pas timide{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} Tu peux
t'asseoir à côté de moi !","{{TAG:0003:0025:}}Ehilà,{{TAG:0007:0000:10000000}} non fare {{TAG:000E:0006:160069006C002000740069006D00690064006F006E00650016006C0061002000740069006D00690064006F006E006100}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}
Siediti qui con me!","{{TAG:0003:0025:}}Hey,{{TAG:0007:0000:10000000}} sei nicht schüchtern{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}
Setz dich ruhig neben mich!","{{TAG:0003:0025:}}Selam,{{TAG:0007:0000:10000000}} çekinme{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} Gel yanıma otur!"
