index,label,English,French,German,Italian,Spanish,Turkish
0,st_santa,Santa costume,costume de père Noël,Weihnachtsmannanzug,costume di Babbo Natale,disfraz de Papá Noel,Noel Baba kostümü
1,st_police,police officer set,uniforme de policier,Polizeiuniform,uniforme da poliziotto,uniforme de policía ♂,polis üniforması
2,st_police_female,ladies' police set,uniforme de policière,Polizistinnenuniform,uniforme da poliziotta,uniforme de policía ♀,kadın polis üniforması
3,st_guard_US,security guard set,uniforme de surveillant,Wachmann-Uniform,uniforme da sentinella,uniforme de vigilante,güvenlik görevlisi üniforması
4,st_maid,maid outfit,costume de domestique,Hausdamen-Outfit,uniforme da domestica,vestido de doncella,hizmetçi kıyafeti
5,st_bear,bear costume,costume d'ours,Bärenkostüm,costume da orso,disfraz de oso,ayı kostümü
6,st_post_US,,costume de facteur,Briefträger-Uniform,,,postacı üniforması
7,st_princess,princess outfit,costume de princesse,Prinzessinnengewand,abito da principessa,disfraz de princesa,prenses kıyafeti
8,st_monster,dinosaur costume,costume de dinosaure,Dinosaurierkostüm,costume da dinosauro,disfraz de dinosaurio,dinozor kostümü
9,st_chief,chef outfit,costume de chef,Koch-Outfit,tenuta da chef,uniforme de cocinero,aşçı kıyafeti
10,st_dog_plain,plain dog costume,costume de chien uni,Uni-Hundekostüm,costume da cane 1,disfraz de perro 1,sade köpek kostümü
11,st_dog_brownsocks,guard dog costume,costume chien de garde,Wachhund-Kostüm,costume da cane 3,disfraz de perro 3,bekçi köpeği kostümü
12,st_penguin,penguin costume,costume de manchot,Pinguinkostüm,costume da pinguino,disfraz de pingüino,penguen kostümü
13,st_ballerina,ballerina outfit,tenue de ballerine,Ballerina-Outfit,completo da ballerina,traje de bailarina,balerin kıyafeti
14,st_baseball,baseball uniform,tenue de base-ball,Baseball-Outfit,completo da baseball,uniforme de béisbol,beyzbol üniforması
15,st_pirate,pirate outfit,costume de pirate,Piraten-Outfit,costume da pirata,disfraz de pirata,korsan kıyafeti
16,st_fireman,firefighter uniform,uniforme de pompier,Feuerwehruniform,uniforme da pompiere,uniforme de bombero,itfaiyeci üniforması
17,st_pierrot,jester outfit,costume de bouffon,Hofnarren-Outfit,completo da giullare,disfraz de bufón,soytarı kıyafeti
18,st_nurse,nurse uniform,tenue d'infirmière,Schwesternkleidung,uniforme da infermiera,uniforme de enfermera,hemşire üniforması
19,st_fairy,fairy costume,costume de fée,Feenkleidung,completo da fata,disfraz de hada,peri kostümü
20,st_future,future outfit,costume futuriste,Zukunfts-Outfit,completo del futuro,traje futurista,gelecek kıyafeti
21,st_mummy,mummy costume,costume de momie,Mumienwickel,costume da mummia,disfraz de momia,mumya kostümü
22,st_wizard,witch outfit,costume de sorcière,Hexengewandung,completo da strega,disfraz de bruja,cadı kıyafeti
23,st_ninja,ninja outfit,costume de ninja,Ninja-Outfit,completo da ninja,disfraz de ninja,ninja kıyafeti
24,st_western_yoroi,suit of armour,armure de chevalier,Rüstung,armatura medievale,disfraz de caballero,şövalye zırhı
25,st_dwarf,elf outfit,costume d'elfe,Elfenkleidung,costume da elfo,disfraz de duende,elf kıyafeti
26,st_wedding,wedding outfit,tenue de mariée,Hochzeits-Outfit,completo da sposa,vestido de novia,gelinlik
27,st_bunnygirl,bunny girl outfit,costume de lapine,Häschen-Outfit,completo da coniglietta,disfraz de conejita,tavşan kız kostümü
28,st_dog_whitesocks,socks dog costume,costume de chien ganté,Pfoten-Hundekostüm,costume da cane 2,disfraz de perro 2,beyaz patili köpek kostümü
29,st_robot,robot costume,costume de robot,Roboterkostüm,costume da robot,disfraz de robot,robot kostümü
30,st_hero,masked-hero costume,costume de super-héros,Maskierter-Held-Kostüm,costume da supereroe,disfraz de superhéroe,maskeli kahraman kostümü
31,st_idle_a,pop star outfit,tenue de popstar ♀ 1,Popstar-Outfit „poppig“,completo da pop star 1,traje de cantante,pop yıldızı kıyafeti
32,st_idle_c,cool pop star outfit,tenue de popstar ♀ 3,Popstar-Outfit „cool“,completo da pop star 2,traje de cantante pop ♀,havalı pop yıldızı kıyafeti
33,st_all_tights,body suit set,combinaison intégrale,Bodyanzug,calzamaglia 1,maillot completo,vücut tulumu
34,st_tights_metallic,metallic body set,combinaison métallisée,Metall-Bodyanzug,calzamaglia 2,maillot metalizado,metalik tulum
35,st_tights_metallic_00,king set,tenue de roi,Königsgewand,completo regale,traje de rey,kral kıyafeti
36,st_spaceman,spacesuit,combinaison spatiale,Raumfahreranzug,completo da astronauta,traje de astronauta,uzay giysisi
37,st_kabuto,samurai armour,armure de samouraï,Samurairüstung,armatura da samurai,armadura de samurái,samuray zırhı
38,st_hero_meka,robo-hero outfit,costume de robot héros,Roboterheld-Outfit,completo da eroe robot,disfraz de héroe robot,robot kahraman kıyafeti
39,st_cat_plain,plain cat costume,costume de chat uni,Uni-Katzenkostüm,costume da gatto 1,disfraz de gato 1,sade kedi kostümü
40,st_cat,stripy cat costume,costume de chat rayé,Streifen-Katzenkostüm,costume da gatto 4,disfraz de gato 4,çizgili kedi kostümü
41,st_cat_spot,tabby cat costume,costume de chat tigré,Flecken-Katzenkostüm,costume da gatto 2,disfraz de gato 2,tekir kedi kostümü
42,st_cat_socks,socks cat costume,costume de chat ganté,Pfoten-Katzenkostüm,costume da gatto 3,disfraz de gato 3,beyaz patili kedi kostümü
43,st_hiyoko,chick costume,costume de poussin,Kükenkostüm,costume da pulcino,disfraz de pollito,civciv kostümü
44,st_depart,Sunday outfit,tenue de réceptionniste,Rezeptionsoutfit,uniforme da receptionist,vestido de recepcionista,pazar kıyafeti
45,st_traveler,explorer clothes,tenue de voyageur,Reisekleidung,abito da viaggiatore,traje de viajero,kâşif kıyafeti
46,st_traveler_great,super explorer clothes,tenue de super-voyageur,Superentdecker-Kleidung,abito da superviaggiatore,traje de superviajero,süper kâşif kıyafeti
47,st_hamster,hamster costume,costume de hamster,Hamsterkostüm,costume da criceto,disfraz de hámster,hamster kostümü
49,st_conductor,doorman uniform,uniforme de portier,Portieruniform,uniforme da usciere,uniforme de conserje,kapıcı üniforması
50,st_navigator,pilot uniform,uniforme de pilote,Pilotenuniform,uniforme da pilota,uniforme de piloto,pilot üniforması
52,st_girl_santa,ladies' Santa costume,costume de mère Noël,Weihnachtsfrauenkleid,completo natalizio,disfraz de Mamá Noel,kadın Noel Baba kostümü
53,st_panda,panda costume,costume de panda,Pandakostüm,costume da panda,disfraz de panda,panda kostümü
54,st_boat_captain,captain uniform,uniforme de capitaine,Kapitänsuniform,uniforme da capitano,uniforme de capitán,kaptan üniforması
