entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:0003:0003:}}Today is the day we celebrate the
arrival of spring!{{TAG:0007:0000:14000000}} It makes my heart
feel light as a feather.","{{TAG:0003:0003:}}¡Hoy celebramos la llegada de
la primavera!{{TAG:0007:0000:14000000}}{{TAG:0003:0001:}} ¿No notas cómo
florecen también los chakras?","{{TAG:0003:0003:}}Aujourd'hui, on fête l'arrivée du
printemps ! {{TAG:0007:0000:14000000}}Mon cœur est aussi
léger qu'une brise d'avril !","{{TAG:0003:0003:}}Oggi si festeggia la primavera!
{{TAG:0007:0000:14000000}}Il mio cuore è felice come
un fiore appena sbocciato!","{{TAG:0003:0003:}}Heute feiern wir wie jedes Jahr den
Frühlingsanfang.{{TAG:0007:0000:14000000}} Was für ein tolles
Ereignis!","{{TAG:0003:0003:}}Bugün baharın gelişini kutladığımız gün!{{TAG:0007:0000:14000000}}
İçim kuş tüyü kadar hafifliyor."
1,002,"{{TAG:0003:0001:}}You know what?{{TAG:0007:0000:14000000}} I just saw a bird's
nest with little chicks in it!{{TAG:0007:0000:14000000}} I wonder
what mama bird looks like?","{{TAG:0003:0001:}}¿Sabes qué? {{TAG:0007:0000:14000000}}¡He visto un nido con
pollitos!{{TAG:0007:0000:14000000}} Luego iré a observarlo,
{{TAG:0007:0000:0A000000}}a ver si con suerte veo a la madre.","{{TAG:0003:0001:}}Je viens de voir des oisillons qui
gazouillaient, pelotonnés dans leur
nid ! {{TAG:0007:0000:14000000}}C'était choupi comme tout !","{{TAG:0003:0001:}}Ho appena visto un nido con dentro
degli uccellini affamati!{{TAG:0007:0000:14000000}} Chissà
cosa gli porterà la mamma?!","{{TAG:0003:0001:}}Ich habe eben ein Vogelnest mit
Küken drin gesehen!{{TAG:0007:0000:08000000}} Wie die wohl
mal aussehen, wenn sie groß sind?","{{TAG:0003:0001:}}Biliyor musun?{{TAG:0007:0000:14000000}} Az önce içinde minicik
yavrular olan bir kuş yuvası gördüm!{{TAG:0007:0000:14000000}}
Anneleri nasıl bir kuş acaba?"
2,003,"{{TAG:0003:000D:}}I was fishing just a minute ago, and
I caught a colorful egg!{{TAG:0007:0000:14000000}} It doesn't
look like fish roe{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} So what is it?","{{TAG:0003:000D:}}¡He pescado un huevo de colores!{{TAG:0007:0000:14000000}}
No parece un huevo de pez{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
¿Tú qué crees que puede ser?","{{TAG:0003:000D:}}Tu ne devineras jamais ce que je
viens de pêcher !{{TAG:0007:0000:14000000}} Un œuf !{{TAG:0007:0000:08000000}} Un œuf
de toutes les couleurs...
Aucun poisson n'a pu pondre ça{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.
Mais alors, qu'est-ce que c'est ?","{{TAG:0003:000D:}}Sai cosa ho trovato mentre
pescavo? Un uovo tutto colorato!{{TAG:0007:0000:14000000}}{{TAG:0000:0004:}}Non credo che ne uscirà fuori
un pesce{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Ma, alors, che sarà mai?","{{TAG:0003:000D:}}Eben war ich angeln und hab ein
buntes Ei gefangen!{{TAG:0000:0004:}}Das sieht aber gar nicht aus wie ein
Fischei.{{TAG:0007:0000:14000000}} Was ist es nur?","{{TAG:0003:000D:}}Az önce balık tutarken rengârenk
bir yumurta yakaladım!{{TAG:0007:0000:14000000}} Balık yumurtasına hiç
benzemiyor{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Peki bu ne?"
3,004,"{{TAG:0003:0010:}}You'll never guess what I just found
while digging for fossils{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} An egg!{{TAG:0000:0004:}}{{TAG:0003:000B:}}Do you think it's a dinosaur egg?{{TAG:0007:0000:14000000}}
It's in awfully good condition for
that.{{TAG:0007:0000:14000000}} The colors are so bright!","{{TAG:0003:0010:}}¡No adivinarías nunca lo que me
he encontrado mientras cavaba
buscando fósiles! {{TAG:0007:0001:}}¡Un huevo!{{TAG:0000:0004:}}{{TAG:0003:000B:}}¿Será un huevo de dinosaurio?{{TAG:0007:0000:14000000}}
No creo,{{TAG:0007:0000:0A000000}} está en muy buen estado{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
¡Además, {{TAG:0007:0000:0A000000}}los colores son muy vivos!","{{TAG:0003:0010:}}Je faisais des fouilles et,{{TAG:0007:0000:08000000}} en guise de
fossile,{{TAG:0007:0000:08000000}} je suis tombée sur un œuf !
{{TAG:0007:0001:}}{{TAG:0003:000B:}}Un œuf de dinosaure, peut-être ?
Il serait drôlement bien conservé...
Et très coloré !","{{TAG:0003:0010:}}Mentre cercavo dei fossili,
ho trovato un uovo{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Capisci?
Un œuf!{{TAG:0000:0004:}}{{TAG:0003:000B:}}Credi che sia un uovo di dinosauro?{{TAG:0007:0000:14000000}}
Di sicuro si è conservato bene...
Ha dei colori cooosì brillanti!","{{TAG:0003:0010:}}Ich habe eben nach Fossilien
gegraben... {{TAG:0007:0000:14000000}}und rate mal, was
mir dabei untergekommen ist!
Ein Ei!{{TAG:0007:0000:14000000}} {{TAG:0003:000B:}}Meinst du, das ist von einem
Dinosaurier?{{TAG:0007:0000:14000000}} Dafür wäre es richtig
gut erhalten.{{TAG:0007:0000:14000000}} Es ist noch ganz bunt!","{{TAG:0003:0010:}}Fosil ararken ne bulduğumu asla tahmin
edemezsin{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Bir yumurta!{{TAG:0000:0004:}}{{TAG:0003:000B:}}Sence dinozor
yumurtası olabilir mi?{{TAG:0007:0000:14000000}} Ama o
kadar eskiyse renkleri nasıl hâlâ böyle canlı?{{TAG:0007:0000:14000000}}"
4,005,"{{TAG:0003:0025:}}I've been hearing some strange
reports today.{{TAG:0007:0001:}} Apparently some of
the rocks have eggs inside!{{TAG:0000:0004:}}{{TAG:0007:0000:28000000}}{{TAG:0003:000F:}}Wait.{{TAG:0007:0000:08000000}} What kind of bird could lay
its eggs inside a rock?","{{TAG:0003:0025:}}¿Sabes lo que me han dicho?
¡Que algunas rocas tienen
huevos dentro!{{TAG:0000:0004:}}{{TAG:0003:000F:}} ¡¿Pero qué clase de pájaro
los pondría ahí?!","{{TAG:0003:0025:}}Normalement, je ne suis pas du
genre à casser les rochers à coups
de pelle...
... mais j'ai changé d'avis quand j'ai
entendu qu'on pouvait y trouver des
œufs ! {{TAG:0007:0000:14000000}}Des œufs... C'est fou, non ?
{{TAG:0003:000F:}}Quel volatile peut bien pondre dans
des rochers ? Décidément, la nature
est pleine de mystères...","{{TAG:0003:0025:}}Oggi ho sentito una strana notizia.
{{TAG:0007:0001:}}Sembra che delle rocce nascondano
delle uova!
{{TAG:0003:000F:}}Ma che tipo di animale depone
le uova nella roccia?","{{TAG:0003:0025:}}Heute geht angeblich etwas
Komisches vor sich...{{TAG:0000:0004:}}Wenn man mit einer Schaufel an die
Felsen klopft{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}. {{TAG:0007:0000:14000000}}kann man wohl
manchmal Eier darin finden!
{{TAG:0003:000F:}}Was für ein seltsamer Vogel kann
seine Eier denn in einem Felsen
legen?!","{{TAG:0003:0025:}}Bugün çok tuhaf şeyler duyuyorum.{{TAG:0007:0001:}} Bazı
kayaların içinde yumurta varmış!{{TAG:0000:0004:}}{{TAG:0007:0000:28000000}}{{TAG:0003:000F:}}Bir
dakika.{{TAG:0007:0000:08000000}} Hangi kuş yumurtasını kayanın
içine bırakır ki?"
5,006,"{{TAG:0003:0010:}}I was shaking an ordinary tree to{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0003:001A:}}
well,{{TAG:0007:0000:08000000}} to see what would happen.{{TAG:0007:0000:28000000}}{{TAG:0003:0000:}}
But when I shook it,{{TAG:0007:0000:08000000}} an egg fell out!
{{TAG:0003:0015:}}It's too big to be from the birds
around here,{{TAG:0007:0000:08000000}} so someone must have
hidden it.{{TAG:0007:0000:14000000}} Maybe there are more!","Me he puesto a sacudir un árbol
para{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:001A:}} bueno, {{TAG:0007:0000:0A000000}}para ver qué pasaba.{{TAG:0003:0000:}}
{{TAG:0007:0000:14000000}}¡Y de repente ha caído un huevo!
{{TAG:0003:0015:}}Ningún pájaro de esta zona pone
huevos tan grandes,{{TAG:0007:0000:0A000000}} así que alguien
lo debe de haber escondido ahí{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.
¡A lo mejor hay más,{{TAG:0007:0000:0A000000}} {{TAG:0005:0007:}}!","{{TAG:0003:0010:}}Tout à l'heure, j'ai secoué un arbre
pour{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0003:001A:}} pour voir ce qui allait se
passer, tout simplement.
{{TAG:0003:0000:}}Bref, je secoue,{{TAG:0007:0000:08000000}} j'agite,{{TAG:0007:0000:08000000}} je pousse,{{TAG:0007:0000:08000000}}
je tire,{{TAG:0007:0000:08000000}} et qu'est-ce que je vois
tomber ?{{TAG:0007:0000:14000000}} Un œuf !
Mais pas un bête œuf d'oiseau, non !{{TAG:0007:0000:08000000}}
{{TAG:0003:0015:}}Celui-là était immense et de toutes
les couleurs !
Quelqu'un a dû le cacher... Si ça se
trouve, il y en a plein d'autres !","{{TAG:0003:0010:}}Poco fa ho scosso un albero{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0003:001A:}}
per vedere cosa succedeva.{{TAG:0007:0000:28000000}}{{TAG:0003:0000:}}
E ho trovato un uovo!
{{TAG:0003:0015:}}È troooppo grande e colorato
per essere di qualche uccello.
Qualcuno l'avrà nascosto lì!
{{TAG:0003:0017:}}Chissà se in giro ci sono altre uova?!","{{TAG:0003:0010:}}Ich habe einen Baum geschüttelt,
weil...{{TAG:0007:0000:14000000}}{{TAG:0003:001A:}} äh, weil ich sehen wollte,
ob Obst rausfällt, und plötzlich...
{{TAG:0003:0029:}}WUMMS!{{TAG:0007:0000:28000000}} Plötzlich fiel ein Ei aus
dem Geäst!{{TAG:0007:0000:14000000}}{{TAG:0003:0015:}} Ein ganz buntes, viel zu
bunt für die einheimischen Vögel!
Irgendjemand muss das Ei also
versteckt haben.{{TAG:0007:0000:14000000}} Vielleicht gibt
es ja noch mehr davon?","{{TAG:0003:0010:}}Sıradan bir ağacı sallıyordum, şey{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0003:001A:}}
yani,{{TAG:0007:0000:08000000}} ne olacak diye merak ettim.{{TAG:0007:0000:28000000}}{{TAG:0003:0000:}}
Sallayınca{{TAG:0007:0000:08000000}} içinden bir yumurta düştü!
{{TAG:0003:0015:}}Buradaki kuşlar için fazla büyük,{{TAG:0007:0000:08000000}} demek ki
biri saklamış.{{TAG:0007:0000:14000000}} Belki
daha fazlası da vardır!"
6,007,"{{TAG:0003:0026:}}Something incredible just happened!{{TAG:0007:0000:14000000}}
I was diving in the ocean to collect
marine life when I found an egg.
Not a normal egg,{{TAG:0007:0000:08000000}} either.{{TAG:0007:0000:14000000}} It's big
and colorful.{{TAG:0007:0000:14000000}}{{TAG:0003:0010:}} Maybe it belongs to a 
new species{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.a rainbow eggtopus!","{{TAG:0003:0026:}}¡Me ha pasado una cosa increíble!{{TAG:0007:0000:14000000}}
Estaba buceando en el mar y,
{{TAG:0007:0000:0A000000}}¿sabes qué he visto?{{TAG:0007:0001:}} ¡Un huevo!
No es un huevo normal.{{TAG:0007:0000:14000000}} Es grande
y de colores. {{TAG:0007:0000:14000000}}{{TAG:0003:0010:}}¡Quizá sea de alguna
especie aún por descubrir!","{{TAG:0003:0001:}}Tu ne devineras jamais ce qui vient
de se passer ! Alors que je nageais
pour observer la vie sous-marine...
... j'ai trouvé un œuf !{{TAG:0007:0000:14000000}} Mais rien à
voir avec un œuf de poisson ! Il était
immense et de toutes les couleurs !
{{TAG:0003:0010:}}Je pense avoir découvert une
nouvelle espèce :{{TAG:0007:0000:14000000}} l'autruche de
mer arc-en-ciel !","Non crederai jamais a cosa mi
è successo: ho trovato un uovo
durante un'immersione nell'oceano.
Ma non un uovo normale! {{TAG:0007:0000:14000000}}È grande
e colorato.{{TAG:0007:0000:14000000}}{{TAG:0003:0010:}} Forse è di una nuova
specie: il polipuovo arcobaleno!","{{TAG:0003:0001:}}Mir ist was ganz Verrücktes
passiert!{{TAG:0007:0000:14000000}} Ich war im Meer tauchen
und plötzlich finde ich ein Ei!
Kein normales Ei,{{TAG:0007:0000:0A000000}} ein ganz buntes Ei!{{TAG:0007:0000:14000000}}
{{TAG:0003:0010:}}Vielleicht gehört es zu einer neuen
Spezies?{{TAG:0007:0000:14000000}} Dem getupften Eierfisch!","{{TAG:0003:0026:}}Az önce inanılmaz bir şey oldu!{{TAG:0007:0000:14000000}} Denizde
canlı aramak için dalmıştım, bir yumurta
buldum. Üstelik sıradan bir yumurta
da değildi,{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Kocaman ve rengârenk.{{TAG:0007:0000:14000000}}{{TAG:0003:0010:}} Belki
yeni bir türe aittir{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.gökkuşağı yumurtapotu!"
7,008,"{{TAG:0003:0025:}}I just saw a balloon with a present
attached!{{TAG:0007:0000:14000000}} It looked like a different
kind of present too.
It's too bad I left my slingshot in my
other pockets,{{TAG:0007:0000:08000000}}{{TAG:0003:0015:}} or I would have shot
it down.","{{TAG:0003:0025:}}¡Acabo de ver un regalo atado a
un globo!{{TAG:0007:0000:14000000}} Pero no sé,{{TAG:0007:0000:0A000000}} el regalo
parecía como diferente, {{TAG:0007:0000:0A000000}}¿sabes?
{{TAG:0003:0015:}}Si hubiera tenido a mano mi
tirachinas,{{TAG:0007:0000:0A000000}} habría intentado darle.","{{TAG:0003:0025:}}Je viens de voir flotter un ballon
auquel était suspendu un drôle de
cadeau{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.
Malheureusement, j'avais oublié
mon lance-pierre dans mon autre
pantalon, et j'ai dû le laisser filer...","{{TAG:0003:0024:}}Ho appena visto un regalo fluttuare
in aria appeso a un palloncino!{{TAG:0007:0000:14000000}} Se
solo avessi avuto la fionda con me!
Ora non saprò mai cosa c'era
in quel pacchettino. Quel dommage!","{{TAG:0003:0025:}}Ich habe einen Luftballon mit einem
Geschenk dran gesehen!{{TAG:0007:0000:14000000}} Ein ganz
ungewöhnliches Geschenk...
Leider hatte ich meine Schleuder
nicht dabei, {{TAG:0003:0015:}}sonst wüsste ich jetzt,
was da drin war...","{{TAG:0003:0025:}}Az önce altında hediye olan bir balon
gördüm!{{TAG:0007:0000:14000000}} Hediye de farklı görünüyordu.
Sapanımı öbür ceplerimde bırakmış olmam
ne kötü,{{TAG:0007:0000:08000000}}{{TAG:0003:0015:}} yoksa vurup indirirdim."
8,009,"{{TAG:0003:0010:}}I tried to eat one of those strange,
colorful eggs I found,{{TAG:0007:0000:08000000}} but when I bit
into it,{{TAG:0007:0000:08000000}} I found some kind of ticket!
Have you tried to eat any eggs yet?","He intentado comerme uno de esos
huevos de colores tan extraños,
{{TAG:0007:0000:0A000000}}{{TAG:0003:0010:}}¡pero tenía un vale dentro!
{{TAG:0003:0017:}}¿Te ha pasado alguna vez algo así?","{{TAG:0003:0010:}}J'ai essayé de boulotter un de ces
œufs bariolés, mais en le cassant...{{TAG:0000:0004:}}... voilà que je tombe sur une sorte
de ticket à l'intérieur ! {{TAG:0007:0000:14000000}}Tu as déjà
essayé de manger un de ces œufs ?","{{TAG:0003:0010:}}Volevo usare quelle strane uova
colorate per fare una torta...{{TAG:0000:0004:}}... ma quando le ho aperte,{{TAG:0007:0000:08000000}}
dentro ci ho trovato dei buoni
premio! Bizarre, n'est-ce pas?
Tu hai mai provato a mangiarle?","{{TAG:0003:0010:}}Ich wollte eines der bunten Eier
essen, die ich gefunden hatte, aber
dann war nur eine Art Zettel drin!
{{TAG:0003:000D:}}Das erwartet doch niemand von
einem Ei!{{TAG:0007:0000:14000000}}{{TAG:0003:0025:}} Hast du denn heute schon
versucht, eins zu essen?","{{TAG:0003:0010:}}Bulduğum o tuhaf, rengârenk
yumurtalardan birini yemeyi denedim,{{TAG:0007:0000:08000000}}
ama ısırınca{{TAG:0007:0000:08000000}} içinde bir çeşit bilet buldum!
Sen hiç yumurtalardan yedin mi?"
9,010,"{{TAG:0003:0010:}}The eggs I've been collecting don't
have yolks in them!{{TAG:0007:0000:14000000}} They're
something else entirely!{{TAG:0000:0004:}}{{TAG:0003:0025:}}You should try eating an egg to see
what you find!","{{TAG:0003:0010:}}¡Los huevos que he ido recogiendo
no tienen yema dentro, {{TAG:0007:0000:0A000000}}sino una
especie de vale extraño!
{{TAG:0003:0025:}}¿Has intentado comerte tú alguno
de los tuyos? {{TAG:0007:0000:14000000}}¡A ver qué encuentras!","{{TAG:0003:0010:}}Les œufs que j'ai ramassés ne sont
pas ordinaires...{{TAG:0007:0000:14000000}} Ne t'attends pas à
y trouver du bête jaune d'œuf...
{{TAG:0003:0025:}}Essaie d'en manger un, tu m'en
diras des nouvelles !","{{TAG:0003:0010:}}Non posso fare una frittata con
le uova che sto raccogliendo perché
non hanno né il tuorlo né l'albume!{{TAG:0007:0000:14000000}}
{{TAG:0003:0025:}}Prova ad aprirne uno per vedere
cosa contiene!","{{TAG:0003:0010:}}Die Eier, die ich gesammelt habe,
sehen innen gar nicht aus wie
richtige Eier!
{{TAG:0003:0025:}}Du solltest mal eines essen
und gucken, was da drin ist!","{{TAG:0003:0010:}}Topladığım yumurtaların içinde sarı yok!{{TAG:0007:0000:14000000}}
Bambaşka şeyler var!{{TAG:0000:0004:}}{{TAG:0003:0025:}}Sen de bir yumurta
yiyip içinden ne çıktığına baksana!"
