index,key,F,G,I,S,U,TR
0,MID_様子_リズ_前,"C'est sympa d'être entourée de gens aussi
forts que toi ! On fait équipe ?","Es ist toll, starke Leute wie dich um mich zu
haben. Kämpfen wir demnächst zusammen?","È bello avere alleati forti come te. La
prossima volta combattiamo insieme?","Siempre conviene tener cerca a alguien tan
valiente. ¿Nos apoyamos la próxima vez?","It's nice having strong people like you
around. Can we team up next time?","Etrafta senin gibi güçlü biri olması iyi.
Bir dahaki sefere takım olalım mı?"
1,MID_様子_リズ_前_無言,NOT USED,NOT USED,NOT USED,NOT USED,NOT USED,KULLANILMADI
2,MID_様子_リズ_前_通さん,"C'est sympa d'être entourée de gens aussi
forts que toi ! On fait équipe ?","Es ist toll, starke Leute wie dich um mich zu
haben. Kämpfen wir demnächst zusammen?","È bello avere alleati forti come te. La
prossima volta combattiamo insieme?","Siempre conviene tener cerca a alguien tan
valiente. ¿Nos unimos la próxima vez?","It's nice having strong people like you
around. Can we team up next time?","Etrafta senin gibi güçlü biri olması iyi.
Bir dahaki sefere takım olalım mı?"
3,MID_様子_リズ_前_特殊,"On fait équipe ? Avec un frère comme toi,
on ne viendra pas me chercher des noises !","Es ist toll, starke Leute wie dich um mich zu
haben. Kämpfen wir demnächst zusammen?","È bello avere alleati forti come te. La
prossima volta combattiamo insieme?","Es estupendo tener a alguien como tú
cerca. ¿Luchas a mi lado la próxima vez?","It's nice having strong people like you
around. Can we team up next time?","Etrafta senin gibi güçlü biri olması iyi.
Bir dahaki sefere takım olalım mı?"
4,MID_様子_リズ_前_特殊E,"Emmeryn, tu veux qu'on fasse équipe ?
Il faut que tu voies mes progrès !","Emm, lass uns mal zusammen kämpfen.
Ich will dir zeigen, wie stark ich jetzt bin!","Emmeryn, la prossima battaglia combatti
al mio fianco, così vedi i miei progressi!","Emmi, luchemos juntas la próxima vez.
¡Te demostraré lo fuerte que me he hecho!","Emm, let's fight together during the next
battle. I want to show you how strong I got!","Emm, sonraki savaşta birlikte dövüşelim.
Ne kadar güçlendiğimi göstereyim!"
5,MID_様子_リズ_後,"D'accord ! Je me battrai à fond ! Les gros
méchants n'ont qu'à bien se tenir !","Klar! Ich tue mein Bestes! Zusammen zeigen
wir es den bösen Jungs schon!","Va bene, farò del mio meglio. Insieme
potremo opporre resistenza ai cattivoni.","¡Vale! Me emplearé a fondo.
¡Acabaremos con todos los malos!","Okay! I'll do my best. Together we can
take whatever the bad guys throw at us.","Olur! Elimden geleni yaparım.
Birlikte her şeyin üstesinden geliriz."
6,MID_様子_リズ_後_通さん,"D'accord ! Je me battrai à fond ! Les gros
méchants n'ont qu'à bien se tenir !","Klar! Ich tue mein Bestes! Zusammen zeigen
wir es den bösen Jungs schon!","Va bene, farò del mio meglio. Insieme
potremo opporre resistenza ai cattivoni.","¡Vale! Me emplearé a fondo.
¡Acabaremos con todos los malos!","Okay! I'll do my best. Together we can
take whatever the bad guys throw at us.","Olur! Elimden geleni yaparım.
Birlikte her şeyin üstesinden geliriz."
7,MID_様子_リズ_後_特殊,"D'accord ! Je me battrai à fond ! Les gros
méchants n'ont qu'à bien se tenir !","Klar! Ich tue mein Bestes! Zusammen zeigen
wir es den bösen Jungs schon!","Va bene, farò del mio meglio. Insieme
potremo opporre resistenza ai cattivoni.","¡Vale! Me emplearé a fondo.
¡Acabaremos con todos los malos!","Okay! I'll do my best. Together we can
take whatever the bad guys throw at us.","Olur! Elimden geleni yaparım.
Birlikte her şeyin üstesinden geliriz."
8,MID_様子_リズ_後_特殊E,"Bien sûr, Emmeryn ! Je ne laisserai personne
te faire à nouveau du mal ! Je le jure !","Natürlich, Emm! Ich lasse nicht zu, dass
du noch mal verletzt wirst! Versprochen!","Certo, Emmeryn! Non permetterò
che ti facciano di nuovo del male!","¡Por supuesto, Emmi! No dejaré que te
vuelvan a hacer daño. ¡Lo prometo!","Of course, Emm! I'll never let anybody
hurt you again. I promise!","Tabii Emm! Bir daha kimse seni
incitemeyecek. Söz veriyorum!"
9,MID_様子_リズ_後_無言,NOT USED,NOT USED,NOT USED,NOT USED,NOT USED,KULLANILMADI
10,MID_様子_リズ_前_親子_子,"À quoi ressemblait ta vie dans le futur,
$Np ?","Wie war es für dich in der Zukunft,
$Np?","Com'era la vita nel futuro, $Np?","¿Cómo es el futuro, $Np?
¿Qué solías hacer antes de conocernos?","What was the future like for you,
$Np?","Senin için gelecek nasıldı?
$Np?"
11,MID_様子_リズ_後_親子_子,"Eh bien, figure-toi que j'ai combattu aux
côtés des Veilleurs, comme tout le monde.$k$pJ'étouffais de vivre à la cour, tu vois ?
C'est important de poursuivre ses rêves !$k$pIl faut que tu fasses pareil, $Np.
Tu dois croire en tes capacités !
","Glaub es oder nicht, aber ich habe mit den
Hirten zusammen gekämpft.$k$pDas Leben am Hof war mir zu steif. Man
muss seinen Träumen folgen, richtig?$k$pDas gilt auch für dich, $Np.
Lass dich nicht ärgern. Glaub an dich!","Beh, credici o no, ho combattuto
anch'io tra le file dei Pastori.$k$pLa vita di corte era troppo opprimente
e ho preferito inseguire i miei sogni.$k$pE tu dovresti fare altrettanto,
$Np, e credere in te!","Bueno, quizá no te lo creas, pero luchaba
con los Custodios. Me aburría en la corte.$k$pYo tenía otros sueños y... bueno, los sueños
están para cumplirlos, ¿no?$k$pSigue mi consejo, $Np. Da igual
que se burlen. ¡Ten fe en ti!","Well, believe it or not, I fought with the
Shepherds like the rest.$k$pThe court was too stuffy for me.
Gotta follow your dreams, right?$k$pSame goes for you, $Np. So what
if people mock you? Believe in yourself!","İster inanın ister inanmayın, diğerleri
gibi ben de Çobanlarla savaştım.$k$pSaray hayatı bana fazla boğucuydu.
Hayallerinin peşinden gitmelisin, değil mi?$k$pSen de öylesin, $Np.
Alay etseler ne olur? Kendine inan!"
