index,key,F,G,I,S,U,TR
0,MID_様子_フレデリク_前_敬さん,"L'ennui ne vous gagne jamais, on dirait.
Que faites-vous entre chaque bataille ?","Ihr langweilt Euch nie, nicht wahr?
Was tut Ihr an einem regnerischen Tag?","Sembra che voi non conosciate la noia.
Che cosa fate nelle giornate uggiose?","Me gustaría saber en qué emplea su tiempo
libre cada uno de mis camaradas.","You never seem bored, do you?
How do you spend your rainy days?","Hiç sıkılmıyorsunuz gibi.
Yağmurlu günleri nasıl geçirirsiniz?"
1,MID_様子_フレデリク_前,"L'ennui ne vous gagne jamais, on dirait.
Que faites-vous entre chaque bataille ?","Ihr langweilt Euch nie, nicht wahr?
Was tut Ihr an einem regnerischen Tag?","Sembra che voi non conosciate la noia.
Che cosa fate nelle giornate uggiose?","Me gustaría saber en qué emplea su tiempo
libre cada uno de mis camaradas.","You never seem bored, do you?
How do you spend your rainy days?","Hiç sıkılmıyorsun gibi.
Yağmurlu günleri nasıl geçirirsin?"
2,MID_様子_フレデリク_前_敬様,"L'ennui ne vous gagne jamais, on dirait.
Que faites-vous entre chaque bataille ?","Ihr langweilt Euch nie, nicht wahr?
Was tut Ihr an einem regnerischen Tag?","Sembra che voi non conosciate la noia.
Che cosa fate nelle giornate uggiose?","Me gustaría saber en qué emplea su tiempo
libre cada uno de mis camaradas.","You never seem bored, do you?
How do you spend your rainy days?","Hiç sıkılmıyorsunuz gibi.
Yağmurlu günleri nasıl geçirirsiniz?"
3,MID_様子_フレデリク_前_敬殿,"L'ennui ne vous gagne jamais, on dirait.
Que faites-vous entre chaque bataille ?","Ihr langweilt Euch nie, nicht wahr?
Was tut Ihr an einem regnerischen Tag?","Sembra che voi non conosciate la noia.
Che cosa fate di solito nell'accampamento?","Me gustaría saber en qué emplea su tiempo
libre cada uno de mis camaradas.","You never seem bored, do you?
How do you spend your days in camp?","Hiç sıkılmış gibi görünmüyorsun, değil mi?
Kampta günlerinizi nasıl geçiriyorsunuz?"
4,MID_様子_フレデリク_後_敬さん,"Pour ma part, je pars en forêt cueillir des
morilles. L'air sylvestre me revigore...","Wenn ich nicht den Hirten diene? Dann
sammle ich gerne Pilze.","Quando non sono al servizio dei Pastori?
Cerco funghi rari.","Pues yo, cuando no estoy velando por el
bienestar de los Custodios... recojo setas.","You mean when I'm not serving the
Shepherds? I gather rare mushrooms.","Çobanlara hizmet etmediğim zamanı mı?
Nadir mantar toplarım."
5,MID_様子_フレデリク_後_敬様,"Pour ma part, je pars en forêt cueillir des
morilles. L'air sylvestre me revigore...","Wenn ich nicht den Hirten diene? Dann
sammle ich gerne Pilze.","Quando non sono al servizio dei Pastori?
Cerco funghi rari.","Pues yo, cuando no estoy velando por el
bienestar de los Custodios... recojo setas.","You mean when I'm not serving the
Shepherds? I gather rare mushrooms.","Çobanlara hizmet etmediğim zamanı mı?
Nadir mantar toplarım."
6,MID_様子_フレデリク_後_敬殿,"Pour ma part, je pars en forêt cueillir des
morilles. L'air sylvestre me revigore...","Wenn ich nicht den Hirten diene? Dann
sammle ich gerne Pilze.","Quando non sono al servizio dei Pastori?
Cerco funghi rari.","Pues yo, cuando no estoy velando por el
bienestar de los Custodios... recojo setas.","You mean when I'm not serving the
Shepherds? I gather rare mushrooms.","Çobanlara hizmet etmediğim zamanı mı?
Nadir mantar toplarım."
7,MID_様子_フレデリク_後_無言,NOT USED,NOT USED,NOT USED,NOT USED,NOT USED,KULLANILMADI
8,MID_様子_フレデリク_前_親子_子,"Vous avez l'air éreinté, $Np.
Puis-je vous être utile ?","Du wirkst sehr müde, $Np.
Kann ich dir irgendwie behilflich sein?","Hai un'aria molto stanca, $Np.
Posso fare qualcosa per te?","¿Puedo ayudarte de algún modo? Tu mirada
denota extenuación, $Np.","You seem dreadfully tired, $Np.
Is there anything I can do for you?","Çok yorgun görünüyorsun, $Np.
Senin için ne yapabilirim?"
9,MID_様子_フレデリク_後_親子_子,"Point d'inquiétude. Je suis en pleine
forme, comme d'habitude.","Oh, keine Sorge. Ich bin wie immer in
hervorragender Form.","Oh, non è nulla. Sono in
forma, come sempre.","No hay de qué preocuparse. Mi forma
física es inmejorable.","Oh, don't worry. I'm in as good
a shape as I've ever been.","Ah, endişelenme. Hiç
olmadığim kadar iyi durumdayim."
10,MID_様子_フレデリク_前_恋人,"Vous êtes si belle, $Np...
Garder mes yeux sur la bataille est un défi.","Du bist so schön, $Np. Ich darf
dich im Kampf nicht ständig so anstarren.","Siete bella, $Np. Devo resistere
alla tentazione di ammirarvi in battaglia.","¡Eres tan bella, $Np!... No puedo
dejar de mirarte, ni siquiera en combate.","You are so beautiful, $Np. I must
take care not to stare on the battlefield.","Çok güzelsin, $Np. Savaşta sana
dalıp bakmamaya dikkat etmeliyim."
11,MID_様子_フレデリク_後_恋人,"Je ne sais si je les mérite, mais ces douces
paroles m'enhardiront pendant la bataille.","Danke. Ich bin dieser Worte unwürdig, aber
sie werden mich durch alle Kämpfe tragen!","Grazie. Le vostre parole, tanto generose,
mi sosterranno nelle battaglie a venire.","Gracias. No merezco tales palabras, mas en
ellas encuentro la fuerza para luchar por ti.","Thank you. I hardly deserve them, but those
words shall carry me in the battles to come.","Teşekkür ederim. Bunları pek hak etmiyorum
ama bu sözler beni gelecek savaşlara
taşıyacak."
