index,key,F,G,I,S,U,TR
0,MID_様子_マルス_前,Avez-vous un rêve ?,Was wünschst du dir für die Zukunft?,Quali sono i sogni per il futuro?,"Solo ansío una cosa: deshacer el aciago
futuro que se cierne sobre el mundo.",Do you have any dreams for the future?,Geleceğe dair hayalleriniz var mı?
1,MID_様子_マルス_前_無言,NOT USED,NOT USED,NOT USED,NOT USED,NOT USED,KULLANILMADI
2,MID_様子_マルス_前_敬さん,Avez-vous un rêve ?,Was wünscht Ihr Euch für die Zukunft?,Quali sono i sogni per il futuro?,"Solo ansío una cosa: deshacer el aciago
futuro que se cierne sobre el mundo.",Do you have any dreams for the future?,Geleceğe dair hayalleriniz var mı?
3,MID_様子_マルス_後,"Moi, je rêve de changer le sombre avenir
qui nous attend, quoiqu'il m'en coûte.","Nur, die dunkle Zukunft abzuwenden.
Dafür würde ich mein Leben geben.","Vorrei cambiare il corso del destino.
Darei la vita per un futuro migliore.","Pues yo solo ansío deshacer el nefasto
futuro que se cierne sobre nosotros.","Only to undo the dark future to come. I'd
give my life to see that dream realised.","Yaklaşan karanlık geleceği silmek için.
Bu uğurda canımı veririm."
4,MID_様子_マルス_後_敬さん,"Moi, je rêve de changer le sombre avenir
qui nous attend, quoiqu'il m'en coûte.","Nur, die dunkle Zukunft abzuwenden.
Dafür würde ich mein Leben geben.","Vorrei cambiare il corso del destino.
Darei la vita per un futuro migliore.","Pues yo solo ansío deshacer el nefasto
futuro que se cierne sobre nosotros.","Only to undo the dark future to come. I'd
give my life to see that dream realised.","Yaklaşan karanlık geleceği silmek için.
Bu uğurda canımı veririm."
5,MID_様子_マルス_後_無言,NOT USED,NOT USED,NOT USED,NOT USED,NOT USED,KULLANILMADI
6,MID_様子_マルス_前_親子_子,"Linfan, que diriez-vous de nous entraîner
ensemble ? Je veux vous voir combattre.","Linfan, lass uns trainieren. Ich will sehen,
wozu meine Tochter fähig ist.","Linfan, perché non ci alleniamo un po'?
Voglio vedere di cosa è capace mia figlia.","Linfan, vamos a entrenar juntas un rato.
Quiero ver de lo que eres capaz.","Morgan, why don't we train for a bit? I want
to see what my daughter is capable of.","Morgan, biraz idman yapalım mı?
Kızımın neler yapabildiğini göreyim."
7,MID_様子_マルス_後_親子_子,"Fort bien. Un jour peut-être, il vous faudra
brandir Falchion.","Nun gut. Schließlich wirst du eines Tages
Falchion führen müssen.","Va bene. Dopotutto, un giorno potresti
dovere imparare a brandire Falchion.","Está bien. Al fin y al cabo, algún día tendré
que enseñarte a empuñar la Falchion.","Very well. After all, you will need to
learn to wield Falchion one day.","Çok iyi. Sonuçta bir gün Falchion'u
kullanmayı öğrenmen gerekecek."
8,MID_様子_マルス_前_親子_母,"Mère, faisons un duel culinaire ! Et laissons
père nous départager !","Mutter, lass uns um die Wette kochen, um
zu sehen, was Vater lieber isst!","Mamma, perché non facciamo una gara
a chi cucina il piatto più prelibato?","Madre, ¿por qué no hacemos un concurso
de cocina a ver qué plato prefiere padre?","Mother, why don't we have a little contest
to see whose cooking Father prefers?","Anne, babam kimin yemeğini seçecek diye
küçük bir yarış yapalım mı?"
9,MID_様子_マルス_後_親子_母,"Vous souhaitez faire un duel ? Je préférerais
l'éviter, à moins que vous insistiez.","Ein Wettstreit? Lieber nicht... Aber wenn
du darauf bestehst.","Una sfida? Preferirei di no...
Ma se insisti, non mi tirerò indietro.","No estoy muy segura de querer enfrentarme
a ti, pero aceptaré si tanto insistes.","A contest? I'd rather not...but if you insist,
I will not hold back.","Bir yarışma mı? Yapmamayı tercih ederim...
ama eğer ısrar edersen, geri durmayacağım."
10,MID_様子_マルス_前_親子_父,"Père, j'aimerais vous affronter à nouveau.
J'ai encore beaucoup à apprendre.","Vater, darf ich dich zum Duell fordern?
Ich muss noch viel lernen.","Papà, posso sfidarti a un altro duello?
Ho ancora molto da imparare.","¡Padre, te reto a otro duelo!
Tengo mucho que aprender de ti.","Father, can I challenge you to another
fight? I still have much to learn.","Baba, seni başka bir dövüşe davet edebilir
miyim? Hâlâ öğreneceğim çok şey var."
11,MID_様子_マルス_後_親子_父,"Bien sûr, père ! J'ai perdu le combat dans
l'arène, mais je me suis entraînée depuis !","Natürlich, Vater! Ich verlor in der Arena,
aber seitdem bin ich stärker geworden!","Certo, papà! Avrò anche perso la battaglia
nell'arena, ma sono migliorata da allora!","¡Por supuesto, padre! Perdí en Ferox frente
a ti, pero he aprendido nuevas técnicas.","Of course, Father! I lost the battle in the
arena, but much has changed since then!","Elbette baba! Arenadaki savaşı kaybettim
ama o zamandan beri çok şey değişti!"
12,MID_様子_マルス_前_恋人,"Je vous aime, $Np. Puissent
les dieux ne jamais nous séparer.","Ich liebe dich, $Np.
Mögen wir für immer zusammen sein.","Ti amo, $Np.
Voglio stare sempre con te.","Te quiero, $Np. Deseo que
estemos juntos para siempre.","I love you, $Np.
May we be together always.","Seni seviyorum,
$Np. Hep birlikte olmamız dileğiyle."
13,MID_様子_マルス_後_恋人,"Vous comptez tellement à mes yeux !
Je vous défends de mourir !","Ich liebe dich auch. Wage es also nicht,
da draußen zu sterben.","Anch'io ti amo. Non ti azzardare
a morire, intesi?","Yo también te quiero, así que no se te
ocurra morir en combate, ¿de acuerdo?","I love you as well. Don't you dare
think of dying out there.","Ben de seni seviyorum. Orada
ölmeyi düşünmeye cesaret etme."
