entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:0003:0020:}}Oh!{{TAG:0007:0000:14000000}} {{TAG:000E:0003:}}{{TAG:0005:0008:}}!
Seizin' the day, huh? I'm startin' off
full throttle too, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0020:}}¡Ah!{{TAG:0007:0000:14000000}} ¡{{TAG:000E:0003:}}{{TAG:0005:0008:}}! Sí que madrugas.{{TAG:0007:0000:28000000}}
Yo estoy mentalizándome para ir a
tope todo el día, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}.","{{TAG:0003:0020:}}B'jour {{TAG:0005:0000:}}-{{TAG:000E:0006:04006C00650004006C006100}}-lève-tôt !{{TAG:0007:0000:28000000}}
Hi hi, moi aussi j'voulais profiter à
fond d'ma journée,{{TAG:0007:0000:14000000}} {{TAG:0005:0007:}} !","{{TAG:0003:0020:}}Oh!{{TAG:0007:0000:14000000}} {{TAG:000E:0003:}}{{TAG:0005:0008:}}!{{TAG:0000:0004:}}Ti sei svegliat{{TAG:000E:0006:02006F0002006100}} presto, oggi.{{TAG:0007:0000:28000000}}
Anche io ho deciso di non perdere
tempo, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}.","{{TAG:0003:0020:}}Oh!{{TAG:0007:0000:14000000}} {{TAG:000E:0003:}}{{TAG:0005:0008:}}! Biste schon wach?{{TAG:0007:0000:28000000}}
Ich starte heut auch mit Vollgas
in den Tag, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}.","{{TAG:0003:0020:}}Hey! Günün nasıl gidiyor?{{TAG:0007:0000:14000000}}
Enerjin yerinde olsun!{{TAG:000E:0003:}}{{TAG:0005:0008:}}!{{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!"
1,002,"{{TAG:0003:0020:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Morning, {{TAG:0005:0008:}}{{TAG:0007:0007:}}!{{TAG:0000:0004:}}{{TAG:0003:0000:}}I made myself get up early so you
wouldn't outshine me!{{TAG:0007:0000:28000000}} {{TAG:0003:0019:}}Yaaaaaawn{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
So sleepy...","{{TAG:0003:0020:}}¡{{TAG:000E:0003:}}{{TAG:0007:0006:}}Buenos días, {{TAG:0005:0008:}}{{TAG:0007:0007:}}!
He hecho el esfuerzo de levantarme
pronto para no ser menos que tú.
{{TAG:0003:0000:}}¡Pero ya me estoy arrepintiendo!{{TAG:0007:0000:28000000}}
{{TAG:0003:0019:}}Uaaaaaah{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} ¡Estoy sobada! ¡No voy
a aguantar todo el día ni de palo!","{{TAG:0003:0020:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Bonjour, {{TAG:0005:0008:}}{{TAG:0007:0007:}} !{{TAG:0000:0004:}}{{TAG:0003:0000:}}Tout c'que j'voulais aujourd'hui,
c'était m'lever avant toi.{{TAG:0007:0000:0F000000}}{{TAG:0003:0026:}} Et j'ai
réussi !{{TAG:0007:0000:28000000}}{{TAG:0003:0000:}} {{TAG:0003:0019:}}Oouuah{{TAG:0007:0000:0F000000}}.{{TAG:0007:0000:0F000000}}.{{TAG:0007:0000:0F000000}}.{{TAG:0007:0000:14000000}} Mais à quel prix...","{{TAG:0003:0020:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Buongiorno, {{TAG:0005:0008:}}{{TAG:0007:0007:}}!{{TAG:0000:0004:}}{{TAG:0003:0000:}}Mi sono impegnata per svegliarmi
presto e batterti sul tempo!{{TAG:0007:0000:28000000}}
{{TAG:0003:0019:}}Yaaaaaawn{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Che sonno...","{{TAG:0003:0020:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Morgen, {{TAG:0005:0008:}}{{TAG:0007:0007:}}!{{TAG:0000:0004:}}{{TAG:0003:0000:}}Bin heut extra früh aufgestanden!{{TAG:0007:0000:28000000}}
{{TAG:0003:0019:}}Gäääääähn{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
Extrem uncool{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.","{{TAG:0003:0020:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Günaydın! Güne tam gaz
başlamışsın. Ben de ayaktayım!{{TAG:0005:0008:}}{{TAG:0007:0007:}}{{TAG:0000:0004:}}{{TAG:0003:0000:}} !{{TAG:0007:0000:28000000}}{{TAG:0003:0019:}}{{TAG:0007:0000:08000000}}{{TAG:0007:0000:08000000}}{{TAG:0007:0000:08000000}}{{TAG:0007:0000:14000000}}"
2,003,"{{TAG:0003:000F:}}Yo, {{TAG:0005:0008:}}!{{TAG:0007:0000:28000000}}
You're already up{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}and at 'em!
{{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:000F:}}¡Caramba, {{TAG:0005:0008:}}!{{TAG:0007:0000:28000000}}
Ya estás levantad{{TAG:000E:0006:02006F0002006100}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} ¡y preparad{{TAG:000E:0006:02006F0002006100}}
para lo que venga, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!","{{TAG:0003:000F:}}Mazette, {{TAG:0005:0008:}} !{{TAG:0007:0000:0F000000}}
Déjà debout{{TAG:0007:0000:0F000000}}.{{TAG:0007:0000:0F000000}}.{{TAG:0007:0000:0F000000}}.{{TAG:0007:0000:14000000}} et en totale
effervescence !{{TAG:0007:0000:0F000000}} {{TAG:000E:0003:}}{{TAG:0005:0007:}} !","{{TAG:0003:000F:}}Ehi, {{TAG:0005:0008:}}!{{TAG:0007:0000:28000000}}
Sei già svegli{{TAG:000E:0006:02006F0002006100}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} e in piena attività!
{{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:000F:}}Hey, {{TAG:0005:0008:}}!{{TAG:0007:0000:28000000}} Du siehst aus, als
hättste dir für heute einiges
vorgenommen! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:000F:}}Hey! Günün nasıl gidiyor?
Enerjin yerinde olsun!{{TAG:0005:0008:}}{{TAG:0007:0000:28000000}}{{TAG:0007:0000:08000000}}{{TAG:0007:0000:08000000}} !{{TAG:0007:0000:08000000}}{{TAG:0007:0000:08000000}}{{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!"
3,004,"{{TAG:0003:0026:}}Hey, what's up, {{TAG:0005:0008:}}?{{TAG:0007:0000:28000000}}
{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0026:}}¡Hola! ¿Cómo va eso, {{TAG:0005:0008:}}?{{TAG:0007:0000:28000000}}
¡{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0026:}}Hello ! Bien, {{TAG:0005:0008:}} ?{{TAG:0007:0000:28000000}}
{{TAG:000E:0003:}}{{TAG:0005:0007:}} !","{{TAG:0003:0026:}}Ehi, come te la passi, {{TAG:0005:0008:}}?{{TAG:0007:0000:28000000}}
{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0026:}}Hey, {{TAG:0005:0008:}}, was geht?{{TAG:0007:0000:28000000}}
{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0026:}}Hey! Günün nasıl gidiyor?
Enerjin yerinde olsun!{{TAG:0005:0008:}}{{TAG:0007:0000:28000000}} !{{TAG:000E:0003:}}{{TAG:0005:0007:}}!"
4,005,"{{TAG:0003:000F:}}Well, well. If it isn't {{TAG:0005:0008:}}!
{{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:000F:}}Vaya, vaya... ¡Pero si es
{{TAG:0005:0008:}},{{TAG:0007:0000:14000000}} {{TAG:0005:0007:}}!","{{TAG:0003:000F:}}Tiens, tiens. {{TAG:000E:0003:}}{{TAG:0005:0008:}} !{{TAG:0007:0000:14000000}}
{{TAG:000E:0003:}}{{TAG:0005:0007:}} !","{{TAG:0003:000F:}}Bene, bene. Guarda un po' chi
si vede, {{TAG:0005:0008:}}!
{{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:000F:}}{{TAG:000E:0003:}}{{TAG:0005:0008:}}? Tach auch!
{{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:000F:}}Hey! Günün nasıl gidiyor?
Enerjin yerinde olsun!{{TAG:0005:0008:}}!{{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!"
5,006,"{{TAG:0003:0020:}}Oho! {{TAG:000E:0003:}}{{TAG:0005:0008:}}!{{TAG:0007:0000:28000000}} Howdy!
{{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0020:}}¿Qué tal va eso, {{TAG:0005:0008:}}?{{TAG:0007:0000:28000000}}
¡Muy buenas,{{TAG:0007:0000:14000000}} {{TAG:0005:0007:}}!","{{TAG:0003:0020:}}Hi hi, {{TAG:0005:0008:}} !{{TAG:0007:0000:14000000}} Salut !{{TAG:0007:0000:14000000}}
{{TAG:000E:0003:}}{{TAG:0005:0007:}} !","{{TAG:0003:0020:}}Oh! {{TAG:000E:0003:}}{{TAG:0005:0008:}}!{{TAG:0007:0000:28000000}} Buondì!
{{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0020:}}{{TAG:000E:0003:}}{{TAG:0005:0008:}}!{{TAG:0007:0000:28000000}} Hau rein!
{{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0020:}}Hey! Günün nasıl gidiyor?
Enerjin yerinde olsun!{{TAG:000E:0003:}}{{TAG:0005:0008:}}{{TAG:0007:0000:28000000}} !{{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!"
6,007,"{{TAG:0003:000F:}}Hey, {{TAG:0005:0008:}}.{{TAG:0007:0000:28000000}}
{{TAG:0003:0009:}}I got lost in thought.{{TAG:0007:0000:28000000}} And now it's
already evening, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!","{{TAG:0003:000F:}}¡Anda, {{TAG:0005:0008:}}!{{TAG:0007:0000:28000000}} {{TAG:0003:0009:}}Estaba
pensando en las musarañas...{{TAG:0007:0000:28000000}}{{TAG:0000:0004:}}¡Y ahora ya casi es de noche!
¡Qué mal, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0020:}}Hep, {{TAG:0005:0008:}}.{{TAG:0007:0000:28000000}} {{TAG:0003:0025:}}J'étais perdue
dans mes pensées et j'ai pas vu
l'soir arriver,{{TAG:0007:0000:0F000000}} {{TAG:0005:0007:}} !","{{TAG:0003:000F:}}Ehi, {{TAG:0005:0008:}}.{{TAG:0007:0000:28000000}}
{{TAG:0003:0009:}}Mi sono persa nei miei pensieri.{{TAG:0007:0000:28000000}}
E ora è già sera, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!","{{TAG:0003:000F:}}Hey, {{TAG:0005:0008:}}!{{TAG:0007:0000:28000000}}
{{TAG:0003:0009:}}Wird schon dunkel draußen.{{TAG:0007:0000:14000000}} Fall mir
nicht in ein Loch, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!","{{TAG:0003:000F:}}Akşam olmuş bile. Karanlıkta
dikkatli ol, tamam mı?{{TAG:0005:0008:}}{{TAG:0007:0000:28000000}}{{TAG:0003:0009:}} !{{TAG:0007:0000:28000000}}{{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!"
7,008,"{{TAG:0003:000F:}}Whoa, it's {{TAG:0005:0008:}}!{{TAG:0007:0000:28000000}}
Burning the candle at both ends, eh?
{{TAG:0003:0025:}}{{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:000F:}}¡Caramba, {{TAG:0005:0008:}}!{{TAG:0007:0000:28000000}} Tú también
crees que la noche es joven, ¿eh?
{{TAG:0003:0025:}}{{TAG:0007:0000:14000000}}¡{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:000F:}}Tiens donc, {{TAG:0005:0008:}} !{{TAG:0007:0000:28000000}}
Tu carbures à quoi, franchement ?
{{TAG:0003:0025:}}{{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}} ?","{{TAG:0003:000F:}}Oh, chi si vede, {{TAG:0005:0008:}}!{{TAG:0007:0000:28000000}}
Se fosse per te non andresti mai
a dormire, eh? {{TAG:0003:0025:}}{{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:000F:}}Boah, {{TAG:0005:0008:}}!{{TAG:0007:0000:28000000}}
Kommst wohl heute auch nicht zur
Ruhe, oder? {{TAG:0003:0025:}}{{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:000F:}}Hey! Günün nasıl gidiyor?
Enerjin yerinde olsun!{{TAG:0005:0008:}}{{TAG:0007:0000:28000000}} !{{TAG:0003:0025:}}{{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!"
8,009,"{{TAG:0003:0020:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Evenin', {{TAG:0005:0008:}}{{TAG:0007:0007:}}!
{{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0020:}}¡{{TAG:000E:0003:}}{{TAG:0007:0006:}}Buenas noches, {{TAG:0005:0008:}}{{TAG:0007:0007:}}!
{{TAG:0007:0000:14000000}}¡{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0020:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}B'soir, {{TAG:0005:0008:}}{{TAG:0007:0007:}} !{{TAG:0007:0000:14000000}}
{{TAG:000E:0003:}}{{TAG:0005:0007:}}.","{{TAG:0003:0020:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Buonasera, {{TAG:0005:0008:}}{{TAG:0007:0007:}}!
{{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0020:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}'n Abend, {{TAG:0005:0008:}}{{TAG:0007:0007:}}!
{{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0020:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Hey! Günün nasıl gidiyor?
Enerjin yerinde olsun!{{TAG:0005:0008:}}{{TAG:0007:0007:}} !{{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!"
9,010,"{{TAG:0003:000F:}}Wha—?! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0008:}}?!{{TAG:0007:0000:28000000}}
Goin' steady till {{TAG:0004:0003:}}:{{TAG:0004:0004:}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:28000000}}
{{TAG:0003:0025:}}Attakid! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:000F:}}¡¿Qué?! {{TAG:0007:0000:14000000}}¡¿{{TAG:000E:0003:}}{{TAG:0005:0008:}}?!{{TAG:0007:0000:28000000}} ¿Sigues
en pie a las {{TAG:0004:0003:}}:{{TAG:0004:0004:}} horas?{{TAG:0007:0000:28000000}} {{TAG:0003:0025:}}¡Estás
hech{{TAG:000E:0006:02006F0002006100}} u{{TAG:000E:0006:02006E0004006E006100}} {{TAG:000E:0006:0A00740069006700720065000E00700061006E007400650072006100}}, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!","{{TAG:0003:000F:}}Quoi ?!{{TAG:0007:0000:0F000000}} {{TAG:000E:0003:}}{{TAG:0005:0008:}} ?!{{TAG:0007:0000:14000000}} Toujours en
pleine action à {{TAG:0004:0003:}} h {{TAG:0004:0004:}}{{TAG:0007:0000:0F000000}}.{{TAG:0007:0000:0F000000}}.{{TAG:0007:0000:0F000000}}.{{TAG:0007:0000:14000000}} {{TAG:0003:0025:}}T'as un
record à battre,{{TAG:0007:0000:0F000000}} {{TAG:0005:0007:}} ?","{{TAG:0003:000F:}}Cosa?! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0008:}}?!{{TAG:0007:0000:28000000}} Ma sai che
ore sono? Sono le {{TAG:0004:0003:}}:{{TAG:0004:0004:}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:28000000}}
{{TAG:0003:0025:}}Sei instancabile! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:000F:}}Was?!? {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0008:}}?!?{{TAG:0007:0000:28000000}}
Um {{TAG:0004:0003:}}:{{TAG:0004:0004:}} Uhr immer noch
munter{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:28000000}} {{TAG:0003:0025:}}Respekt! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:000F:}}Hey! Günün nasıl gidiyor?
Enerjin yerinde
olsun!{{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0008:}}{{TAG:0007:0000:28000000}}{{TAG:0004:0003:}}{{TAG:0004:0004:}}{{TAG:0007:0000:08000000}} !{{TAG:0007:0000:08000000}}{{TAG:0007:0000:08000000}}{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}}{{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!"
