entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:0003:0001:}}The {{TAG:0000:0003:0200}}Summer Solstice{{TAG:0000:0003:FFFF}} may be over,
but boy was it exciting!{{TAG:0007:0001:}} {{TAG:0003:0005:}}I hope we
all enjoy it as much next year!","{{TAG:0003:0001:}}¡Qué rápido se ha pasado este
año el solsticio de verano!{{TAG:0000:0004:}}{{TAG:0003:0005:}}Espero que el año que viene todo el
mundo se lo pase igual de bien.","{{TAG:0003:0001:}}Le {{TAG:0000:0003:0200}}solstice d'été{{TAG:0000:0003:FFFF}} est déjà terminé !{{TAG:0007:0001:}}
Le temps passe à une vitesse...
{{TAG:0003:0005:}}Vivement l'année prochaine !","{{TAG:0003:0001:}}Quest'anno il solstizio d'estate{{TAG:0000:0003:0200}} {{TAG:0000:0003:FFFF}}è
passato così in fretta.{{TAG:0007:0001:}} {{TAG:0003:0005:}}Spero che
l'anno prossimo tutti si divertano!","{{TAG:0003:0001:}}{{TAG:0000:0003:0200}}Mittsommer{{TAG:0000:0003:FFFF}} ging dieses Mal richtig
schnell vorbei.{{TAG:0007:0001:}} {{TAG:0003:0005:}}Ich freue mich schon
auf nächstes Jahr!","{{TAG:0003:0001:}}{{TAG:0000:0003:0200}}Yaz Gündönümü{{TAG:0000:0003:FFFF}} bitti ama ne
kadar heyecanlıydı!{{TAG:0007:0001:}} {{TAG:0003:0005:}}Umarım
seneye de hepimiz böyle eğleniriz!"
1,002,"{{TAG:0003:0001:}}It was bright all day long,{{TAG:0007:0000:0A000000}}
like a never-ending afternoon!","{{TAG:0003:0001:}}El sol no ha dejado de brillar
en todo el día.{{TAG:0007:0000:0A000000}} ¡Es como si no
fuese a ser de noche nunca!","{{TAG:0003:0001:}}Il a fait soleil du matin au soir,{{TAG:0007:0000:0A000000}}
comme si la journée ne voulait pas
se terminer !","{{TAG:0003:0001:}}È stata una giornata davvero
luminosa!{{TAG:0007:0000:0A000000}} Il pomeriggio sembrava
non finire mai!","{{TAG:0003:0001:}}Es war den ganzen Tag und die
ganze Nacht hell, wie ein nicht
enden wollender Nachmittag!","{{TAG:0003:0001:}}Bütün gün aydınlıktı,{{TAG:0007:0000:0A000000}}
sanki öğleden sonra hiç bitmedi!"
2,003,"{{TAG:0003:0001:}}Since it was bright all day,{{TAG:0007:0000:08000000}}
the day felt longer than usual!","{{TAG:0003:0001:}}Hoy el sol no ha parado de brillar.{{TAG:0007:0000:08000000}}
¡Vaya día más interminable!","{{TAG:0003:0001:}}C'est la journée la plus longue de
l'année ! {{TAG:0007:0000:08000000}}Même si elle dure 24
heures, comme les autres...","{{TAG:0003:0001:}}È stata una giornata così luminosa{{TAG:0007:0000:08000000}}
che è sembrata durare più lungo
del solito!","{{TAG:0003:0001:}}Es fühlt sich an, als würde der Tag
einfach nie wieder aufhören!","{{TAG:0003:0001:}}Bütün gün aydınlık olunca{{TAG:0007:0000:08000000}}
gün normalden de uzun geldi!"
3,004,"{{TAG:0003:0001:}}I hope you make some lasting
memories while enjoying the
{{TAG:0000:0003:0200}}Summer Solstice{{TAG:0000:0003:FFFF}} in {{TAG:0005:0005:}}!","{{TAG:0003:0001:}}¡Espero que te lleves muy buenos
recuerdos del solsticio de verano
de {{TAG:000E:0003:}}{{TAG:0005:0005:}}!","{{TAG:0003:0001:}}J'espère que vous garderez de bons
souvenirs du {{TAG:0000:0003:0200}}solstice d'été{{TAG:0000:0003:FFFF}} à
{{TAG:0005:0005:}} !","{{TAG:0003:0001:}}Spero che il solstizio d'estate
{{TAG:000E:0010:}} {{TAG:0005:0005:}} sia per te
un'esperienza memorabile!","{{TAG:0003:0001:}}Ich hoffe, du verbringst einen
schönen {{TAG:0000:0003:0200}}Mittsommertag{{TAG:0000:0003:FFFF}} hier
in {{TAG:0005:0005:}}!","{{TAG:0003:0001:}}{{TAG:0000:0003:0200}}Yaz Gündönümü{{TAG:0000:0003:FFFF}}nü {{TAG:0005:0005:}} kasabasında
kutlarken unutulmaz anılar
biriktirmeni dilerim!"
4,005,"{{TAG:0003:0001:}}Since there's only one day a year
where Mr. Sun doesn't go down all
day,{{TAG:0007:0000:0F000000}} I'd say it's pretty exciting!","{{TAG:0003:0001:}}Este es el único día del año
en el que el sol nunca se pone.{{TAG:0007:0000:0F000000}}
¡Qué emocionante!","{{TAG:0003:0001:}}C'est le jour de l'année où le soleil
brille le plus longtemps. {{TAG:0007:0000:0F000000}}N'est-ce
pas terriblement fascinant ?","{{TAG:0003:0001:}}C'è un solo giorno all'anno in cui
il signor Sole non cala per tutta
la giornata.{{TAG:0007:0000:0F000000}} Che bello, eh?","{{TAG:0003:0001:}}Heute ist der einzige Tag im Jahr,
an dem die Sonne nicht untergeht!{{TAG:0007:0000:0F000000}}
Ist das nicht aufregend?","{{TAG:0003:0001:}}Bay Güneş'in bütün gün batmadığı
yılda tek bir gün var,{{TAG:0007:0000:0F000000}} bence bu
başlı başına heyecan verici!"
5,006,"{{TAG:0003:0001:}}Just because it's bright all day isn't
an excuse to lose track of the time!","{{TAG:0003:0001:}}Ya sé que es difícil, ¡pero intenta
no perder la noción del tiempo
aunque no se haga de noche!","{{TAG:0003:0001:}}Cette histoire de solstice, c'est un
coup à perdre la notion du temps !{{TAG:0007:0000:0F000000}}
Quelle heure est-il, d'ailleurs ?","{{TAG:0003:0001:}}Solo perché c'è luce tutto
il giorno non significa che
possiamo dimenticare che ore sono!","{{TAG:0003:0001:}}Auch wenn es den ganzen Tag
hell bleibt, sollte man nie sein
Zeitgefühl verlieren!","{{TAG:0003:0001:}}Bütün gün aydınlık diye saati
tamamen unutmak yok ama!"
6,007,,,,,,
7,008,,,,,,
8,009,,,,,,
9,010,,,,,,
