entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"Hey,{{TAG:0007:0000:14000000}} {{TAG:0005:0008:}}!{{TAG:0007:0000:14000000}}
{{TAG:0003:0017:}}On a scale from 0 to 100 percent,
how good do you feel right now?{{TAG:0008:000A:02000300030004000400050005000600}}
100%
0%","¡Hola,{{TAG:0007:0000:14000000}} {{TAG:0005:0008:}}!{{TAG:0007:0000:14000000}}
{{TAG:0003:0017:}}En una escala de 0 a 100,
¿cómo de bien te sientes ahora?{{TAG:0008:000A:02000300030004000400050005000600}}
100
0","Salut{{TAG:0007:0000:14000000}} {{TAG:0005:0008:}} ! {{TAG:0003:0017:}}La forme ?{{TAG:0007:0000:14000000}}
Tu es prêt{{TAG:000E:0006:000002006500}} à te donner à 100 %
aujourd'hui ?{{TAG:0008:000A:02000300030004000400050005000600}}
Oui, à 100 % !
Plutôt à 0 %...","Ehi,{{TAG:0007:0000:14000000}} {{TAG:0005:0008:}}!{{TAG:0007:0000:14000000}}
{{TAG:0003:0017:}}In una scala da 0 a 100, quanto
ti senti in forma oggi?{{TAG:0008:000A:02000300030004000400050005000600}}
100.
0.","Hallo,{{TAG:0007:0000:14000000}} {{TAG:0005:0008:}}!{{TAG:0007:0000:14000000}}
{{TAG:0003:0017:}}Wie gut fühlst du dich heute, auf
einer Skala von 0 bis 100?{{TAG:0008:000A:02000300030004000400050005000600}}
100
0","Hey,{{TAG:0007:0000:14000000}} {{TAG:0005:0008:}}!{{TAG:0007:0000:14000000}}
{{TAG:0003:0017:}}Şu an kendini yüzde 0 ile 100 arasında
ne kadar iyi hissediyorsun?{{TAG:0008:000A:02000300030004000400050005000600}}
%100
%0"
1,002,"{{TAG:0003:0003:}}Well, since we're both feeling great,{{TAG:0007:0000:14000000}}
we should have an eating contest!{{TAG:0007:0000:14000000}}
We'll eat{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0005:0013:0000}}!
{{TAG:0003:0001:}}Whoever wins goes on to represent
{{TAG:0005:0006:}} in the semifinals!{{TAG:0000:0004:}}{{TAG:0003:0002:}}Of course, there are no losers in
this {{TAG:0005:0013:0000}}-eating
contest, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!{{TAG:0007:0000:08000000}}{{TAG:0003:0001:}}","{{TAG:0003:0003:}}Bueno, dado que los dos estamos
bien,{{TAG:0007:0000:14000000}} ¡te reto a un campeonato
de comer {{TAG:0005:0013:0000}}!
{{TAG:0003:0001:}}¡El que gane representará a
{{TAG:000E:0003:}}{{TAG:0005:0006:}} en las semifinales!{{TAG:0000:0004:}}{{TAG:0003:0002:}}Por supuesto, ¡en un campeonato
de comer {{TAG:0005:0013:0000}}
no hay perdedores, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!{{TAG:0003:0001:}}","{{TAG:0003:0003:}}Super ! Alors je te propose un défi :{{TAG:0007:0000:14000000}}
celui qui mange le plus
{{TAG:000E:000A:0600640065002000040064002700}}{{TAG:0005:0013:0000}} a gagné.
{{TAG:0003:0001:}}Le vainqueur ira représenter
{{TAG:0005:0006:}} en demi-finale du
concours national, OK ?
{{TAG:0003:0002:}}Vu que pour l'heure on est les seuls
à participer, on pourrait même se
retrouver en finale, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}} !{{TAG:0007:0000:08000000}}{{TAG:0003:0001:}}","{{TAG:0003:0003:}}Beh, visto che siamo entrambi in
ottima forma,{{TAG:0007:0000:14000000}} ti sfido!{{TAG:0000:0004:}}Vediamo chi riesce a mangiare più
{{TAG:0005:0013:0000}} tra noi due!{{TAG:0000:0004:}}{{TAG:0003:0001:}}Chi vincerà la gara, rappresenterà
{{TAG:0005:0006:}} alle semifinali!{{TAG:0000:0004:}}{{TAG:0003:0002:}}Ovviamente, in una gara di questo
tipo, l'unica cosa che si perde
davvero è la linea, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!{{TAG:0007:0000:08000000}}{{TAG:0003:0001:}}","{{TAG:0003:0003:}}Hey, genau wie ich!{{TAG:0007:0000:28000000}}
Das schreit nach einem Wettessen
mit {{TAG:0005:0013:0000}}!
{{TAG:0003:0001:}}Der Gewinner kriegt eine
Extraportion {{TAG:0005:0013:0000}}!{{TAG:0000:0004:}}{{TAG:0003:0002:}}Der Verlierer natürlich auch!{{TAG:0007:0000:14000000}}
Da lassen wir uns nicht lumpen,{{TAG:0007:0000:08000000}}
{{TAG:0005:0007:}}!{{TAG:0007:0000:08000000}}{{TAG:0003:0001:}}","{{TAG:0003:0003:}}Madem ikimiz de harika hissediyoruz,{{TAG:0007:0000:14000000}}
bir yeme yarışması yapalım!{{TAG:0007:0000:14000000}}
Şunu yiyeceğiz{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0005:0013:0000}}!
{{TAG:0003:0001:}}Kazanan da yarı finalde
{{TAG:0005:0006:}} temsil edecek!{{TAG:0000:0004:}}{{TAG:0003:0002:}}Tabii bu {{TAG:0005:0013:0000}} yeme
yarışmasında kaybeden yok,
{{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!{{TAG:0007:0000:08000000}}{{TAG:0003:0001:}}"
2,003,"{{TAG:0003:000F:}}{{TAG:0007:000A:}}Wow!{{TAG:0007:0000:14000000}} You're feeling pretty darn
good, aren't you!{{TAG:0007:0000:28000000}} {{TAG:0003:0001:}}Me too,
{{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!
{{TAG:0003:0005:}}I'm feeling so good, I'm even going
to give {{TAG:0005:0002:}} some of my
extra cheerfulness!","{{TAG:0003:000F:}}{{TAG:0007:000A:}}¡Caramba!{{TAG:0007:0000:14000000}} ¡Pues sí que te
sientes bien!{{TAG:0007:0000:28000000}} {{TAG:0003:0001:}}¡Yo también,
{{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!
{{TAG:0003:0005:}}Me siento tan bien que voy
a donarle parte de la alegría
que me sobra a {{TAG:0005:0002:}}.","{{TAG:0003:000F:}}{{TAG:0007:000A:}}Bien !{{TAG:0007:0000:14000000}} C'est la grande forme on
dirait !{{TAG:0007:0000:28000000}} {{TAG:0003:0001:}}Moi aussi, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}} !
{{TAG:0003:0005:}}Je suis plein d'énergie !
J'ai pas l'habitude en fait. Je vais
aller voir {{TAG:0005:0002:}}, pour essayer
de lui en donner un peu.","{{TAG:0003:000F:}}{{TAG:0007:000A:}}Uau!{{TAG:0007:0000:14000000}} Ti senti da favola oggi, eh?{{TAG:0007:0000:28000000}}
{{TAG:0003:0001:}}Anch'io, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!{{TAG:0000:0004:}}{{TAG:0003:0005:}}Mi sento così bene che ho deciso
di donare un po' di questa allegria a
{{TAG:0005:0002:}}.","{{TAG:0003:000F:}}{{TAG:0007:000A:}}Wow!{{TAG:0007:0000:14000000}} Du fühlst dich ja ganz schön
gut!{{TAG:0007:0000:28000000}} {{TAG:0003:0001:}}Ich mich übrigens auch,{{TAG:0007:0000:08000000}}
{{TAG:0005:0007:}}.
{{TAG:0003:0005:}}Ich hab sogar so gute Laune, dass
ich später die Hälfte davon an
{{TAG:0005:0002:}} abgeben werde.","{{TAG:0003:000F:}}{{TAG:0007:000A:}}Vay!{{TAG:0007:0000:14000000}} Keyfin bayağı yerinde
demek!{{TAG:0007:0000:28000000}} {{TAG:0003:0001:}}Benim de,
{{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!
{{TAG:0003:0005:}}Hatta o kadar keyifliyim ki
enerjimin birazını {{TAG:0005:0002:}} ile paylaşacağım!"
3,004,"{{TAG:0003:0000:}}What?{{TAG:0007:0000:14000000}} About average, you say?{{TAG:0007:0001:}}{{TAG:0003:0001:}}
You know, I think that's just about
the best way to be{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0004:}}{{TAG:0003:000B:}}Not too hectic, {{TAG:0007:0000:14000000}}not too relaxed{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}. {{TAG:0007:0000:14000000}}
{{TAG:0003:0005:}}Nope! Just right!{{TAG:0000:0004:}}{{TAG:0003:0004:}}You know, I like the way you think!
{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0000:}}¿Qué?{{TAG:0007:0000:14000000}} ¿Simplemente estás bien?{{TAG:0007:0001:}} 
{{TAG:0003:000B:}}Vaya, pues eso ya me corta un
poco el rollo{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.
{{TAG:0003:0016:}}¡Ah, ya sé!{{TAG:0007:0000:14000000}} ¿Por qué no vas a comer
un poquito de {{TAG:0005:0013:0000}}?{{TAG:0007:0000:14000000}}
Un poquito no, ¡un muchito!
{{TAG:0003:0004:}}¡A mí eso me anima cuando estoy
""simplemente bien"",{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!","{{TAG:0003:0000:}}C'est tout ?{{TAG:0007:0000:14000000}} Pas plus ?{{TAG:0007:0001:}}{{TAG:0003:000B:}} Ça n'a pas
l'air d'être la grande forme{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0003:0016:}} Je sais
ce qu'il te faut !
Il faut bien te nourrir, {{TAG:0005:0008:}}.{{TAG:0007:0000:14000000}}
Mange {{TAG:000E:0002:}}{{TAG:0005:0013:0000}} si
tu veux reprendre des forces.
{{TAG:0003:0025:}}Moi ça me redonne toujours un coup
de fouet quand je sens que je me
ramollis un peu trop, {{TAG:0005:0007:}} !","{{TAG:0003:0000:}}Come?{{TAG:0007:0000:14000000}} Stai così così?{{TAG:0007:0001:}}
{{TAG:0003:000B:}}Le cose non vanno molto bene, eh?{{TAG:0000:0004:}}{{TAG:0003:0016:}}Trovato!{{TAG:0007:0000:14000000}} Perché non ti pappi un
bel po' di {{TAG:0005:0013:0000}}?{{TAG:0007:0000:14000000}}
Tipo... che ne so...? Un quintale?
{{TAG:0003:0004:}}Io quando sono un po' giù di morale
faccio proprio così,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!","{{TAG:0003:000B:}}Hm, es könnte also besser sein...{{TAG:0000:0004:}}{{TAG:0003:0016:}}Ich hab's!{{TAG:0007:0000:14000000}} Du musst einfach sofort
einen riesengroßen Teller
{{TAG:0005:0013:0000}} futtern!
{{TAG:0003:0004:}}Danach geht's dir bestimmt besser!{{TAG:0007:0000:14000000}}
Bei mir wirkt das immer Wunder,{{TAG:0007:0000:08000000}}
{{TAG:0005:0007:}}!","{{TAG:0003:0000:}}Ne?{{TAG:0007:0000:14000000}} Şöyle böyle mi diyorsun?{{TAG:0007:0001:}}{{TAG:0003:0001:}}
Bence aslında en güzeli de budur{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0004:}}{{TAG:0003:000B:}}Ne
çok koşturmacalı, {{TAG:0007:0000:14000000}}ne de fazla gevşek{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}. {{TAG:0007:0000:14000000}}
{{TAG:0003:0005:}}Tam kararında!{{TAG:0000:0004:}}{{TAG:0003:0004:}}Bak, düşünce tarzını sevdim!
{{TAG:000E:0003:}}{{TAG:0005:0007:}}!"
4,005,"{{TAG:0003:0009:}}Oh,{{TAG:0007:0000:14000000}} you're not feeling so hot?{{TAG:0007:0000:28000000}}
{{TAG:0003:0001:}}You know what always picks me up?
{{TAG:000E:0003:}}{{TAG:0005:0013:0000}}!
{{TAG:0003:0015:}}It's like the ultimate comfort food,{{TAG:0007:0000:08000000}}
{{TAG:0003:0017:}}don't you think? {{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}You don't think?{{TAG:0000:0004:}}{{TAG:0003:000B:}}Hmm, maybe it's just me then.{{TAG:0007:0000:28000000}}
{{TAG:0003:0001:}}You probably need to find the
comfort food that works for you{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.
{{TAG:0003:0016:}}Ooh, I know! {{TAG:0007:0000:14000000}}How about
{{TAG:0005:0013:0100}},{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}?!{{TAG:0007:0000:08000000}}{{TAG:0003:0001:}}","{{TAG:0003:0009:}}Vaya,{{TAG:0007:0000:14000000}} ¿no estás muy bien?{{TAG:0007:0000:28000000}} {{TAG:0003:0001:}}Deberías
hacer lo mismo que yo... ¡Zamparte
{{TAG:000E:0002:}}{{TAG:0005:0013:0000}}!
{{TAG:0003:0015:}}Masticar es un gran ejercicio...{{TAG:0007:0000:08000000}}
Si lo haces con ganas,{{TAG:0007:0000:08000000}} ¡puedes
quemar bastantes calorías!
{{TAG:0003:0001:}}Cuanto más comas,{{TAG:0007:0000:14000000}} más ejercicio
harás, y mejor te sentirás.{{TAG:0007:0000:14000000}}
¡ESO sí que es ponerse en forma!
{{TAG:0003:0002:}}Ahora que lo pienso, ¡tendría que
ponerme a entrenar ahora mismo,{{TAG:0007:0000:08000000}}
{{TAG:0005:0007:}}!{{TAG:0003:0001:}}","{{TAG:0003:0009:}}Oh oh !{{TAG:0007:0000:14000000}} C'est pas vraiment la forme
on dirait.{{TAG:0007:0000:28000000}} {{TAG:0003:0001:}}Tu prends quoi pour le
petit-déjeuner ?
Moi, chaque matin, je prends
{{TAG:000E:0002:}}{{TAG:0005:0013:0000}}. {{TAG:0003:0015:}}C'est bon,
c'est sain, et ça ouvre tes chakras.
{{TAG:0003:0001:}}Je te conseille de faire de même.{{TAG:0007:0000:14000000}}
Après ça, tu te rendors et tu te
réveilles à midi, {{TAG:0005:0007:}}.
{{TAG:0003:0001:}}Tu manges bien, puis tu fais une
bonne petite sieste. Rien de tel pour
être en forme jusqu'au dîner. ","{{TAG:0003:0009:}}Oh,{{TAG:0007:0000:14000000}} non ti senti in piena forma?{{TAG:0007:0000:28000000}}
{{TAG:0003:0001:}}Segui il mio esempio: rimpinzati
per bene di {{TAG:0005:0013:0000}}!
{{TAG:0003:0015:}}Abbuffarsi è il miglior esercizio
fisico che ci sia! Più ti allenerai,{{TAG:0007:0000:08000000}}
più migliorerà il tuo umore.{{TAG:0000:0004:}}{{TAG:0003:0001:}}Quindi più mangi,{{TAG:0007:0000:14000000}} più ti alleni,
e meglio ti senti.{{TAG:0007:0000:14000000}} Non ti sembro
un vero personal trainer?
{{TAG:0003:0002:}}Magari dovrei pensarci sul serio
a fare l'allenatore,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!{{TAG:0007:0000:08000000}}{{TAG:0003:0001:}}","{{TAG:0003:0009:}}Ui,{{TAG:0007:0000:14000000}} alles nicht so toll?{{TAG:0007:0000:28000000}}
{{TAG:0003:0001:}}Mach's wie ich:{{TAG:0007:0000:14000000}} Iss erst mal eine
schöne Portion {{TAG:0005:0013:0000}}!
{{TAG:0003:0015:}}Kauen ist ein gutes Muskeltraining,
und Sport macht gute Laune. {{TAG:0000:0004:}}{{TAG:0003:0001:}}Futtern ist also das perfekte
Rezept gegen miese Stimmung!{{TAG:0000:0004:}}{{TAG:0003:0002:}}Ich sollte mal ein Ratgeberbuch
schreiben,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!{{TAG:0007:0000:08000000}}{{TAG:0003:0001:}}","{{TAG:0003:0009:}}Aa,{{TAG:0007:0000:14000000}} pek iyi hissetmiyor musun?{{TAG:0007:0000:28000000}}
{{TAG:0003:0001:}}Beni neyin hemen toparladığını biliyor musun?
{{TAG:000E:0003:}}{{TAG:0005:0013:0000}}!
{{TAG:0003:0015:}}Tam bir iç ısıtan yemek gibi,{{TAG:0007:0000:08000000}}
{{TAG:0003:0017:}}sence de öyle değil mi? {{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}Değil mi?{{TAG:0000:0004:}}{{TAG:0003:000B:}}Hmm,
demek sadece bana öyle geliyor.{{TAG:0007:0000:28000000}}
{{TAG:0003:0001:}}Sen de seni neyin rahatlattığını
bulmalısın{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.
{{TAG:0003:0016:}}Aaa, buldum! {{TAG:0007:0000:14000000}}Mesela
{{TAG:0005:0013:0100}},{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}?!{{TAG:0007:0000:08000000}}{{TAG:0003:0001:}}"
5,006,"{{TAG:0003:0012:}}What?!{{TAG:0007:0000:14000000}} You're feeling 0 percent?{{TAG:0007:0000:14000000}}
You hide it really well. {{TAG:0003:0015:}}I guess you're
the strong and silent type,{{TAG:0007:0000:14000000}} huh.{{TAG:0007:0000:28000000}}
That's cool and all.{{TAG:0007:0000:28000000}} {{TAG:0003:0009:}}{{TAG:0007:0000:14000000}}But don't keep
it all bottled up inside. That's bad
for your health,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","{{TAG:0003:0012:}}¡¿Qué?!{{TAG:0007:0000:14000000}} ¿Tan baj{{TAG:000E:0006:02006F0002006100}} andas?{{TAG:0007:0000:14000000}} Pues
oye, lo escondes bien. {{TAG:0003:0015:}}Supongo
que prefieres callarte las cosas...{{TAG:0007:0000:14000000}}
No pasa nada.{{TAG:0007:0000:28000000}} {{TAG:0003:0009:}}{{TAG:0007:0000:14000000}}Pero no te lo
guardes así, solo para ti. Es malo
para la salud,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","{{TAG:0003:0012:}}Quoi ?!{{TAG:0007:0000:14000000}} Tu as les batteries à plat,
toi ?{{TAG:0007:0000:14000000}} Ça ne se voit pas en tout cas.
{{TAG:0003:0015:}}Tu as l'air d'avoir la pêche.
{{TAG:0003:0017:}}C'est quoi ton secret ?{{TAG:0007:0000:28000000}} Mon truc à
moi, quand je suis tout raplapla,
c'est dormir, et toi,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}} ?","{{TAG:0003:0012:}}Cosa?!{{TAG:0007:0000:14000000}} Ti daresti uno 0?
Non l'avrei mai detto.
Lo nascondi abbastanza bene!
Beh, si vede che sei fatt{{TAG:000E:0006:02006F0002006100}} così!{{TAG:0007:0000:28000000}}
{{TAG:0003:0009:}}{{TAG:0007:0000:14000000}}Non tenerti tutto dentro, però!{{TAG:0007:0000:08000000}}
Fa male alla salute, {{TAG:0005:0007:}}!","{{TAG:0003:0012:}}Was?!?{{TAG:0007:0000:14000000}} „0“?{{TAG:0007:0000:14000000}} NULL?{{TAG:0007:0000:14000000}} Hast du dich
wirklich nicht vertan?{{TAG:0007:0000:28000000}}{{TAG:0003:0015:}} Gut, du wirst
es schon wissen.{{TAG:0007:0000:14000000}} Hm.{{TAG:0007:0000:28000000}}
Ist schon in Ordnung.{{TAG:0007:0000:28000000}} {{TAG:0003:0009:}}{{TAG:0007:0000:14000000}}Aber steigere
dich nicht zu sehr rein.{{TAG:0007:0000:14000000}} Das ist
ungesund,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!","{{TAG:0003:0012:}}Ne?!{{TAG:0007:0000:14000000}} Yüzde sıfır mı hissediyorsun?{{TAG:0007:0000:14000000}}
Hiç belli etmiyorsun. {{TAG:0003:0015:}}Demek sessiz ama
güçlü tiplerdensin,{{TAG:0007:0000:14000000}} ha.{{TAG:0007:0000:28000000}}
Havalı tabii.{{TAG:0007:0000:28000000}} {{TAG:0003:0009:}}{{TAG:0007:0000:14000000}}Ama her şeyi içine
atma. Sağlığa iyi değil,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}."
6,007,,,,,,
7,008,"Hey,{{TAG:0007:0000:14000000}} so {{TAG:0003:0017:}}how light do you keep your
room when you're sleeping,
{{TAG:0005:0008:}}?{{TAG:0008:000A:09000A000A000A000B000B000B000C00}}
Bright
Pitch black","Oye,{{TAG:0007:0000:14000000}} ¿y tú {{TAG:0003:0017:}}cuánta luz dejas en
tu habitación cuando duermes,
{{TAG:0005:0008:}}?{{TAG:0008:000A:09000A000A000A000B000B000B000C00}}
A todo brillar
A oscuras","Salut toi.{{TAG:0007:0000:14000000}} Dis, petit sondage :{{TAG:0007:0000:14000000}} {{TAG:0003:0017:}}tu
dors avec la lumière allumée ou
dans le noir complet ?{{TAG:0008:000A:09000A000A000A000B000B000B000C00}}
Lumière allumée.
Il faut qu'il fasse noir.","Ehi, senti un po', {{TAG:0007:0000:14000000}}ho una domanda
per te: {{TAG:0003:0017:}}come preferisci dormire,
{{TAG:0005:0008:}}?{{TAG:0008:000A:09000A000A000A000B000B000B000C00}}
Con la luce accesa!
Al buio pesto...","Sag mal, {{TAG:0005:0008:}}...{{TAG:0007:0000:28000000}}
{{TAG:0003:0017:}}Wie dunkel machst du dein Zimmer,
wenn du schläfst?{{TAG:0008:000A:09000A000A000A000B000B000B000C00}}
Hell
Finster","Hey,{{TAG:0007:0000:14000000}} peki {{TAG:0003:0017:}}uyurken odanı ne kadar
aydıntlık bırakırsın,
{{TAG:0005:0008:}}?{{TAG:0008:000A:09000A000A000A000B000B000B000C00}}
Aydınlık
Zifiri karanlık"
8,009,"{{TAG:0003:0001:}}So you sleep with the light on,{{TAG:0007:0000:14000000}}
{{TAG:0005:0008:}}?{{TAG:0007:0000:28000000}} {{TAG:0003:0009:}}I'm scared of the
dark too.
{{TAG:0003:000B:}}Well,{{TAG:0007:0000:08000000}} technically,{{TAG:0007:0000:14000000}} it isn't the dark I'm
scared of{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:28000000}}{{TAG:0003:0014:}}so much as the monsters
IN the dark,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","{{TAG:0003:0001:}}¿Duermes con la luz encendida,{{TAG:0007:0000:14000000}}
{{TAG:0005:0008:}}?{{TAG:0007:0000:28000000}} {{TAG:0003:0009:}}A mí también me da
miedo la oscuridad.
{{TAG:0003:000B:}}Bueno,{{TAG:0007:0000:08000000}} no exactamente{{TAG:0007:0000:14000000}} la
oscuridad{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:28000000}} {{TAG:0003:0014:}}sino los monstruos que
se esconden en ella,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","{{TAG:0003:0001:}}Alors tu dors la lumière allumée,
c'est vrai ?{{TAG:0007:0000:28000000}} {{TAG:0003:0009:}}Moi aussi. Ne le répète
pas mais j'ai peur du noir.
{{TAG:0003:000B:}}En fait,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}, techniquement,{{TAG:0007:0000:14000000}}
ce n'est pas vraiment le noir qui me
fait peur.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}
{{TAG:0007:0000:28000000}}{{TAG:0003:0014:}}Mais plutôt les monstres qui vivent
dans le noir,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}} ! Brrr...","{{TAG:0003:0001:}}E così dormi con la luce accesa,{{TAG:0007:0000:14000000}}
{{TAG:0005:0008:}}?{{TAG:0007:0000:28000000}} {{TAG:0003:0009:}}Anch'io ho paura
del buio, {{TAG:0005:0007:}}!
{{TAG:0003:000B:}}Beh,{{TAG:0007:0000:08000000}} tecnicamente,{{TAG:0007:0000:14000000}} non è tanto
l'oscurità che mi spaventa{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:28000000}}{{TAG:0003:0014:}} quanto
i mostri che si nascondono al buio!{{TAG:0007:0000:08000000}}","{{TAG:0003:0001:}}Du schläfst also mit Licht an,{{TAG:0007:0000:14000000}}
{{TAG:0005:0008:}}?{{TAG:0007:0000:28000000}} {{TAG:0003:0009:}}Ehrlich gesagt hab ich
auch Angst im Dunkeln.
{{TAG:0003:000B:}}Also,{{TAG:0007:0000:14000000}} eigentlich hab ich weniger
Angst vor der Dunkelheit...{{TAG:0007:0000:28000000}} {{TAG:0003:0014:}}Eher
vor den Monstern,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!","{{TAG:0003:0001:}}Demek ışık açıkken uyuyorsun,{{TAG:0007:0000:14000000}}
{{TAG:0005:0008:}}?{{TAG:0007:0000:28000000}} {{TAG:0003:0009:}}Ben de karanlıktan korkarım.
{{TAG:0003:000B:}}Şey,{{TAG:0007:0000:08000000}} teknik olarak{{TAG:0007:0000:14000000}} karanlığın kendisinden
değil{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:28000000}}{{TAG:0003:0014:}}karanlığın İÇİNDEKİ canavarlardan
korkuyorum,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}."
9,010,"{{TAG:0003:0025:}}Then you must love napping right
before the sun goes down,{{TAG:0007:0000:08000000}} right?{{TAG:0007:0000:14000000}}
Napping before dinner is the BEST!
{{TAG:0003:0019:}}Yaaaaawn...{{TAG:0007:0000:3C000000}} Even imagining it is so
delicious,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!","{{TAG:0003:0025:}}Entonces te encantará dormir la
siesta después de comer,{{TAG:0007:0000:08000000}} sin bajar
la persiana ni nada, ¿no?{{TAG:0007:0000:14000000}} ¡Mola!
{{TAG:0003:0019:}}Uuuaah...{{TAG:0007:0000:3C000000}} ¡Solo con imaginarlo
me dan ganas de irme a la cama,{{TAG:0007:0000:08000000}}
{{TAG:0005:0007:}}!","{{TAG:0003:0025:}}Je parie que toi aussi tu aimes faire
une petite sieste juste avant le
dîner, je me trompe, {{TAG:0005:0007:}} ?
{{TAG:0003:0019:}}La lumière est alors si douce...{{TAG:0007:0000:3C000000}} C'est
la meilleure sieste de la journée.{{TAG:0007:0000:1E000000}}
Rien que d'y penser, j'en bâille...","{{TAG:0003:0025:}}Allora anche tu adori farti
un pisolino prima del tramonto,{{TAG:0007:0000:08000000}} no?{{TAG:0007:0000:14000000}}
Viva i sonnellini prima di cena!
{{TAG:0003:0019:}}Yaaaaawn...{{TAG:0007:0000:3C000000}} Solo a pensarci mi sta
venendo sonno,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!","{{TAG:0003:0025:}}Dann schläfst du bestimmt auch
so gerne am späten Nachmittag,
wie ich, oder?
{{TAG:0003:0019:}}Allein der Gedanke daran macht
mich schon angenehm schläfrig,{{TAG:0007:0000:08000000}}
{{TAG:0005:0007:}}...","{{TAG:0003:0025:}}O zaman güneş batmadan hemen önce
kestirmeye bayılıyorsundur,{{TAG:0007:0000:08000000}} değil mi?{{TAG:0007:0000:14000000}}
Akşam yemeğinden önce uyuklamak EN İYİSİ!
{{TAG:0003:0019:}}Esneee...{{TAG:0007:0000:3C000000}} Düşünmesi bile nefis,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!"
