index,label,English,French,German,Italian,Spanish,Turkish
44,Activity_Phone_00,Hello?,Allô ?,Hallo?,Pronto{TAG_1}?,¿Hola?,Alo?
45,Activity_Phone_01,Yes.,Oui.,Ja,Sì.,Sí.,Evet.
46,Activity_Phone_02,{TAG_1}Ummm{TAG_2}...,Euh...,{TAG_1}Eeh...,Uhmmm...,Eestoo...,{TAG_1}Şey{TAG_2}...
47,Activity_Phone_03,That's right.,Oui{TAG_1} c'est vrai.,Stimmt!,Proprio così.,Eso es.,Aynen öyle.
48,Activity_Phone_04,I understand.,D'accord.,Verstanden.,Ho capito.,Entiendo.,Anladım.
49,Activity_Phone_05,Well... yes.,Je vois{TAG_1} je vois...,{TAG_1}Ja... {TAG_2}Ja.,Beh... sì.,"Bueno, sí...",Şey... evet.
50,Activity_Phone_06,"Yes, yes!",Oui{TAG_1} oui...,Ja ja...,"Sì, sì!",Sí sí.,"Evet, evet!"
51,Activity_Phone_07,What? ...Really?!,Hein ? C'est vrai ?,Was? Im Ernst?,Sul serio{TAG_1}?,¿En serio?,Ne? ...Gerçekten mi?!
52,Activity_Phone_08,Ah...,Ah...,{TAG_1}Aah...,Ah...,Vaya.,Aa...
53,Activity_Phone_09,I see...,Je comprends...,Verstehe...,Ma certo...,Ya veo.,Anlıyorum...
54,Activity_Phone_10,"Yes, yes!",Oui oui !,Ja ja!,"Sì, sì!",Sí sí.,"Evet, evet!"
55,Activity_Phone_11,Exactly!,C'est ça !,Genau! Ganz genau!,Esatto!,Exacto.,Kesinlikle!
56,Activity_Phone_12,"No, no...",Ah...{TAG_1} non{TAG_2} non.,Nein! Ganz anders!,"No, no...",No no.,"Hayır, hayır..."
57,Activity_Phone_13,Ha ha ha!,{TAG_1}Ha{TAG_2} Ha{TAG_3} Ha !,Ha ha ha!,Ah{TAG_1} ah{TAG_2} ah!,¡Ja ja ja!,Ha ha ha!
58,Activity_Phone_14,I guess...,Ouais{TAG_1} si tu veux...,Na ja...,Credo di sì...,Supongo.,Sanırım...
59,Activity_Phone_15,Really?!,Vraiment ?,Waas?!,Davvero{TAG_1}?,¿De verdad?,Gerçekten mi?!
60,Activity_Phone_16,Don't you think {TAG_1} would be good?,"Peut-être qu{TAG_1}{TAG_2}{TAG_3}{TAG_4} ça serait bien, non ?",{TAG_1}! Was hältst du davon?,Non andrebbe bene con {TAG_1}{TAG_2}{TAG_3}?,¿Crees que {TAG_1} {TAG_2}{TAG_3}{TAG_4} {TAG_5}{TAG_6}estaría bien?,Sence {TAG_1} iyi olmaz mı?
61,Activity_Phone_17,Hmmm... I don't know about {TAG_1}...,{TAG_1}Heume...{TAG_2} {TAG_3}{TAG_4}{TAG_5} ça ne me dit rien...,Hmmm... {TAG_1}{TAG_2}{TAG_3} {TAG_4} aber schon etwas...,"Beh, con {TAG_1}{TAG_2} sarebbe un po'...","Uy, pues a mí, {TAG_1}{TAG_2} {TAG_3}{TAG_4} {TAG_5}{TAG_6}no me dice nada...",Hımm... {TAG_1} konusunda pek emin değilim...
62,Activity_Phone_18,Then how about {TAG_1}?,"Et {TAG_1}{TAG_2}, ça irait ?",Und {TAG_1}? Fänd ich persönlich super.,Allora perché non provi con {TAG_1}{TAG_2}{TAG_3}?,¿Y {TAG_1} {TAG_2}{TAG_3}{TAG_4}?,O zaman {TAG_1} nasıl?
63,Activity_Phone_19,What about {TAG_1}?,"Pourquoi pa {TAG_1}{TAG_2}, alors ?",Was ist mit {TAG_1}{TAG_2}{TAG_3}?,Che ne pensi di {TAG_1}{TAG_2}?,¿Qué te parece {TAG_1}{TAG_2}{TAG_3}?,Peki ya {TAG_1}?
64,Activity_Phone_20,"Don't tell {TAG_1}, OK?","N'en parle pa à {TAG_1}{TAG_2}{TAG_3}, hein !",Sag {TAG_1}{TAG_2}{TAG_3} aber nichts davonn!,"Non dirlo a {TAG_1}, mi raccomando!",No se lo digas a {TAG_1}{TAG_2}{TAG_3}.,"{TAG_1} duymasın, tamam mı?"
65,Activity_Phone_21,What? {TAG_1}...?,"Oh, {TAG_1}{TAG_2} {TAG_3}?","Waas, {TAG_1}?","Oh, {TAG_1}{TAG_2}?",¿Eh? ¿{TAG_1}{TAG_2}{TAG_3}?,Ne? {TAG_1}...?
66,Activity_Phone_22,"Do you think {TAG_1}
likes {TAG_2}?",Je pense qu{TAG_1}{TAG_2}{TAG_3}{TAG_4} aime bien {TAG_5}{TAG_6}{TAG_7}{TAG_8}.,Für {TAG_1}{TAG_2}{TAG_3} {TAG_4} {TAG_5} {TAG_6}{TAG_7}{TAG_8} gut!,Penso che {TAG_1} apprezzerebbe molto {TAG_2}{TAG_3}.,¿Crees que a {TAG_1}{TAG_2} {TAG_3}le gustará {TAG_4}{TAG_5} {TAG_6}{TAG_7}{TAG_8}{TAG_9}?,"Sence {TAG_1}, {TAG_2} kişisinden hoşlanıyor mu?"
67,Activity_Phone_Long_00,{TAG_1},{TAG_1},{TAG_1},{TAG_1},{TAG_1},{TAG_1}
68,Activity_Phone_Short_00,{TAG_1},{TAG_1},{TAG_1},{TAG_1},{TAG_1},{TAG_1}
69,Activity_Phone_Short_01,{TAG_1},{TAG_1},{TAG_1},{TAG_1},{TAG_1},{TAG_1}
70,Activity_Phone_Short_02,{TAG_1},{TAG_1},{TAG_1},{TAG_1},{TAG_1},{TAG_1}
71,Activity_Phone_Short_03,{TAG_1},{TAG_1},{TAG_1},{TAG_1},{TAG_1},{TAG_1}
