"Label","TR","EUen","USen","EUfr","USfr","EUde","EUit","EUes","USes","JPja"
"CommonYes","Evet","Yes","Yes","Oui","Oui","Ja","Sì","Sí","Sí","はい"
"CommonNo","Hayır","No","No","Non","Non","Nein","No","No","No","いいえ"
"CommonPeriod",".",".",".",",",".",",",",",",",".","."
"ToiletPaper_Lv1","Aman! Kâğıdı boşa harcama!","Hey! Don't waste paper!","Hey! Don't waste paper!","Ne gaspille pas le papier !","Ne gaspille pas le papier!","Kein Papier verschwenden!","Non si spreca la carta!","¡No malgastes papel!","¡No desperdicies papel!","<MSBT:0000:0000:020004004B307F30>紙を<MSBT:0000:0000:040008005F3044305B306430>大切にしましょう"
"ToiletPaper_Lv2","Onu geri sarar mısın?","Wind it back up, will ya?","Wind it back up, will ya?","Réenroule-le, s'il te plaît !","Réenroule-le, s'il te plaît!","Roll's wieder auf, ja?","Per favore, arrotolala.","Enróllalo de nuevo, ¿vale?","Enróllalo de nuevo, ¿sí?","まきなおしてね"
"ToiletPaper_Lv3","Biraz rahatla!","Take a load off!","Take a load off!","Tires-en un bon bout !","Tires-en un bon bout!","Ganz entspannt!","Scaricati!","¡Fuera ese estrés!","¡¿Necesitabas tanto?!","ストレスかいしょう！"
"Interview_Lv1_0","Başarımın sırrı mı?\nHer gün bir kâse köri!","The secret of my success?\nA bowl of curry every day!","The secret of my success?\nA bowl of curry every day!","Le secret de mon succès ?\nDu curry chaque matin !","Le secret de mon succès?\nDu curry chaque matin!","Mein Erfolgsgeheimnis?\nEin Curry zum Frühstück!","Il mio segreto?\nOgni mattina un bel curry!","¿El secreto de mi éxito?\n¡Un buen plato de cocido!","El secreto de mi éxito está en\ndesayunar sardinas diario.","つよさの　ひけつ？\nまいあさの　カレー　ですかね"
"InterviewVoice_Lv1_0","Başarımın sırrı mı?<MSBT:0001:0009:0006000000CD0000>\nHer gün bir kâse köri!","The secret of my success?<MSBT:0001:0009:0006000000CD0000>\nA bowl of curry every day!","The secret of my success?<MSBT:0001:0009:0006000000CD0000>\nA bowl of curry every day!","Le secret de mon succès ?<MSBT:0001:0009:0006000000CD0000>\nDu curry chaque matin !","Le secret de mon succès?<MSBT:0001:0009:0006000000CD0000>\nDu curry chaque matin!","Mein Erfolgsgeheimnis?<MSBT:0001:0009:0006000000CD0000>\nEin Curry zum Frühstück!","Il mio segreto?<MSBT:0001:0009:0006000000CD0000>\nOgni mattina un bel karry!","¿El secreto de mi éxito?<MSBT:0001:0009:0006000000CD0000>\n¡Un buen plato de cocido!","El secreto de mi éxito está en<MSBT:0001:0009:0006000000CD0000>\ndesayunar sardinas diario.","つよさの　ひけつ？<MSBT:0001:0009:0006000000CD0000>\nまいあさの　カレー、　ですかね。"
"Interview_Lv1_1","50'li yaşlarımda bile\ntop oynayabilmeyi isterdim. ","I'd love to be able to play\nball well into my 50s. ","I'd love to be able to play\nball well into my 50s. ","Je frapperai toujours la\nballe à plus de 50 ans !","Je frapperai toujours la\nballe à plus de 50 ans!","Ich will noch in meinen\nFünzigern Ball spielen. ","Vorrei giocare a pallone\nanche a 50 anni.","No dejaré de jugar hasta\nbien cumplidos los 50.","Planeo retirarme del béisbol\ncuando cumpla 80 años.","50さいに　なっても\nやきゅうを　つづけたい　です"
"InterviewVoice_Lv1_1","50'li yaşlarımda bile\niyi top oynayabilmeyi<MSBT:0001:0009:0004000000CD0000> isterdim. ","I'd love to be able to play\nball<MSBT:0001:0009:0004000000CD0000> well into my 50s. ","I'd love to be able to play\nball<MSBT:0001:0009:0004000000CD0000> well into my 50s. ","Je frapperai toujours la\nballe<MSBT:0001:0009:0004000000CD0000> à plus de 50 ans !","Je frapperai toujours la\nballe<MSBT:0001:0009:0004000000CD0000> à plus de 50 ans!","Ich will noch in meinen\nFünfzigern Ball spielen. ","Vorrei giocare a pallone<MSBT:0001:0009:0004000000CD0000>\nanche a 50 anni.","No dejaré de jugar<MSBT:0001:0009:0004000000CD0000> hasta\nbien cumplidos los 50.","Planeo retirarme del béisbol<MSBT:0001:0009:0004000000CD0000>\ncuando cumpla 80 años.","50さいに　なっても。<MSBT:0001:0009:0004000000CD0000>\n野球を　つづけたい　です"
"Interview_Lv1_2","<MSBT:0001:0006:0A00FFFFFFFFFFFFFFFF> galibiyetimizde\nçok önemliydi! ","<MSBT:0001:0006:0A00FFFFFFFFFFFFFFFF> was\ninstrumental to our win! ","<MSBT:0001:0006:0A00FFFFFFFFFFFFFFFF> was\ninstrumental to our win! ","Sans <MSBT:0001:0006:0A00FFFFFFFFFFFFFFFF>,\non n'aurait jamais gagné !","Sans <MSBT:0001:0006:0A00FFFFFFFFFFFFFFFF>,\non n'aurait jamais gagné!","Unser Siegesrezept:\n<MSBT:0001:0006:0A00FFFFFFFFFFFFFFFF>!","Senza <MSBT:0001:0006:0A00FFFFFFFFFFFFFFFF>\nnon avremmo vinto!","¡Le debemos la victoria\na <MSBT:0001:0006:0A00FFFFFFFFFFFFFFFF>!","¡Esta victoria se la\ndebemos a <MSBT:0001:0006:0A00FFFFFFFFFFFFFFFF>!","ゆうしょう　できたのは\n<MSBT:0001:0006:0A00FFFFFFFFFFFFFFFF>のおかげです"
"InterviewVoice_Lv1_2","<MSBT:0001:0009:000C000000CD0000>\nzaferimizde kilit rol oynadı! ","<MSBT:0001:0009:000C000000CD0000> was\ninstrumental to our win! ","<MSBT:0001:0009:000C000000CD0000> was\ninstrumental to our win! ","Sans <MSBT:0001:0009:000C000000CD0000>,\non n'aurait jamais gagné !","Sans <MSBT:0001:0009:000C000000CD0000>,\non n'aurait jamais gagné!","Unser Siegesrezept:\n<MSBT:0001:0009:0100000000CD1000420065006E006500640069006B007400>!","Senza <MSBT:0001:0009:000C000000CD1000560069006E00630065006E007A006F00>\nnon avremmo vinto!","¡Le debemos la victoria\na <MSBT:0001:0009:000C000000CD0000>!","¡Esta victoria se la\ndebemos a <MSBT:0001:0009:000C000000CD0000>!","優勝　できたのは。<MSBT:0001:0009:000C000000CD0000>\nの　おかげです"
"Interview_Lv2_0","Sonunda biri benimle\nkonuşmaya geldi; ne güzel!","I am glad someone finally\napproached me to talk!","I am glad someone finally\napproached me to talk!","On me demande enfin\nmon avis, ça fait plaisir !","On me demande enfin\nmon avis, ça fait plaisir!","Endlich spricht mal jemand\nmit mir!","Finalmente qualcuno\nmi rivolge la parola!","¡Por fin alguien me\ndirige la palabra!","¡Por fin alguien quiere\nhablar conmigo!","みんな　こわがって　はなしを\nきいてくれないから　うれしいよ"
"InterviewVoice_Lv2_0","Sonunda biri benimle<MSBT:0001:0009:0001000000CD0000>\nkonuşmaya geldiği için mutluyum!","I am glad someone finally<MSBT:0001:0009:0001000000CD0000>\napproached me to talk!","I am glad someone finally<MSBT:0001:0009:0001000000CD0000>\napproached me to talk!","On me demande enfin\nmon avis.<MSBT:0001:0009:0001000000CD0000> Ça fait plaisir !","On me demande enfin\nmon avis.<MSBT:0001:0009:0001000000CD0000> Ça fait plaisir!","Endlich spricht mal jemand\nmit mir!","Finalmente qualcuno<MSBT:0001:0009:0001000000CD0000>\nmi rivolge la parola!","¡Por fin<MSBT:0001:0009:0001000000CD0000> alguien me\ndirige la palabra!","¡Por fin alguien quiere<MSBT:0001:0009:0001000000CD0000>\nhablar conmigo!","みんな　こわがって、はなしを。<MSBT:0001:0009:0001000000CD0000>\nきいてくれないから　うれしいよ"
"Interview_Lv2_1","Ben de eskiden insandım! ","I used to be human too! ","I used to be human too! ","Moi aussi j'ai été un\nêtre humain, tu sais ! ","Moi aussi j'ai été un\nêtre humain, tu sais! ","Wusstest du, dass ich\nauch mal ein Mensch war?","Anch'io una volta\nero un essere umano!","¿Sabías que yo antes\ntambién era humano?","Alguna vez yo fui humano,\nigual que tú.","こうみえて　おれも　むかしは\nにんげん　だったんだ"
"InterviewVoice_Lv2_1","Ben de eskiden insandım!<MSBT:0001:0009:0004000000CD0000>","I used to be human too!<MSBT:0001:0009:0004000000CD0000>","I used to be human too!<MSBT:0001:0009:0004000000CD0000>","Moi aussi j'ai été un\nêtre humain,<MSBT:0001:0009:0004000000CD0000> tu sais ! ","Moi aussi j'ai été un\nêtre humain,<MSBT:0001:0009:0004000000CD0000> tu sais! ","Wusstest du, dass ich\nauch mal ein Mensch war?<MSBT:0001:0009:0004000000CD0000>","Anch'io una volta\nero un essere umano!","¿Sabías que yo antes<MSBT:0001:0009:0004000000CD0000>\ntambién era humano?","Alguna vez yo fui humano,<MSBT:0001:0009:0004000000CD0000>\nigual que tú.","こうみえて　おれも　むかしは。<MSBT:0001:0009:0004000000CD0000>\nにんげん　だったんだ"
"Interview_Lv2_2","Selam, <MSBT:0001:0006:0A00FFFFFFFFFFFFFFFF>!\nArkadaş olmak ister misin?","Hey, <MSBT:0001:0006:0A00FFFFFFFFFFFFFFFF>!\nWanna be friends?","Hey, <MSBT:0001:0006:0A00FFFFFFFFFFFFFFFF>!\nWanna be friends?","Dis, <MSBT:0001:0006:0A00FFFFFFFFFFFFFFFF>...\non pourrait devenir amis ?","Dis, <MSBT:0001:0006:0A00FFFFFFFFFFFFFFFF>...\non pourrait devenir amis?","Hallo, <MSBT:0001:0006:0A00FFFFFFFFFFFFFFFF>!\nWollen wir Freunde sein?","Ciao, <MSBT:0001:0006:0A00FFFFFFFFFFFFFFFF>!\nFacciamo amicizia?","Eh, <MSBT:0001:0006:0A00FFFFFFFFFFFFFFFF>...\n¿quieres ser mi colega?","¡Hola, <MSBT:0001:0006:0A00FFFFFFFFFFFFFFFF>!\nQué gusto conocerte.","<MSBT:0001:0006:0A00FFFFFFFFFFFFFFFF>…　おれと\nともだちに　なってくれないか？"
