AltDosya,Etiket,EU_du,EU_en,EU_fr,EU_ge,EU_it,EU_sp,TR
b_sys,BMDat_I_001A,<0E:0009:0000:0600>Hij vindt me vast leuk. HA HA!<0E:0002:0001:>,<0E:0009:0000:0600>NOW he will! Gah HAH!<0E:0002:0001:>,<0E:0009:0000:0600>Ceci fera l'affaire. Ah Ah !<0E:0002:0001:>,<0E:0009:0000:0600>Perfekt! Hihi...<0E:0002:0001:>,"<0E:0009:0000:0600>Ecco qua! Ah, ah!<0E:0002:0001:>",<0E:0009:0000:0600>Así está bien. Umm...<0E:0002:0001:>,<0E:0009:0000:0600>İŞTE şimdi oldu! Gah HAH!<0E:0002:0001:>
b_sys,BMDat_I_0030,<0E:0009:0000:0600>Hamers zijn geblokkeerd.<0E:0002:0001:>,<0E:0009:0000:0600>Hammers are prohibited!<0E:0002:0001:>,<0E:0009:0000:0600>Marteaux interdits !<0E:0002:0001:>,<0E:0009:0000:0600>Hammer-Benutzung verboten!<0E:0002:0001:>,<0E:0009:0000:0600>I Martelli sono proibiti!<0E:0002:0001:>,<0E:0009:0000:0600>¡Están prohibidos los martillos!<0E:0002:0001:>,<0E:0009:0000:0600>Çekiç kullanmak yasak!<0E:0002:0001:>
b_sys,BtlGuide_02,<0E:0009:0000:0C00>De basis 2: vijanden verslaan,<0E:0009:0000:0C00>Basics #2: Damage and Defeat Foes,<0E:0009:0000:0C00>Bases ② : infliger des dégâts,<0E:0009:0000:0C00>Grundlagen ②: Schaden austeilen,<0E:0009:0000:0C00>Le basi #2: danni e nemici,<0E:0009:0000:0C00>Fundamentos 2: Infligir daño y vencer,"<0E:0009:0000:0C00>Temeller #2: Hasar Ver, Düşmanları Yen"
b_sys,Hint_mpackun_0_1,"<0E:0009:0000:0B00>De Piranha Plants genezen Mom Piranha
en voeren tegenaanvallen uit als ze schade
oploopt.","<0E:0009:0000:0B00>The Piranha Plants will heal Mom
Piranha and perform counterattacks
whenever she is damaged.","<0E:0009:0000:0B00>Les Plantes Piranha sont aux petits soins
avec elle : elles se jettent sur quiconque
l'attaque et la soignent le cas échéant.","<0E:0009:0000:0B00>Die Piranha-Pflanzen heilen Mama Piranha
und kontern jedes Mal, wenn sie Schaden
erleidet.","<0E:0009:0000:0B00>Le Piante Piranha cureranno Uovo Piranha
ed effettueranno contrattacchi ogni volta
che subisce danni.","<0E:0009:0000:0B00>Si atacas a la Piraña Madre, las Plantas
Piraña la curarán y además realizarán
contrataques.","<0E:0009:0000:0B00>Piranha Ana hasar aldığında Piranha Bitkileri
onu iyileştirir ve karşı saldırıya geçer."
b_sys,Hint_tanubo_0_0,"<0E:0009:0000:0B00>Pas op voor hun staart, want soms
slaan ze er meerdere keren mee.","<0E:0009:0000:0B00>Watch out for their tail attack,
which can strike multiple times.","<0E:0009:0000:0B00>Ne criez pas victoire trop vite si vous
évitez sa queue... Il enchaîne parfois
sur des attaques supplémentaires !","<0E:0009:0000:0B00>Lass nie seinen Schweif aus den Augen,
denn er kann damit mehrmals
hintereinander angreifen.","<0E:0009:0000:0B00>Fa' attenzione al suo attacco di
coda, che può colpire più volte!","<0E:0009:0000:0B00>Cuidado cuando te ataquen con la cola:
¡puede que lo hagan más de una vez!","<0E:0009:0000:0B00>Kuyruk saldırılarına dikkat, peş peşe
birkaç kez vurabilirler."
b_sys,Hint_use_kinoko,<0E:0009:0000:0C00>Tips voor hartpunten,<0E:0009:0000:0C00>Hints for Health,<0E:0009:0000:0C00>Récupérer des PV,<0E:0009:0000:0C00>Gesundheit,<0E:0009:0000:0C00>Recuperare Punti Vita,<0E:0009:0000:0C00>Salud,<0E:0009:0000:0C00>Sağlık İpuçları
b_sys,mon_name_175,<0E:0009:0000:0000>Hart,<0E:0009:0000:0000>Heart,<0E:0009:0000:0000>Cœur,<0E:0009:0000:0000>Herz,<0E:0009:0000:0000>Cuore,<0E:0009:0000:0000>Corazón,<0E:0009:0000:0000>Kalp
b_sys,mon_name_219,<0E:0009:0000:0000>Chain Chomp,<0E:0009:0000:0000>Chain Chomp,<0E:0009:0000:0000>Chomp,<0E:0009:0000:0000>Kettenhund,<0E:0009:0000:0000>Categnaccio,<0E:0009:0000:0000>Chomp Cadenas,<0E:0009:0000:0000>Chain Chomp
b_sys,BMDat_I_0031,<0E:0009:0000:0600>Handen zijn geblokkeerd.<0E:0002:0001:>,<0E:0009:0000:0600>Hands are prohibited!<0E:0002:0001:>,<0E:0009:0000:0600>Mains interdites !<0E:0002:0001:>,<0E:0009:0000:0600>Hand-Verwendung verboten!<0E:0002:0001:>,<0E:0009:0000:0600>Le Mani sono proibite!<0E:0002:0001:>,<0E:0009:0000:0600>¡Están prohibidas las manos!<0E:0002:0001:>,<0E:0009:0000:0600>El kullanmak yasak!<0E:0002:0001:>
b_sys,BtlGuide_03,<0E:0009:0000:0C00>Aanvallen met sprong,<0E:0009:0000:0C00>Attacking with JUMP,<0E:0009:0000:0C00>Saut offensif,<0E:0009:0000:0C00>Sprung-Attacken,<0E:0009:0000:0C00>Attaccare in salto,<0E:0009:0000:0C00>Ataques salto,<0E:0009:0000:0C00>ZIPLAMA ile Saldırı
b_sys,Hint_genjin_0_0,"<0E:0009:0000:0B00>Hun AANV wordt verhoogd als ze
schreeuwen. De schokgolf van hun
aanval is dan wel langzamer.","<0E:0009:0000:0B00>Their POW increases when they shout.
While powered up, the timing of their
impact wave is slower.","<0E:0009:0000:0B00>Son cri tribal augmente son ATT.
et ralentit l'onde de choc provoquée
par sa frappe.","<0E:0009:0000:0B00>Ihr Schlachtruf verleiht ihnen
überurmenschliche ANGR.-Werte.
Allerdings pflanzen sich ihre Schockwellen
in diesem Zustand langsamer fort.","<0E:0009:0000:0B00>Il suo ATT aumenta quando lancia il suo
grido di battaglia. Una volta potenziato,
attacca più lentamente.","<0E:0009:0000:0B00>Su grito de guerra les aumenta el ATAQUE
pero ten en cuenta que, en ese caso,
la onda expansiva avanzará más despacio.","<0E:0009:0000:0B00>Bağırdıklarında GÜÇ'ları artar. Güçlendiklerinde
darbe dalgaları daha yavaş ilerler."
b_sys,Hint_mpackun_0_2,"<0E:0009:0000:0B00>Piranha Plants kun je snel uitschakelen
als je hun zwakke plek kent.","<0E:0009:0000:0B00>Piranha Plants can be defeated quickly
if you target their weakness.","<0E:0009:0000:0B00>Mais les Plantes Piranha ne feront pas
long feu si vous exploitez leur faiblesse...","<0E:0009:0000:0B00>Du musst das Übel an der Wurzel packen
und die speziellen Schwächen der Piranha-
Pflanzen ausnutzen.","<0E:0009:0000:0B00>Le Piante Piranha possono essere eliminate
velocemente, se sfrutti i loro punti deboli.","<0E:0009:0000:0B00>Las Plantas Piraña son fáciles de derrotar
si explotas sus puntos débiles.","<0E:0009:0000:0B00>Zayıf noktalarını hedeflersen Piranha Bitkilerini
hızla yenebilirsin."
