entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:0003:001A:}}My {{TAG:0011:0003:0000}} has
been helping me relax lately.{{TAG:0000:0004:}}{{TAG:0003:0001:}}On sleepless nights,{{TAG:0007:0000:0A000000}} I just stare at
it.{{TAG:0007:0000:0A000000}} It's so calming that it helps me
fall asleep.","{{TAG:0003:0025:}}Tenía muchas ganas de que vieras
mi {{TAG:0011:0003:0000}}{{TAG:0007:0000:0A000000}}, {{TAG:0007:0000:0A000000}}{{TAG:0003:001A:}}porque
me ayuda mucho a relajarme.
{{TAG:0003:0001:}}Si alguna noche no puedo dormir,
{{TAG:0007:0000:0A000000}}me pongo a mirarl{{TAG:000E:0008:00CD02006F00020061000000}} y siempre me
acaba entrando el sueño.","{{TAG:0003:0025:}}Je te présente le must pour se
détendre après une dure journée :{{TAG:0007:0000:0A000000}}
{{TAG:000E:0002:}}{{TAG:0011:0003:0000}} !
{{TAG:0003:0001:}}Quand Morphée a des crampes aux
bras et ne m'étreint pas, j'admire
les poissons et boum !{{TAG:0007:0000:0A000000}} Je m'endors !","{{TAG:0003:0025:}}Volevo farti vedere {{TAG:000E:0008:00CD0C0069006C0020006D0069006F000C006C00610020006D00690061000000}}
{{TAG:0011:0003:0000}}!{{TAG:0007:0000:0A000000}} Starei ad
{{TAG:000E:0008:00CD120061006D006D0069007200610072006C006F00120061006D006D0069007200610072006C0061000000}} per ore,{{TAG:0007:0000:14000000}} {{TAG:0003:001A:}}è così rilassante!
{{TAG:0003:0001:}}Quando non riesco a dormire,{{TAG:0007:0000:0A000000}}
{{TAG:000E:0008:00CD04006C006F0004006C0061000000}} guardo e mi lascio ipnotizzare.
{{TAG:0007:0000:0A000000}}È molto meglio della camomilla!","{{TAG:0003:0025:}}Hier ist etwas, das ich dir
unbedingt zeigen möchte...{{TAG:0007:0000:1E000000}}
{{TAG:000E:0003:}}{{TAG:000E:0008:00CD08006D00650069006E000A006D00650069006E00650008006D00650069006E00}} {{TAG:0011:0003:0000}}!{{TAG:0000:0004:}}{{TAG:0003:001A:}}Seit ich {{TAG:000E:0008:00CD0600640065006E0006006400690065000600640061007300}} habe,{{TAG:0007:0000:14000000}} bin ich viel
entspannter.{{TAG:0007:0000:14000000}} {{TAG:000E:0003:}}{{TAG:000E:0008:00CD0400650072000600730069006500040065007300}} hilft auch gut
beim Einschlafen!","{{TAG:0003:001A:}}Benim {{TAG:0011:0003:0000}} son zamanlarda
rahatlamama çok yardımcı
oluyor.{{TAG:0000:0004:}}{{TAG:0003:0001:}}Uyuyamadığım gecelerde{{TAG:0007:0000:0A000000}} ona bakıp
duruyorum.{{TAG:0007:0000:0A000000}} Öyle sakinleştirici
ki sonunda uykum geliyor."
1,002,"{{TAG:0003:0001:}}I don't want to brag,{{TAG:0007:0000:08000000}} but my
{{TAG:0011:0003:0000}} is quite
famous.
{{TAG:0003:0025:}}I'd like for it to become a family
heirloom someday.{{TAG:0003:0026:}}","{{TAG:0003:0001:}}A mí no me gusta presumir, pero
mi {{TAG:0011:0003:0000}} es
bastante conocid{{TAG:000E:0008:00CD02006F00020061000000}}.
{{TAG:0003:0025:}}¡Tenía ganas de que vinieras a verl{{TAG:000E:0008:00CD02006F00020061000000}}!
{{TAG:0007:0000:14000000}}Creo que, con el tiempo, {{TAG:0007:0000:0A000000}}se acabará
convirtiendo en una reliquia familiar.{{TAG:0003:0026:}}","{{TAG:0003:0001:}}{{TAG:000E:0003:}}{{TAG:000E:0001:}}{{TAG:0011:0003:0000}} que
voilà est une pièce illustre, je brûlais
de te la montrer !
{{TAG:0003:0026:}}Je lui ai trouvé une place de choix :
mes enfants et mes petits-enfants
pourront l'admirer tout à leur aise !","{{TAG:0003:0001:}}Non per vantarmi, ma
{{TAG:000E:0008:00CD0C0069006C0020006D0069006F000C006C00610020006D00690061000000}} {{TAG:0011:0003:0000}}
è piuttosto {{TAG:000E:0008:00CD0C00660061006D006F0073006F000C00660061006D006F00730061000000}}.
{{TAG:0003:0025:}}È da tanto che volevo {{TAG:0007:0000:0A000000}}{{TAG:000E:0008:00CD0E00660061007200740065006C006F000E00660061007200740065006C0061000000}}
vedere!{{TAG:0000:0004:}}{{TAG:0007:0000:14000000}}Ormai è un cimelio di famiglia
{{TAG:0007:0000:0A000000}}che tratto con grande cura e che
lascerò in eredità ai posteri.{{TAG:0003:0026:}}","{{TAG:0003:0001:}}Ich will ja nicht angeben, aber {{TAG:000E:0008:00CD08006D00650069006E000A006D00650069006E00650008006D00650069006E00}}
{{TAG:0011:0003:0000}} ist ziemlich
berühmt!
Ich behandle {{TAG:000E:0008:00CD0600690068006E000600730069006500040065007300}} auch immer ganz
vorsichtig, {{TAG:0003:0026:}}damit ich es irgendwann
meinen Kindern vererben kann, hihi.","{{TAG:0003:0001:}}Övünmek istemem{{TAG:0007:0000:08000000}} ama benim {{TAG:0011:0003:0000}} epey
meşhurdur. {{TAG:0003:0025:}}Bir gün aile yadigârı
olmasını isterim.{{TAG:0003:0026:}}"
2,003,"{{TAG:0003:0001:}}I'm trying to create a space that
keeps my mind and body healthy.{{TAG:0000:0004:}}{{TAG:0003:0000:}}My {{TAG:0011:0003:0000}} helps
me relax,{{TAG:0007:0000:08000000}} and{{TAG:0003:0001:}} it makes the air
cleaner too.","{{TAG:0003:0001:}}Para mí, {{TAG:0007:0000:0A000000}}lo más importante es
que mi casa sea un lugar acogedor.{{TAG:0000:0004:}}{{TAG:0003:0000:}}Por eso decidí poner aquí
{{TAG:000E:0002:}}{{TAG:0011:0003:0000}},
{{TAG:0007:0000:0A000000}}{{TAG:0003:0001:}}porque transmite mucha paz.","{{TAG:0003:0001:}}L'essentiel dans la déco d'intérieur,
c'est de créer un espace où il fait
bon vivre.
{{TAG:0003:0000:}}Et pour ça, rien ne vaut {{TAG:000E:0008:00CD0C0075006E00200062006F006E00120075006E006500200062006F006E006E00650002003000}}
{{TAG:0011:0003:0000}} !{{TAG:0007:0000:0A000000}}{{TAG:0003:0001:}} C'est
apaisant et en plus, ça sent bon !","{{TAG:0003:0001:}}Sto cercando di arredare questa
stanza in modo che sia carina,
{{TAG:0007:0000:08000000}}ma anche salutare.{{TAG:0000:0004:}}{{TAG:0003:0000:}}{{TAG:000E:0008:00CD0C0049006C0020006D0069006F000C004C00610020006D00690061000000}} {{TAG:0011:0003:0000}}{{TAG:0007:0000:0A000000}} mi
aiuta a rilassarmi e{{TAG:0007:0000:0A000000}}{{TAG:0003:0001:}} purifica anche
l'aria! Cosa voglio di più?!","{{TAG:0003:0001:}}Ich möchte, dass mein Zimmer
schön aussieht und dabei auch
eine gesunde Atmosphäre hat.
{{TAG:0003:0000:}}Du findest doch sicher auch,
dass die Luft hier so frisch
und...{{TAG:0007:0000:0A000000}} luftig ist, oder?
Das liegt mit Sicherheit an {{TAG:000E:0008:00CD0C006D00650069006E0065006D000C006D00650069006E00650072000C006D00650069006E0065006D00}}
{{TAG:0011:0003:0000}}!","{{TAG:0003:0001:}}Hem zihnime hem bedenime iyi gelecek
bir ortam kurmaya çalışıyorum.{{TAG:0000:0004:}}{{TAG:0003:0000:}}Benim {{TAG:0011:0003:0000}}
rahatlamama yardım ediyor,{{TAG:0007:0000:08000000}} bir yandan
da{{TAG:0003:0001:}} havayı temizliyor."
3,004,"{{TAG:0003:0025:}}I totally lose track of time when I
use my {{TAG:0011:0003:0000}} to
listen to {{TAG:0011:0003:0100}}.
{{TAG:0003:0027:}}It's a big problem if I'm cooking.{{TAG:0007:0000:14000000}}
I can't tell you how many things
I've burned because of it.","{{TAG:0003:0025:}}Si escucho {{TAG:0000:0003:0200}}{{TAG:0011:0003:0100}}{{TAG:0000:0003:FFFF}}
en mi {{TAG:0011:0003:0000}},
{{TAG:0007:0000:0A000000}}pierdo la noción del tiempo.
{{TAG:0003:0027:}}Cuando cocino, es un problema{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.
{{TAG:0007:0000:0A000000}}¡Ni te imaginas la de cosas que se
me han quemado!","{{TAG:0003:0025:}}Ah, {{TAG:000E:0001:}}{{TAG:0011:0003:0000}}...
Je ne vois pas passer le temps en
écoutant {{TAG:0011:0003:0100}} !
{{TAG:0003:0027:}}Du coup, j'évite ce morceau quand
je cuisine...{{TAG:0007:0000:14000000}} Les plats brûlés, j'ai
assez donné, hi hi !","{{TAG:0003:0025:}}Adoooro ascoltare
""{{TAG:0011:0003:0100}}"" con 
{{TAG:000E:0008:00CD0C0069006C0020006D0069006F000C006C00610020006D00690061000000}} {{TAG:0011:0003:0000}}.
{{TAG:0003:0027:}}A volte perdo completamente
la nozione del tempo.{{TAG:0007:0000:14000000}} Ho bruciato
molte torte per colpa della musica!","{{TAG:0003:0025:}}Ich verliere jedes Zeitgefühl, wenn
ich {{TAG:000E:0008:00CD0C006D00650069006E0065006E000A006D00650069006E00650008006D00650069006E00}} {{TAG:0011:0003:0000}}
aufdrehe.
Besonders dann, wenn ich gerade
{{TAG:0011:0003:0100}} höre.{{TAG:0000:0004:}}{{TAG:0003:0027:}}Das ist ein richtiges Problem, wenn
ich nebenbei kochen will.{{TAG:0007:0000:0A000000}} Was mir
dadurch schon alles angebrannt ist...","{{TAG:0003:0025:}}{{TAG:0011:0003:0000}} ile {{TAG:0011:0003:0100}} dinlerken zamanın
nasıl geçtiğini hiç anlamıyorum. {{TAG:0003:0027:}}Yemek
yapıyorsam bu büyük sorun.{{TAG:0007:0000:14000000}} Bu yüzden kaç
yemeği yaktığımı sayamam bile."
4,005,"{{TAG:0003:0005:}}I've been watching this one show
called Ten-Minute Meals.{{TAG:0007:0000:0A000000}} I can't
wait for the next episode!
{{TAG:0003:0005:}}They're talking about how to make
{{TAG:0005:0013:0000}}!{{TAG:0007:0000:0A000000}} In just 10
minutes!","{{TAG:0003:0005:}}¡Estoy enganchada a un programa
que se llama ""Delicias en diez
minutos""! {{TAG:0007:0000:14000000}}¿Lo conoces?
{{TAG:0003:0005:}}¡La semana que viene van a hacer
{{TAG:0005:0013:0000}}!{{TAG:0007:0000:14000000}} Ay, se me hace
la boca agua solo de pensarlo.","{{TAG:0003:0005:}}Tu connais « Un plat quatre étoiles
en quatre minutes » ?{{TAG:0007:0000:0A000000}} J'adore cette
émission, je ne la rate jamais !
{{TAG:0003:0005:}}La prochaine fois, ils vont donner la
recette {{TAG:000E:0002:}}{{TAG:0005:0013:0000}} !{{TAG:0007:0000:0A000000}}
J'en ai déjà l'eau à la bouche !","{{TAG:0003:0005:}}Io adoooro il programma ""La cena
in 10 secondi""{{TAG:0007:0000:0A000000}} e non vedo l'ora
di guardare la prossima puntata!
{{TAG:0003:0005:}}Insegneranno come preparare{{TAG:0007:0000:14000000}}
{{TAG:000E:0001:}}{{TAG:0005:0013:0000}}.{{TAG:0007:0000:1E000000}}
Cucinare è un'arte, dai retta a me!","{{TAG:0003:0005:}}Meine Lieblingsserie im Fernsehen
ist eine Kochsendung...{{TAG:0000:0004:}}In der nächsten Folge gibt
es „{{TAG:0005:0013:0000}} mit
{{TAG:0005:0010:0000}}“.{{TAG:0007:0000:14000000}} Mmmh!","{{TAG:0003:0005:}}On Dakikada Yemek diye bir program
izliyorum.{{TAG:0007:0000:0A000000}} Yeni bölümü sabırsızlıkla
bekliyorum! {{TAG:0003:0005:}}Bu bölümde {{TAG:0005:0013:0000}} yapmayı
anlatacaklar!{{TAG:0007:0000:0A000000}} Hem de sadece 10 dakikada!"
5,006,"{{TAG:0003:0001:}}Do you play any instruments,
{{TAG:0005:0008:}}?{{TAG:0000:0004:}}{{TAG:0003:0027:}}I've been practicing and practicing.{{TAG:0007:0001:}}
{{TAG:0003:0024:}}But I still have a ways to go before
I can start a band.","{{TAG:0003:0001:}}¿Tú sabes tocar algún instrumento,
{{TAG:0007:0000:0A000000}}{{TAG:0005:0008:}}?{{TAG:0000:0004:}}{{TAG:0003:0027:}}Yo he estado practicando un poco.{{TAG:0007:0001:}}
{{TAG:0003:0024:}}Pero vamos, {{TAG:0007:0000:0A000000}}todavía me queda
mucho por aprender. {{TAG:0007:0000:14000000}}¡No es fácil!","{{TAG:0003:0001:}}Tu joues de la musique,
{{TAG:0005:0008:}} ?{{TAG:0007:0000:0A000000}} Moi, j'ai essayé
presque tous les instruments...
{{TAG:0003:000B:}}Bandoléon, guimbarde, ukulélé, oud,
et j'en passe ! {{TAG:0007:0001:}}{{TAG:0003:0024:}}Mais j'ai encore du
boulot si je veux devenir une star...","{{TAG:0003:0001:}}Suoni qualche strumento,
{{TAG:0005:0008:}}?{{TAG:0000:0004:}}{{TAG:0003:0027:}}Io è da tanto che ci provo,{{TAG:0007:0001:}}
{{TAG:0003:0024:}}ma ho ancora molta strada da fare
prima di potermi definire brava!","{{TAG:0003:0001:}}Spielst du auch irgendein
Instrument, {{TAG:0005:0008:}}?{{TAG:0000:0004:}}{{TAG:0003:0027:}}Ich übe und übe.{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:0024:}} Aber ich bin
leider noch nicht gut genug, um
eine Band zu gründen.","{{TAG:0003:0001:}}Bir enstrüman çalıyor musun,
{{TAG:0005:0008:}}?{{TAG:0000:0004:}}{{TAG:0003:0027:}}Ben durmadan pratik yapıyorum.{{TAG:0007:0001:}}
{{TAG:0003:0024:}}Ama bir grup kurabilecek seviyeye
gelmeme daha var."
6,007,"{{TAG:0003:0001:}}Do you mind if I brag about this
perfect kitchen of mine?{{TAG:0000:0004:}}To me,{{TAG:0007:0000:05000000}} the kitchen is the most
important place in a house.{{TAG:0000:0004:}}{{TAG:0003:0005:}}Chances are,{{TAG:0007:0000:05000000}} if I'm at home,{{TAG:0007:0000:05000000}} I'm
hanging out in the kitchen making
tasty treats,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!","{{TAG:0003:0001:}}¿Te importa si presumo un poco
de la cocina tan bonita que tengo?{{TAG:0000:0004:}}{{TAG:0003:0005:}}¡Con lo que me gustan los dulces,
{{TAG:0007:0000:0A000000}}me paso mucho tiempo aquí,
intentando mejorar mis recetas!
{{TAG:0003:0025:}}Y claro, para eso necesito una
buena cocina, {{TAG:0005:0007:}}.","{{TAG:0003:0001:}}Esthétique, fonctionnelle, moderne
et bien agencée...{{TAG:0007:0000:0A000000}} Ah, je ne suis pas
peu fière de ma cuisine.
La cuisine, c'est l'âme de la maison.{{TAG:0007:0000:0A000000}}
On y mijote de quoi régaler ses
papilles et celles de ses amis !
{{TAG:0003:0005:}}En tout cas, si je suis chez moi, tu
as toutes les chances de me trouver
aux fourneaux, {{TAG:0005:0007:}} !","{{TAG:0003:0001:}}Ti dispiace{{TAG:0007:0000:05000000}} se mi vanto un po'{{TAG:0007:0000:0A000000}}
della mia spettacolare cucina?{{TAG:0000:0004:}}Per me la cucina{{TAG:0007:0000:0A000000}} è la stanza più
importante del mio pied-à-terre!{{TAG:0000:0004:}}{{TAG:0003:0005:}}Il 90% del tempo lo passo in cucina,
{{TAG:0007:0000:08000000}}preparando croissants, madeleines{{TAG:0007:0000:08000000}}
e baguettes, {{TAG:0005:0007:}}!","{{TAG:0003:0001:}}Also, auf meine Küche bin ich
schon ein wenig stolz.{{TAG:0000:0004:}}Für mich persönlich ist die Küche
der wichtigste Raum im ganzen
Haus.
{{TAG:0003:0005:}}Wenn ich nicht gerade lese,{{TAG:0007:0000:08000000}} dann
bin ich meistens in der Küche,{{TAG:0007:0000:08000000}}
{{TAG:0005:0007:}}!","{{TAG:0003:0001:}}Mükemmel mutfağımla biraz övünsem ayıp
olur mu?{{TAG:0000:0004:}}Bence{{TAG:0007:0000:05000000}} mutfak evin en önemli
yeridir.{{TAG:0000:0004:}}{{TAG:0003:0005:}}Büyük ihtimalle{{TAG:0007:0000:05000000}} evdeysem{{TAG:0007:0000:05000000}}
mutfakta takılıp lezzetli şeyler
yapıyorumdur,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!"
7,008,"{{TAG:0003:0025:}}If I lie in my {{TAG:0011:0003:0000}}
and try to read,{{TAG:0007:0000:05000000}} {{TAG:0003:0009:}}I always end up
falling asleep.
{{TAG:0003:000D:}}I can only get through 3 pages
at a time!{{TAG:0007:0001:}} {{TAG:0003:0024:}}That's why I've started
reading while standing up.","{{TAG:0003:0025:}}Como intente leer echada en
mi {{TAG:0011:0003:0000}},
{{TAG:0007:0000:0A000000}}{{TAG:0003:0009:}}acabaré frita, como de costumbre.
{{TAG:0003:000D:}}¡No soy capaz de leer más de tres
páginas de nada!{{TAG:0007:0001:}} {{TAG:0003:0024:}}Por eso solo leo
en la cama relatos cortitos.","{{TAG:0003:0025:}}{{TAG:000E:0008:00CD06004D006F006E0004004D00610002003000}} fidèle {{TAG:0011:0003:0000}}.
À peine je m'y allonge, je suis déjà
au pays des rêves !
{{TAG:0003:0025:}}Inutile d'espérer y bouquiner plus de
deux minutes : avec un tel matelas,
lire ou dormir, il faut choisir !","{{TAG:0003:0025:}}Quando mi metto {{TAG:000E:0008:00CD0E006E0065006C0020006D0069006F0012006E0065006C006C00610020006D00690061000000}}
{{TAG:0011:0003:0000}} con
un libro,{{TAG:0003:0009:}}{{TAG:0007:0000:05000000}} mi addormento subito!
{{TAG:0003:000D:}}Riesco a leggere{{TAG:0007:0000:0A000000}} al massimo tre
pagine.{{TAG:0007:0001:}} {{TAG:0003:0024:}}Perciò spesso leggo stando 
in piedi... Génial, n'est-ce pas?","{{TAG:0003:0025:}}Ich kann leider nicht in {{TAG:000E:0008:00CD0C006D00650069006E0065006D000C006D00650069006E00650072000C006D00650069006E0065006D00}}
{{TAG:0011:0003:0000}} lesen.{{TAG:0000:0004:}}{{TAG:0003:000D:}}Da schlafe ich immer sofort ein!{{TAG:0007:0000:14000000}}
{{TAG:0003:0024:}}Deshalb lese ich inzwischen auch
immer im Stehen.","{{TAG:0003:0025:}}{{TAG:0011:0003:0000}} içine uzanıp kitap okumaya
çalışırsam{{TAG:0007:0000:05000000}} {{TAG:0003:0009:}}sonunda hep uyuyakalıyorum.
{{TAG:0003:000D:}}Bir seferde ancak üç sayfa
okuyabiliyorum!{{TAG:0007:0001:}} {{TAG:0003:0024:}}O yüzden
artık ayakta okuyorum."
8,009,"{{TAG:0003:0001:}}I decided to throw caution to the
wind when I put this
{{TAG:0011:0003:0000}} in my room.
I was worried it'd make my room
feel really cramped,{{TAG:0007:0000:08000000}} but stretching
out in bed is worth it!","{{TAG:0003:0001:}}Tras mucho pensarlo, me compré
est{{TAG:000E:0008:00CD02006500020061000000}} {{TAG:0011:0003:0000}}.{{TAG:0000:0004:}}Pensaba que haría la habitación muy
pequeña, {{TAG:0007:0000:0A000000}}pero bueno, {{TAG:0007:0000:0A000000}}estirarme en
esta cama es lo mejor que hay.","{{TAG:0003:0001:}}J'avais un peu peur d'être à l'étroit
dans ma chambre quand j'ai acheté
{{TAG:000E:0001:}}{{TAG:0011:0003:0000}}...
Mais je ne le regrette pas :{{TAG:0007:0000:0A000000}} je
pourrais m'y étendre, m'y enrouler
et m'y pelotonner tout le temps !","{{TAG:0003:0001:}}Alla fine mi sono decisa{{TAG:0007:0000:0F000000}} e ho fatto
la pazzia! Mi sono comprata
{{TAG:000E:0002:}}{{TAG:0011:0003:0000}}!
Temevo che fosse troppo grande
{{TAG:0007:0000:0A000000}}per il mio pied-à-terre,{{TAG:0007:0000:08000000}} ma un letto
spazioso aiuta a sognare meglio, no?","{{TAG:0003:0001:}}Ich habe mir mal was gegönnt und
bin wirklich sehr zufrieden mit
{{TAG:000E:0008:00CD0C006D00650069006E0065006D000C006D00650069006E00650072000C006D00650069006E0065006D00}} {{TAG:0011:0003:0000}}.
Erst war ich etwas unschlüssig,
weil es so viel Platz wegnimmt...{{TAG:0007:0000:14000000}}
Aber es ist äußerst bequem!","{{TAG:0003:0001:}}Bu {{TAG:0011:0003:0000}} odaya koyarken biraz gözü
kara davrandım. Odayı çok daraltır diye
korkuyordum,{{TAG:0007:0000:08000000}} ama yatakta şöyle boylu
boyunca uzanmaya değer!"
9,010,"{{TAG:0003:0005:}}I see you've found my favorite spot!{{TAG:0007:0000:14000000}}
I just love sitting here when I'm
reading or knitting or whatever.
{{TAG:0003:0001:}}Sit down and give it a try.{{TAG:0007:0000:08000000}} It's very
comfortable!","{{TAG:0003:0005:}}¡Veo que has encontrado mi rincón
favorito! {{TAG:0007:0000:14000000}}Me encanta sentarme aquí
a leer, {{TAG:0007:0000:0A000000}}tejer {{TAG:0007:0000:0A000000}}o incluso a meditar.
{{TAG:0003:0001:}}¡Anda, siéntate si quieres!
{{TAG:0007:0000:14000000}}¡Es muy cómodo!","{{TAG:0003:0005:}}Le meilleur endroit de la maison !{{TAG:0007:0000:0A000000}}
Lire, coudre, rêvasser :{{TAG:0007:0000:0A000000}} j'ai mille
prétextes pour m'y vautrer !
{{TAG:0003:0001:}}Pose un peu tes fesses sur ce
coussin moelleux et tu
comprendras !","{{TAG:0003:0005:}}Vedo che hai individuato subito
l'angoletto più confortevole
del mio pied-à-terre!
{{TAG:0007:0000:14000000}}Adoooro sedermi lì a leggere o a
fare la maglia!{{TAG:0003:0001:}} Prego, prova anche
tu. {{TAG:0007:0000:08000000}}È davvero supercomodo!","{{TAG:0003:0005:}}Hast du mein Sofa schon gesehen?{{TAG:0007:0000:14000000}}
Dann hast du mein Lieblings-
plätzchen ja bereits entdeckt!{{TAG:0000:0004:}}Da sitze ich gerne und lese,
stricke oder döse vor mich hin.{{TAG:0007:0000:14000000}}
{{TAG:0003:0001:}}Probier's aus,{{TAG:0007:0000:0A000000}} ist echt bequem!","{{TAG:0003:0005:}}En sevdiğim köşeyi bulmuşsun!{{TAG:0007:0000:14000000}} Okurken,
örgü örerken ya da başka bir şey
yaparken burada oturmaya bayılıyorum.
{{TAG:0003:0001:}}Sen de oturup dene.{{TAG:0007:0000:08000000}} Çok rahat!"
