index,key,F,G,I,S,U,TR
0,MID_Mカード_タイトル,Fiche,Visitenkarte,Carta,Ficha,Profile Card,Profil Kartı
1,MID_Mカード_個性_なし,――,--,――,――,――,――
2,MID_Mカード_個性_001,,,,,,
3,MID_Mカード_個性_002,fourbe,gerissen,sagace,sagaz,Sly,Sinsi
4,MID_Mカード_個性_003,aimable,charmant,adorabile,agradable,Charming,Alımlı
5,MID_Mカード_個性_004,adorable,reizend,dolce,adorable,Adorable,Sevimli
6,MID_Mカード_個性_005,timide,scheu,esitante,pusilánime,Shy,Utangaç
7,MID_Mカード_個性_006,malhabile,tapsig,incapace,torpe,Clumsy,Sakar
8,MID_Mカード_個性_007,inutile,nutzlos,inutile,inútil,Useless,Kullanıssiz
9,MID_Mカード_個性_008,suave,gewandt,cortese,afable,Suave,tatlı
10,MID_Mカード_個性_009,chic,verwegen,vivace,audaz,Dashing,Atilgan
11,MID_Mカード_個性_010,idéaliste,verträumt,sognante,optimista,Dreamy,Rüya gibi
12,MID_Mカード_個性_011,admirable,brillant,sublime,admirable,Amazing,İnanılmaz
13,MID_Mカード_個性_012,unique,überlegen,arrogante,excelente,Superior,Üst
14,MID_Mカード_個性_013,suprême,grandios,ineffabile,eminente,Supreme,Yüce
15,MID_Mカード_個性_014,féroce,grimmig,tenace,temible,Fierce,Şiddetli
16,MID_Mカード_個性_015,faible,schwach,debole,débil,Feeble,zayıf
17,MID_Mカード_個性_016,farouche,ängstlich,titubante,insociable,Timid,Ürkek
18,MID_Mカード_個性_017,sensible,verliebt,sensuale,ardiente,Amorous,aşk dolu
19,MID_Mカード_個性_018,extrême,extrem,radicale,invencible,Extreme,Aşırı
20,MID_Mカード_個性_019,lâche,feige,imbelle,cobarde,Craven,Korkak
21,MID_Mカード_個性_020,morose,beleidigt,scostante,triste,Pouty,somurtkan
22,MID_Mカード_個性_021,brouillon,bizarr,ebete,peculiar,Flaky,pul pul
23,MID_Mカード_個性_022,irascible,mürrisch,irritabile,irascible,Grumpy,Huysuz
24,MID_Mカード_個性_023,drôle,drollig,divertente,bromista,Droll,komik
25,MID_Mカード_個性_024,allègre,fröhlich,ilare,alegre,Cheerful,Neşeli
26,MID_Mカード_個性_025,ordinaire,normal,mediocre,normal,Ordinary,Sıradan
27,MID_Mカード_個性_026,étrange,verdorben,singolare,hipócrita,Twisted,Bükülmüs
28,MID_Mカード_個性_027,tout court,schlicht,e basta,sin más,Just a,Sadece bir
29,MID_Mカード_個性_028,humble,demütig,umile,humilde,Humble,Mütevazi
30,MID_Mカード_個性_029,bizarre,verrückt,folle,diferente,Freaky,Çılgın
31,MID_Mカード_個性_030,honnête,direkt,leale,borde,Blunt,Köreltmek
32,MID_Mカード_出身_001,――,--,――,――,――,――
33,MID_Mカード_出身_002,Albanie,Albanien,Albania,Albania,Albania,Arnavutluk
34,MID_Mカード_出身_003,Andorre,Andorra,Andorra,Andorra,Andorra,Andorra
