index,label,EU_English,EU_French,EU_German,EU_Italian,EU_Spanish,JP_Japanese,US_English,US_French,US_Spanish,TR_Turkish,QA_Note
0,PageNumSlash,/,/,/,/,/,/,/,/,/,/,
1,HeaderMelonRightDir,Facing right,⟦MSBT:0E000000020002005F00⟧Vers la droite⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005000⟧Blick nach rechts⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005500⟧Rivolto a destra⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005A00⟧Mirando a la →⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E00000000000800020004007F304E30⟧右むきのとき,⟦MSBT:0E000000020002005000⟧While facing right⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005F00⟧Vers la droite⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005A00⟧Mirando a la →⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005500⟧Sağa bakarken⟦MSBT:0E000000020002006400⟧,
2,HeaderMelonLv1,Quest 1,Quête 1,Mission 1,Missione 1,Misión 1,クエスト1,Quest 1,Quête 1,Misión 1,Görev 1,
3,HeaderMelonLv2,Quest 2,Quête 2,Mission 2,Missione 2,Misión 2,クエスト2,Quest 2,Quête 2,Misión 2,Görev 2,
4,HeaderMelonLv3,Quest 3,Quête 3,Mission 3,Missione 3,Misión 3,クエスト3,Quest 3,Quête 3,Misión 3,Görev 3,
5,HeaderMelonLv4,Quest 4,Quête 4,Mission 4,Missione 4,Misión 4,クエスト4,Quest 4,Quête 4,Misión 4,Görev 4,
6,HeaderMelonLv5,Quest 5,Quête 5,Mission 5,Missione 5,Misión 5,クエスト5,Quest 5,Quête 5,Misión 5,Görev 5,
7,HeaderMelonLv6,Quest EX,Quête EX,Mission X,Missione X,Misión +,クエストEX,Quest EX,Quête EX,Misión EX,Görev EX,
8,HeaderMelonSingle,Controls,Commandes,Steuerung,Comandi,Controles,そうさせつめい,Controls,Commandes,Controles,Kontroller,
9,DialogExitMelon,"⟦MSBT:0E00000003000400FF4B32FF⟧Quit game⟦MSBT:0E00000003000400000000FF⟧ and return
to quest selection?","⟦MSBT:0E00000003000400FF4B32FF⟧Quitter⟦MSBT:0E00000003000400000000FF⟧ et retourner
à l'écran de sélection
de quête ?","⟦MSBT:0E00000003000400FF4B32FF⟧Spiel beenden⟦MSBT:0E00000003000400000000FF⟧ und zurück
zur Missionsauswahl?","Vuoi ⟦MSBT:0E00000003000400FF4B32FF⟧uscire dal gioco⟦MSBT:0E00000003000400000000FF⟧ e
tornare alla selezione della
missione?","¿Quieres ⟦MSBT:0E00000003000400FF4B32FF⟧salir ⟦MSBT:0E00000003000400000000FF⟧y volver a
la pantalla de selección
de misión?","⟦MSBT:0E00000003000400FF4B32FF⟧ゲームをやめて⟦MSBT:0E00000003000400000000FF⟧
クエストせんたくへ もどりますか？","⟦MSBT:0E00000003000400FF4B32FF⟧Quit game⟦MSBT:0E00000003000400000000FF⟧ and return
to quest selection?","⟦MSBT:0E00000003000400FF4B32FF⟧Quitter⟦MSBT:0E00000003000400000000FF⟧ et retourner
à l'écran de sélection
de quête?","¿Quieres ⟦MSBT:0E00000003000400FF4B32FF⟧salir ⟦MSBT:0E00000003000400000000FF⟧y volver a
la pantalla de selección
de misión?","⟦MSBT:0E00000003000400FF4B32FF⟧Oyundan çık⟦MSBT:0E00000003000400000000FF⟧ ve
görev seçimine dön?",
10,DialogRetryMelon,Start the quest over?,Recommencer la quête ?,Mission neu starten?,"Vuoi riprovare
la missione?",¿Quieres reiniciar la misión?,クエストを やりなおしますか？,Start the quest over?,Recommencer la quête?,¿Quieres reiniciar la misión?,Görevi baştan başlat?,
11,CloseMelonButtonTitle,Close,Fermer,Schließen,Chiudi,Volver,とじる,Close,Fermer,Volver,Kapat,
12,ExitMelonButtonTitle,Quit,Quitter,Beenden,Esci,Salir,やめる,Quit,Quitter,Salir,Çık,
13,RetryMelonButtonTitle,Restart,Recomm.,⟦MSBT:0E000000020002004F00⟧Noch einmal⟦MSBT:0E000000020002006400⟧,Riprova,Reiniciar,やりなおす,Restart,Recomm.,Reiniciar,Baştan,
14,AblMelonSwordTitle1,Sword Hero 1,Héros à l'épée 1,⟦MSBT:0E000000020002005F00⟧Heldenschwert 1⟦MSBT:0E000000020002006400⟧,Spada eroica 1,⟦MSBT:0E000000020002005000⟧Rey de la espada (1)⟦MSBT:0E000000020002006400⟧,ヒーローソード1,Sword Hero 1,Héros à l'épée 1,⟦MSBT:0E000000020002005A00⟧Rey de la espada 1⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005000⟧Kılıç Kahramanı 1⟦MSBT:0E000000020002006400⟧,
15,AblMelonSwordTitle2,Sword Hero 2,Héros à l'épée 2,⟦MSBT:0E000000020002005F00⟧Heldenschwert 2⟦MSBT:0E000000020002006400⟧,Spada eroica 2,⟦MSBT:0E000000020002005000⟧Rey de la espada (2)⟦MSBT:0E000000020002006400⟧,ヒーローソード2,Sword Hero 2,Héros à l'épée 2,⟦MSBT:0E000000020002005A00⟧Rey de la espada 2⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005000⟧Kılıç Kahramanı 2⟦MSBT:0E000000020002006400⟧,
16,AblMelonSwordTitle3,Sword Hero 3,Héros à l'épée 3,⟦MSBT:0E000000020002005F00⟧Heldenschwert 3⟦MSBT:0E000000020002006400⟧,Spada eroica 3,⟦MSBT:0E000000020002005000⟧Rey de la espada (3)⟦MSBT:0E000000020002006400⟧,ヒーローソード3,Sword Hero 3,Héros à l'épée 3,⟦MSBT:0E000000020002005A00⟧Rey de la espada 3⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005000⟧Kılıç Kahramanı 3⟦MSBT:0E000000020002006400⟧,
17,AblMelonSwordTitle4,Sword Hero 4,Héros à l'épée 4,⟦MSBT:0E000000020002005F00⟧Heldenschwert 4⟦MSBT:0E000000020002006400⟧,Spada eroica 4,⟦MSBT:0E000000020002005000⟧Rey de la espada (4)⟦MSBT:0E000000020002006400⟧,ヒーローソード4,Sword Hero 4,Héros à l'épée 4,⟦MSBT:0E000000020002005A00⟧Rey de la espada 4⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005000⟧Kılıç Kahramanı 4⟦MSBT:0E000000020002006400⟧,
18,AblMelonHammerTitle1,Hammer Lord 1,Maestro marto 1,⟦MSBT:0E000000020002005F00⟧Schwerhammer 1⟦MSBT:0E000000020002006400⟧,Mastro martello 1,As del martillo (1),ヘビィハンマー1,Hammer Lord 1,Maestro marto 1,As del martillo 1,Çekiç Ustası 1,
19,AblMelonHammerTitle2,Hammer Lord 2,Maestro marto 2,⟦MSBT:0E000000020002005F00⟧Schwerhammer 2⟦MSBT:0E000000020002006400⟧,Mastro martello 2,As del martillo (2),ヘビィハンマー2,Hammer Lord 2,Maestro marto 2,As del martillo 2,Çekiç Ustası 2,
20,AblMelonBeamTitle1,Beam Mage 1,Roi des rayons 1,Magie-Beam 1,Raggio magico 1,Señor del rayo (1),マジックビーム1,Beam Mage 1,Roi des rayons 1,Señor del rayo 1,Işın Büyücüsü 1,
21,AblMelonBeamTitle2,Beam Mage 2,Roi des rayons 2,Magie-Beam 2,Raggio magico 2,Señor del rayo (2),マジックビーム2,Beam Mage 2,Roi des rayons 2,Señor del rayo 2,Işın Büyücüsü 2,
22,AblMelonDoctorTitle1,Dr Healmore 1,⟦MSBT:0E000000020002005A00⟧Docteur prodige 1⟦MSBT:0E000000020002006400⟧,Heiler 1,Dottore mistico 1,Doctor erudito (1),ヒールドクター1,Dr. Healmore 1,⟦MSBT:0E000000020002005A00⟧Docteur prodige 1⟦MSBT:0E000000020002006400⟧,Doctor erudito 1,⟦MSBT:0E000000020002005A00⟧Şifa Doktoru 1⟦MSBT:0E000000020002006400⟧,
23,AblMelonDoctorTitle2,Dr Healmore 2,⟦MSBT:0E000000020002005A00⟧Docteur prodige 2⟦MSBT:0E000000020002006400⟧,Heiler 2,Dottore mistico 2,Doctor erudito (2),ヒールドクター2,Dr. Healmore 2,⟦MSBT:0E000000020002005A00⟧Docteur prodige 2⟦MSBT:0E000000020002006400⟧,Doctor erudito 2,⟦MSBT:0E000000020002005A00⟧Şifa Doktoru 2⟦MSBT:0E000000020002006400⟧,
24,AblMelonDoctorTitle3,Dr Healmore 3,⟦MSBT:0E000000020002005A00⟧Docteur prodige 3⟦MSBT:0E000000020002006400⟧,Heiler 3,Dottore mistico 3,Doctor erudito (3),ヒールドクター3,Dr. Healmore 3,⟦MSBT:0E000000020002005A00⟧Docteur prodige 3⟦MSBT:0E000000020002006400⟧,Doctor erudito 3,⟦MSBT:0E000000020002005A00⟧Şifa Doktoru 3⟦MSBT:0E000000020002006400⟧,
25,AblMelonSwordNormal,Overhead Slash,Coup d'épée,Schwertschlag,Fendente verticale,Espadazo vertical,たてぎり,Overhead Slash,Coup d'épée,Espadazo vertical,Tepeden Darbe,
26,AblMelonSwordComboAttack,Multisword Attack,Lame tempête,Sturmschwert,Tempesta di lame,⟦MSBT:0E000000020002005A00⟧Tormenta de espadas⟦MSBT:0E000000020002006400⟧,"ソード⟦MSBT:0E00000000000A0002000600723083304F30⟧百れつぎり
　　　　～きめぎり",Multisword Attack,Lame tempête,⟦MSBT:0E000000020002005A00⟧Tormenta de espadas⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005500⟧Çoklu Kılıç Saldırısı⟦MSBT:0E000000020002006400⟧,
27,AblMelonSwordDril,Drill Stab,Estocade vrillée,Stich,Affondo,Espada taladro,ドリルソード,Drill Stab,Estocade vrillée,Espada taladro,Delici Hamle,
28,AblMelonSwordDash,Sword Spin,Lame toupie,Wirbelklinge,Turbine di lame,Voltereta espada,スピニングソード,Sword Spin,Lame toupie,Voltereta espada,Kılıç Dönüşü,
29,AblMelonSwordChopping,Chop and Thrust,Taillade plus,Hieb und Stoß,Ultra fendente,Cortestocada,"チョッピング
　　　～つきだし",Chop and Thrust,Taillade plus,Cortestocada,Kes ve Sapla,
30,AblMelonSwordChoppingUnder,Hat Thrust,Lame descendante,Kopfattacke,Lama discendente,Estocada aérea,かぶとづき,Hat Thrust,Lame descendante,Estocada aérea,Şapka İtişi,
31,AblMelonSwordUnder,Down Thrust,Coup bas,Abwärtsstoß,Lama fendente,⟦MSBT:0E000000020002005A00⟧Estocada descendente⟦MSBT:0E000000020002006400⟧,したづき,Down Thrust,Coup bas,⟦MSBT:0E000000020002005A00⟧Estocada descendente⟦MSBT:0E000000020002006400⟧,Aşağı Saplama,
32,AblMelonSwordUpper,Upward Slash,Coup ascendant,Aufwärtsschlag,Colpo in salto,⟦MSBT:0E000000020002005A00⟧Estocada ascendente⟦MSBT:0E000000020002006400⟧,きり⟦MSBT:0E00000000000600020002004230⟧上げスラッシュ,Upward Slash,Coup ascendant,⟦MSBT:0E000000020002005A00⟧Espadazo ascendente⟦MSBT:0E000000020002006400⟧,Yukarı Kesme,
33,AblMelonSwordMeteoend,Sword Dive,Coup plongeant,Falkenschlag,Colpo in picchiata,Estocada combinada,メテオエンド,Sword Dive,Coup plongeant,Espadazo en picada,Kılıç Dalışı,
34,AblMelonSwordRoll,Spin Slash,Lame tourbillon,Rundumschlag,Attacco rotante,Espadazo con giro,⟦MSBT:0E00000000000800020004004B304430⟧回てんぎり,Spin Slash,Lame tourbillon,Ataque torbellino,Dönen Kesik,
35,AblMelonSwordTornade,Twister Slash,Lame tornade,Tornadoschlag,Ciclone di lame,Espadazo remolino,たつまきぎり,Twister Slash,Lame tornade,Espadazo remolino,Girdap Darbesi,
36,AblMelonSwordSkyCharge,Sky Energy Sword,Épée céleste,Energieschwert,Lama celeste,Golpe celeste,スカイエナジーソード,Sky Energy Sword,Épée céleste,Golpe celeste,Göksel Kılıç,
37,AblMelonSwordHeroBarrier,Hero Shield,Bouclier héroïque,Heldenschild,Scudo eroico,Escudo heroico,ヒーローシールド,Hero Shield,Bouclier héroïque,Escudo heroico,Kahraman Kalkanı,
38,AblMelonSwordSpell,Revival Spell,Sort de vie,Wiederbelebung,Incantesimo vitale,Conjuro resucitador,ふっかつのじゅもん,Revival Spell,Sort de vie,Conjuro resucitador,Diriltme Büyüsü,
39,AblMelonSwordNormalBtn,⟦MSBT:0E00010001000000⟧,⟦MSBT:0E00010001000000⟧,⟦MSBT:0E00010001000000⟧,⟦MSBT:0E00010001000000⟧,⟦MSBT:0E00010001000000⟧,⟦MSBT:0E00010001000000⟧,⟦MSBT:0E00010001000000⟧,⟦MSBT:0E00010001000000⟧,⟦MSBT:0E00010001000000⟧,⟦MSBT:0E00010001000000⟧,
40,AblMelonSwordComboAttackBtn,"⟦MSBT:0E00010001000000⟧ after Overhead
Slash",⟦MSBT:0E00010001000000⟧ après Coup d'épée,"⟦MSBT:0E00010001000000⟧ nach einem
Schwertschlag","⟦MSBT:0E00010001000000⟧ dopo un
Fendente verticale","Espadazo vertical y
luego ⟦MSBT:0E00010001000000⟧",たてぎり⟦MSBT:0E00000000000600020002005430⟧後に⟦MSBT:0E00010001000000⟧,"⟦MSBT:0E00010001000000⟧ after Overhead
Slash",⟦MSBT:0E00010001000000⟧ après Coup d'épée,"Espadazo vertical y
luego ⟦MSBT:0E00010001000000⟧","Tepeden Darbe sonrası
⟦MSBT:0E00010001000000⟧",
41,AblMelonSwordDrilBtn,Dash + ⟦MSBT:0E00010001000000⟧,Course + ⟦MSBT:0E00010001000000⟧,Spurten + ⟦MSBT:0E00010001000000⟧,Scatta + ⟦MSBT:0E00010001000000⟧,Corre + ⟦MSBT:0E00010001000000⟧,ダッシュ＋⟦MSBT:0E00010001000000⟧,Dash + ⟦MSBT:0E00010001000000⟧,Ruée + ⟦MSBT:0E00010001000000⟧,Correr + ⟦MSBT:0E00010001000000⟧,Koş + ⟦MSBT:0E00010001000000⟧,
42,AblMelonSwordDashBtn,Dash + ⟦MSBT:0E00010001000000⟧ in mid-air,Course + ⟦MSBT:0E00010001000000⟧ (en l'air),"Spurten + ⟦MSBT:0E00010001000000⟧
in der Luft",Scatta + ⟦MSBT:0E00010001000000⟧ in aria,Corre + ⟦MSBT:0E00010001000000⟧ en el aire,ダッシュ＋⟦MSBT:0E00000000000E0004000A004F304630613085304630⟧空中で⟦MSBT:0E00010001000000⟧,Dash + ⟦MSBT:0E00010001000000⟧ in midair,Ruée + ⟦MSBT:0E00010001000000⟧ (en l'air),Correr + ⟦MSBT:0E00010001000000⟧ en el aire,Koş + ⟦MSBT:0E00010001000000⟧ havada,
43,AblMelonSwordChoppingBtn,⟦MSBT:0E00010001000000⟧ in mid-air,⟦MSBT:0E00010001000000⟧ (en l'air),⟦MSBT:0E00010001000000⟧ in der Luft,⟦MSBT:0E00010001000000⟧ in aria,⟦MSBT:0E00010001000000⟧ en el aire,⟦MSBT:0E00000000000E0004000A004F304630613085304630⟧空中で⟦MSBT:0E00010001000000⟧,⟦MSBT:0E00010001000000⟧ in midair,⟦MSBT:0E00010001000000⟧ (en l'air),⟦MSBT:0E00010001000000⟧ en el aire,Havada ⟦MSBT:0E00010001000000⟧,
44,AblMelonSwordChoppingUnderBtn,"Chop and Thrust, then
⟦MSBT:0E00010007000000⟧ + ⟦MSBT:0E00010001000000⟧ in mid-air","Taillade plus, puis
⟦MSBT:0E00010007000000⟧ + ⟦MSBT:0E00010001000000⟧ (en l'air)","Hieb und Stoß, dann
⟦MSBT:0E00010007000000⟧ + ⟦MSBT:0E00010001000000⟧ in der Luft","Ultra fendente, poi
⟦MSBT:0E00010007000000⟧ + ⟦MSBT:0E00010001000000⟧ in aria","Cortestocada y luego
⟦MSBT:0E00010001000000⟧ + ⟦MSBT:0E00010007000000⟧ en el aire ","つきだし～⟦MSBT:0E00000000000E0004000A004F304630613085304630⟧空中で
⟦MSBT:0E00010007000000⟧＋⟦MSBT:0E00010001000000⟧","Chop and Thrust, and
then ⟦MSBT:0E00010007000000⟧ + ⟦MSBT:0E00010001000000⟧ in midair","Taillade plus, puis
⟦MSBT:0E00010007000000⟧ + ⟦MSBT:0E00010001000000⟧ (en l'air)","Cortestocada y luego
⟦MSBT:0E00010007000000⟧ + ⟦MSBT:0E00010001000000⟧ en el aire","Kes ve Sapla, sonra
havada ⟦MSBT:0E00010007000000⟧ + ⟦MSBT:0E00010001000000⟧",
