index,id,en,fr,de,it,es,tr
0,0x003CB5D9,Apprentice's,d'apprenti,Lehrling-,dell'apprendista,del aprendiz,Çırak
1,0x003CB5DA,Defender's,de protecteur,Verteidiger-,del difensore,del defensor,Savunucu
2,0x003CB5DB,Guardian's,de gardien,Wächter-,del guardiano,del guardián,Koruyucu
3,0x003CB5DC,Ancient,ancien,Altes,dell'antichità,antiguo,Kadim
4,0x003CB5DD,Lancer's,de lancier,Lanzenträger-,del lanciere,del lancero,Mızrakçı
5,0x003CB5DE,Magister's,de magistère,Magister-,del maestro,del maestre,Üstat
6,0x003CB5DF,Durable,résistant,Haltbares,della resistenza,resistente,Dayanıklı
7,0x003CB5E0,Travelworn,bosselé,Abgenutztes,del consumo,gastado,Yıpranmış
8,0x003CB5E1,Stalwart,vigoureux,Robustes,della robustezza,fiel,Sarsılmaz
9,0x003CB5F7,Wizard's,de magicien,Zauberer-,del mago,del mago,Büyücü
10,0x012E2878,Crested,à armoiries,Verschnörkelter,con stemma,con cresta,Armalı
11,0x017C8ED4,Cavalier's Gauntlets,Manicles de cavalier,Stulpen des Kavaliers,Guanti d'arme del cavaliere,Guanteletes de caballero,Süvari Zırh Eldivenleri
12,0x02B7E104,#0xF50E0EFF#{{0x25CF}}#PREVIOUS# Ancient Shinplates,Grèves anciennes #0xF50E0EFF#{{0x25CF}}#PREVIOUS#,#0xF50E0EFF#{{0x25CF}}#PREVIOUS# Alte Schienbeinplatten,Schinieri antichi #0xF50E0EFF#{{0x25CF}}#PREVIOUS#,Espinilleras antiguas #0xF50E0EFF#{{0x25CF}}#PREVIOUS#,#0xF50E0EFF#{{0x25CF}}#PREVIOUS# Kadim Baldırlıklar
13,0x02E30117,Spiked,à pointes,Stacheliger,a punta,espinoso,Dikenli
14,0x03BC87C6,Ring of the Wildlands,Anneau des contrées sauvages,Ring der Wildlande,Anello delle terre selvagge,Anillo de los páramos,Yaban Diyarları Yüzüğü
15,0x0497D9B6,Fencer's,d'escrime,Fechtender,dello schermitore,del espadachín,Eskrimci
16,0x05684D42,#0xAA35B5FF#{{0x25CF}}#PREVIOUS# Heirloom Moccasins,Souliers de famille #0xAA35B5FF#{{0x25CF}}#PREVIOUS#,#0xAA35B5FF#{{0x25CF}}#PREVIOUS# Geerbte Moccasins,Mocassini del cimelio #0xAA35B5FF#{{0x25CF}}#PREVIOUS#,Mocasines de reliquia #0xAA35B5FF#{{0x25CF}}#PREVIOUS#,#0xAA35B5FF#{{0x25CF}}#PREVIOUS# Aile Mirası Mokasenler
17,0x05BA26DB,Renegade's Sabatons,Jambières du renégat,Sabatons des Renegaten,Calzari del rinnegato,Escarpes de renegado,Dönek Zırh Çizmeleri
18,0x05CF1873,Guardian's,de gardien,Wächter-,del guardiano,del guardián,Koruyucu
19,0x06B7D90D,Renegade's Hauberk,Haubert du renégat,Kettenhemd des Renegaten,Usbergo del rinnegato,Peto de renegado,Dönek Zincir Zırhı
20,0x080CE45E,#0x0EDDF5FF#{{0x25CF}}#PREVIOUS# Corsair's Breastplate,Plastron de corsaire #0x0EDDF5FF#{{0x25CF}}#PREVIOUS#,#0x0EDDF5FF#{{0x25CF}}#PREVIOUS# Korsaren-Brustplatte,Corazza da corsaro #0x0EDDF5FF#{{0x25CF}}#PREVIOUS#,Peto de corsario #0x0EDDF5FF#{{0x25CF}}#PREVIOUS#,#0x0EDDF5FF#{{0x25CF}}#PREVIOUS# Korsan Göğüslüğü
21,0x09FC2461,Voodoo,vaudou,Voodooistische,vudù,vudú,Vudu
22,0x0A6BBA72,Acolyte's Boots,Bottes de l'acolyte,Stiefel des Akoluthen,Stivali dell'accolito,Botas de acólito,Mürit Çizmeleri
23,0x0B376433,Ring of Goblin Intellimancy,Anneau d'intellimancie gobeline,Ring der Goblin-Intellimantie,Anello della conoscenza goblin,Anillo de intelimancia goblin,Goblin Zekâbüyüsü Yüzüğü
24,0x0B63BC6B,Gambler's Spaulders,Pèlerine du franc-tireur,Schiftungen des Spielers,Spallacci del giocatore,Hombreras de jugador,Kumarbaz Omuzlukları
25,0x0B696CA4,Acolyte's Robes,Robe de l'acolyte,Roben des Akoluthen,Vesti dell'accolito,Túnica de acólito,Mürit Cübbesi
26,0x0BB5F765,Wanderer's,de vagabond,Wanderer-,del viandante,del vagabundo,Gezgin
27,0x0F6962AA,Regal,royaux,Königliche,regale,reales,Asil
28,0x0F7316A7,Aetherwood,Bois éthéré,Ätherholz,Bosco etereo,Madera etérea,Eter Ağacı
29,0x10138294,Wizard's,de magicien,Zauberer-,del mago,del mago,Büyücü
30,0x10943592,Guardian's,de gardien,Wächter-,del guardiano,del guardián,Koruyucu
