"Label","TR","EUen","USen","EUfr","USfr","EUde","EUit","EUes","USes","JPja"
"Crygor_op_telop01","Akik Ormanı","Agate Forest","Agate Forest","Forêt d'Agate","Forêt d'Agate","Agate-Forst","Foresta Agata","Bosque Ágata","Bosque Ágata","アゲートしんりん"
"Crygor_op_voice01_Crygor","Mantarlar neden böyle ürkütücü\niklimlerde yetişmek zorunda? Tüylerim... diken diken oldu.","Why must fungi grow in such spooky\nclimates? I'm all...g-goose pimply.","Why must fungi grow in such spooky\nclimates? I'm all...g-goose pimply.","Cette cueillette de\nchampignons est un vrai\nfiasco. Je suis perdu.","Cette cueillette de\nchampignons est un vrai\nfiasco. Je suis perdu.","War der Agaricus bisporus\nnicht da hinten? Hach, wo bin\nich nur...","Quel fungo era proprio qui,\nchissà dove sarà finito. Temo\ndi essermi perso...","He venido a recolectar setas\npara mi investigación, pero\nme he perdido.","¿Por qué solo hay hongos\nen parajes tenebrosos...\ny escalofriantes?","けんきゅうの ために\nキノコを とりにきたは いいが…\n…みちに まよった。"
"Crygor_op_voice02_Mike","Crygor.","Crygor.","Crygor.","Crygor...","Crygor...","Sei. Gegrüßt.","Trovato.","Te encontré...","Crygor.","ミイツケタ…"
"Crygor_op_voice03_Crygor","Aaa!","Aaah!","Aaah!","AAAH !","AAAH!","HUAAAAH!","AAAAH!","¡Aaah!","¡Aaah!","わーーーーーーっ！！！！"
"Crygor_op_telop02","Mike","Mike","Mike","Mike, le robot karaoké","Mike, le robot karaoké","Mike, der Karaoke-Roboter","Mike, il robot karaoke","Mike, robot de karaoke","Mike, robot karaoke","カラオケロボット　マイク"
"Crygor_op_voice04_Crygor","Mike! Galyuma şükür.\nYani, işte buradasın!","Mike! Thank gallium.\nI mean, there you are!","Mike! Thank gallium.\nI mean, there you are!","C'est toi, Mike !\nTu es venu me chercher ?!","C'est toi, Mike!\nTu es venu me chercher?!","Ach, du bist's, Mike. Ich dachte\nschon, da kommt sonst wer!","Mike, sei tu! Sei venuto a\ncercarmi!","¡Mike!\n¡Has venido a buscarme!","¡Ay, qué alivio!\nMe asustaste, Mike.","マイク！\nむかえに きてくれたのか！"
"Crygor_op_voice05_Mike","Evet. Benim.","Yes. It is me.","Yes. It is me.","Oui, docteur.","Oui, docteur.","Hallo, Crygor.","Sì, Crygor.","Sí, Crygor.","Sí, ese soy yo.","ハイ、クライゴア。"
"Crygor_op_voice06_Crygor","Senin için endişelenmiştim!","I was worried about you!","I was worried about you!","Tu t'inquiétais pour moi ?","Tu t'inquiétais pour moi?","Hast du mich etwa gesucht?","Eri in pensiero per me?","¿Estabas preocupado?","Seguro te preocupaste.","わたしを しんぱいして。"
"Crygor_op_voice07_Mike","Hah. Endişe etmiş.","Ha. Worried.","Ha. Worried.","Oui, docteur.","Oui, docteur.","Klaro, Crygor.","Sì, Crygor.","Sí, Crygor.","Sí, cómo no...","ハイ、クライゴア。"
"Crygor_op_voice08_Crygor","Neden öyle kaçıp gittin?\nSeni nasıl özlediğimi biliyorsun.","Why did you run off like that?\nYou know how I miss you.","Why did you run off like that?\nYou know how I miss you.","Quel serviteur formidable !\nLaisse-moi te faire un bisou !","Quel serviteur formidable!\nLaisse-moi te faire un bisou!","Was täte ich nur ohne dich?\nLass dich mal drücken!","Oh, che cosa farei mai senza\ndi te? Ti meriti un abbraccio\nforte!","¡Qué atento eres!\nCuando lleguemos a casa,\nte daré un besote.","No tienes que decir nada,\nMike. Yo sé que me\nextrañabas.","さすがは、わたしの じょしゅ！\nかえったら キスしてやろう！"
