index,key,F,G,I,S,U,TR
0,MID_様子_オリヴィエ_前_敬さん,"Que faire de son temps libre ? Danser ne
peut pas être mon seul passe-temps...","Ich brauche ein weiteres Hobby neben dem
Tanzen. Womit vertreibt Ihr Euch die Zeit?","Ho bisogno di trovarmi un hobby
oltre alla danza. Consigli?","Debería hacer algo más aparte de bailar
todo el día. Necesito ideas.","I need other hobbies besides dancing.
How do you pass the time?","Danstan başka hobilere de ihtiyacım var.
Boş vaktinizi nasıl geçirirsiniz?"
1,MID_様子_オリヴィエ_前,"Que faire de son temps libre ? Danser ne
peut pas être mon seul passe-temps...","Ich brauche ein weiteres Hobby neben dem
Tanzen. Womit vertreibst du dir so die Zeit?","Ho bisogno di trovarmi un hobby
oltre alla danza. Consigli?","Debería hacer algo más aparte de bailar
todo el día. Necesito ideas.","I need other hobbies besides dancing.
How do you pass the time?","Danstan başka hobilere de ihtiyacım var.
Boş vaktini nasıl geçirirsin?"
2,MID_様子_オリヴィエ_前_敬様,"Que faire de son temps libre ? Danser ne
peut pas être mon seul passe-temps...","Ich brauche ein weiteres Hobby neben dem
Tanzen. Womit vertreibt Ihr Euch die Zeit?","Ho bisogno di trovarmi un hobby oltre
alla danza. Voi come passate il tempo?","Debería hacer algo más aparte de bailar
todo el día. Necesito ideas.","I need other hobbies besides dancing.
How do you pass the time?","Danstan başka hobilere de ihtiyacım var.
Boş vaktinizi nasıl geçirirsiniz?"
3,MID_様子_オリヴィエ_後_敬さん,"Pour ma part, j'essaie de me rendre utile...
Je fais la cuisine, range les armes, etc.","Ich helfe normalerweise aus, wo ich kann.
Kochen, Waffen einlagern... Solche Dinge.","Di solito cerco di aiutare come posso.
Cucinando, lucidando le armi... o cose così.","Yo ayudo en lo que puedo: cocino,
ordeno la armería... Cosas así.","I usually try to help out where I can.
Cooking, stocking weapons...you know.","Genellikle elimden geldiğince yardımcı
olmaya çalışirim. Yemek yapmak, silah
stoklamak... bilirsin."
4,MID_様子_オリヴィエ_後_敬様,"Pour ma part, j'essaie de me rendre utile...
Je fais la cuisine, range les armes, etc.","Ich helfe normalerweise aus, wo ich kann.
Kochen, Waffen einlagern... Solche Dinge.","Di solito cerco di aiutare come posso.
Cucinando, lucidando le armi... o cose così.","Yo ayudo en lo que puedo: cocino,
ordeno la armería... Cosas así.","I usually try to help out where I can.
Cooking, stocking weapons...you know.","Genellikle elimden geldiğince yardımcı
olmaya çalışirim. Yemek yapmak, silah
stoklamak... bilirsin."
5,MID_様子_オリヴィエ_後_無言,NOT USED,NOT USED,NOT USED,NOT USED,NOT USED,KULLANILMADI
6,MID_様子_オリヴィエ_前_親子_子,"Ciel ! Tu te sens bien, $Np ?
Tu as l'air tout raplapla.","Meine Güte, $Np! Geht es dir
gut? Du siehst ja furchtbar aus!","Per gli dei, $Np! Sembra che tu
abbia affrontato il giudizio divino.","¡Dioses, $Np! ¿Estás bien?
¡Qué mala cara tienes!","My gosh, $Np! Are you all right?
You look like you've been through an ordeal.","Tanrım, $Np! İyi misin? Bir
çetin sinavdan geçmiş gibi görünüyorsun."
7,MID_様子_オリヴィエ_後_親子_子,"Tu n'as pas à t'inquiéter pour ça...
Tout va bien, je t'assure.","Es ist alles in Ordnung.
Bitte mach dir keine Sorgen.","Sto bene. Giuro! Ti prego,
non preoccuparti.","Estoy bien, ¡lo prometo!
Por favor, no te preocupes por mí.","I'm all right. I promise! Please, don't
trouble yourself.","Ben iyiyim. Söz veriyorum! Lütfen
kendinize sorun çikarmayin."
8,MID_様子_オリヴィエ_前_恋人,"$Np, il ne faut pas me regarder
comme ça... Tant de beauté me fait rougir.","Du bist so hübsch, $Np! Wenn du
mich so anstarrst, werde ich noch ganz rot!","$Np! Non guardarmi così.
Sei così bello che mi fai arrossire...","¡$Np! No me mires así...
Eres tan guapo que me ruborizas.","$Np! Don't stare like that.
You're so handsome, you'll make me blush...","$Np! Öyle bakma. O kadar
yakışıklısin ki beni utandıracaksın..."
9,MID_様子_オリヴィエ_後_恋人,"Oh, cela suffit... Tous ces compliments...
Mon cœur n'y résiste pas...","Oh, hör schon auf. Willst du etwa mein Herz
zum Rasen bringen?!?","Oh, andiamo. Il mio cuore
già batte all'impazzata!","¡Venga, para! ¿O es que quieres
que me dé una taquicardia?","Oh, stop. Are you trying to
make my heart race?!","Ah, dur. Kalbimi
hizlandirmaya mı çalışıyorsun?"
