index,label,English,French,German,Italian,Spanish,Turkish
0,Normal_man,"I had my heart set on you since the first time
I saw you, will you go out with me?","Je t'aime depuis le tout premier jour.
Sors avec moi !","Seit unserer ersten Begegnung bin ich in dich
verknallt. Willst du mit mir gehen?","Appena ci siamo conosciuti, ho sentito le
farfalle nello stomaco. Usciresti con me?","Te amo desde el primer día que te conocí.
¡Sal conmigo!","Seni ilk gördüğüm anda gönlümü sana kaptırdım.
Benimle çıkar mısın?"
1,Normal_woman,"My heart beats like crazy when I think about
you. Please go out with me!","Quand je pense à toi, mon cœur s'emballe.
Sors avec moi, je t'en prie !","Mein Herz schlägt wie wild, wenn ich dich sehe.
Lass uns miteinander gehen!","Il mio cuore batte all'impazzata quando penso
a te. Accetta di uscire con me, ti prego!","Cuando te veo, mi corazón late de contento.
¿Quieres salir conmigo?","Seni düşününce kalbim deli gibi atıyor.
Lütfen benimle çık!"
2,Romantic_man,"You taught me what it means to love somebody.
Now I hope I can teach you just how much...","Tu m'as appris ce que c'est que d'aimer
quelqu'un. Laisse-moi te montrer à quel point !","Dank dir weiß ich was Liebe ist. Lass mich dir
zeigen, wie viel ich durch dich gelernt habe!","Grazie a te ho imparato cosa significa essere
innamorati. Ora vorrei essere io a insegnartelo.","Túme enseñaste lo que era el amor. Ahora
te lo enseñaré yo a ti...","Bana birini sevmenin ne demek olduğunu öğrettin.
Şimdi ben de seni ne kadar sevdiğimi göstermek istiyorum..."
3,Romantic_woman,"I could leave school, but I could never leave
you. Please go out with me!","Quitter l'école, c'est facile. Mais je ne
pourrais jamais te quitter toi !","Ich könnte die Schule verlassen... aber dich
niemals! Bitte lass mich deine Freundin sein!","Posso anche cambiare scuola, ma non
cambierei mai te. Usciamo insieme, ti prego!","Puedo dejar el colegio, pero nunca te dejaría
a ti. ¡Sal conmigo!","Okuldan ayrılabilirim ama senden asla.
Lütfen benimle çık!"
4,Proudly_man,"Did you think I didn't notice you looking at me
from time to time...?{TAG_1}I don't mind you looking if you go out with me.","J'ai bien remarqué que tu me regardes
à chaque fois qu'on se croise...{TAG_1}Tu pourras me regarder autant que tu veux
si tu sors avec moi.","Meinst du ich merke nicht wie du mich
immer anstarrst?{TAG_1}Kannst ruhig weiter starren, aber dann werd
gefälligst auch meine Freundin!","Credi che non abbia notato come mi guardi
quando io non presto attenzione?{TAG_1}Puoi continuare a farlo, purché tu
voglia uscire con me.","Me ehe dado cuenta de que siempre
me lanzabas miraditas.{TAG_1}Si sales conmigo, podrás contemplarme
todo lo que quieras.","Arada bana baktığını fark
etmediğimi mi sandın...?{TAG_1}
Benimle çıkarsan bakmana hiç itiraz etmem."
5,Proudly_woman,"I heard you liked somebody.
That must be... {TAG_1}me{TAG_2}, right?","L'autre jour, tu as dit que tu aimais quelqu'un...
Ce quelqu'un, c'est moi, non ?","Ich hab gehört du stehst auf irgendwen.
Ich wette die Glückliche? Bin ich. Richtig?","Ho sentito che ti piace qualcùno.
Devo essere io, vero?","El otro día dijiste que te gustaba alguien.
Soyyo, ¿no? Entonces, podríamos salir juntos.","Birinden hoşlandığını duydum.
O kişi... {TAG_1}benim{TAG_2}, değil mi?"
6,Desperate_man,"I'll carry your books for you every day if you
go out with me!","Je ferai briller tes chaussures si tu sors
avec moi !","Ich trag dir jeden Tag die Bücher hinterher,
wenn du mit mir gehst!","Ti porterò i libri tutti i giorni
se accetti di uscire con me!","¡Si sales conmigo, te doy mi bocadillo
del recreo!","Benimle çıkarsan kitaplarını
her gün ben taşırım!"
7,Desperate_woman,"I'll do your homework for you every day if
you go out with me!","Je ferai tes devoirs à ta place si tu sors
avec moi !","Wenn du mit mir gehst, mach ich jeden Tag
deine Hausaufgaben!","Farò sempre i compiti al postotùo
se ti decidi a uscire con me!","¡Si sales conmigo, te haré los deberes!","Benimle çıkarsan ödevlerini
her gün ben yaparım!"
8,Cute_both_00,"{TAG_1}, if you're not going out
with anybody special right now...","{TAG_1}, si tu ne sors avec personne
en ce moment...","Hör mal, {TAG_1}? Du bist doch
gerade sowieso soloh. Oder?","{TAG_1}, se non hai altri
impegni...","{TAG_1}, si no estás saliendo
con nadie...","{TAG_1}, şu anda özel biriyle
çıkmıyorsan..."
9,Cute_both_01,Would you like to be my head {TAG_1}?,Je veux bien me proposer !,"Wie wehrs dann, wenn du {TAG_1} wirst?",Potremmo uscire insieme!,¡Me ofrezco voluntari{TAG_1}!,Benim {TAG_1} olmak ister misin?
10,021,"I'll give you {TAG_1} {TAG_2},
if you go out with me.","Je te donnerai {TAG_1}{TAG_2}
si tu sors avec moi.","Du kriegst jede Menge {TAG_1},
wenn du mit mir ausgehst.","Ti darò {TAG_1}{TAG_2},
se accetterai di uscire con me.","Si sales conmigo, te daré
{TAG_1} {TAG_2}.",Benimle çıkarsan sana {TAG_1} {TAG_2} veririm.
11,001,Sure.,D'accord !,"Klar, gerne!",Ma certo!,¡Vale!,Tabii.
12,002,{TAG_1}{TAG_2}I'm sorry...,"{TAG_1}{TAG_2}Désol{TAG_3}, je ne peux pas...","{TAG_1}{TAG_2}Nein, das geht nicht...","{TAG_1}{TAG_2}Scusa, ma fra noi non funzionerebbe...",{TAG_1}{TAG_2}Lo siento...,{TAG_1}{TAG_2}Üzgünüm...
13,003,Hold on a minute!,Eh ! Pas si vite !,"Häi, warte!",Aspetta un momento!,¡Ún momento!,Bir dakika!
14,004,Nobody loves you more than me!,"Cel{TAG_1} qui t'aime vraiment, c'est moi !",Niemand liebt dich mehr als ich!,Nessuno ti ama come me!,¡Nádie te ama tanto comoyo!,Seni benden daha çok seven yok!
15,014,I love you more!,"Ne les écoute pas, c'est moi qui t'aime
le pluss !","Nein, ICH liebe dich am meisten!",Io ti amo di più!,¡Yó te amo mucho más!,Ben daha çok seviyorum!
16,007,No way! I love you the most!,"Impossible, c'est moi qui t'aime le pluss !",Unmöglich! Am allermeisten liebe ICH dich!,"Non è vero, IO ti amo di più!",¡Y un jamón! Yó te quiero más. ¡Al infinito!,Olmaz! Seni en çok ben seviyorum!
17,017,"Who do you choose, {TAG_1}?","Qui choisis-tu, {TAG_1} ?","Wen von uns nimmst du, {TAG_1}?","Chi scegli, {TAG_1}?","¿A quién eliges, {TAG_1}?","{TAG_1}, kimi seçiyorsun?"
18,015,"No, no!",C'est même pas vrai !,Nein! Nein!,No no!,¡No no!,"Hayır, hayır!"
19,018,"Who do you choose, {TAG_1}?","Qui choisis-tu, {TAG_1} ?","Wen von uns nimmst du, {TAG_1}?","Chi scegli, {TAG_1}?","¿A quién vas a elegir, {TAG_1}?","{TAG_1}, kimi seçiyorsun?"
20,005,"{TAG_1}, I'm so glad you feel
the same way.","Je suis si heureu{TAG_1} que tu ressentes la même
chose que moi, {TAG_2}.","Ich bin so froh dass du so fühlst
wie ich. {TAG_1}.","Scelgo te, {TAG_1}! Sono felice
che tu provi gli stessi sentimenti per me.","¡Estoy tan content{TAG_1} de que sientas lo mismo
por mí, {TAG_2}!","{TAG_1}, benimle aynı şeyleri hissetmene
çok sevindim."
21,023,Yikes!,{TAG_1}Ha a !,{TAG_1}Wahs?,Aaa!,¡Uaaaa!,Eyvah!
22,006,"So, what do you think about us
becoming sweethearts?",Vous êtes d'accord avec ce choix ?,Bist du mit dieser Wahl einverstanden?,"Pensi che saremo una
bella coppia?",¿Crees que hacemos buena pareja?,"Peki, sevgili olmamıza ne dersin?"
23,008,"{TAG_1}{TAG_2}I'm sorry, neither.","{TAG_1}{TAG_2}Désol{TAG_3}, aucun{TAG_4} des deux.",{TAG_1}{TAG_2}Keinen von euch beiden... Tut mir leid.,"{TAG_1}{TAG_2}Mi dispiace, ma non m'interessate.","{TAG_1}{TAG_2}Lo siento, pero no me interesa {TAG_3}.","{TAG_1}{TAG_2}Üzgünüm, ikinizi de seçmiyorum."
24,016,"{TAG_1}{TAG_2}I'm sorry, none of you.","{TAG_1}{TAG_2}Désol{TAG_3}, vous ne m'intéressez pas.",{TAG_1}{TAG_2}Tut mir leid... keinen von euch!,"{TAG_1}{TAG_2}Mi dispiace, ma non siete le persone
adatte a me.","{TAG_1}{TAG_2}Lo siento mucho.
No estoy {TAG_3}.","{TAG_1}{TAG_2}Üzgünüm, hiçbirinizi seçmiyorum."
