label,index,deu,eng,esp,fra,ita,nld,tur
CharaSerif_00_M,0,"Hihi. Bedaure, Musashi. \u000E\u0000\u0003\u0004ﾑ＞Sun-o\u000E\u0000\u0003\u0004\u0000＀, der\nseltene Sushi-Geist, gehört schon mir!","Well, well. Look who got here too late.\nThe rare sushi sprite \u000E\u0000\u0003\u0004ﾑ＞Sun-o\u000E\u0000\u0003\u0004\u0000＀ is mine!","Je, je... ¡Llegas tarde, Musashi! El genio\nespecial \u000E\u0000\u0003\u0004ﾑ＞Sun-o\u000E\u0000\u0003\u0004\u0000＀ es mío y solo mío.",Héhé. Tu arrives trop tard.\nLa sushinité \u000E\u0000\u0003\u0004ﾑ＞Sun-o\u000E\u0000\u0003\u0004\u0000＀ m'appartient !,"Gne-gne... Troppo tardi, Musashi!\nLo spirito raro \u000E\u0000\u0003\u0004ﾑ＞Sun-o\u000E\u0000\u0003\u0004\u0000＀ è mio ormai!","Te laat, Musashi! De zeldzame sushigami\n\u000E\u0000\u0003\u0004ﾑ＞Sun-o \u000E\u0000\u0003\u0004\u0000＀is van mij!",Vay vay vay. Bak sen kim de geç kalmış.\nNadir suşi ruhu \u000E\u0000\u0003\u0004ﾑ＞Sun-o\u000E\u0000\u0003\u0004\u0000＀ artık benim!
CharaSerif_00_F,1,,,,,,,
CharaSerif_01_M,2,Was?! Du lügst!,Already?!,¡¿Qué?!,Déjà ?!,Come?!,Wat zeg je nou?,Şimdiden mi?!
CharaSerif_01_F,3,,Already?!,,,,,Şimdiden mi?!
CharaSerif_02_M,4,"Ach ja? Dann ist dieser Zauber hier,\nder \u000E\u0000\u0003\u0004ﾑ＞Tellerhüpfer\u000E\u0000\u0003\u0004\u0000＀, wohl auch gelogen, wie?","That's right. Even better, I'm now capable\nof using Sun-o's skill, \u000E\u0000\u0003\u0004ﾑ＞Plate Jumper\u000E\u0000\u0003\u0004\u0000＀.",Como lo oyes. Y tengo otra buena noticia:\ndomina la técnica \u000E\u0000\u0003\u0004ﾑ＞pista libre\u000E\u0000\u0003\u0004\u0000＀.,"Oui ! Et je peux même utiliser son talent,\n\u000E\u0000\u0003\u0004ﾑ＞Saute-assiette\u000E\u0000\u0003\u0004\u0000＀.",Hai capito bene! E ti dirò di più:\nl'abilità di Sun-o è \u000E\u0000\u0003\u0004ﾑ＞Saltapiatti\u000E\u0000\u0003\u0004\u0000＀.,En weet je? Sun-o's gave is\n\u000E\u0000\u0003\u0004ﾑ＞Bordenspringer\u000E\u0000\u0003\u0004\u0000＀.,"Aynen öyle. Daha da iyisi, artık Sun-o'nun\nyeteneğini, \u000E\u0000\u0003\u0004ﾑ＞Tabak Atlatan\u000E\u0000\u0003\u0004\u0000＀, kullanabiliyorum."
CharaSerif_02_F,5,,,,,,,
CharaSerif_03_M,6,"Damit verbinde ich gleichfarbige Teller, egal,\nwo sie sind! Du wirst keine Chance haben!",It's an incredible skill that lets you ignore\nany plate in your way to keep linking!,Es una cosa increíble: permite enlazar platos\naunque haya obstáculos de por medio.,"C'est génial, ça permet de relier les assiettes\nen ignorant celles qui sont sur ton chemin.",È un'abilità fantastica che ti fa collegare piatti\ndi un colore senza che gli altri ti ostacolino!,Het is een geweldige gave waardoor je\nanderskleurige bordjes kunt negeren.,Bağ kurarken yolundaki tüm tabakları\nyok saymanı sağlayan harika bir yetenek!
CharaSerif_03_F,7,,,,,,,
CharaSerif_04_M,8,"Los jetzt! Wenn ich mit dir fertig bin, ist\ndir die Lust auf Sushi auf ewig vergangen!",And it's just the thing I need to beat you!,Ahora verás... ¡Con esta técnica\nte voy a hacer picadillo!,Et c'est exactement ce dont j'ai besoin\npour te battre !,Ed è proprio ciò di cui ho bisogno per ridurti\nin poltiglia!,Dus ik maak gehakt van je!,Ve seni yenmek için tam da ihtiyacım olan şey!
CharaSerif_04_F,9,,,,,,,
