entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:0003:0001:}}The new year makes me want to
turn over a new leaf.{{TAG:0007:0000:28000000}}{{TAG:0003:0003:}} Yeah!{{TAG:0007:0000:14000000}} I know
{{TAG:0004:0000:}} is totally gonna be my year!","{{TAG:0003:0001:}}Creo que el año de la rata va a ser
un buen año para mí.{{TAG:0007:0000:28000000}}{{TAG:0003:0003:}} ¡Después de
todo, ratas y ratones somos primos!{{TAG:0007:0000:14000000}}","{{TAG:0003:0001:}}Cette année, je vais enfin faire mon
trou dans le milieu !{{TAG:0000:0004:}}{{TAG:0007:0000:28000000}}{{TAG:0003:0003:}}Ouais !{{TAG:0007:0000:14000000}} {{TAG:0004:0000:}} sera mon année, je
le sens !","{{TAG:0003:0001:}}Ho deciso di fare molti più spuntini
a base di formaggio per il {{TAG:0004:0000:}}!{{TAG:0007:0000:28000000}}{{TAG:0003:0003:}}
Questo sarà il mio anno!","{{TAG:0003:0001:}}Juhuuu, {{TAG:0007:0000:08000000}}ein neues Jahr beginnt!{{TAG:0007:0000:1E000000}}{{TAG:0003:0003:}}
{{TAG:0004:0000:}} ist das Jahr der Ratte!{{TAG:0000:0004:}}{{TAG:0003:000B:}}Ich bin 'ne richtige Leseratte...{{TAG:0007:0000:1E000000}}
{{TAG:0003:0025:}}Besonders Malbücher les ich gern,{{TAG:0007:0000:08000000}}
äh, he he he!","{{TAG:0003:0001:}}Yeni yıl gelince insanın yepyeni bir
sayfa açası geliyor.{{TAG:0007:0000:28000000}}{{TAG:0003:0003:}} Evet!{{TAG:0007:0000:14000000}} Biliyorum,
{{TAG:0004:0000:}} kesinlikle benim yılım olacak!"
1,002,"{{TAG:0003:0005:}}Is my tail looking even swishier than
usual to you?{{TAG:0007:0000:28000000}} Well, there's a good
reason for that.
{{TAG:0003:0004:}}That's 'cause this new year is
totally gonna be the year of me!","{{TAG:0003:0005:}}¿No me notas los cuernos como
más bonitos de lo normal?{{TAG:0007:0000:28000000}}
¿Y el rabo mejor peinado?{{TAG:0000:0004:}}{{TAG:0003:0004:}}¡Eso es porque dentro de poco
empieza mi año! Bueno, el del
buey, pero viene a ser lo mismo.","{{TAG:0003:0005:}}Toi aussi, le fait d'être enfin en
{{TAG:0004:0000:}} te fait un effet buffle ?{{TAG:0000:0004:}}{{TAG:0003:0004:}}Cherche pas, c'est parce que cette
année, elle est placée sous mon
signe !","{{TAG:0003:0005:}}Senti il rumore che fa la mia coda?{{TAG:0007:0000:28000000}}
Fruscia più che mai. E sai perché?
{{TAG:0003:0004:}}Perché questo sarà il mio anno!","{{TAG:0003:0005:}}Das wird das Jahr des Büffels!{{TAG:0007:0000:1E000000}}
Au jaaa! {{TAG:0007:0000:14000000}}{{TAG:0003:0017:}}Essen Büffel eigentlich
{{TAG:0005:0010:0000}}?","{{TAG:0003:0005:}}Kuyruğum bugün daha bir havalı
sallanıyor gibi değil mi?{{TAG:0007:0000:28000000}} Bunun bir sebebi var.
{{TAG:0003:0004:}}Çünkü bu yeni yıl resmen benim yılım olacak!"
2,003,"{{TAG:0003:0001:}}I'm feeling extra ferocious now
that it's the new year!{{TAG:0000:0004:}}{{TAG:0003:001A:}}I don't wanna brag,{{TAG:0007:0000:14000000}} but I think this
new year is gonna be my year.","{{TAG:0003:0001:}}¡Me noto el doble de fiero que de
costumbre!{{TAG:0000:0004:}}{{TAG:0003:001A:}}Pero no tengas miedo,{{TAG:0007:0000:14000000}} es solo que
me hace ilu que vayamos a entrar
en el año del tigre.","{{TAG:0003:0001:}}Tu peux pas savoir combien j'avais
les crocs d'attaquer cette nouvelle
année !{{TAG:0000:0004:}}{{TAG:0003:001A:}}Sans vouloir me vanter,{{TAG:0007:0000:14000000}} je sens que
{{TAG:0004:0000:}} sera placée sous mon signe.","{{TAG:0003:0001:}}Farò fatica a tenere a bada
i miei artigli nei prossimi mesi.{{TAG:0000:0004:}}{{TAG:0003:001A:}}Non per vantarmi,{{TAG:0007:0000:14000000}} ma quest'anno
parleranno tutti di me!","{{TAG:0003:0008:}}Huaaah, heute bin ich total
aufbrausend!!!{{TAG:0000:0004:}}{{TAG:0003:001A:}}Oh.{{TAG:0007:0000:14000000}} Das liegt wohl daran,
dass das Jahr des Tigers losgeht,{{TAG:0007:0000:08000000}}
äh, he he he...","{{TAG:0003:0001:}}Yeni yıl geldi diye kendimi ekstra
yırtıcı hissediyorum!{{TAG:0000:0004:}}{{TAG:0003:001A:}}Övünmek
gibi olmasın,{{TAG:0007:0000:14000000}} ama bence
bu yıl benim yılım olacak."
3,004,"{{TAG:0003:0005:}}This is a special year for me!{{TAG:0007:0001:}}
{{TAG:0003:0004:}}A huh huh! I hope it's a good one
too,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","{{TAG:0003:0005:}}Hace poco me enteré de que
no queda nada para entrar
en el año de la liebre.{{TAG:0000:0004:}}{{TAG:0003:0004:}}¡Ji, ji, ji! Ya decía yo que me veía
más contento,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.
¡La liebre es prima del conejo!","{{TAG:0003:0005:}}Cette nouvelle année, je la sens
tellement bien que j'en ai les
oreilles qui frétillent,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}} !","{{TAG:0003:0005:}}Questo sarà un anno mitico
per me!{{TAG:0007:0001:}} {{TAG:0003:0004:}}Spero che mi accadano
solo cose belle,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","{{TAG:0003:0005:}}Juhuuu, {{TAG:0007:0000:08000000}}das Jahr des Hasen ist da!{{TAG:0007:0000:1E000000}}
{{TAG:0003:0004:}}Ich würd am liebsten nur noch
hüpfen,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!","{{TAG:0003:0005:}}Bu yıl benim için özel!{{TAG:0007:0001:}}
{{TAG:0003:0004:}}Hı hı hı! Umarım güzel de geçer,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}."
4,005,"{{TAG:0003:0027:}}I kind of feel like everyone is
looking at me!{{TAG:0007:0001:}} I guess they can all
tell this is my special year!","{{TAG:0003:0027:}}Últimamente me noto más animado.{{TAG:0007:0001:}}
Tengo la crin más suave y los
cascos bien limpitos.
{{TAG:0003:0001:}}¡A ver si va a ser porque dentro
de poco empieza el año del caballo!","{{TAG:0003:0027:}}Depuis qu'on est en {{TAG:0004:0000:}}, j'ai
l'impression que tout le monde ne
fait que me regarder !{{TAG:0000:0004:}}Ça doit vouloir dire que cette année
va être spéciale pour moi !","{{TAG:0003:0027:}}Mi sento gli occhi di tutti puntati
addosso!{{TAG:0007:0001:}} Dipenderà dal fatto che
questo sarà il mio anno?","{{TAG:0003:0025:}}Das Jahr des Pferdes geht los!{{TAG:0007:0000:1E000000}}
{{TAG:0003:0003:}}Ich möcht am liebsten
losgaloppieren, {{TAG:0007:0000:08000000}}so aufgeregt bin ich!","{{TAG:0003:0027:}}Sanki herkes bana bakıyor!{{TAG:0007:0001:}}
Demek ki bu yılın benim için özel
olduğunu onlar da anlamış!"
5,006,,,,,,
6,007,"It's a new year, which means it's
a fresh start.{{TAG:0007:0000:14000000}}{{TAG:0003:0001:}} I've got a good feeling
this is gonna be my year.","{{TAG:0003:001A:}}Hoy me han dicho que iba mono.
{{TAG:0003:000B:}}Y ahora que lo pienso, últimamente
tengo más mono de comer.
Además, las hermanas Manitas me
han recomendado que me compre
un mono.
{{TAG:0003:0017:}}No sé qué pasa, pero me da a mí
que tiene algo que ver con que
pronto empieza el año del mono.","Une nouvelle année qui débute, c'est
un peu comme un nouveau départ.{{TAG:0000:0004:}}{{TAG:0003:0001:}}Perso, je sens qu'en {{TAG:0004:0000:}} je vais
souvent avoir la banane !","Quest'anno tutto sarà diverso.{{TAG:0007:0000:14000000}}{{TAG:0003:0001:}}
I prossimi 12 mesi sono dedicati
esclusivamente a me.","Das Jahr des Affen geht los!{{TAG:0007:0000:14000000}}{{TAG:0003:0002:}}
Dieses Jahr bin ich bestimmt noch
quirliger als sonst, {{TAG:0007:0000:08000000}}äh, he he he!","Yeni yıl demek, yepyeni bir başlangıç demek.{{TAG:0007:0000:14000000}}{{TAG:0003:0001:}}
İçimde bir his var; bu yıl benim yılım olacak."
7,008,"{{TAG:0003:0001:}}It's totally gonna be my year!{{TAG:0007:0000:28000000}}
{{TAG:0003:0027:}}I'm happy,{{TAG:0007:0000:14000000}} but I'm a little nervous
having all eyes on me.","{{TAG:0003:0001:}}¡Estoy supercontento con eso de
que empiece el año del gallo!{{TAG:0007:0000:28000000}}{{TAG:0000:0004:}}{{TAG:0003:0027:}}Aunque me da cosa que todo
el mundo vaya a estar fijándose
en mí solo porque sea un ave.","{{TAG:0003:0001:}}Je sens que {{TAG:0004:0000:}}, ça va être mon
année !{{TAG:0000:0004:}}{{TAG:0003:0027:}}D'un côté, je suis content,{{TAG:0007:0000:14000000}} mais de
l'autre, toute cette attention me
rend un peu nerveux.","{{TAG:0003:0001:}}Questo sarà l'anno del Gallo!{{TAG:0007:0000:28000000}} {{TAG:0003:0027:}}Avrò
gli occhi di tutti puntati addosso
e ciò mi rende un po' nervoso...","{{TAG:0003:0001:}}Hurraaa,{{TAG:0007:0000:08000000}} ich bin frei wie ein
Vooogel!{{TAG:0007:0000:1E000000}} {{TAG:0003:001A:}}Oh.{{TAG:0007:0000:14000000}} Das liegt wohl
am neuen Jahr,{{TAG:0007:0000:08000000}} äh, he he he...","{{TAG:0003:0001:}}Bu yıl kesin benim yılım!{{TAG:0007:0000:28000000}}
{{TAG:0003:0027:}}Çok mutluyum,{{TAG:0007:0000:14000000}} ama bütün gözler üstümde diye
biraz da heyecanlıyım."
8,009,"{{TAG:0003:0021:}}This year is totally gonna be my
year,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!{{TAG:0000:0004:}}{{TAG:0003:001A:}}That means I'm gonna chow down
on as much {{TAG:0005:0013:0000}} as I
want!","{{TAG:0003:0021:}}Ya se acerca el año del perro,{{TAG:0007:0000:08000000}}
{{TAG:0005:0007:}}.{{TAG:0000:0004:}}Nunca he entendido por qué se nos
usa para las expresiones feas.{{TAG:0000:0004:}}""Tratar a alguien como a un perro"",
""hacer perrerías"", ""tener un hambre
de perros""{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.
{{TAG:0003:001A:}}Bueno, igual esa última tiene
algo de sentido.","{{TAG:0003:0021:}}Cette année, je la sens super bien,
{{TAG:0007:0000:08000000}}{{TAG:0005:0007:}} !{{TAG:0000:0004:}}{{TAG:0003:001A:}}Je prédis déjà qu'elle va être pleine
{{TAG:000E:000A:0600640065002000040064002700}}{{TAG:0005:0013:0000}} et d'autres
bonnes choses !","{{TAG:0003:0021:}}Questo sarà l'anno del Cane!
Il mio anno, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!{{TAG:0000:0004:}}{{TAG:0003:001A:}}Potrò mangiare intere ciotole
di {{TAG:0005:0013:0000}} senza che
nessuno mi dica nulla!","{{TAG:0003:0021:}}Wuff,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!{{TAG:0000:0004:}}{{TAG:0003:0002:}}Du brauchst keine Angst vor mir
haben,{{TAG:0007:0000:08000000}} äh, he he he! {{TAG:0007:0000:14000000}}Das Jahr des
Hundes geht nur los!","{{TAG:0003:0021:}}Bu yıl tam anlamıyla benim yılım,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!{{TAG:0000:0004:}}{{TAG:0003:001A:}}
Bu da istediğim kadar {{TAG:0005:0013:0000}}
yiyebileceğim demek!"
9,010,,,,,,
