index,label,EU_English,EU_French,EU_German,EU_Italian,EU_Spanish,KR_Korean,TR_Turkish
0,CommonLabelLevel,Lv,⟦MSBT:0E000000020002005000⟧Niv. ⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005A00⟧Lv⟦MSBT:0E000000020002006400⟧,Liv.,Niv.,Lv,Sv
1,TitleNewGameBtn,⟦MSBT:0E000000020002004F00⟧New Adventure⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004100⟧Nouvelle aventure⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004700⟧Neues Abenteuer⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005D00⟧Nuovo gioco⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004900⟧Nueva aventura⟦MSBT:0E000000020002006400⟧,처음부터,⟦MSBT:0E000000020002004F00⟧Yeni Macera⟦MSBT:0E000000020002006400⟧
2,TitleContinueBtn,Continue,Continuer,Fortsetzen,⟦MSBT:0E000000020002006400⟧Continua⟦MSBT:0E000000020002006400⟧,Continuar,이어서,Devam Et
3,TitleBestTimeBtn,Best Time,Record,Bestzeit,⟦MSBT:0E000000020002005800⟧Tempi record⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005600⟧Mejor tiempo⟦MSBT:0E000000020002006400⟧,베스트 타임,En İyi Süre
4,TitleEndBtn,Quit,⟦MSBT:0E000000020002004A00⟧Quitter⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002006400⟧Ende⟦MSBT:0E000000020002006400⟧, Esci,Salir,마치기,Çık
5,ContinueStartBtn,Start,Commencer,Start,Inizia,Comenzar,스타트,Başla
6,ContinueEndBtn,Back,⟦MSBT:0E000000020002004F00⟧Retour⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004E00⟧Zurück⟦MSBT:0E000000020002006400⟧, ⟦MSBT:0E000000020002003500⟧Indietro⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002006100⟧Atrás⟦MSBT:0E000000020002006400⟧,뒤로,Geri
7,StepShowRecordBtn,"⟦MSBT:0E000000020002006400⟧View
Time⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002006400⟧Voir
temps⟦MSBT:0E000000020002006400⟧",Zeiten,"Vedi
tempi",⟦MSBT:0E000000020002005500⟧Tiempos⟦MSBT:0E000000020002006400⟧,"타임
보기","⟦MSBT:0E000000020002006400⟧Süreyi
Gör⟦MSBT:0E000000020002006400⟧"
8,LevelClearTitle,Clear Time,⟦MSBT:0E000000020002005500⟧Temps écoulé⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005100⟧Benötigte Zeit⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004100⟧Tempo impiegato⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005300⟧Tiempo actual⟦MSBT:0E000000020002006400⟧,클리어 타임,⟦MSBT:0E000000020002004E00⟧Bitirme Süresi⟦MSBT:0E000000020002006400⟧
9,LevelClearBestTime,Best Time,Record,Bestzeit,Record,Récord,BEST TIME,En İyi Süre
10,LevelClearTotalTime,Total,Total,Gesamt,Totale,Total,TOTAL,Toplam
11,LevelClearBtn,Next,Suite,Weiter,Avanti,Siguiente,다음,Sonraki
12,RecordEndBtnStep,Back,Retour,Zurück,Indietro,Atrás,뒤로,Geri
13,GameClearLevelResultBtn,Clear Time,⟦MSBT:0E000000020002005400⟧Temps écoulé⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005200⟧Benötigte Zeit⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004100⟧Tempo impiegato⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005500⟧Tiempo actual⟦MSBT:0E000000020002006400⟧,클리어 타임,⟦MSBT:0E000000020002004E00⟧Bitirme Süresi⟦MSBT:0E000000020002006400⟧
14,GameClearExitLevelResultBtn,Back,Retour,Zurück,Indietro,Atrás,뒤로,Geri
15,GameClearEndBtn,Quit,Quitter,Beenden,Esci,Salir,마치기,Çık
16,GameClearBestTime,BEST,⟦MSBT:0E000000020002005500⟧RECORD⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005200⟧REKORD⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005000⟧RECORD⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005500⟧RÉCORD⟦MSBT:0E000000020002006400⟧,BEST,EN İYİ
17,GameClearNewRecord,NEW!,NOUV. !,NEU!,NUOVO!,NUEVO,NEW!,YENİ!
18,TimeSepHourMin,:,:,:,:,:,:,:
19,TimeSepMinSec,:,:,:,:,:,:,:
20,TimeSepSecMsec,.,",",.,.,",",.,","
21,TimeNotAvailableHour,-,-,-,-,-,-,-
22,TimeNotAvailableMin,-,-,-,-,-,-,-
23,TimeNotAvailableSec,-,-,-,-,-,-,-
24,TimeNotAvailableMsec,-,-,-,-,-,-,-
25,BestTimeMyRecordTitle,Best Time,Record,Bestzeit,Record,Récord,베스트 타임,En İyi Süre
26,BestTimeMyLevel,Lv,Niv.,Lv,Liv.,Niv.,Lv,Sv
27,BestTimeRivalRecordTitle,⟦MSBT:0E000000020002005600⟧StreetPass Time⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004F00⟧Temps StreetPass⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005800⟧StreetPass-Zeit⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004D00⟧Tempo StreetPass⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004D00⟧Tiempo StreetPass⟦MSBT:0E000000020002006400⟧,엇갈림 타임,⟦MSBT:0E000000020002005600⟧StreetPass Süresi⟦MSBT:0E000000020002006400⟧
28,BestTimeRivalLevel,Lv,⟦MSBT:0E000000020002004B00⟧Niv.⟦MSBT:0E000000020002006400⟧,Lv,Liv.,⟦MSBT:0E000000020002004D00⟧Niv.⟦MSBT:0E000000020002006400⟧,Lv,Sv
29,BestTimeStageClearTime,Clear Time,Temps écoulé,Benötigte Zeit,Tempo impiegato,Tiempos,클리어 타임,Bitirme Süresi
30,BestTimeExplain,"⟦MSBT:0E000000020002006300⟧⟦MSBT:0E00000003000400FFDE00FF⟧Exchange ⟦MSBT:0E00000003000400000000FF⟧your best times
in Dededetour! via
⟦MSBT:0E00000003000400FFDE00FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧, and try to
beat your friends' times!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005C00⟧⟦MSBT:0E00000003000400FFDE00FF⟧Partagez⟦MSBT:0E00000003000400000000FF⟧ vos records des
Aventures de DaDiDou grâce
à ⟦MSBT:0E00000003000400FFDE00FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧, et tentez de
battre ceux de vos amis !⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002006400⟧⟦MSBT:0E00000003000400FFDE00FF⟧Teile⟦MSBT:0E00000003000400000000FF⟧ deine Bestzeiten in
Dededes Abenteuer via
⟦MSBT:0E00000003000400FFDE00FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧ und schlage
die Zeiten deiner Freunde!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005400⟧⟦MSBT:0E00000003000400FFDE00FF⟧Scambia ⟦MSBT:0E00000003000400000000FF⟧i tuoi tempi record
in Dedede all'avventura tramite
⟦MSBT:0E00000003000400FFDE00FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧ e prova a battere
i record dei tuoi amici!⟦MSBT:0E000000020002006400⟧","¡⟦MSBT:0E00000003000400FFDE00FF⟧Comparte ⟦MSBT:0E00000003000400000000FF⟧por ⟦MSBT:0E00000003000400FFDE00FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧
tus mejores tiempos de
Aventura de Dedede y
supera a todo el mundo!","⟦MSBT:0E00000003000400FFDE00FF⟧엇갈림 통신⟦MSBT:0E00000003000400000000FF⟧으로
베스트 타임을 ⟦MSBT:0E00000003000400FFDE00FF⟧교환!
⟦MSBT:0E00000003000400000000FF⟧라이벌보다 빠르게
⟦MSBT:0E00000003000400FFDE00FF⟧GO! 디디디⟦MSBT:0E00000003000400000000FF⟧","⟦MSBT:0E000000020002006300⟧⟦MSBT:0E00000003000400FFDE00FF⟧En iyi Dedede Turu⟦MSBT:0E00000003000400000000FF⟧
sürelerini ⟦MSBT:0E00000003000400FFDE00FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧'le
paylaş; arkadaşlarının
rekorunu geç!⟦MSBT:0E000000020002006400⟧"
31,BestTimeEndBtn,⟦MSBT:0E000000020002006400⟧Back⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004F00⟧Retour⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004E00⟧Zurück⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002003700⟧ Indietro⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002006100⟧Atrás⟦MSBT:0E000000020002006400⟧,뒤로,⟦MSBT:0E000000020002006400⟧Geri⟦MSBT:0E000000020002006400⟧
32,SaveDialogText,"Next time you play, choose
⟦MSBT:0E00000003000400FF4B32FF⟧Continue⟦MSBT:0E00000003000400000000FF⟧ to pick up where
you left off.","⟦MSBT:0E000000020002005F00⟧Sélectionnez ⟦MSBT:0E00000003000400FF4B32FF⟧Continuer⟦MSBT:0E00000003000400000000FF⟧ si vous
souhaitez reprendre l'aventure
là où vous l'avez interrompue. ⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002006400⟧Wähle beim nächsten Mal
⟦MSBT:0E00000003000400FF4B32FF⟧Fortsetzen⟦MSBT:0E00000003000400000000FF⟧, um mit diesem
Abenteuer fortzufahren.⟦MSBT:0E000000020002006400⟧","La prossima volta che
giochi, seleziona ⟦MSBT:0E00000003000400FF4B32FF⟧OK⟦MSBT:0E00000003000400000000FF⟧ per
riprendere da questo punto.","⟦MSBT:0E000000020002006400⟧La próxima vez que juegues,
selecciona ⟦MSBT:0E00000003000400FF4B32FF⟧Continuar ⟦MSBT:0E00000003000400000000FF⟧para
seguir desde este punto.⟦MSBT:0E000000020002006400⟧","다음에 플레이할 때
⟦MSBT:0E00000003000400FF4B32FF⟧「이어서」⟦MSBT:0E00000003000400000000FF⟧를 선택하면 여기에서
다시 시작할 수 있습니다.
","Bir dahaki oynayışında,
⟦MSBT:0E00000003000400FF4B32FF⟧Devam Et⟦MSBT:0E00000003000400000000FF⟧'i seçerek
kaldığın yerden oynayabilirsin."
33,GameOverContinueBtn,Continue,Continuer,Fortsetzen,Continua,Continuar,계속하기,Devam Et
34,GameOverExitBtn,Quit Game,⟦MSBT:0E000000020002005300⟧Quitter le jeu⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005400⟧Spiel beenden⟦MSBT:0E000000020002006400⟧,Esci,Salir,게임을 그만두기,Oyundan Çık
35,TutorialHeader1,⟦MSBT:0E000000020002005A00⟧Dedede goes on tour in Dededetour!⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002006400⟧DaDiDou part à l'aventure !⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005A00⟧Dedede geht auf Abenteuertour!⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004100⟧Dedede si fa protagonista in Dedede all'avventura!⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004D00⟧¡Ve con Dedede por Aventura de Dedede!⟦MSBT:0E000000020002006400⟧,드디어 등장! GO! 디디디,"⟦MSBT:0E000000020002005A00⟧Dedede, Dedede Turu'na çıkıyor!⟦MSBT:0E000000020002006400⟧"
36,TutorialHeader2,Save time by using Warp Holes!,⟦MSBT:0E000000020002005100⟧Gagnez du temps grâce aux trous Warp !⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002006400⟧Spare durch Warptunnel Zeit!⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005500⟧Guadagna tempo usando i buchi Warp!⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005300⟧¡Ahorra tiempo con los agujeros portal!⟦MSBT:0E000000020002006400⟧,워프 홀로 시간을 절약하자!,Işın Geçitleriyle zaman kazan!
