index,label,English,French,German,Italian,Spanish,Turkish
0,Function_common_00,{TAG_1}You're going to love this!,Vous allez adorer !,Dieses Outfit wirst du lieben!,"Ti piacerà, vedrai!",¡Te va a encantar!,{TAG_1}Buna bayılacaksın!
1,Function_common_01,I should be done in no time.,J'ai bientôt fini.,Ich bin sofort fertig!,Tra poco avrò finito.,Lo tengo listo en un momento.,Hemen bitiririm.
2,Function_common_02,I can make anything on this!,"Je peux fabriquer n'importeuquel type
de vêtement !","Mit dieser Maschine könnte ich
dir wirklich alles nähen!",Posso creare qualsiasi capo d'abbigliamento!,"¡Puedo confeccionar cualquier prenda
con esta máquina!",Bununla her şeyi yapabilirim!
3,Function_formal_00,"{TAG_1}You're going to make a strong
impression in this.","Vous allez sûrement faire bonne impression,
avec ça.",Hierin wirst du fantastisch aussehen!,"Farai faville con questo capo
d'abbigliamento!","Con esta ropa causarás muy buena
impresión.",{TAG_1}Bununla çok güçlü bir izlenim bırakacaksın.
4,Function_formal_01,"{TAG_1}This is going to look great for any
occasion!",Ce vêtement conviendra à toutes les situations.,"Das wird ein perfektes Outfit
für alle Gelegenheiten!",Ti starà d'incanto in ogni occasione!,"¡Te lo podrás poner en cualquier
ocasión!",{TAG_1}Her ortamda harika görünecek!
5,Function_formal_02,This is as formal as it gets.,On ne peut pas faire plus habillé que ça.,Formeller als das hier geht es nicht!,"È il capo d'abbigliamento formale
per antonomasia.","La ropa que te estoy haciendo es
de vestir.",Bundan daha resmîsi olmaz.
6,Function_casual_00,"Let's go for something casual that you can
lounge about in.","Créons une tenue décontractée à porter
à la maison...","Ich mach' dir was ganz Lockeres,
in dem du gut entspannen kannst.",Creerò qualcòsa di chèsual.,Te voy a confeccionar algo informal.,"Rahat rahat yayılabileceğin
gündelik bir şey yapalım."
7,Function_casual_01,"This is gonna be something you can
wear any time, day or night, in or out!","On peut porter cette tenue n'importeuquand,
le jour comme la nuit, dehors comme dedans.","Das wird was das du jeden Tag
tragen kannst zu jedem Anlass!","Sarà qualcòsa che potrai indossare a qualsiasi
ora del giorno e della notte, dentro o fuori casa!","Te voy a hacer algo que puedas llevar
en cualquier momento.","Gece gündüz, içeride dışarıda her
zaman giyebileceğin bir şey olacak!"
8,Function_casual_02,"This is going to be perfect for sitting around
the house or going out in.","Cette tenue est parfaite {TAG_1}aussi bien pour porter
chez soi que pour sortir.","Das wird das perfekte Outfit zum
Entspannen... und zum Ausgehen!","Sarà un capo perfetto da indossare
a casa o anche quando esci.","Voy a prepararte algo para ponerte en casa,
pero también para salir.","Evde otururken de dışarı
çıkarken de mükemmel olacak."
9,Function_work_00,"You're going to close deals and make
a fortune wearing this.","J'espère que ces vêtements vous aideront
à faire bonne impression au travail.","Hiermit wirst du im Büro schwer Eindruck
auf Kollegen und auf Kunden machen!","Con questo capo d'abbigliamento
farai ottimi affari!","Con esta ropa la gente del trabajo tendrá
buena impresión de ti.","Bunu giyince anlaşmaları
kapatıp servet yapacaksın."
