entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,Spend it wisely! - Mom,¡No las despilfarres! Mamá,Ne les gaspille pas ! Maman,Buon anno! Mamma,"Viele Grüße, deine Mama",Akıllıca harca! - Anne
1,002,Here's a little gift. - Mom,Esto es para ti. Mamá,Accepte ce cadeau ! Maman,Ecco un regalino. Mamma,Hier ist was Schönes! Mama,Küçük bir hediye. - Anne
2,003,- Mom,Mamá,Maman,La tua mamma,Deine Mama,-Anne
3,004,Happy Valentine's! - Mom,¡Disfruta del día! Mamá,Gros bisous ! Maman,"Baci, mamma","Viele Grüße, deine Mama",Sevgililer Günün kutlu olsun! - Anne
4,005,You should be too! - Mom,¡Algún día lo sabrás! Mamá,Et vive le chocolat ! Maman,Prova anche tu! Mamma,Macht Spaß! Deine Mama,Sen de öyle olmalısın! - Anne
5,006,Show 'em what for! - Mom,¡Esa es mi chica! Mamá,Bonne chance ! Maman,Fatti avanti! Mamma,Nur Mut! Deine Mama,Göster onlara gününü! - Anne
6,007,Keep cool! - Mom,¡Hazme caso! Mamá,Bon appétit ! Maman,Mamma,"Kühle Grüße, deine Mama",Serin kal! - Anne
7,008,Take care! - Mom,¡Cuídate mucho! Mamá,Prends soin de toi ! Maman,Rinfrescati! Mamma,Schon dich! Deine Mama,Kendine iyi bak! - Anne
8,009,Happy Toy Day! - Dad,¡Disfruta del día! Papá,Bonnes fêtes ! Papounet,Tanti auguri! Papà,Frohen Spielzeugtag! Papa,Oyuncak Günün kutlu olsun! - Baba
9,010,Happy Toy Day! - Mom,¡Disfruta del día! Mamá,Bonnes fêtes ! Maman,Augurissimi! Mamma,Deine dich liebende Mama,Oyuncak Günün kutlu olsun! - Anne
