entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:0003:0010:}}Wow!{{TAG:0007:0000:14000000}} {{TAG:000E:0003:}}{{TAG:000E:0002:}}{{TAG:0011:0003:0000}}
from {{TAG:0011:0001:0100}}?{{TAG:0007:0000:0A000000}} For me?{{TAG:0007:0001:}} {{TAG:0003:0001:}}I wonder
what the special occasion is?{{TAG:0000:0004:}}{{TAG:0003:0005:}}Anyway,{{TAG:0007:0000:0A000000}} surprise presents are
always nice, {{TAG:0005:0007:}}!","{{TAG:0003:0010:}}¿{{TAG:000E:0003:}}{{TAG:0011:0001:0100}} me envía {{TAG:000E:0002:}}
{{TAG:0011:0003:0000}}?{{TAG:0007:0000:05000000}} ¿Para mí?{{TAG:0007:0001:}}
{{TAG:0003:0001:}}¿Celebramos algo?{{TAG:0000:0004:}}{{TAG:0003:0005:}}Bueno,{{TAG:0007:0000:0A000000}} siempre es de agradecer
recibir regalitos, {{TAG:0005:0007:}}.","{{TAG:0003:0010:}}{{TAG:000E:0003:}}{{TAG:000E:0002:}}{{TAG:0011:0003:0000}} de la
part {{TAG:000E:000A:0600640065002000040064002700}}{{TAG:0011:0001:0100}} ? C'est pour
moi ?{{TAG:0007:0001:}} {{TAG:0003:0001:}}Et en quel honneur ?
{{TAG:0003:0005:}}Bah, peu importe !{{TAG:0007:0000:0A000000}} Les cadeaux
sont toujours bienvenus !","{{TAG:0003:0010:}}Oh!{{TAG:0007:0000:14000000}} {{TAG:000E:0003:}}{{TAG:000E:0002:}}{{TAG:0011:0003:0000}}
da parte di {{TAG:0011:0001:0100}}?{{TAG:0007:0000:05000000}} Per me?{{TAG:0007:0001:}}
{{TAG:0003:0001:}}Uaaau! A cosa devo l'onore?
{{TAG:0003:0005:}}Comunque sia,{{TAG:0007:0000:0A000000}} i regalini inattesi
fanno sempre un gran piaceeere,
{{TAG:0005:0007:}}!","{{TAG:0003:0010:}}Uiii!{{TAG:0007:0000:14000000}} {{TAG:000E:0003:}}{{TAG:000E:0002:}}{{TAG:0011:0003:0000}}
von {{TAG:0011:0001:0100}}?{{TAG:0007:0000:05000000}} Für mich?{{TAG:0000:0004:}}{{TAG:0003:0001:}}Was wohl der Anlass ist?{{TAG:0007:0000:14000000}} {{TAG:0003:0005:}}Egal,
{{TAG:0007:0000:0A000000}}Geschenke sind immer willkommen.","{{TAG:0003:0010:}}Vay!{{TAG:0007:0000:14000000}} {{TAG:000E:0003:}}{{TAG:000E:0002:}}{{TAG:0011:0003:0000}}, hem de {{TAG:0011:0001:0100}}{{TAG:0007:0000:0A000000}} {{TAG:0007:0001:}}{{TAG:0003:0001:}}tarafından. Ne {{TAG:0000:0004:}}{{TAG:0003:0005:}}
hoş {{TAG:0007:0000:0A000000}}bir sürpriz! {{TAG:0005:0007:}}"
1,002,"{{TAG:0003:0010:}}So,{{TAG:0007:0000:14000000}} {{TAG:0011:0001:0100}} sent this?{{TAG:0007:0001:}} {{TAG:0003:0027:}}We did
have a little fight over something
trivial{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}
{{TAG:0003:0025:}}{{TAG:000E:0008:01CD080048006500270073000A005300680065002700730002003000}} so nice, though. {{TAG:0007:0000:0A000000}}I feel bad
about not apologizing yet.","{{TAG:0003:0010:}}¿{{TAG:000E:0003:}}{{TAG:0011:0001:0100}} te ha dado esto para
mí? {{TAG:0007:0001:}}{{TAG:0003:0027:}}Tuvimos una pequeña riña
por una tontería{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}
{{TAG:0003:0025:}}Yo también quiero hacer las paces.{{TAG:0007:0000:14000000}}
No me gusta estar de malas con
nadie.{{TAG:0007:0001:}} ¡Iré a disculparme!","{{TAG:0003:0010:}}Alors comme ça, {{TAG:0011:0001:0100}} m'a
envoyé ça ?{{TAG:0007:0001:}} {{TAG:0003:0027:}}Ah oui, on a eu un petit
différend à propos d'une broutille...
{{TAG:0003:0025:}}C'est {{TAG:000E:0008:01CD0E0075006E0020007400790070006500120075006E0065002000660069006C006C00650002003000}} bien, au fond. {{TAG:0007:0000:0A000000}}Allez,
je vais m'excuser, cette querelle n'a
que trop duré !","{{TAG:0003:0010:}}Ah,{{TAG:0007:0000:14000000}} {{TAG:0011:0001:0100}} mi ha mandato
questo pacchettino?{{TAG:0007:0001:}} {{TAG:0003:0027:}}Sì, {{TAG:0007:0000:0A000000}}avevamo
litigato un pochettino di tempo fa{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}
{{TAG:0003:0025:}}Ma, comunque, che {{TAG:000E:0008:01CD10006300610072006900690069006E006F0010006300610072006900690069006E0061000000}}! {{TAG:0007:0000:0A000000}}Ora mi
sento quasi in colpa.{{TAG:0007:0001:}} Devo sbrigarmi
e andare subito a chieder{{TAG:000E:0008:01CD060067006C00690004006C0065000000}} scusa!","{{TAG:0003:0010:}}Oh,{{TAG:0007:0000:14000000}} das ist von {{TAG:0011:0001:0100}}?{{TAG:0000:0004:}}{{TAG:0003:0027:}}Hmmm, {{TAG:0007:0000:0A000000}}wir haben uns vor Kurzem
gestritten, musst du wissen.{{TAG:0007:0000:14000000}}
Über irgendeine Kleinigkeit!
{{TAG:0003:0025:}}{{TAG:000E:0003:}}{{TAG:000E:0008:01CD040065007200060073006900650002003000}} ist aber so nett, dass es mir
richtig leidtut, also sollte ich mich
wohl schleunigst auch entschuldigen!","{{TAG:0003:0010:}}Demek,{{TAG:0007:0000:14000000}} bunu {{TAG:0011:0001:0100}} yolladı?{{TAG:0007:0001:}} {{TAG:0003:0027:}}Evet,
ufak bir şey yüzünden biraz
tartışmıştık{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}
{{TAG:0003:0025:}}{{TAG:000E:0008:01CD080048006500270073000A005300680065002700730002003000}} yine de çok ince düşünmüş. {{TAG:0007:0000:0A000000}}Ben daha
özür dilemediğim için kötü hissettim."
2,003,"{{TAG:0003:0010:}}Oh,{{TAG:0007:0000:14000000}} it's the {{TAG:0011:0003:0000}}
I let {{TAG:0011:0001:0100}} borrow!","{{TAG:0003:0010:}}¡Si es {{TAG:000E:0001:}}{{TAG:0011:0003:0000}}
que le presté a {{TAG:0011:0001:0100}}!","{{TAG:0003:0010:}}Oh, {{TAG:000E:0001:}}{{TAG:0011:0003:0000}}
{{TAG:000E:000A:080071007500650020000600710075002700}}{{TAG:0011:0001:0100}} m'avait emprunt{{TAG:000E:0008:00CD0200E9000400E900650002003000}} !","{{TAG:0003:0010:}}Oh,{{TAG:0007:0000:14000000}} è {{TAG:000E:0001:}}{{TAG:0011:0003:0000}}
che avevo prestato {{TAG:000E:0010:}} {{TAG:0011:0001:0100}}!","{{TAG:0003:0010:}}Oh,{{TAG:0007:0000:14000000}} {{TAG:000E:0008:00CD08006D00650069006E000A006D00650069006E00650008006D00650069006E00}} {{TAG:0011:0003:0000}}!
{{TAG:000E:0003:}}{{TAG:000E:0008:00CD0600640065006E0006006400690065000600640061007300}} hatte ich {{TAG:0011:0001:0100}} geliehen!","{{TAG:0003:0010:}}Ah,{{TAG:0007:0000:14000000}} bu benim {{TAG:0011:0003:0000}}. {{TAG:0011:0001:0100}} ödünç almıştı!"
3,004,"{{TAG:0003:0010:}}Oh!{{TAG:0007:0000:14000000}} I must have left my
{{TAG:0011:0003:0000}} at
{{TAG:0011:0001:0100}}'s house,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!","{{TAG:0003:0010:}}¡Huy! Así que me dejé mi
{{TAG:0011:0003:0000}} en casa
de {{TAG:0011:0001:0100}}, {{TAG:0005:0007:}}.","Oh, {{TAG:0005:0007:}} ! C'est sûrement
{{TAG:000E:0001:}}{{TAG:0011:0003:0000}} que
j'ai oublié{{TAG:000E:0008:00CD0000020065000000}} chez {{TAG:0011:0001:0100}} !","{{TAG:0003:0010:}}Oh!{{TAG:0007:0000:14000000}} Avevo dimenticato
{{TAG:000E:0008:00CD0C0069006C0020006D0069006F000C006C00610020006D00690061000000}} {{TAG:0011:0003:0000}}
a casa di {{TAG:0011:0001:0100}}, {{TAG:0005:0007:}}!","{{TAG:0003:0010:}}Oh!{{TAG:0007:0000:14000000}} {{TAG:000E:0003:}}{{TAG:000E:0008:00CD08006D00650069006E000A006D00650069006E00650008006D00650069006E00}} {{TAG:0011:0003:0000}}!{{TAG:0007:0000:14000000}}
Hatte ich {{TAG:000E:0008:00CD0600690068006E000600730069006500040065007300}} also bei {{TAG:0011:0001:0100}}
vergessen!","{{TAG:0003:0010:}}{{TAG:0007:0000:14000000}}Ah! Benim {{TAG:0011:0003:0000}}. Demek {{TAG:0011:0001:0100}} tarafında
bırakmışım{{TAG:0007:0000:08000000}}. {{TAG:0005:0007:}}"
4,005,"{{TAG:0003:0017:}}What? {{TAG:0007:0000:14000000}}My package got sent to
{{TAG:0011:0001:0100}}'s place?{{TAG:0007:0001:}} {{TAG:0003:0001:}}I hope it wasn't
too much trouble for {{TAG:000E:0008:01CD0600680069006D00060068006500720002003000}}.
{{TAG:0003:0000:}}By the way, {{TAG:0007:0000:08000000}}I noticed most of the
wrapping is missing{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:0007:0001:}} {{TAG:0003:0009:}}
Did {{TAG:0011:0001:0100}} open it?!{{TAG:000F:0005:00000000}}
Actually, it was me.
Maaaaybe.","{{TAG:0003:0017:}}¿Eh? {{TAG:0007:0000:14000000}}¿Mi paquete acabó en casa
de {{TAG:0011:0001:0100}}?{{TAG:0007:0001:}} {{TAG:0003:0001:}}Espero no haberle
causado muchas molestias.
{{TAG:0003:0000:}}Oye, {{TAG:0007:0000:0A000000}}me he fijado en que está
abierto{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:0007:0001:}} {{TAG:0003:0009:}}¿Me lo ha abierto
{{TAG:0011:0001:0100}}?{{TAG:000F:0005:00000000}}
No, he sido yo
Puede...","{{TAG:0003:0017:}}Quoi ? {{TAG:0011:0001:0100}} a reçu un colis
qui m'était destiné ? {{TAG:0003:0001:}}J'espère que
ça ne l'a pas trop dérang{{TAG:000E:0008:01CD0200E9000400E900650002003000}}...
{{TAG:0003:0000:}}Mais... Je n'ai pas pu m'empêcher
de remarquer qu'il n'était pas
emballé... {{TAG:000E:0008:01CD040049006C00080045006C006C00650002003000}} l'a ouvert, tu crois ?{{TAG:000F:0005:00000000}}
En fait, c'est moi.
Il faut croire...","{{TAG:0003:0017:}}Come? {{TAG:0007:0000:14000000}}Il mio pacchettino è stato
consegnato a casa di {{TAG:0011:0001:0100}}?{{TAG:0007:0001:}}
{{TAG:0003:0001:}}Oh, chissà che disturbo per {{TAG:000E:0008:01CD06006C007500690006006C00650069000000}}!
{{TAG:0003:0000:}}Ma aspetta, {{TAG:0007:0000:0A000000}}la carta del pacco
è rotta{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:0007:0001:}} {{TAG:0003:0009:}}Pensi che {{TAG:0011:0001:0100}}
lo abbia aperto?!{{TAG:000F:0005:00000000}}
Ehm, sono stat{{TAG:000E:0006:02006F0002006100}} io.
Può essere...","{{TAG:0003:0017:}}Was? {{TAG:0007:0000:14000000}}Mein Päckchen wurde
an {{TAG:0011:0001:0100}} ausgeliefert?{{TAG:0000:0004:}}{{TAG:0003:0001:}}Hoffentlich hat es {{TAG:000E:0008:01CD0600690068006D00060069006800720002003000}} nicht
zu viele Umstände gemacht.{{TAG:0000:0004:}}{{TAG:0003:0000:}}Hm?{{TAG:0007:0000:0A000000}} Das ist ja schon ausgepackt{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:0007:0000:1E000000}}
{{TAG:0003:0009:}}Hat {{TAG:0011:0001:0100}} das etwa geöffnet?!{{TAG:000F:0005:00000000}}
Äh, ich war's.
Kann sein.","{{TAG:0003:0017:}}Ne? {{TAG:0007:0000:14000000}}Paketim yanlışlıkla
{{TAG:0011:0001:0100}}'ın evine mi gitmiş?{{TAG:0007:0001:}} {{TAG:0003:0001:}}Umarım
{{TAG:000E:0008:01CD0600680069006D00060068006500720002003000}} için fazla uğraştırıcı olmamıştır.
{{TAG:0003:0000:}}Bu arada, {{TAG:0007:0000:08000000}}ambalajın çoğunun
yok olduğunu fark ettim{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:0007:0001:}} {{TAG:0003:0009:}}
Yoksa {{TAG:0011:0001:0100}} açtı mı?!{{TAG:000F:0005:00000000}}
Aslında ben açtım.
Belkiii."
5,006,"{{TAG:0003:0010:}}Oh! {{TAG:0007:0000:14000000}}This must be what I asked
{{TAG:0011:0001:0100}} for!{{TAG:0000:0004:}}{{TAG:0003:0000:}}But the package is open{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} {{TAG:0003:0009:}}I wonder
if {{TAG:000E:0008:01CD040068006500060073006800650002003000}} peeked at what's inside!{{TAG:000F:0005:00000000}}
I couldn't help myself!
Uh...you must be right!","{{TAG:0003:0010:}}¡Ah! Es lo que le pedí a {{TAG:0011:0001:0100}}.{{TAG:0000:0004:}}{{TAG:0003:0000:}}Pero {{TAG:0007:0000:0A000000}}el paquete está abierto{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}
{{TAG:0003:0009:}}¿Quién habrá sido?{{TAG:000F:0005:00000000}}
No pude resistirme
No sé...","{{TAG:0003:0010:}}Oh ! C'est ce que j'ai demandé à
{{TAG:0011:0001:0100}} !{{TAG:0000:0004:}}Mais le colis a déjà été ouvert... Tu
crois que c'est {{TAG:000E:0008:01CD06006C0075006900080065006C006C00650002003000}} qui a fait ça ?{{TAG:000F:0005:00000000}}
J'ai pas pu me retenir.
Ça paraît évident !","{{TAG:0003:0010:}}Oh! {{TAG:0007:0000:14000000}}La cosa che avevo chiesto
{{TAG:000E:0010:}} {{TAG:0011:0001:0100}}!{{TAG:0000:0004:}}{{TAG:0003:0000:}}Ma {{TAG:0007:0000:0A000000}}il pacco è aperto{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}!
{{TAG:0003:0009:}}Pensi che {{TAG:0011:0001:0100}} abbia dato
una sbirciatina?{{TAG:000F:0005:00000000}}
Ehm... non ho resistito!
Forse...","{{TAG:0003:0010:}}Oh! {{TAG:0007:0000:14000000}}Stimmt ja, ich hatte {{TAG:0011:0001:0100}}
danach gefragt!{{TAG:0000:0004:}}{{TAG:0003:0000:}}Aber... {{TAG:0007:0000:0A000000}}Wieso ist das denn offen?{{TAG:0007:0000:14000000}}
{{TAG:0003:0009:}}Ob {{TAG:000E:0008:01CD040065007200060073006900650002003000}} etwa reingeschaut hat?!{{TAG:000F:0005:00000000}}
Das war ich.
Ja, vielleicht.","{{TAG:0003:0010:}}Aa! {{TAG:0007:0000:14000000}}Bu, {{TAG:0011:0001:0100}}'dan
istediğim şey olmalı!{{TAG:0000:0004:}}{{TAG:0003:0000:}}Ama paket açık{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} {{TAG:0003:0009:}}Acaba
{{TAG:000E:0008:01CD040068006500060073006800650002003000}} içine göz atmış mıdır!{{TAG:000F:0005:00000000}}
Kendimi tutamadım!
Şey... haklı olmalısın!"
6,007,{{TAG:0003:0005:}}Thank you for the delivery!,{{TAG:0003:0005:}}¡Gracias por traer el paquete!,"{{TAG:0003:0005:}}Merci beaucoup d'avoir fait la
commission !","{{TAG:0003:0005:}}Merci per avermi portato
il pacchettino!",{{TAG:0003:0005:}}Danke für die Auslieferung!,"{{TAG:0003:0005:}}Teslimat için çok teşekkür
ederim"
7,008,"{{TAG:0003:0005:}}Thank you for the delivery!{{TAG:0007:0001:}}
{{TAG:0003:0001:}}This could be a good opportunity
for us to make up!","{{TAG:0003:0005:}}¡Muchísimas gracias, cielo!{{TAG:0000:0004:}}{{TAG:0003:0001:}}Espero que podamos arreglar
nuestras cositas.","{{TAG:0003:0005:}}Merci beaucoup d'avoir fait la
commission !{{TAG:0000:0004:}}{{TAG:0003:0001:}}On va peut-être enfin pouvoir
recoller les morceaux !","{{TAG:0003:0005:}}Merci per avermi portato
il pacchettino!{{TAG:0000:0004:}}{{TAG:0003:0001:}}Questa potrebbe essere l'occasione
buona per fare pace!","{{TAG:0003:0005:}}Danke fürs Vorbeibringen!{{TAG:0000:0004:}}{{TAG:0003:0001:}}Wir sollten uns wirklich wieder
vertragen.","{{TAG:0003:0005:}}Çok teşekkür ederim. {{TAG:0007:0001:}}{{TAG:0003:0001:}}Belki bu,
barışmak için iyi bir fırsat
olur"
8,009,{{TAG:0003:0000:}}It's just that{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}},{{TAG:0003:0000:}}Aunque{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}},{{TAG:0003:0000:}}Cela dit...,{{TAG:0003:0000:}}Ma{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}},{{TAG:0003:0000:}}Aber ich muss sagen{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}},{{TAG:0003:0000:}}Yalnız.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}
9,010,"{{TAG:0003:0025:}}It would have had so much more
impact if it was properly wrapped!{{TAG:000F:0005:00000000}}
Well, it WAS.
I know, right?","{{TAG:0003:0025:}}¡La sorpresa habría sido mayor
si el paquete estuviera envuelto!{{TAG:000F:0005:00000000}}
Lo estaba
Cómo es la gente...","{{TAG:0003:0025:}}... ça n'aurait rien gâché
d'emballer ça correctement...{{TAG:000F:0005:00000000}}
Ben... c'était emballé.
Pile ce que j'ai pensé !","{{TAG:0003:0025:}}Sarebbe stato mooolto più carino
se fosse stato incartato come
si deve!{{TAG:000F:0005:00000000}}
Beh, lo era...
Sì, hai ragione!","{{TAG:0003:0025:}}Es wäre mir schon irgendwie lieber,
wenn es ordentlich verpackt wäre!{{TAG:000F:0005:00000000}}
Das war es mal...
Das sehe ich auch so.","{{TAG:0003:0025:}}Düzgün paketli olsaydı sürprizi {{TAG:000F:0005:00000000}}
Aslında paketliydi.
Değil mi?"
