entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,,,,,,
1,002,"
Whew!{{TAG:0000:0004:}}I paid the down payment!{{TAG:0007:0000:14000000}}
I'll be able to move into my
home tomorrow!","
¡Yuju!{{TAG:0000:0004:}}¡Ya he pagado!{{TAG:0007:0000:14000000}}
¡Mañana tendré la casa
lista para mudarme!","
Ouf !{{TAG:0000:0004:}}Tu as réglé l'acompte !{{TAG:0007:0000:14000000}}
Tu pourras t'installer dans ta
nouvelle maison dès demain !","
Evviva!{{TAG:0000:0004:}}Ho pagato l'anticipo!{{TAG:0007:0000:14000000}}
Domani potrò trasferirmi
nella mia nuova casetta!","
Uff!{{TAG:0000:0004:}}Die Anzahlung ist erledigt!{{TAG:0007:0000:14000000}}
Morgen kann ich dann endlich in
mein neues Haus einziehen!","
Oh be!{{TAG:0000:0004:}}Peşinatı ödedim!{{TAG:0007:0000:14000000}}
Yarın kendi evime taşınabileceğim!"
2,003,"
All right!{{TAG:0000:0004:}}Starting today,{{TAG:0007:0000:0A000000}} I'm an official
resident of{{TAG:0007:0000:05000000}} {{TAG:0005:0005:}}!","
¡Genial!{{TAG:0000:0004:}}A partir de hoy,{{TAG:0007:0000:0A000000}} ¡ya soy vecin{{TAG:000E:0006:02006F0002006100}}
de {{TAG:0007:0000:05000000}}{{TAG:000E:0003:}}{{TAG:0005:0005:}} oficialmente!","
Parfait !{{TAG:0000:0004:}}À partir d'aujourd'hui, {{TAG:0007:0000:08000000}}tu résides
officiellement à {{TAG:0007:0000:05000000}}{{TAG:0005:0005:}} !","
Evvai!{{TAG:0000:0004:}}Da oggi{{TAG:0007:0000:0A000000}} sono ufficialmente
{{TAG:000E:0006:180075006E00200063006900740074006100640069006E006F001A0075006E006100200063006900740074006100640069006E006100}} di {{TAG:0005:0005:}}!","
Super!{{TAG:0000:0004:}}Ab heute bin ich {{TAG:000E:0006:1A00650069006E0020007200690063006800740069006700650072001A00650069006E006500200072006900630068007400690067006500}}
{{TAG:000E:0006:1200450069006E0077006F0068006E00650072001600450069006E0077006F0068006E006500720069006E00}} von {{TAG:0005:0005:}}!","
Tamamdır!{{TAG:0000:0004:}}Bugünden itibaren{{TAG:0007:0000:0A000000}}
resmen {{TAG:0007:0000:05000000}} {{TAG:0005:0005:}} sakiniyim!"
3,004,"
Awesome!{{TAG:0000:0004:}}
I finished paying off my home loan!","
¡Qué maravilla!{{TAG:0000:0004:}}¡Ya he terminado de
pagar el préstamo!","
Merveilleux !{{TAG:0000:0004:}}
Tu as fini de rembourser ton prêt !","
Evviva!{{TAG:0000:0004:}}Ho finito di pagare il prestito!","
Hurra!{{TAG:0000:0004:}}Mein Haus ist abbezahlt!","
Harika!{{TAG:0000:0004:}}
Ev kredimin tamamını ödedim!"
4,005,"
Oh, good!{{TAG:0000:0004:}}Alllllll of the pesky cockroaches are
gone!{{TAG:0007:0000:0A000000}} I feel so much cleaner now!","
¡Estupendo!{{TAG:0000:0004:}}¡Me he librado de todas las
cucarachas!{{TAG:0007:0000:0A000000}} ¡Qué gustito!","
À la bonne heure !{{TAG:0000:0004:}}Tous ces vilains cafards ont
disparu !{{TAG:0007:0000:0A000000}} C'est quand même
plus propre comme ça !","
Evviva!{{TAG:0000:0004:}}Non ci sono più scarafaggi!{{TAG:0007:0000:0A000000}}
Ora va tutto molto meglio!","
Hurraaa!{{TAG:0000:0004:}}Endlich sind diese ekligen
Kakerlaken weg!{{TAG:0007:0000:14000000}} Jetzt fühle
ich mich wieder wohl hier.","
Oh, sonunda!{{TAG:0000:0004:}}Şu sinir bozucu
hamamböceklerinin hepsi gitti!{{TAG:0007:0000:0A000000}}
Evim mis gibi oldu!"
5,006,"
Ha!{{TAG:0000:0004:}}I've filled all the pages of my joke
book.{{TAG:0007:0000:0A000000}} Now I'm a certifiable emotion
comedian at last!","
¡Mua, ja, ja!{{TAG:0000:0004:}}Ya he terminado mi libro de
emociones.{{TAG:0007:0000:0A000000}} ¡Seguro que me
dan un diploma!","
Ha ha !{{TAG:0000:0004:}}Tu as complété ton recueil de
blagues !{{TAG:0007:0000:0A000000}} Tu es un{{TAG:000E:0006:000002006500}} vrai{{TAG:000E:0006:000002006500}} artiste
dramatique à présent !","
Evviva!{{TAG:0000:0004:}}Ho completato il libro degli sketch.{{TAG:0007:0000:0A000000}}
Adesso sono {{TAG:000E:0006:1C0075006E0020007600650072006F00200063006F006D00690063006F001E0075006E00610020007600650072006100200063006F006D00690063006100}}!","
Haha!{{TAG:0000:0004:}}Mein Witzebuch ist vollständig!{{TAG:0007:0000:14000000}}
Damit kann ich endlich meine
Karriere als {{TAG:000E:0006:0E004B006F006D0069006B006500720012004B006F006D0069006B006500720069006E00}} starten!","
Hah!{{TAG:0000:0004:}}Espri kitabımın bütün
sayfalarını doldurdum.{{TAG:0007:0000:0A000000}} Artık
resmen duygu komedyeniyim!"
6,007,"Happy birthday to me!{{TAG:0007:0000:14000000}}
It's always nice getting to celebrate
with good cake and good friends!","¡Cumpleaños feliz!{{TAG:0000:0002:4B00}} Me deseo a mí mism{{TAG:000E:0006:02006F0002006100}}...{{TAG:0000:0002:6400}}{{TAG:0007:0000:14000000}}
¡Cómo mola celebrar el
cumple en compañía!","Joyeux anniversaire !{{TAG:0007:0000:14000000}}
C'est super de pouvoir fêter
ça avec des amis, pas vrai ?","
Tanti auguri a me!{{TAG:0007:0000:14000000}}{{TAG:0000:0004:}}Che bellezza festeggiare
il compleanno in compagnia!","Alles Gute, {{TAG:000E:0006:0C006C00690065006200650072000A006C006900650062006500}} {{TAG:0005:0000:}}!{{TAG:0007:0000:14000000}}
Wie schön, dass meine Freunde an
meinen Geburtstag gedacht haben!","Doğum günüm kutlu olsun!{{TAG:0007:0000:14000000}}
Güzel pasta ve güzel dostlarla
kutlamak gibisi yok!"
7,008,"
Awesome!{{TAG:0000:0004:}}The project's donation goal has
been met!","
¡Increíble!{{TAG:0000:0004:}}¡El proyecto ha conseguido
los fondos necesarios!","
Excellent !{{TAG:0000:0004:}}Les objectifs de la collecte
de fonds ont été atteints !","
Evviva!{{TAG:0000:0004:}}Ci sono fondi sufficienti
per avviare l'opera pubblica!","
Großartig!{{TAG:0000:0004:}}Es wurden genug Spenden
für das Projekt gesammelt!","
Harika!{{TAG:0000:0004:}}Projenin bağış hedefi tamamlandı!"
8,009,"
Awesome!{{TAG:0000:0004:}}I helped this town meet the
donation goal for one of their
projects! Go me!","
¡Cómo mola!{{TAG:0000:0004:}}¡Gracias a mí, el pueblo ha logrado
recaudar los fondos necesarios
para uno de sus proyectos!","
Super !{{TAG:0000:0004:}}Tu as contribué à la collecte de
fonds pour l'amélioration de la
ville ! Tu peux être {{TAG:000E:0006:080066006900650072000A0066006900E80072006500}} de toi !","
Evviva!{{TAG:0000:0004:}}Grazie a me la città è riuscita
a raccogliere fondi sufficienti
per avviare un'opera pubblica!","
Toll!{{TAG:0000:0004:}}Ich habe geholfen, genug Spenden
für ein Projekt dieser Stadt zu
sammeln.{{TAG:0007:0000:14000000}} Bin ich nicht nett?","
Harika!{{TAG:0000:0004:}}Bu kasabanın
projelerinden birinin bağış
hedefini tamamlamasına yardım
ettim! Yaşasın ben!"
9,010,"You can now save your progress and
end the game at any time.{{TAG:0000:0004:}}When you want to finish playing,
press {{TAG:0000:0003:0200}}START{{TAG:0000:0003:FFFF}} and then select
{{TAG:0000:0003:0200}}Save and quit{{TAG:0000:0003:FFFF}}.","Ya puedes guardar tus avances y
salir del juego cuando quieras.{{TAG:0000:0004:}}Si ya no te apetece seguir jugando,
pulsa {{TAG:0000:0003:0200}}START{{TAG:0000:0003:FFFF}} y selecciona
{{TAG:0000:0003:0200}}Guardar y salir{{TAG:0000:0003:FFFF}}.","Tu peux maintenant sauvegarder et
quitter la partie à tout moment.{{TAG:0000:0004:}}Pour cela, appuie sur {{TAG:0000:0003:0200}}START {{TAG:0000:0003:FFFF}}et
sélectionne {{TAG:0000:0003:0200}}Sauvegarder et quitter{{TAG:0000:0003:FFFF}}.","Puoi salvare i tuoi progressi
di gioco e abbandonare la partita
in qualsiasi momento.{{TAG:0000:0004:}}Per uscire dal gioco, premi {{TAG:0000:0003:0200}}START
{{TAG:0000:0003:FFFF}}e seleziona {{TAG:0000:0003:0200}}Salva ed esci{{TAG:0000:0003:FFFF}}.","Du kannst nun deinen Fortschritt
speichern und das Spiel jederzeit
beenden.
Wenn du das Spiel beenden
möchtest, drücke {{TAG:0000:0003:0200}}START{{TAG:0000:0003:FFFF}} und
wähle dann {{TAG:0000:0003:0200}}Speichern & beenden{{TAG:0000:0003:FFFF}}.","Artık istediğin zaman ilerlemeni
kaydedip oyundan
çıkabilirsin.{{TAG:0000:0004:}}Oynamayı bitirmek
istediğinde {{TAG:0000:0003:0200}}START{{TAG:0000:0003:FFFF}} düğmesine
basıp {{TAG:0000:0003:0200}}Kaydet ve çık{{TAG:0000:0003:FFFF}} seçeneğini seç."
