entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0025:}}Ooh, I've been waiting for you two!{{TAG:0007:0000:08000000}}
{{TAG:0003:0026:}}Welcome to mi casa, {{TAG:0005:0008:}} and
{{TAG:0011:0001:0100}}!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0023:}}¡{{TAG:000E:0003:}}{{TAG:0005:0008:}} y {{TAG:0011:0001:0100}}!
¡Justo a tiempo!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0023:}}Tiens, {{TAG:0005:0000:}} et {{TAG:0011:0001:0100}}, je
vous attendais !{{TAG:0007:0000:08000000}} Bienvenue dans la
splendide Villa {{TAG:0005:0001:}} !{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0023:}}Oooh, vi ho aspettato tanto!{{TAG:0007:0000:08000000}}
Vi do il benvenuto nel mio villone,
{{TAG:0005:0008:}} {{TAG:000E:0011:}} {{TAG:0011:0001:0100}}!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:08000000}}{{TAG:0003:0023:}}Auf euch beide hab ich gewartet!{{TAG:0007:0000:14000000}}
Willkommen in meinem bescheidenen
Heim, {{TAG:0005:0008:}} und {{TAG:0011:0001:0100}}!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0025:}}Aaa, sizi bekliyordum!{{TAG:0007:0000:08000000}}
{{TAG:0003:0026:}}Evime hoş geldiniz, {{TAG:0005:0008:}} ve
{{TAG:0011:0001:0100}}!{{TAG:000C:0009:}}"
1,002,"{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:000F:}}Ah, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}!{{TAG:0007:0000:08000000}} {{TAG:0003:0001:}}Welcome back!{{TAG:0007:0000:08000000}}
{{TAG:000E:0003:}}{{TAG:0005:0007:}}!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:000F:}}Ah, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}},{{TAG:0007:0000:08000000}} {{TAG:0003:0001:}}menos mal que
estás de vuelta, {{TAG:0005:0007:}}.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:000F:}}Ah, {{TAG:0005:0008:}} !{{TAG:0007:0000:08000000}} {{TAG:0003:0001:}}Enfin de retour !{{TAG:0007:0000:08000000}}
{{TAG:000E:0003:}}{{TAG:0005:0007:}} !{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:000F:}}Ah, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}!{{TAG:0007:0000:08000000}} {{TAG:0003:0001:}}Bentornat{{TAG:000E:0006:02006F0002006100}},{{TAG:0007:0000:08000000}}
{{TAG:0005:0007:}}!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:08000000}}{{TAG:0003:000F:}}Ah, {{TAG:0007:0000:0A000000}}{{TAG:0005:0008:}}!{{TAG:0007:0000:14000000}}
{{TAG:0003:0001:}}Da bist du ja wieder,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:000F:}}Aa, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}!{{TAG:0007:0000:08000000}} {{TAG:0003:0001:}}Tekrar hoş geldin!{{TAG:0007:0000:08000000}}
{{TAG:000E:0003:}}{{TAG:0005:0007:}}!{{TAG:000C:0009:}}"
2,003,"{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0001:}}Welcome to both of you!{{TAG:0007:0000:08000000}} {{TAG:0003:0020:}}This is
what I like to call the world-famous
Château de {{TAG:0005:0001:}}!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0023:}}Os doy la bienvenida a mi casa,
también conocida como
Villa {{TAG:0005:0001:}}.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:001C:}}Vous voilà, {{TAG:000E:0006:080074006F00750073000C0074006F007500740065007300}} les deux !{{TAG:0007:0000:0A000000}}
Bienvenue à la Villa {{TAG:0005:0001:}} !{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:001C:}}Che bello avervi qui!{{TAG:0007:0000:08000000}} Ultimamente
ho dato un nome alla mia dimora.
Villa {{TAG:0005:0001:}}! Geniale, eh?!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:08000000}}{{TAG:0003:001C:}}Willkommen in der Villa {{TAG:0005:0001:}},
ihr beiden!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0001:}}İkiniz de hoş geldiniz!{{TAG:0007:0000:08000000}} {{TAG:0003:0020:}}Ben buraya
dünyaca ünlü Şato {{TAG:0005:0001:}} diyorum!{{TAG:000C:0009:}}"
3,004,"{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:000D:}}You're late, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}!{{TAG:0007:0000:10000000}} I thought
you'd totally forgotten about your
promise and just went to go play{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}
{{TAG:0003:0024:}}Doesn't matter! Thanks for coming
back with {{TAG:0011:0001:0100}} in tow.{{TAG:0007:0000:08000000}}
{{TAG:0003:0015:}}I appreciate it!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:000D:}}¡Llegas muy tarde, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}!
Pensaba que me habías dejado
tirado.{{TAG:0007:0000:08000000}}
{{TAG:0003:0024:}}Bah, olvídalo. Lo importante es
que has traído a {{TAG:0011:0001:0100}}.{{TAG:0007:0000:08000000}}
¡Gracias!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0006:}}Tu t'es perdu{{TAG:000E:0006:000002006500}} en chemin,{{TAG:0007:0000:08000000}}
{{TAG:0005:0008:}} ?{{TAG:0000:0004:}}J'étais sur le point d'aller chercher
{{TAG:0011:0001:0100}} moi-même !{{TAG:0000:0004:}}{{TAG:0003:001B:}}Enfin, passons. {{TAG:0007:0000:08000000}}Elle est là à présent,
c'est le principal.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:000D:}}Ci hai messo tanto, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}!
{{TAG:0007:0000:10000000}}Temevo avessi dimenticato il nostro
accordo e fossi tornat{{TAG:000E:0006:02006F0002006100}} a casa tua{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}
{{TAG:0003:0024:}}Ma mi sbagliavo! Muchas gracias
per aver portato qui {{TAG:0011:0001:0100}}.{{TAG:0007:0000:08000000}}
Sei muy gentile!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:08000000}}{{TAG:0003:000D:}}Du hast dir aber ganz schön Zeit
gelassen, {{TAG:0005:0008:}}!{{TAG:0007:0000:14000000}} Ich dachte
schon, du hast mich vergessen...
{{TAG:0003:0024:}}Aber trotzdem danke, dass du
{{TAG:0011:0001:0100}} zu mir gebracht hast!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:000D:}}Geç kaldın, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}!{{TAG:0007:0000:10000000}} Sözünü tamamen
unutup oyuna daldın sandım{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}
{{TAG:0003:0024:}}Neyse! {{TAG:0011:0001:0100}}'i peşine takıp geri
geldiğin için sağ ol.{{TAG:0007:0000:08000000}}
{{TAG:0003:0015:}}Çok makbule geçti!{{TAG:000C:0009:}}"
4,005,"{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0017:}}Oh, so, like, what did you want?{{TAG:0007:0000:10000000}}
That's sort of weird, calling me all
the way over here{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0017:}}Bueno, ¿para qué querías verme?{{TAG:0007:0000:10000000}}
Me parece superraro que me llames
tan de sopetón{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0017:}}OK, ben alors, elle veut quoi, la
star ?{{TAG:0000:0004:}}{{TAG:0003:0025:}}C'est complètement trop zarbi de
me faire venir jusqu'ici, non ?!!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0017:}}Cioè, quindi, cos'è che vuoi da me?{{TAG:0007:0000:10000000}}
Non ti sembra assurdo farmi
venire di corsa fin qua?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:08000000}}{{TAG:0003:0017:}}Okay, {{TAG:0007:0000:0A000000}}also was wolltest du von mir?
{{TAG:0007:0000:14000000}}Ist ja schon komisch, dass du mich
extra hast hierherholen lassen...{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0017:}}Ee, şey, ne istiyordun?{{TAG:0007:0000:10000000}}
Beni buraya kadar çağırman biraz
garip oldu{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:000C:0009:}}"
5,006,"{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0006:}}Since you had me brought all the
way here{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:20000000}}{{TAG:0003:001C:}}you must have, like, a
surprise for me, right?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0006:}}Si me has traído aquí con tanta
prisa{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:20000000}} {{TAG:0003:001C:}}será que tienes una sorpresa
para mí, ¿no?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:001B:}}Ah ouais, OK, trop délire, genre{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:20000000}} {{TAG:0003:001C:}}Tu
m'as préparé une petite surprise,
{{TAG:0011:0001:0000}}, c'est ça ?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0006:}}Beh, mi hai fatto trascinare fin qui{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.
{{TAG:0007:0000:20000000}}{{TAG:0003:001C:}}Devi avere una bella sorpresa, no?
Cioè, te lo auguro, altrimenti{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:08000000}}{{TAG:0003:0006:}}Okay, {{TAG:0007:0000:0A000000}}du hast mich extra den
ganzen weiten Weg herschleppen
lassen...
{{TAG:0003:001C:}}Da hast du doch garantiert eine
Überraschung oder so was für mich!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0006:}}Madem beni buraya kadar
getirttin{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:20000000}}{{TAG:0003:001C:}}bana bir sürprizin vardır,
değil mi?{{TAG:000C:0009:}}"
6,007,"{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0006:}}Hey, {{TAG:0011:0001:0000}}!{{TAG:0007:0000:10000000}} What's your secret
agenda or whatever?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0001:}}¡Hola, {{TAG:0011:0001:0000}}!{{TAG:0007:0000:10000000}} ¿De qué querías
hablar conmigo?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0001:}}HEY, {{TAG:0011:0001:0000}} !{{TAG:0007:0000:10000000}} Alors, pourquoi
tu m'as fait venir, dis ?! {{TAG:0007:0000:08000000}}{{TAG:0003:000D:}}C'est
secret, hein, c'est quoi, dis ?!!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0006:}}Ehi, {{TAG:0011:0001:0000}}!{{TAG:0007:0000:10000000}} Per quale motivo
mi hai chiamata? Stai organizzando
una festa in discoteca?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:08000000}}{{TAG:0003:0006:}}Hey, {{TAG:0011:0001:0000}}! {{TAG:0007:0000:14000000}}Was ist denn so
dringend, dass du mich extra hast
antanzen lassen?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0006:}}Selam, {{TAG:0011:0001:0000}}!{{TAG:0007:0000:10000000}} Gizli planın falan ne?{{TAG:000C:0009:}}"
7,008,,,,,,
8,009,"{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0009:}}Sorry, {{TAG:0011:0001:0100}}.{{TAG:0007:0000:10000000}} I've been keeping
this for so long,{{TAG:0007:0000:0C000000}} but I realized I need
to give it back, huh{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0009:}}Quiero pedirte perdón, {{TAG:0011:0001:0100}}.{{TAG:0007:0000:10000000}} 
Tengo este objeto desde hace tanto
que ni me acuerdo.{{TAG:0000:0004:}}Ya iba siendo hora de devolvértelo.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0009:}}Désolé, {{TAG:0011:0001:0100}}.{{TAG:0007:0000:10000000}} C'est juste que
j'ai ce truc depuis un bail et je
voulais absolument te le rendre{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0009:}}Scusa, {{TAG:0011:0001:0100}}.{{TAG:0007:0000:10000000}} È da una vita
che ho in prestito questa cosa{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}
È arrivato il momento di ridartela!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:08000000}}{{TAG:0003:0009:}}Tut mir leid, {{TAG:0011:0001:0100}}.{{TAG:0007:0000:14000000}} Das hier
hab ich schon 'ne ganze Weile von
dir ausgeliehen.
So langsam sollte ich es dir wirklich
mal zurückgeben...{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0009:}}Kusura bakma, {{TAG:0011:0001:0100}}.{{TAG:0007:0000:10000000}} Bunu çok uzun
zamandır bende tutuyorum,{{TAG:0007:0000:0C000000}} ama artık
geri vermeliyim, değil mi{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}?{{TAG:000C:0009:}}"
9,010,"{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0010:}}Ah, no way!{{TAG:0007:0000:08000000}} I totally lent this to you,
didn't I?{{TAG:0007:0000:10000000}} {{TAG:0003:0024:}}I completely forgot I even
had it!
{{TAG:0003:0001:}}{{TAG:0011:0001:0000}}, you and I are probably
the only people to invite people
over just to return something.","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0010:}}¡Qué fuerte!{{TAG:0007:0000:20000000}} {{TAG:0003:0024:}}Es verdad que te
lo había dejado.{{TAG:0007:0000:10000000}} ¡Se me había
olvidado del todo, je, je!
{{TAG:0003:0024:}}Yo también tardo un montón en
devolver las cosas, no te preocupes.","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0010:}}AAAH, j'y crois pas !{{TAG:0007:0000:20000000}} {{TAG:0003:002C:}}Top délire !{{TAG:0007:0000:10000000}}
J'avais com{{TAG:0007:0000:08000000}}plè{{TAG:0007:0000:08000000}}tement oublié que je
t'avais prêté ça !
{{TAG:0003:0003:}}T'as eu raison d'envoyer {{TAG:0005:0000:}}
me chercher, c'était urgentissime !{{TAG:0007:0000:08000000}}
Excellent, LOLOLOL !!!","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0010:}}Cioè, non ci credo!{{TAG:0007:0000:20000000}} {{TAG:0003:0024:}}{{TAG:0007:0000:10000000}}E chi se ne
ricordava più?!{{TAG:0000:0004:}}{{TAG:0003:0024:}}{{TAG:0011:0001:0000}}, io e te siamo gli unici
che fanno venire qualcuno a casa
per restituire una cosa!","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0007:0000:08000000}}{{TAG:0003:0010:}}Aaah, {{TAG:0007:0000:0A000000}}das gibt's ja gar nicht! {{TAG:0007:0000:14000000}}
Ich hab dir das Ding echt mal
ausgeliehen?
{{TAG:0003:0024:}}War mir total entfallen, dass ich so
was überhaupt hatte!{{TAG:0000:0004:}}{{TAG:0003:0001:}}Du und ich sind wohl die Einzigen,
die extra Leute zu sich einladen,
nur um ihren Kram zurückzugeben!","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0010:}}Aa, olamaz!{{TAG:0007:0000:08000000}} Bunu sana ben vermiştim,
değil mi?{{TAG:0007:0000:10000000}} {{TAG:0003:0024:}}Bende olduğunu bile unutmuşum!
{{TAG:0003:0001:}}{{TAG:0011:0001:0000}}, herhâlde sırf bir şey iade etmek
için misafir çağıran bir tek ikimiziz."
