entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:000C:0001:}}{{TAG:000C:0003:}}Hey,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}!{{TAG:0000:0004:}}{{TAG:0003:0001:}}You can ask {{TAG:0011:0001:0100}} anything,{{TAG:0007:0000:08000000}}
and she'll ALWAYS know the
answer, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}.{{TAG:000C:0009:}}","{{TAG:000C:0001:}}{{TAG:000C:0003:}}¡Oye,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}!{{TAG:0000:0004:}}{{TAG:0003:0001:}}Si le preguntas a {{TAG:0011:0001:0100}},{{TAG:0007:0000:08000000}}
¡seguro que se sabe la respuesta,
{{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!{{TAG:000C:0009:}}","{{TAG:000C:0001:}}{{TAG:000C:0003:}}Hé,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}} !{{TAG:0000:0004:}}{{TAG:0003:0001:}}Tu sais que quelle que soit la
question que tu poses à {{TAG:0011:0001:0100}},
elle saura toujours y répondre ?{{TAG:000C:0009:}}","{{TAG:000C:0001:}}{{TAG:000C:0003:}}Ehilà,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}!{{TAG:0000:0004:}}{{TAG:0003:0001:}}Puoi chiedere qualsiasi cosa
{{TAG:000E:0010:}} {{TAG:0011:0001:0100}}:{{TAG:0007:0000:08000000}} avrà sempre
una risposta, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!{{TAG:000C:0009:}}","{{TAG:000C:0001:}}{{TAG:000C:0003:}}Huhu,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}!{{TAG:0000:0004:}}{{TAG:0003:0001:}}Du kannst {{TAG:0011:0001:0100}} alles fragen!{{TAG:0007:0000:14000000}}
Sie hat immer eine Antwort parat.{{TAG:000C:0009:}}","{{TAG:000C:0001:}}{{TAG:000C:0003:}}Hey,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}!{{TAG:0000:0004:}}{{TAG:0003:0001:}}{{TAG:0011:0001:0100}}'e ne sorarsan
sor,{{TAG:0007:0000:08000000}} cevabını HER ZAMAN
bilir, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}.{{TAG:000C:0009:}}"
1,002,"{{TAG:000C:0001:}}{{TAG:000C:0007:}}{{TAG:000C:0000:}}{{TAG:000C:0008:}}{{TAG:0003:000F:}}{{TAG:0007:000B:}}Pardon?{{TAG:0007:0000:14000000}} What makes you say that,{{TAG:0007:0000:08000000}}
{{TAG:0011:0001:0000}}?{{TAG:0003:0000:}}{{TAG:0000:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0004:}}{{TAG:0003:0000:}}I'll certainly TRY to answer your
questions{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0004:}}{{TAG:000C:0001:}}{{TAG:000C:0003:}}{{TAG:0003:0001:}}What would you like to know,
{{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}?{{TAG:000C:0009:}}{{TAG:0008:0002:03000000080000000C00000010000000}}
Your favorite food.
Your life's ambition.
Your views on love.
How old are you?","{{TAG:000C:0001:}}{{TAG:000C:0007:}}{{TAG:000C:0000:}}{{TAG:000C:0008:}}{{TAG:0003:000F:}}{{TAG:0007:000B:}}¿Disculpa?{{TAG:0007:0000:08000000}} ¿Qué pretendes decir
con eso, {{TAG:0011:0001:0000}}?{{TAG:0003:0000:}}{{TAG:0000:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0004:}}{{TAG:0003:0000:}}Sí que tengo muchos conocimientos,
pero desde luego no lo sé todo{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0004:}}{{TAG:000C:0001:}}{{TAG:000C:0003:}}{{TAG:0003:0001:}}Aun así, intentaré responder a
tu pregunta, cielín. ¿Qué quieres
saber?{{TAG:000C:0009:}}{{TAG:0008:0002:03000000080000000C00000010000000}}
¿Tu comida favorita?
¿Tu ambición en la vida?
¿Tu idea del amor?
¿Tu edad?","{{TAG:000C:0001:}}{{TAG:000C:0007:}}{{TAG:000C:0000:}}{{TAG:000C:0008:}}{{TAG:0003:000F:}}{{TAG:0007:000B:}}Pardon ?{{TAG:0007:0000:14000000}} Qu'est-ce qui te fait dire
ça ?{{TAG:0003:0000:}}{{TAG:0000:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0004:}}{{TAG:0003:0000:}}Enfin, je veux bien ESSAYER de
répondre à tes questions. Je ne
peux rien te promettre{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0004:}}{{TAG:000C:0001:}}{{TAG:000C:0003:}}{{TAG:0003:0001:}}Que désires-tu savoir, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}} ?{{TAG:000C:0009:}}{{TAG:0008:0002:03000000080000000C00000010000000}}
Ton plat favori.
Ton but dans la vie.
Ta définition de l'amour.
Ton âge.","{{TAG:000C:0001:}}{{TAG:000C:0007:}}{{TAG:000C:0000:}}{{TAG:000C:0008:}}{{TAG:0003:000F:}}{{TAG:0007:000B:}}E perché?{{TAG:0007:0000:14000000}} Cosa te lo fa pensare,{{TAG:0007:0000:08000000}}
{{TAG:0011:0001:0000}}?{{TAG:0003:0000:}}{{TAG:0000:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0004:}}{{TAG:0003:0000:}}Posso PROVARE a rispondere
alle tue domande, ma non
garantisco nulla{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0004:}}{{TAG:000C:0001:}}{{TAG:000C:0003:}}{{TAG:0003:0001:}}C'è qualcosa che vorresti chiedermi,
{{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}?{{TAG:000C:0009:}}{{TAG:0008:0002:03000000080000000C00000010000000}}
Il tuo cibo preferito?
Lo scopo della tua vita?
Cosa pensi dell'amore?
Quanti anni hai?","{{TAG:000C:0001:}}{{TAG:000C:0007:}}{{TAG:000C:0000:}}{{TAG:000C:0008:}}{{TAG:0003:000F:}}{{TAG:0007:000B:}}Huch!{{TAG:0007:0000:14000000}} Weshalb sagst du denn
so etwas, {{TAG:0007:0000:08000000}}{{TAG:0011:0001:0000}}?{{TAG:0003:0000:}}{{TAG:0000:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0004:}}{{TAG:0003:0000:}}Ich versuche selbstverständlich
stets, alle Fragen zu beantworten,{{TAG:0007:0000:08000000}}
aber ob mir das immer gelingt?
{{TAG:000C:0001:}}{{TAG:000C:0003:}}{{TAG:0003:0001:}}Was hättest du denn gerne
gewusst, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}?{{TAG:000C:0009:}}{{TAG:0008:0002:03000000080000000C00000010000000}}
Dein Lieblingsessen.
Dein Ziel im Leben.
Was Liebe ist.
Wie alt du bist.","{{TAG:000C:0001:}}{{TAG:000C:0007:}}{{TAG:000C:0000:}}{{TAG:000C:0008:}}{{TAG:0003:000F:}}{{TAG:0007:000B:}}Efendim?{{TAG:0007:0000:14000000}} Bunu nereden çıkardın,{{TAG:0007:0000:08000000}}
{{TAG:0011:0001:0000}}?{{TAG:0003:0000:}}{{TAG:0000:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0004:}}{{TAG:0003:0000:}}Sorularını ELİMDEN GELDİĞİNCE
cevaplarım elbette{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0004:}}{{TAG:000C:0001:}}{{TAG:000C:0003:}}{{TAG:0003:0001:}}Neyi merak
ediyorsun, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}?{{TAG:000C:0009:}}{{TAG:0008:0002:03000000080000000C00000010000000}}
En sevdiğin yemek.
Hayattaki en büyük hedefin.
Aşk hakkındaki düşüncelerin.
Kaç yaşındasın?"
2,003,"{{TAG:0003:0005:}}What a great question!{{TAG:0007:0000:14000000}} This is so
exciting! {{TAG:0007:0000:08000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!{{TAG:000C:0009:}}","{{TAG:0003:0005:}}¡Es una pregunta genial!{{TAG:0007:0000:14000000}}
¡Qué emocionante, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!{{TAG:000C:0009:}}","{{TAG:0003:0005:}}Oh oui !{{TAG:0007:0000:14000000}} Ça c'est de la question !
{{TAG:0007:0000:08000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}} !{{TAG:000C:0009:}}","{{TAG:0003:0005:}}Caspitina, che domanda
interessante!{{TAG:0007:0000:14000000}} Non vedo l'ora di
sentire la risposta! {{TAG:0007:0000:08000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!{{TAG:000C:0009:}}","{{TAG:0003:0005:}}Das ist ja eine tolle Frage!{{TAG:0007:0000:14000000}}
Die könnte glatt von mir sein...{{TAG:0007:0000:14000000}}
Äh, he he he!{{TAG:000C:0009:}}",{{TAG:0003:0005:}}Ne güzel soru!{{TAG:0007:0000:14000000}} Çok heyecanlandım! {{TAG:0007:0000:08000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!{{TAG:000C:0009:}}
3,004,"{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0003:001B:}}My favorite food?{{TAG:0007:0000:28000000}} That's your big
question?{{TAG:0000:0004:}}{{TAG:0003:000B:}}All right.{{TAG:0007:0000:14000000}} If I had to say{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}I prefer
sophisticated food.{{TAG:000C:0009:}}","{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0003:001B:}}¿Esa es tu pregunta?{{TAG:0007:0000:28000000}} ¿Cuál es
mi comida favorita?{{TAG:0000:0004:}}{{TAG:0003:000B:}}Bueno.{{TAG:0007:0000:14000000}} Si tanto te interesa{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
Me encanta la comida sofisticada.{{TAG:000C:0009:}}","{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0003:001B:}}Mon plat favori ?{{TAG:0007:0000:28000000}} C'est vraiment
ce que tu veux savoir ?{{TAG:0000:0004:}}{{TAG:0003:000B:}}Très bien.{{TAG:0007:0000:14000000}} Après réflexion{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Je
dirais tout ce qui est sophistiqué.{{TAG:000C:0009:}}","{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0003:001B:}}Il mio cibo preferito?!{{TAG:0007:0000:28000000}} È questa
la domanda che ti tormenta?{{TAG:0000:0004:}}{{TAG:0003:000B:}}Va bene.{{TAG:0007:0000:14000000}} Sai, di cucina me ne
intendo{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Mi piace il cibo elaborato.{{TAG:000C:0009:}}","{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0003:001B:}}Mein Lieblingsessen?{{TAG:0007:0000:28000000}} Du könntest
alles fragen, was du willst, und du
fragst nach meinem Lieblingsessen?
{{TAG:0003:000B:}}Nun gut.{{TAG:0007:0000:14000000}} Ich bevorzuge besonders
ästhetisch ansprechende Dinge.{{TAG:000C:0009:}}","{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0003:001B:}}En sevdiğim yemek mi?{{TAG:0007:0000:28000000}} Kocaman sorun
bu mu?{{TAG:0000:0004:}}{{TAG:0003:000B:}}Pekâlâ.{{TAG:0007:0000:14000000}} Bir şey söylemem
gerekirse{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}ben daha rafine
tatları severim.{{TAG:000C:0009:}}"
4,005,"{{TAG:000C:0002:}}{{TAG:000C:0005:}}{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:0003:000F:}}Sophisticated food?{{TAG:0007:0000:14000000}} What does
that even mean?{{TAG:000C:0009:}}","{{TAG:000C:0002:}}{{TAG:000C:0005:}}{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:0003:000F:}}¿Comida ""sofistificada""?{{TAG:0007:0000:14000000}}
¿Y eso qué es exactamente?{{TAG:000C:0009:}}","{{TAG:000C:0002:}}{{TAG:000C:0005:}}{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:0003:000F:}}Sophistiqué ?{{TAG:0007:0000:14000000}} C'est quoi ça, un
nouveau mode de cuisson ?{{TAG:000C:0009:}}","{{TAG:000C:0002:}}{{TAG:000C:0005:}}{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:0003:000F:}}""Cibo elaborato""?{{TAG:0007:0000:14000000}} Non so nemmeno
cosa significhi!{{TAG:000C:0009:}}","{{TAG:000C:0002:}}{{TAG:000C:0005:}}{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:0003:000F:}}Häääh?{{TAG:0007:0000:14000000}} Was soll denn das jetzt
wieder heißen?{{TAG:000C:0009:}}",{{TAG:000C:0002:}}{{TAG:000C:0005:}}{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:0003:000F:}}Rafine tatlar mı?{{TAG:0007:0000:14000000}} O da ne demek?{{TAG:000C:0009:}}
5,006,"{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:0003:0001:}}Consider the {{TAG:0005:001A:00CD}},
for example.{{TAG:0000:0004:}}The color, {{TAG:0007:0000:14000000}}the luster, {{TAG:0007:0000:14000000}}the shape{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
{{TAG:0003:0004:}}They look just lovely when served
at a fancy dinner party!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:0003:0001:}}Pues por ejemplo, nuestra fruta
local, {{TAG:000E:0001:}}{{TAG:0005:001A:00CD}}. {{TAG:0007:0000:14000000}}Piensa
en el color, {{TAG:0007:0000:14000000}}el brillo,{{TAG:0007:0000:08000000}} la forma{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.
{{TAG:0003:0004:}}¡No puede faltar en ninguna fiesta
con clase! Es una delicia digna
de admiración.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:0003:0001:}}Prends {{TAG:000E:0002:}}{{TAG:0005:001A:00CD}} par
exemple.{{TAG:0000:0004:}}Sa couleur, {{TAG:0007:0000:14000000}}son éclat, {{TAG:0007:0000:14000000}}sa forme{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
{{TAG:0003:0004:}}{{TAG:000E:0008:00CD0A00530065007200760069000C0053006500720076006900650002003000}} dans un banquet, c'est un
régal pour les yeux !{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:0003:0001:}}Prendi {{TAG:000E:0001:}}{{TAG:0005:001A:00CD}},
per esempio.{{TAG:0000:0004:}}Il colore, {{TAG:0007:0000:14000000}}la lucentezza, {{TAG:0007:0000:14000000}}la forma{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
{{TAG:0003:0004:}}È in grado di rendere una cena
ancora più esclusiva, se è in tavola!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:0003:0001:}}Ist doch ganz einfach.{{TAG:0007:0000:14000000}} Betrachten
wir als Beispiel {{TAG:000E:0008:00CD0600640065006E0006006400690065000600640061007300}} {{TAG:0005:001A:00CD}}.{{TAG:0000:0004:}}Die Farbe,{{TAG:0007:0000:08000000}} der Glanz,{{TAG:0007:0000:08000000}} die Form...{{TAG:0007:0000:14000000}}
{{TAG:0003:0004:}}Alles ist äußerst ansprechend und
auch bei Feiern äußerst präsentabel.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:0003:0001:}}Mesela {{TAG:0005:001A:00CD}} düşün.{{TAG:0000:0004:}}Rengi, {{TAG:0007:0000:14000000}}parlaklığı, {{TAG:0007:0000:14000000}}şekli{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
{{TAG:0003:0004:}}Şık bir davette servis edilince nefis görünür!{{TAG:000C:0009:}}"
6,007,"{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:0003:0009:}}So you're just supposed to admire
them?{{TAG:0007:0000:14000000}} {{TAG:000E:0003:}}{{TAG:0005:0007:}}...{{TAG:0000:0004:}}That must be why nobody invites
me to fancy dinner parties.","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:0003:0009:}}¿O sea que hay que mostrarles
admiración?{{TAG:0007:0000:14000000}} {{TAG:000E:0003:}}{{TAG:0005:0007:}}...{{TAG:0000:0004:}}Ahora entiendo por qué nunca
me invitan a cenas finas.","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:0003:0010:}}Ahhh{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}. {{TAG:0007:0000:14000000}}Donc si c'est servi, c'est
pour être admiré, pas pour être
mangé, {{TAG:0005:0007:}}...?{{TAG:0000:0004:}}Je crois que je comprends
maintenant pourquoi je ne suis
jamais invité aux banquets...","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:0003:0009:}}Ma allora vuol dire che non
si mangia!? {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}...{{TAG:0000:0004:}}Non capisco... forse è per questo
che nessuno mi invita alle cene
di un certo tipo...","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:0003:0009:}}Wie jetzt?{{TAG:0007:0000:14000000}} Soll man sein Essen
etwa bewundern oder wie?{{TAG:0007:0000:14000000}}
Ich mampf es lieber auf!
Vielleicht lädt mich deshalb niemand
zu einer Feier ein...{{TAG:0007:0000:14000000}} Äh, he he he!","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:0003:0009:}}Yani sadece bakıp hayran mı kalıyoruz?{{TAG:0007:0000:14000000}}
{{TAG:000E:0003:}}{{TAG:0005:0007:}}...{{TAG:0000:0004:}}Demek beni şık davetlere
çağırmamalarının sebebi bu."
7,008,{{TAG:0003:0005:}}Ooh yeah!{{TAG:0007:0000:14000000}} I wanna know! {{TAG:000C:0009:}},"{{TAG:0003:0005:}}¡Sí, sí!{{TAG:0007:0000:14000000}} ¡Yo quiero saberlo!{{TAG:000C:0009:}}",{{TAG:0003:0005:}}Ouais !{{TAG:0007:0000:14000000}} Moi aussi je veux savoir !{{TAG:000C:0009:}},"{{TAG:0003:0005:}}Oooh, sì!{{TAG:0007:0000:14000000}} Vorrei proprio saperlo
anch'io!{{TAG:000C:0009:}}",{{TAG:0003:0005:}}Au ja!{{TAG:0007:0000:14000000}} Das will ich auch wissen!{{TAG:000C:0009:}},{{TAG:0003:0005:}}Ooo evet!{{TAG:0007:0000:14000000}} Bilmek istiyorum! {{TAG:000C:0009:}}
8,009,"{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0003:0017:}}My life's ambition?{{TAG:0007:0000:28000000}} {{TAG:0003:001B:}}Why, {{TAG:0007:0000:14000000}}I've
already succeeded at it.{{TAG:0000:0004:}}{{TAG:0003:0021:}}Being THE elegant and discerning
resident of a town like {{TAG:0005:0005:}}.{{TAG:0000:0004:}}That was my dream{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}. {{TAG:0003:002B:}}I suppose I'll
be expected to find another lofty
goal now,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.{{TAG:000C:0009:}}","{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0003:0017:}}¿Mi ambición en la vida?{{TAG:0007:0000:28000000}} {{TAG:0003:001B:}}
Ay, cariñín, ya la he cumplido
con creces.{{TAG:0000:0004:}}{{TAG:0003:0021:}}Siempre he querido ser la residente
más elegante de un pueblo como
{{TAG:000E:0003:}}{{TAG:0005:0005:}}.{{TAG:0000:0004:}}Y puesto que ya la he cumplido{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0003:002B:}} 
ya es hora de que me busque una
nueva ambición,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.{{TAG:000C:0009:}}","{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0003:0017:}}Mon but dans la vie ?{{TAG:0007:0000:28000000}} {{TAG:0003:001B:}}Eh bien, {{TAG:0007:0000:14000000}}il me
semble que celui-ci est déjà atteint.{{TAG:0000:0004:}}{{TAG:0003:0021:}}Ne suis-je pas, après tout, parvenue
à devenir le parangon de l'élégance
et du bon sens à {{TAG:0005:0005:}} ?{{TAG:0000:0004:}}Car oui, tel était le but que je
m'étais fixé dans la vie{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0004:}}{{TAG:0003:002B:}}Je suppose que désormais, il ne me
reste plus qu'à placer la barre
encore plus haut,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.{{TAG:000C:0009:}}","{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0003:0017:}}Lo scopo della mia vita?{{TAG:0007:0000:28000000}} {{TAG:0003:001B:}}Beh, {{TAG:0007:0000:14000000}}ho già
raggiunto ciò che volevo.{{TAG:0000:0004:}}{{TAG:0003:0021:}}Essere la più elegante e assennata
cittadina di {{TAG:0005:0005:}}.{{TAG:0000:0004:}}Era questo il mio sogno{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.
{{TAG:0003:002B:}}Penso sia tempo di trovarne
un altro,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.{{TAG:000C:0009:}}","{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0003:0017:}}Mein Ziel im Leben?{{TAG:0007:0000:14000000}} {{TAG:0003:001B:}}Ich habe
doch bereits alles erreicht,
was man sich wünschen kann!
{{TAG:0003:0021:}}Ich habe mir in {{TAG:0005:0005:}} einen
Namen als kultivierte und schlaue
Mitbürgerin gemacht.
Das war schon immer mein Traum{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0004:}}{{TAG:0003:002B:}}Wenn ich es mir so überlege, ist es
an der Zeit, mir ein neues Ziel zu
überlegen, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}.{{TAG:000C:0009:}}","{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0003:0017:}}Hayattaki hedefim mi?{{TAG:0007:0000:28000000}} {{TAG:0003:001B:}}Canım, {{TAG:0007:0000:14000000}}ben onu
çoktan başardım.{{TAG:0000:0004:}}{{TAG:0003:0021:}}{{TAG:0005:0005:}} gibi
bir kasabanın EN zarif ve zevk sahibi sakini
olmak.{{TAG:0000:0004:}}Hayalim buydu{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}. {{TAG:0003:002B:}}Şimdi kendime
yeni, yüce bir hedef bulmam beklenecek
sanırım,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.{{TAG:000C:0009:}}"
9,010,"{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0002:}}{{TAG:000C:0005:}}{{TAG:0003:000D:}}That's your life's ambition?!{{TAG:0000:0004:}}With all your talent,{{TAG:0007:0000:08000000}} you could have
been a baker!{{TAG:0007:0000:08000000}} Or a chocolatier!{{TAG:0007:0000:08000000}} Or
a cotton-candy vendor!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0002:}}{{TAG:000C:0005:}}{{TAG:0003:000D:}}¡¿Y eso era lo que más querías ser?!{{TAG:0000:0004:}}Con tu talento,{{TAG:0007:0000:08000000}} ¡tendrías que haber
sido panadera!{{TAG:0007:0000:08000000}} ¡O chocolatera!{{TAG:0007:0000:08000000}}
¡O vendedora de perritos calientes!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0002:}}{{TAG:000C:0005:}}{{TAG:0003:000D:}}Mais c'est pas un vrai but, ça !{{TAG:0000:0004:}}Tu n'as jamais voulu devenir
goûteuse de beignets,{{TAG:0007:0000:08000000}} ou testeuse
de matelas ?!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0002:}}{{TAG:000C:0005:}}{{TAG:0003:000D:}}Era davvero questo il tuo scopo?!{{TAG:0000:0004:}}Ma con tutto il talento che ti ritrovi,{{TAG:0007:0000:08000000}}
avresti potuto avere un forno!{{TAG:0007:0000:08000000}}
O una cioccolateria!{{TAG:0007:0000:08000000}} O fare hot dog!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0002:}}{{TAG:000C:0005:}}{{TAG:0003:000D:}}Das ist immer dein Traum gewesen?{{TAG:0007:0000:14000000}}
Echt?!{{TAG:0000:0004:}}Du hast doch so viel Talent!{{TAG:0007:0000:14000000}} Wieso
bist du nicht Bäckerin geworden?{{TAG:0007:0000:14000000}}
Oder Pralinenverkäuferin!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0002:}}{{TAG:000C:0005:}}{{TAG:0003:000D:}}Hayattaki hedefin BU mu?!{{TAG:0000:0004:}}Senin
yeteneğinle{{TAG:0007:0000:08000000}} fırıncı olabilirdin!{{TAG:0007:0000:08000000}} Ya
da çikolatacı!{{TAG:0007:0000:08000000}} Hatta pamuk şekerci!{{TAG:000C:0009:}}"
