index,label,English,French,German,Italian,Spanish,Turkish
0,0000,"Just a standard, run-of-the-mill room. 
Nothing to see here. Move along.",Une décoration extrêmement ordinaire.,"Ein ganz normales Standardzimmer.
Hier gibt es wirklich nichts zu sehen.","Uno stile assolutamente normale,
senza alcuna pretesa.",Un interior completamente normal.,"Sıradan, standart bir oda.
Görecek bir şey yok. Devam edin."
1,0001,"Just a standard, run-of-the-mill room. 
Nothing to see here. Move along.",Une décoration extrêmement ordinaire.,"Ein ganz normales Standardzimmer.
Hier gibt es wirklich nichts zu sehen.","Uno stile assolutamente normale,
senza alcuna pretesa.","Un interior que no pasará precisamente
a la posteridad por su estilo sobrio.","Sıradan, standart bir oda.
Görecek bir şey yok. Devam edin."
2,0002,"Just a standard, run-of-the-mill room. 
Nothing to see here. Move along.",Une décoration extrêmement ordinaire.,"Ein ganz normales Standardzimmer.
Hier gibt es wirklich nichts zu sehen.","Uno stile assolutamente normale,
senza alcuna pretesa.","Un interior de lo más común. Dedícale
un segundo de atención y a otra cosa.","Sıradan, standart bir oda.
Görecek bir şey yok. Devam edin."
3,0003,"Just a standard, run-of-the-mill room. 
Nothing to see here. Move along.",Une décoration extrêmement ordinaire.,"Ein ganz normales Standardzimmer.
Hier gibt es wirklich nichts zu sehen.","Uno stile assolutamente normale,
senza alcuna pretesa.","Un interior tan sencillo que pasa
completamente desapercibido.","Sıradan, standart bir oda.
Görecek bir şey yok. Devam edin."
4,0004,"Just a standard, run-of-the-mill room. 
Nothing to see here. Move along.",Une décoration extrêmement ordinaire.,"Ein ganz normales Standardzimmer.
Hier gibt es wirklich nichts zu sehen.","Uno stile assolutamente normale,
senza alcuna pretesa.","El decorador de interiores no se ha
comido la cabeza con este diseño.","Sıradan, standart bir oda.
Görecek bir şey yok. Devam edin."
5,0005,"Just a standard, run-of-the-mill room. 
Nothing to see here. Move along.",Une décoration extrêmement ordinaire.,"Ein ganz normales Standardzimmer.
Hier gibt es wirklich nichts zu sehen.","Uno stile assolutamente normale,
senza alcuna pretesa.","Un interior común y corriente.
Pide a gritos un poco de vidilla.","Sıradan, standart bir oda.
Görecek bir şey yok. Devam edin."
6,0006,"Just a standard, run-of-the-mill room. 
Nothing to see here. Move along.",Une décoration extrêmement ordinaire.,"Ein ganz normales Standardzimmer.
Hier gibt es wirklich nichts zu sehen.","Uno stile assolutamente normale,
senza alcuna pretesa.","Un interior corrientito. ¿Ya te has
cansado de mirar? Pues hala, puerta.","Sıradan, standart bir oda.
Görecek bir şey yok. Devam edin."
7,0007,"Just a standard, run-of-the-mill room. 
Nothing to see here. Move along.",Une décoration extrêmement ordinaire.,"Ein ganz normales Standardzimmer.
Hier gibt es wirklich nichts zu sehen.","Uno stile assolutamente normale,
senza alcuna pretesa.","Un interior de diseño tan reservado
como su propia dueña.","Sıradan, standart bir oda.
Görecek bir şey yok. Devam edin."
8,0008,"A bare, blindingly white room. You may 
go bonkers if you stay in here too long.","La simplicité à l'état brut. Peut-être
trop dépouillé pour s'y sentir à l'aise...","Der Gipfel der Reduktion! Fast so weit
reduziert, dass es übertrieben wirkt.","Una stanza bianca, pura e semplice.
Anche troppo...","Minimalismo en estado puro. ¿Pero
y lo rápido que harás la limpieza, qué?","Eşyasız, göz alacak kadar beyaz bir oda.
Burada fazla kalırsan kafayı yiyebilirsin."
9,0009,"A glimpse of life in a traditional
Japanese home back in the day.","Ce style reproduit celui des maisons
japonaises des années 1950.","Ein Blick ins traditionelle Leben japa-
nischer Familien der guten, alten Zeit.","Questo stile riproduce quello delle
case giapponesi tradizionali.","Este estilo es una ventana al pasado.
Así vivían los japoneses de esa época.","Eski günlerde geleneksel bir Japon
evinde yaşam nasıldı, küçük bir kesit."
10,0010,"What's that, Mr Bear? He says this 
room is a great place to grow up.","L'environnement parfait pour un enfant
qui a besoin de jouer et se défouler.","Man spürt hier die Liebe der Eltern zu
ihrem Kind: Ort einer frohen Kindheit.","L'arredamento perfetto per i bimbi
che vogliono crescere divertendosi.","El entorno perfecto para que
los niños jueguen y se diviertan.","Ne dedin Bay Ayı? Bu odanın
büyümek için harika olduğunu söylüyor."
11,0011,"Everywhere you turn there are flowers.
That must be why it smells so nice.","Tout est recouvert de motifs de fleurs.
Parfait pour les amis de la nature !","Blumenmuster, wohin man auch schaut.
Für liebe Menschen, die Blumen lieben.","Uno stile completamente adornato
da fiori. Il profumo è irresistibile!","Decorado con cientos de flores. ¡Ideal
para los amantes de la naturaleza!","Nereye baksan çiçek var.
Güzel kokmasının sebebi belli."
12,0012,"Get a good Arabian night's sleep here.
Includes a free camel and magic lamp.","Le désert et le ciel étoilé s'étendent à
perte de vue ! Il y a même un chameau.","Wohnen in der Welt von 1001 Nacht!
Inklusive Kamel und Wunderlampe.","Uno stile da vera fiaba mediorientale.
Cammello e lampada inclusi nel prezzo!","El desierto en una noche estrellada.
¡Hay un camello y una lámpara mágica!","Burada güzel bir Binbir Gece uykusu çek.
Deve ve sihirli lamba da yanında!"
13,0013,"Start a new life under the sea. Annoy
that shark and it will be a short one.","Une mer bleu turquoise. Les poissons
sont là pour vous apprendre à nager.","Willst du bei den Fischen schlafen? Mit
dieser Einrichtung ist das kein Problem!","Inizia una nuova vita in fondo al mare!
Occhio a non infastidire lo squalo...","Comparte piso con un tiburón. Ten la
nevera llena si no quieres ser su cena.","Denizin altında yeni bir hayata başla.
Köpekbalığını kızdırırsan pek uzun sürmez."
