entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"Think I'll head to the town hall{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0000:0004:}}{{TAG:0003:0001:}}But don't let me stop you from
continuing to enjoy the beautiful
{{TAG:0000:0003:0200}}Daeboreum moon{{TAG:0000:0003:FFFF}}!","Yo me vuelvo al ayuntamiento{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.
{{TAG:0003:0001:}}¡Tú quédate y disfruta de
la luna del Daeboreum!","Je pense que je vais retourner à la
mairie{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0000:0004:}}{{TAG:0003:0001:}}Mais rien ne vous empêche de rester
ici à profiter du {{TAG:0000:0003:0200}}Daeboreum{{TAG:0000:0003:FFFF}}.{{TAG:0007:0000:0A000000}} La lune
est si belle !","Penso che tornerò al municipio{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0000:0004:}}{{TAG:0003:0001:}}... ma tu nel frattempo continua
a rimirare la bellissima
{{TAG:0000:0003:0200}}luna del {{TAG:0000:0003:FFFF}}{{TAG:0000:0003:0200}}Daeboreum{{TAG:0000:0003:FFFF}}!","Ich werde mich langsam auf den
Weg zurück zum Rathaus machen...{{TAG:0000:0004:}}{{TAG:0003:0001:}}Aber lass dich nicht davon abhalten,
weiterhin den Mond an {{TAG:0000:0003:0200}}Daeboreum{{TAG:0000:0003:FFFF}}
zu genießen!","Kasaba binasına dönsem iyi
olacak{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0000:0004:}}{{TAG:0003:0001:}}
Ama benim yüzümden güzel
{{TAG:0000:0003:0200}}Daeboreum
dolunayının{{TAG:0000:0003:FFFF}} tadını çıkarmayı bırakma!"
1,002,"Oh, I was so entranced by the moon
that I didn't even realize how late it
had gotten!
{{TAG:0003:0001:}}I'm getting sleepy,{{TAG:0007:0000:08000000}} so I'd better
head back pretty soon.","{{TAG:0003:000A:}}Me he quedado tan embobada con
la luna que ni me he fijado en qué
hora era. {{TAG:0003:0001:}}Creo que me iré en breve.","Oh, j'étais si fascinée par la lune
que je n'ai pas vu le temps passer !
Il est déjà tard !
{{TAG:0003:0001:}}Loin de moi l'idée de vous laisser
en plan, mais je vais vous laisser, je
suis plutôt fatiguée.","Accifuffoli! Ero così ipnotizzata
dalla bellezza della luna che non
avevo notato quanto è tardi!
{{TAG:0003:0001:}}Meglio che concluda qui.{{TAG:0007:0000:08000000}}
Presto dovrò tornare in municipio.","Oh, ich war so entzückt vom Mond,
dass ich gar nicht gemerkt habe,
wie spät es geworden ist!
{{TAG:0003:0001:}}Ich werde wohl demnächst zum
Rathaus zurückkehren!","Aya öyle dalmışım ki ne kadar
geç olduğunu fark etmemişim!
{{TAG:0003:0001:}}Uykum geldi{{TAG:0007:0000:08000000}}; birazdan dönsem iyi olacak."
2,003,"I think I'll get a great night's sleep,
thanks to this beautiful moonlight!{{TAG:0007:0001:}}
{{TAG:0003:0001:}}Good night!","{{TAG:0003:0004:}}Seguro que hoy duermo de un tirón
gracias a esta preciosa luz de luna.{{TAG:0007:0001:}}
{{TAG:0003:0001:}}¡Buenas noches!","Je sens que je vais dormir comme
un bébé avec une lune aussi belle !{{TAG:0007:0001:}}
{{TAG:0003:0001:}}Bonne nuit !","Penso proprio che stanotte farò
sogni d'oro, grazie a questo chiaro
di luna straordinario!{{TAG:0007:0001:}} {{TAG:0003:0001:}}Buonanotte!","Bei diesem wunderschönen
Mondschein lässt es sich bestimmt
friedlich einschlummern!
{{TAG:0003:0001:}}Gute Nacht!","Bu güzel ay ışığı sayesinde bu
gece deliksiz uyuyacağım galiba!{{TAG:0007:0001:}}
{{TAG:0003:0001:}}İyi geceler!"
3,004,"{{TAG:0003:0025:}}It's still too early for the sun to
start setting.{{TAG:0000:0004:}}{{TAG:0003:0001:}}If you don't have any other plans,{{TAG:0007:0000:0F000000}}
I hope you'll stick around to see
the {{TAG:0000:0003:0200}}Daeboreum moon{{TAG:0000:0003:FFFF}} tonight!","{{TAG:0003:0025:}}No hay nada mejor que disfrutar
de la luna del Daeboreum al fresco.
¡A mí me encanta!","{{TAG:0003:0025:}}On a encore un peu de temps avant
le coucher du soleil... {{TAG:0007:0000:0F000000}}{{TAG:0003:0001:}}Mais si vous
n'avez rien d'autre à faire...
... je vous conseille de rester ici
jusqu'au soir pour admirer la lune à
l'occasion du {{TAG:0000:0003:0200}}Daeboreum{{TAG:0000:0003:FFFF}}.","{{TAG:0003:0025:}}So che manca ancora un po'
di tempo al tramonto, ma...{{TAG:0000:0004:}}{{TAG:0003:0001:}}... se non hai altri piani,{{TAG:0007:0000:0F000000}} spero che
resterai qui con noi ad ammirare
la {{TAG:0000:0003:0200}}luna del Daeboreum{{TAG:0000:0003:FFFF}}!","{{TAG:0003:0025:}}Heute feiern wir {{TAG:0000:0003:0200}}Daeboreum{{TAG:0000:0003:FFFF}}!{{TAG:0007:0000:0F000000}}
Noch ist es zu früh für den
Sonnenuntergang...
{{TAG:0003:0001:}}Aber wenn du keine anderen Pläne
hast, kannst du später gerne den
Vollmond mit uns genießen!","{{TAG:0003:0025:}}Güneşin batmaya başlamasına daha
var.{{TAG:0000:0004:}}{{TAG:0003:0001:}}
Başka planın yoksa{{TAG:0007:0000:0F000000}} bu geceki
{{TAG:0000:0003:0200}}Daeboreum dolunayını{{TAG:0000:0003:FFFF}} görmek için
kalmanı umuyorum!"
4,005,"{{TAG:0003:0025:}}The moon looks extremely lovely
when viewed from {{TAG:0005:0005:}}.{{TAG:0000:0004:}}{{TAG:0003:0001:}}There's still time before the moon
pokes her head out,{{TAG:0007:0000:0F000000}} but if you
can, please do stay to see it!","{{TAG:0003:0025:}}La luna tiene un aspecto precioso
vista desde {{TAG:000E:0003:}}{{TAG:0005:0005:}}, eso lo sabe
todo el mundo.{{TAG:0000:0004:}}{{TAG:0003:0001:}}Yo no me la pierdo nunca,
por mucho trabajo que tenga.","{{TAG:0003:0025:}}La lune vue {{TAG:000E:000A:0600640065002000040064002700}}{{TAG:0005:0005:}} renvoie
une lumière envoûtante. C'est un
spectacle à ne pas manquer...{{TAG:0000:0004:}}{{TAG:0003:0001:}}On a encore un peu de temps avant
que la lune pointe le bout de son
nez.{{TAG:0007:0000:0F000000}} Patience, patience !","{{TAG:0003:0025:}}La luna vista da {{TAG:0005:0005:}} ha
un aspetto a dir poco meraviglioso.{{TAG:0000:0004:}}{{TAG:0003:0001:}}So che manca ancora del tempo
al sorgere della luna,{{TAG:0007:0000:0F000000}} ma ti invito
di già a restare qui per ammirarla!","{{TAG:0003:0025:}}Von {{TAG:0005:0005:}} aus sieht der
Mond einfach bezaubernd aus.{{TAG:0000:0004:}}{{TAG:0003:0001:}}Noch ist es nicht so weit, aber
bleib doch hier bei uns, wenn du
ihn später sehen willst!","{{TAG:0003:0025:}}Ay, {{TAG:0005:0005:}} kasabasından bakınca
olağanüstü güzel görünüyor.{{TAG:0000:0004:}}{{TAG:0003:0001:}}
Yüzünü göstermesine daha vakit
var{{TAG:0007:0000:0F000000}},
ama fırsatın varsa lütfen kalıp gör!"
5,006,"{{TAG:0003:0025:}}I think everyone in town has been
looking forward to {{TAG:0000:0003:0200}}Daeboreum{{TAG:0000:0003:FFFF}}!{{TAG:0000:0004:}}{{TAG:0003:0000:}}There's still time until the moon
makes her appearance,{{TAG:0007:0000:0F000000}} but {{TAG:0003:0025:}}I hope
you'll stay with us until then!","{{TAG:0003:0025:}}Parece que la gente del pueblo
estaba deseando que llegara
el Daeboreum.{{TAG:0000:0004:}}{{TAG:0003:0000:}}¡Es un acontecimiento casi mágico!","{{TAG:0003:0025:}}Je ne connais pas une seule
personne en ville qui n'attende pas
le {{TAG:0000:0003:0200}}Daeboreum {{TAG:0000:0003:FFFF}}avec impatience.{{TAG:0000:0004:}}{{TAG:0003:0000:}}Il reste un peu de temps avant que
la lune n'apparaisse,{{TAG:0007:0000:0F000000}} mais {{TAG:0003:0025:}}j'espère
que vous patienterez ici avec nous !","{{TAG:0003:0025:}}Sono sicura che tutti i cittadini
stavano aspettando il {{TAG:0000:0003:0200}}Daeboreum{{TAG:0000:0003:FFFF}}
con grande impazienza.{{TAG:0000:0004:}}{{TAG:0003:0000:}}So che manca ancora un po'
di tempo,{{TAG:0007:0000:0F000000}} ma{{TAG:0003:0025:}} spero che aspetterai
con noi per ammirare la luna piena!","{{TAG:0003:0025:}}Alle hier in der Stadt haben sich
schon lange auf {{TAG:0000:0003:0200}}Daeboreum {{TAG:0000:0003:FFFF}}gefreut!{{TAG:0000:0004:}}{{TAG:0003:0000:}}Es dauert zwar noch, bis der Mond
aufgeht, aber ich hoffe, dass du bis
dahin bei uns bleibst!","{{TAG:0003:0025:}}Bence kasabadaki herkes
{{TAG:0000:0003:0200}}Daeboreum'u{{TAG:0000:0003:FFFF}}
sabırsızlıkla bekliyordu!{{TAG:0000:0004:}}{{TAG:0003:0000:}}
Ayın görünmesine daha var{{TAG:0007:0000:0F000000}}, ama {{TAG:0003:0025:}}o
zamana kadar bizimle kalmanı umuyorum!"
6,007,"{{TAG:0003:0001:}}Please enjoy this beautifully full
moon.{{TAG:0007:0000:08000000}} {{TAG:0003:0005:}}It's the first of the new year!","{{TAG:0003:0001:}}Disfruta de la luna llena.{{TAG:0007:0000:08000000}}
{{TAG:0003:0005:}}¡Es la primera del año!","{{TAG:0003:0001:}}Et maintenant, admirez le spectacle.{{TAG:0007:0000:08000000}}
{{TAG:0003:0005:}}C'est la première pleine lune de
l'année !","{{TAG:0003:0001:}}Spero che ti piacerà ammirare
da qui{{TAG:0007:0000:08000000}} {{TAG:0003:0005:}}la prima luna piena
dell'anno nuovo!","{{TAG:0003:0001:}}Sieh dir diesen wunderschönen
Vollmond an!{{TAG:0007:0000:08000000}} {{TAG:0003:0005:}}Das ist der erste
Vollmond im neuen Jahr!","{{TAG:0003:0001:}}Bu güzel dolunayın tadını çıkar.{{TAG:0007:0000:08000000}}
{{TAG:0003:0005:}}
Yeni yılın ilk dolunayı bu!"
7,008,"{{TAG:0003:0001:}}The moon tonight is very special!{{TAG:0007:0001:}}
I feel like she's welcoming you to
our sleepy little town, {{TAG:0005:0000:}}!","{{TAG:0003:0001:}}Esta noche la luna tiene
algo especial...{{TAG:0000:0004:}}Siento como si te estuviera dando
la bienvenida al pueblo, {{TAG:0005:0000:}}.","{{TAG:0003:0001:}}La lune ce soir est particulièrement
belle !{{TAG:0007:0001:}} Comme si elle voulait vous
souhaiter la bienvenue chez nous...","{{TAG:0003:0001:}}Stasera la luna è fuffissima!{{TAG:0007:0001:}}
È come se ti desse il benvenuto
qui nella nostra città, {{TAG:0005:0000:}}!","{{TAG:0003:0001:}}Der Mond wirkt fast so, als würde
er dich in unserer kleinen Stadt
willkommen heißen, {{TAG:0005:0000:}}!","{{TAG:0003:0001:}}Bu gece ay çok özel!{{TAG:0007:0001:}}
Sanki seni uykulu küçük
kasabamız {{TAG:0005:0000:}} kasabasına davet ediyor!"
8,009,"{{TAG:0003:0001:}}Since you came all this way,{{TAG:0007:0000:0F000000}} please
stick around and enjoy the lovely
{{TAG:0005:0005:}} {{TAG:0000:0003:0200}}Daeboreum{{TAG:0000:0003:FFFF}}{{TAG:0003:0020:}} tonight!","{{TAG:0003:0001:}}Ya que has venido hasta aquí,{{TAG:0007:0000:0F000000}}
¿por qué no te quedas a disfrutar
del Daeboreum {{TAG:0003:0020:}}esta noche?","{{TAG:0003:0001:}}Vous ne regretterez pas votre long
voyage jusqu'à {{TAG:0005:0005:}}.{{TAG:0007:0000:0F000000}} Ce soir, {{TAG:0003:0020:}}
nous fêtons le {{TAG:0000:0003:0200}}Daeboreum{{TAG:0000:0003:FFFF}} !","{{TAG:0003:0001:}}Visto che ormai hai fatto tanta
strada,{{TAG:0007:0000:0F000000}} perché non ti fermi qui
{{TAG:000E:0010:}} {{TAG:0005:0005:}} per il {{TAG:0000:0003:0200}}Daeboreum{{TAG:0000:0003:FFFF}}?","{{TAG:0003:0001:}}Ich hoffe, du genießt {{TAG:0000:0003:0200}}Daeboreum
{{TAG:0000:0003:FFFF}}hier bei uns in {{TAG:0005:0005:}}!","{{TAG:0003:0001:}}Bunca yolu gelmişken{{TAG:0007:0000:0F000000}} bu geceki
güzel {{TAG:0005:0005:}}{{TAG:0000:0003:0200}}Daeboreum'u{{TAG:0000:0003:FFFF}}{{TAG:0003:0020:}} seyretmeden gitme!"
9,010,,,,,,
