index,label,English,French,German,Italian,Spanish,Turkish
104,sp_104,,,Pe tih Furs,petì fur,,petifür
105,sp_105,,,ente ohrannsch,,,portakallı ördek
112,sp_112,,soushi,,,,suşi
115,sp_115,,,Frittiergarnehlen,,,ızgara karides
116,sp_116,,,Caneléh Bordelähs,,,canelé
118,sp_118,,,,mul frit,,midye ve patates kızartması
120,sp_120,,,,piel meni,,pelmeni
132,sp_132,,porc à l'alèntéjane,,,,Alentejana usulü domuz
137,sp_137,,frantcézigna portugaise,,,,francesinha sandviçi
140,sp_140,,hote-cross beune,,,,Paskalya çöreği
144,sp_144,,,Königsberger Kloppse,,,Königsberg köftesi
147,sp_147,,,,dolci all'ànice,,anasonlu kurabiye
