label,index,deu,eng,esp,fra,ita,nld,tur
Text_GachiBattle,0,Standard-Duell,Tasteful Battle,Combate reñido,Combat intense,Sfida tosta,Standaardgevecht,Lezzetli Savaş
Text_VarietyBattle,1,Allerlei-Duell,Chaos Battle,Combate caótico,Combat surprise,Sfida bizzarra,Stolpengevecht,Kaos Savaşı
Text_WinNum,2,Siege:,Wins:,Victorias:,Victoires :,Vittorie:,Gewonnen:,Galibiyet:
Text_ThisWinNum,3,Siegesserie,Win Streak,Racha,Série de victoires,Serie vittorie,Op rij gewonnen:,Galibiyet Serisi
Text_ThisRatingChange,4,Änderung,Rating Change,Nueva clasificación,Évolution du classement,Variazioni class.,Puntenverschil,Puan Değişimi
Text_Rate,5,Punkte:,Rating:,Puntos:,Points :,Punti:,Punten:,Puan:
Text_GetItem,6,Belohnung,Reward,Recompensa,Récompense,Ricompensa,Beloning,Ödül
Text_GachiRatingBattle,7,Tabellen-Duell,Rated Battle,Combate clasificatorio,Combat classé,Sfida classificata,Klassementsgevecht,Dereceli Savaş
Text_ItemNone,8,Keine,None,Ninguna,Aucune,Nessuna,Geen,Yok
Win_GachiRetry,9,Möchtest du noch ein Standard-Duell\ngegen \u000E\u0000\u0003\u0004Ü＀\u000E\u0001\u0010\u0000 \u000E\u0000\u0003\u0004\u0000＀austragen?,Try another Tasteful Battle\nagainst \u000E\u0001\u0010\u0000?,¿Quieres librar otro combate reñido\ncontra \u000E\u0000\u0003\u0004Ü＀\u000E\u0001\u0010\u0000\u000E\u0000\u0003\u0004\u0000＀?,Tenter un autre combat intense\ncontre \u000E\u0000\u0003\u0004Ü＀\u000E\u0001\u0010\u0000\u000E\u0000\u0003\u0004\u0000＀ ?,Vuoi combattere un'altra sfida tosta\ncontro \u000E\u0000\u0003\u0004Ü＀\u000E\u0001\u0010\u0000\u000E\u0000\u0003\u0004\u0000＀?,Wil je opnieuw een standaardgevecht\ntegen \u000E\u0000\u0003\u0004Ü＀\u000E\u0001\u0010\u0000\u000E\u0000\u0003\u0004\u0000＀ beginnen?,Bir Lezzetli Savaş daha yapıp\n\u000E\u0001\u0010\u0000 ile kapışmak ister misin?
Win_GachiRatingRetry,10,Möchtest du noch ein\nTabellen-Duell gegen\n\u000E\u0000\u0003\u0004Ü＀\u000E\u0001\u0010\u0000\u000E\u0000\u0003\u0004\u0000＀ bestreiten?,Try another Rated Battle\nagainst \u000E\u0001\u0010\u0000?,¿Quieres librar otro combate clasificatorio\ncontra \u000E\u0000\u0003\u0004Ü＀\u000E\u0001\u0010\u0000\u000E\u0000\u0003\u0004\u0000＀?,Tenter un autre combat classé\ncontre \u000E\u0000\u0003\u0004Ü＀\u000E\u0001\u0010\u0000\u000E\u0000\u0003\u0004\u0000＀ ?,Vuoi combattere un'altra sfida classificata\ncontro \u000E\u0000\u0003\u0004Ü＀\u000E\u0001\u0010\u0000\u000E\u0000\u0003\u0004\u0000＀?,Wil je opnieuw een klassementsgevecht\ntegen \u000E\u0000\u0003\u0004Ü＀\u000E\u0001\u0010\u0000\u000E\u0000\u0003\u0004\u0000＀ beginnen?,Bir Dereceli Savaş daha yapıp\n\u000E\u0001\u0010\u0000 ile kapışmak ister misin?
Win_VarietyRetry,11,Möchtest du noch ein Allerlei-Duell\ngegen \u000E\u0000\u0003\u0004Ü＀\u000E\u0001\u0010\u0000\u000E\u0000\u0003\u0004\u0000＀ austragen?,Try another Chaos Battle\nagainst \u000E\u0001\u0010\u0000?,¿Quieres volver a librar un combate\ncaótico contra \u000E\u0000\u0003\u0004Ü＀\u000E\u0001\u0010\u0000\u000E\u0000\u0003\u0004\u0000＀?,Tenter un autre combat surprise\ncontre \u000E\u0000\u0003\u0004Ü＀\u000E\u0001\u0010\u0000\u000E\u0000\u0003\u0004\u0000＀ ?,Vuoi combattere un'altra sfida bizzarra\ncontro \u000E\u0000\u0003\u0004Ü＀\u000E\u0001\u0010\u0000\u000E\u0000\u0003\u0004\u0000＀?,Wil je opnieuw een stolpengevecht\ntegen \u000E\u0000\u0003\u0004Ü＀\u000E\u0001\u0010\u0000\u000E\u0000\u0003\u0004\u0000＀ beginnen?,Bir Kaos Savaşı daha yapıp\n\u000E\u0001\u0010\u0000 ile kapışmak ister misin?
Win_EnemyExit,12,Dein Gegner hat den Kampf verlassen.,Your opponent quit the battle.,Tu rival ha abandonado el combate.,Votre adversaire a quitté la partie.,Il tuo avversario ha abbandonato\nla sfida.,Je tegenstander heeft het gevecht\nverlaten.,Rakibin savaştan ayrıldı.
