label,index,deu,eng,esp,fra,ita,nld,tur
CharaSerif_00_M,0,"...Autsch! Au! ...He, wo bin ich?\nWas ist passiert?",Yeouch! What happened?!\nWhat am I...doing here?,"Au, ay... ¿Q-qué demonios ha pasado?",Aïe aïe aïe ! Qu'est-ce qui s'est passé ?!\nQu'est-ce que je fais ici ?!,Ahiahiahi...! M-ma...\nC-Cosa ho fatto...?,Au! Wat is er gebeurd? Wat doe ik hier?,Auu! Ne oldu?!\nBen... burada ne yapıyorum?
CharaSerif_00_F,1,,,,,,,
CharaSerif_01_M,2,Schwer zu sagen. Du hast die ganze Zeit\nvon Eisen und Schurken gequasselt.,Well... You said you had some kinda\nenlightenment and holed up here.,Me has contado que tuviste una revelación\nde no sé qué y por eso te escondiste aquí.,"Euh... Tu as dit que tu avais compris quelque\nchose, et puis tu t'es enfui.",Stavi parlando di esperienze mistiche\ne che ti sei rintanato qui.,"Nou, je zei dat je hier rustig in je eentje kon\ntrainen. Je collega's konden je niks leren.",Şey... Bir tür aydınlanma yaşadığını söyleyip\nburaya kapanmıştın.
CharaSerif_01_F,3,,Well... You said you had some kinda\nenlightenment and holed up here.,,,,,Şey... Bir tür aydınlanma yaşadığını söyleyip\nburaya kapanmıştın.
CharaSerif_02_M,4,Aber jetzt scheint's dir ja wieder\nbesser zu gehen.,"But it looks like you've snapped out of it\nand are back to normal now, huh?","Pero, por lo que veo, debías de estar\ndelirando.",On dirait que tu es redevenu toi-même.,"Ora, però, sembra che la tua memoria\nsi sia ristabilita in qualche modo.",Maar volgens mij zie je nu in dat dat ook niet\nalles is.,"Ama anlaşılan kendine gelmişsin de\nyeniden normale dönmüşsün, ha?"
CharaSerif_02_F,5,,"But it looks like you've snapped out of it\nand are back to normal now, huh?",,,,,"Ama anlaşılan kendine gelmişsin de\nyeniden normale dönmüşsün, ha?"
CharaSerif_03_M,6,"Mann, ich weiß bloß noch, dass ich einen\nkomischen Sushi-Geist gefunden hatte...",Huh... So that's what happened. The last\nthing I remember is that sushi sprite.,Ah... Lo último que recuerdo es la cara\nde mi genio del sushi...,"Oh, c'est donc ça. La dernière chose dont\nje me souvienne, c'est cette sushinité.",M-Ma allora... cos'è successo? Ricordo\ndi essermi alleato con uno spirito...,O... Ik weet het niet meer. Het laatste wat ik\nme herinner is die sushigami...,"Hıh... Demek olan bu. Hatırladığım son şey,\no suşi ruhuydu."
CharaSerif_03_F,7,,,,,,,
CharaSerif_04_M,8,"Was dann passiert ist... weiß nicht.\nNa, egal! Hier, ich schenk dir den Geist!","Oh yeah! Since you helped me out, I'll let\nyou have him. His name's Anubiva.","Estoy en deuda contigo. Como muestra de\nmi gratitud, te lo cedo. Se llama \u000E\u0000\u0003\u0004ﾑ＞Anubiva\u000E\u0000\u0003\u0004\u0000＀.","Oh ouais ! Puisque tu m'as aidé, je te la\nlaisse. Elle s'appelle \u000E\u0000\u0003\u0004ﾑ＞Anubiva\u000E\u0000\u0003\u0004\u0000＀.","Per avermi aiutato, lo lascerò prendere\na te. Il suo nome è \u000E\u0000\u0003\u0004ﾑ＞Anubiva\u000E\u0000\u0003\u0004\u0000＀.",Van mij mag je hem hebben. Hier heb je\n\u000E\u0000\u0003\u0004ﾑ＞Anubiva\u000E\u0000\u0003\u0004\u0000＀.,"Aa, doğru ya! Bana yardım ettiğin için onu\nsana veriyorum. Adı Anubiva."
CharaSerif_04_F,9,,,,,,,
CharaSerif_05_M,10,"Hab dank, Menschenkind... Du hast mich\nvom Bann jenes Schurken befreit.",Thank you very much. I am free at last\nfrom that man's control.,¡Muchísimas gracias! Por fin me libro\nde ese tipo...,"Merci, je suis enfin libéré du contrôle\nde cet homme.",Grazie infinite! Finalmente sono libero\ndal controllo di quel tipo...,Dank je! Eindelijk ben ik bevrijd van die\nkerel.,Çok teşekkür ederim. Sonunda o adamın\nkontrolünden kurtuldum.
CharaSerif_05_F,11,,,,,,,
CharaSerif_06_M,12,"Moment, war's nicht genau umgekehrt?\nDU hattest doch IHN...","That bad, huh?",¿No os llevabais bien o qué?,"Vous ne vous entendiez pas bien, on dirait ?",Mh? Cosa vuoi dire?,Werd je niet goed behandeld?,"Bu kadar kötü mü, ha?"
CharaSerif_06_F,13,,"That bad, huh?",,,,,"Bu kadar kötü mü, ha?"
CharaSerif_07_M,14,"Nun, als wir den Pakt geschlossen hatten,\nsprach er nur noch von Reis und Eisen...","After our pledge, he said he would achieve\nthe pinnacle of sushi and muscles.","Nada más sellar la alianza, me dijo que haría\nde mí un maestro del sushi y del músculo.","Une fois notre alliance formée, il a dit qu'il\nvoulait devenir le roi du riz et de la fonte.","Oh... Dopo essersi alleato con me, ha detto\nche avrebbe padroneggiato muscoli e sushi.",Na het vormen van onze band zei hij dat hij\nzijn leven ging wijden aan sushi en spieren.,"Bağ kurduktan sonra, suşiyle kasın\nzirvesine çıkacağını söyledi."
CharaSerif_07_F,15,,,,,,,
CharaSerif_08_M,16,Das ist allerdings wahr.\nIrgendwie war er richtig besessen davon.,"Yeah. I only knew him for five minutes, and\nit was all he ever talked about.","Ya... Parecía un pelín pesado con el tema,\nahora que lo dices.",Je vois... Je ne le connaissais pas depuis\ncinq minutes qu'il ne parlait déjà que de ça.,"Ora che lo hai detto, in effetti non parlava\ndi altro...",Ja. Ik ken hem pas vijf minuten en ik heb\nhem nog nergens anders over gehoord.,Evet. Onu sadece beş dakika tanıdım ama\ndurmadan bundan bahsetti.
CharaSerif_08_F,17,,"Yeah. I only knew him for five minutes, and\nit was all he ever talked about.",,,,,Evet. Onu sadece beş dakika tanıdım ama\ndurmadan bundan bahsetti.
CharaSerif_09_M,18,"Was, wenn er sich meinetwegen stählen\nwollte? Um meiner würdig zu werden?",No doubt he wanted to improve himself\nto compare to an advanced sushi sprite.,"Seguramente, solo intentaba expresar\nque su meta era ponerse a mi altura.",Il voulait sûrement s'améliorer et ensuite\nse frotter à une sushinité évoluée.,Già. Credo volesse migliorarsi per essere\ndegno di uno spirito di classe come me.,Hij dacht vast dat hij niet goed genoeg was\nvoor een sushigami als ik.,Kuşkusuz kendini geliştirip ileri seviye\nbir suşi ruhuyla boy ölçüşmek istedi.
CharaSerif_09_F,19,,,,,,,
CharaSerif_10_M,20,"Dann war er tatsächlich besessen. Nur nicht\nvon mir, sondern vom eigenen Ehrgeiz!","To do so, he shackled himself to endless\nsushi and weight training.",Y de ahí le venía esa obsesión por el sushi\ny el ejercicio físico.,Ça explique pourquoi il fait une fixation\nsur les sushis et la musculation.,E perciò è stato afflitto dall'ossessione\ndi mangiare sushi e allenarsi...,Dus legde hij zichzelf een strak regime op\nvan sushi en spiertraining.,Bunu yapmak için kendini bitmek bilmeyen\nsuşi ve ağırlık antrenmanına zincirledi.
CharaSerif_10_F,21,,,,,,,
CharaSerif_11_M,22,"Sag, willst du mit mir einen Pakt schließen?\nDeine Motive leuchten mir sicher mehr ein!","Knowing this, do you still desire to pledge\nwith me?","Bueno, entonces... ¿nos aliamos o no?","Maintenant que tu connais toute l'histoire,\ntu veux toujours devenir mon ami ?","Ora che te l'ho detto, desideri ancora allearti\ncon me?",Hopelijk heb jij daar geen last van. Wil je\nnog steeds een band met mij vormen?,Bütün bunları bildiğin hâlde yine de\nbenimle bağ kurmak istiyor musun?
CharaSerif_11_F,23,,,,"Maintenant que tu connais toute l'histoire,\ntu veux toujours devenir mon amie ?",,,
CharaSerif_12_M,24,Klaro! Ich will ja mit Sushi Freude ins Leben\naller Menschen bringen! Passt dir das?,Of course! I'll do whatever it takes to\nbring sushi to the world!,¡Por supuesto! ¡Lo que sea por llevar\na todo el mundo la felicidad del sushi!,Et comment ! Je ferais tout pour que le\nmonde entier puisse goûter aux sushis !,Certo che sì! Farei qualunque cosa per\ndiffondere il verbo del sushi nel mondo!,Natuurlijk! Ik doe alles wat nodig is om te\nzorgen dat iedereen sushi kan eten!,Elbette! Suşiyi dünyaya yaymak için\nne gerekiyorsa yaparım!
CharaSerif_12_F,25,,Of course! I'll do whatever it takes to\nbring sushi to the world!,,,,,Elbette! Suşiyi dünyaya yaymak için\nne gerekiyorsa yaparım!
