entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,,,,,,
1,002,{{TAG:0009:0002:0500060007000800}},{{TAG:0009:0002:0500060007000800}},{{TAG:0009:0002:0500060007000800}},{{TAG:0009:0002:0500060007000800}},{{TAG:0009:0002:0500060007000800}},{{TAG:0009:0002:0500060007000800}}
2,003,{{TAG:0009:0000:09000A00}},{{TAG:0009:0000:09000A00}},{{TAG:0009:0000:09000A00}},{{TAG:0009:0000:09000A00}},{{TAG:0009:0000:09000A00}},{{TAG:0009:0000:09000A00}}
3,004,,,,,,
4,005,"{{TAG:0003:0025:}}I don't know why,{{TAG:0007:0000:10000000}} but I always end
up coming here.{{TAG:0007:0000:20000000}} {{TAG:0003:0027:}}Probably to meet
new people{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}","{{TAG:0003:0025:}}No sé por qué,{{TAG:0007:0000:10000000}} pero cada dos por
tres acabo aquí.{{TAG:0007:0000:20000000}} {{TAG:0003:0027:}}Supongo que será
para conocer a gente nueva{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}","{{TAG:0003:0025:}}Je sais pas pourquoi,{{TAG:0007:0000:10000000}} mais cet
endroit m'attire comme un aimant.{{TAG:0000:0004:}}{{TAG:0003:0027:}}C'est sans doute l'envie de prendre
un bain de foule qui me taraude{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.","{{TAG:0003:0025:}}Non so perché,{{TAG:0007:0000:10000000}} ma gira e rigira
finisco sempre qui.{{TAG:0007:0000:20000000}} {{TAG:0003:0027:}}Forse perché
me gusta conoscere gente nuova{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}","{{TAG:0003:0025:}}Ich weiß nicht, warum,{{TAG:0007:0000:10000000}} aber mich
zieht es immer wieder hierher.{{TAG:0007:0000:20000000}}{{TAG:0000:0004:}}{{TAG:0003:0027:}}Wahrscheinlich, weil man hier viele
neue Leute kennenlernt{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.","{{TAG:0003:0025:}}Neden bilmiyorum{{TAG:0007:0000:10000000}} ama kendimi hep burada
buluyorum.{{TAG:0007:0000:20000000}} {{TAG:0003:0027:}}Muhtemelen yeni insanlarla
tanışmak için{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}"
5,006,"Having so many shops in the area
{{TAG:0003:0005:}}almost feels like we're throwing
parties all year long!","{{TAG:0003:0005:}}Que haya tantas tiendas aquí es
una gozada.{{TAG:0007:0000:0A000000}} ¡Lo malo es que cuesta
lo suyo decidirse por una!","Tant de magasins concentrés en un
seul endroit...{{TAG:0007:0000:1E000000}} {{TAG:0003:0005:}}Avec tout ça, le
shopping se transforme en fête !","Con così tanti negozi in città
{{TAG:0003:0005:}}ogni giorno sembra una fiesta!","{{TAG:0003:0005:}}Mit so vielen Läden herrscht auf der
Einkaufsmeile das ganze Jahr über
Festtagsstimmung!","Bölgede bu kadar çok dükkân olması{{TAG:0003:0005:}} sanki
yıl boyu parti veriyormuşuz
gibi hissettiriyor!"
6,007,"{{TAG:0003:0025:}}When I come here,{{TAG:0007:0000:10000000}} I get to meet
interesting people,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.{{TAG:0000:0004:}}{{TAG:0003:0000:}}For example{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:20000000}}{{TAG:0003:0003:}}people like you!","{{TAG:0003:0025:}}Siempre que vengo aquí me
encuentro gente interesante,{{TAG:0007:0000:08000000}}
{{TAG:0005:0007:}}.{{TAG:0000:0004:}}{{TAG:0003:0000:}}Como, por ejemplo{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:20000000}} {{TAG:0003:0003:}}¡tú! ¡Je, je!","{{TAG:0003:0025:}}Quand je viens ici, je suis souvent
assailli par des fans en délire,{{TAG:0007:0000:08000000}}
{{TAG:0005:0007:}}.{{TAG:0000:0004:}}{{TAG:0003:0000:}}Comme toi, par exemple{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:20000000}} {{TAG:0003:0024:}}Hé hé.","{{TAG:0003:0025:}}Qui si incontrano{{TAG:0007:0000:10000000}} un sacco
di tipi interessanti,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.{{TAG:0000:0004:}}{{TAG:0003:0000:}}Sì, ad esempio{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:20000000}} {{TAG:0003:0003:}}{{TAG:000E:0006:0E0074006900700065007400740069000E007400690070006500740074006500}} come te!","{{TAG:0003:0025:}}Hier trifft man immer wieder
interessante Leute,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.{{TAG:0000:0004:}}{{TAG:0003:0000:}}Zum Beispiel{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:20000000}} {{TAG:0003:0003:}}Leute wie dich!","{{TAG:0003:0025:}}Buraya gelince{{TAG:0007:0000:10000000}} ilginç insanlarla
tanışıyorum,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.{{TAG:0000:0004:}}{{TAG:0003:0000:}}Mesela{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:20000000}}{{TAG:0003:0003:}}senin gibi!"
7,008,"{{TAG:0003:0024:}}This spot is kinda the place to be
in {{TAG:0005:0005:}},{{TAG:0007:0000:08000000}} don't you think?
{{TAG:0003:002C:}}I'm all about the ""in"" scene.","{{TAG:0003:0024:}}Esta es la zona de moda en
{{TAG:000E:0003:}}{{TAG:0005:0005:}},{{TAG:0007:0000:08000000}} ¿no te parece?","{{TAG:0003:0024:}}C'est définitivement le lieu où il faut
être si tu veux te faire remarquer à
{{TAG:0005:0005:}},{{TAG:0007:0000:08000000}} t'es pas d'accord ?","{{TAG:0003:0024:}}Questo è il posto più ""in"" di tutta
{{TAG:0005:0005:}},{{TAG:0007:0000:08000000}} non trovi?","{{TAG:0003:0024:}}Dieser Ort ist wie ein Treffpunkt
für die Einwohner von {{TAG:0005:0005:}}!","{{TAG:0003:0024:}}Burası {{TAG:0005:0005:}}'ın{{TAG:0007:0000:08000000}} en gözde
noktalarından biri, sence de öyle değil mi?
{{TAG:0003:002C:}}Ben modanın ve ortamın
tam içindeyimdir."
8,009,{{TAG:000A:0007:0D000B000B000B000B000E00}},{{TAG:000A:0007:0D000B000B000B000B000E00}},{{TAG:000A:0007:0D000B000B000B000B000E00}},{{TAG:000A:0007:0D000B000B000B000B000E00}},{{TAG:000A:0007:0D000B000B000B000B000E00}},{{TAG:000A:0007:0D000B000B000B000B000E00}}
9,010,{{TAG:000A:0007:0D000C000C000C000C000F00}},{{TAG:000A:0007:0D000C000C000C000C000F00}},{{TAG:000A:0007:0D000C000C000C000C000F00}},{{TAG:000A:0007:0D000C000C000C000C000F00}},{{TAG:000A:0007:0D000C000C000C000C000F00}},{{TAG:000A:0007:0D000C000C000C000C000F00}}
