entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:0003:0001:}}Oh! All this rain! {{TAG:0007:0000:0A000000}}It's just awful,
don't you think, {{TAG:0005:0008:}}?","{{TAG:0003:0001:}}¡Uf! ¡Cuánta lluvia! {{TAG:0007:0000:0A000000}}
Qué rollo, ¿no, {{TAG:0005:0008:}}?","{{TAG:0003:0001:}}T'as vu cette pluie, {{TAG:0005:0008:}} ?!
{{TAG:0007:0000:0A000000}}C'est atroooce, {{TAG:0005:0007:}} !","{{TAG:0003:0001:}}Oh, {{TAG:0005:0008:}}! Tutta 'sta pioggia!{{TAG:0007:0000:0A000000}}
Che tempaccio oggi, vero?","{{TAG:0003:0001:}}Wow, {{TAG:0005:0008:}}, so viel Regen!
{{TAG:0007:0000:14000000}}Echt übel, oder, {{TAG:0007:0000:0A000000}}{{TAG:0005:0007:}}?","{{TAG:0003:0001:}}Aa! Şu yağmura bak! {{TAG:0007:0000:0A000000}}Berbat değil mi, {{TAG:0005:0008:}}?"
1,002,"{{TAG:0003:0009:}}It's just going to keep on raining
forever, isn't it, {{TAG:0005:0008:}}!","{{TAG:0003:0009:}}¿Has visto la que cae?
¡A ver si nos vamos a ahogar,
{{TAG:0005:0008:}}!","{{TAG:0003:0009:}}Dis, elle s'arrête quand la pluie,
{{TAG:0005:0008:}} ?!{{TAG:0003:0010:}} Tu sais, mais tu veux
pas me le dire, {{TAG:0005:0007:}} !","{{TAG:0003:0009:}}Sembra non la voglia più smettere
di piovere, {{TAG:0005:0008:}}!","{{TAG:0003:0009:}}{{TAG:000E:0003:}}{{TAG:0005:0008:}}, der Regen hört
bestimmt niiie mehr auf, oder
was meinst du, {{TAG:0007:0000:0A000000}}{{TAG:0005:0007:}}?","{{TAG:0003:0009:}}Sonsuza kadar yağacak herhâlde, değil
mi, {{TAG:0005:0008:}}!"
2,003,"{{TAG:0003:0001:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Woohoo{{TAG:0007:0007:}}!{{TAG:0007:0000:0A000000}}
{{TAG:0003:0003:}}This rain totally makes me want
to sing! You too, {{TAG:0005:0008:}}?","{{TAG:0003:0001:}}¡{{TAG:000E:0003:}}{{TAG:0007:0006:}}Holaaa{{TAG:0007:0007:}}!{{TAG:0007:0000:0A000000}}
{{TAG:0003:0003:}}¡La lluvia es requetefantástica!
Me dan unas ganas de cantar...","{{TAG:0003:0001:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Wouhou{{TAG:0007:0007:}} !{{TAG:0007:0000:0A000000}}
{{TAG:0003:0003:}}La pluie me donne envie de sautiller
dans tous les sens, {{TAG:0005:0007:}} !","{{TAG:0003:0001:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Ciaaao{{TAG:0007:0007:}}!{{TAG:0007:0000:0A000000}}{{TAG:0000:0004:}}{{TAG:0003:0003:}}Tutta questa pioggia mi fa
venire voglia di cantare!
Anche a te, {{TAG:0005:0008:}}?","{{TAG:0003:0001:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Huuhuuu{{TAG:0007:0007:}}!
{{TAG:0007:0000:0A000000}}{{TAG:0003:0003:}}Bei diesem Regen hab ich irgendwie
total Lust zu singen, {{TAG:0007:0000:0A000000}}{{TAG:0005:0007:}}!
Und du, {{TAG:0005:0008:}}?","{{TAG:0003:0001:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Vuhuu{{TAG:0007:0007:}}!{{TAG:0007:0000:0A000000}} {{TAG:0003:0003:}}Bu yağmur resmen şarkı
söyleyesimi getiriyor! Senin
de, {{TAG:0005:0008:}}?"
3,004,"Is it going to rain all day? {{TAG:0007:0000:14000000}}{{TAG:0003:000C:}}Ugh, I'm
just dripping wet, {{TAG:0005:0008:}}!","¿No va a parar en todo el día? {{TAG:0007:0000:14000000}}
{{TAG:0003:000C:}}Tendré que pasarme la tarde
aburrida en casa.","{{TAG:0003:000C:}}J'en ai marre de la pluie,
{{TAG:0005:0008:}}... {{TAG:0007:0000:14000000}}J'suis trempée comme
une soupe de nouilles, {{TAG:0005:0007:}}.","Dici che pioverà tutto il giorno?{{TAG:0007:0000:14000000}}
{{TAG:0003:000C:}}Uffa, {{TAG:0005:0008:}}, sono bagnata
fradicia!","Sag mal, {{TAG:0005:0008:}}, meinst du,
das wird den ganzen Tag so
weiterregnen?
{{TAG:0003:000C:}}Ach menno, ich bin schon total
durchnässt, {{TAG:0007:0000:0A000000}}{{TAG:0005:0007:}}!","Bütün gün yağacak mı? {{TAG:0007:0000:14000000}}{{TAG:0003:000C:}}Üff, sırılsıklam
oldum, {{TAG:0005:0008:}}!"
4,005,"You don't like this rain, do you,
{{TAG:0005:0008:}}? {{TAG:0007:0000:14000000}}{{TAG:0003:0028:}}I can't stand this stuff,
{{TAG:0005:0007:}}.","A ti tampoco te gusta la lluvia,
¿a que no, {{TAG:0005:0008:}}?{{TAG:0007:0000:14000000}}{{TAG:0003:0028:}}
No la soporto, {{TAG:0005:0007:}}.","Toi aussi, tu en as marre de ce
temps, {{TAG:0005:0008:}} ?{{TAG:0007:0000:14000000}}{{TAG:0003:0028:}} La pluie, ça
devrait être interdit, {{TAG:0005:0007:}}.","Neanche a te piace la pioggia,
{{TAG:0005:0008:}}? {{TAG:0007:0000:14000000}}{{TAG:0003:0028:}}Non sopporto proprio
questo tempaccio, {{TAG:0005:0007:}}.","Du kannst diesen Regen auch nicht
wirklich leiden, oder, {{TAG:0005:0008:}}?{{TAG:0000:0004:}}{{TAG:0003:0028:}}Oh Mann, ich auch nicht, das sag ich
dir, {{TAG:0007:0000:0A000000}}{{TAG:0005:0007:}}!","Sen de bu yağmuru sevmiyorsun, değil
mi, {{TAG:0005:0008:}}? {{TAG:0007:0000:14000000}}{{TAG:0003:0028:}}Ben hiç
dayanamıyorum, {{TAG:0005:0007:}}."
5,006,"{{TAG:0003:0004:}}I love rainy days! {{TAG:0007:0000:0A000000}}It's like the whole
sky is a gigantic pond, {{TAG:0005:0008:}}!","{{TAG:0003:0004:}}¡Viva la lluvia! {{TAG:0007:0000:0A000000}}¡Es como si el pueblo
entero fuera un estanque gigante!","{{TAG:0003:0004:}}Vive la pluie ! {{TAG:0007:0000:0A000000}}On se croirait dans
une mare géante, {{TAG:0005:0007:}} !{{TAG:0000:0004:}}{{TAG:0003:0005:}}Qu'est-ce qu'on se marre à
{{TAG:0005:0005:}}-sur-mare, hi hi hi !","{{TAG:0003:0004:}}Adoro le giornate di pioggia! {{TAG:0007:0000:0A000000}}Sono
meglio di un CD dei ""Ricci e Paperi"",
{{TAG:0005:0008:}}!","{{TAG:0003:0004:}}{{TAG:000E:0003:}}{{TAG:0005:0008:}}, ich liebe Regentage! {{TAG:0007:0000:14000000}}An
denen sieht der Himmel immer wie
ein Megateich aus, {{TAG:0007:0000:0A000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0004:}}Yağmurlu günlere bayılıyorum! {{TAG:0007:0000:0A000000}}Sanki
bütün gökyüzü dev bir gölet, {{TAG:0005:0008:}}!"
6,007,"{{TAG:0003:000C:}}All this rain is making me feel like
I'm totally circling the drain.{{TAG:0007:0000:14000000}}{{TAG:0003:0025:}}
Make it stop, {{TAG:0005:0008:}}!","{{TAG:0003:000C:}}No sé ni para qué me molesto en
arreglarme los días de lluvia.{{TAG:0007:0000:14000000}}{{TAG:0003:0025:}}
¡Que pare ya, {{TAG:0005:0008:}}!","{{TAG:0003:000C:}}Je peux plus voir la pluie en
peinture.{{TAG:0007:0000:14000000}} {{TAG:0003:0025:}}{{TAG:000E:0003:}}{{TAG:0005:0008:}}, fais quelque
chose, {{TAG:0005:0007:}} !","{{TAG:0003:000C:}}Questa pioggia è più deprimente di
un disco dei ""Pulcini di Campagna"".{{TAG:0007:0000:14000000}}{{TAG:0003:0025:}}
Qualcuno la fermi, {{TAG:0005:0008:}}!","{{TAG:0003:000C:}}Bei dem ganzen Regen komm ich
mir echt so vor, als würde ich einen
Abfluss hinuntergespült werden...
{{TAG:0007:0000:14000000}}{{TAG:0003:0025:}}Mach, dass es aufhört, {{TAG:0005:0008:}}!
{{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:000C:}}Bu yağmur yüzünden moralim resmen gidere
akıyor.{{TAG:0007:0000:14000000}}{{TAG:0003:0025:}} Kes artık, {{TAG:0005:0008:}}!"
7,008,"This rain is soaking me to the core.{{TAG:0007:0000:0A000000}}
{{TAG:0003:0028:}}Really, it's got to stop sometime,
right, {{TAG:0005:0008:}}?","{{TAG:0003:0028:}}No sé cómo puede haber alguien
a quien le guste la lluvia.{{TAG:0007:0000:0A000000}} ¡Es muy
aburrida, {{TAG:0005:0008:}}!","Je suis en train de me ramollir de
l'intérieur avec tout ce qui tombe,
hi hi.{{TAG:0007:0000:0A000000}} {{TAG:0003:0028:}}Pas bon signe, {{TAG:0005:0007:}} !","Sono inzuppata come un savoiardo
in un tiramisù.{{TAG:0000:0004:}}{{TAG:0007:0000:0A000000}}{{TAG:0003:0028:}}Ma insomma, si può sapere quando
la smetterà di piovere, {{TAG:0005:0008:}}?","Dieser Regen durchnässt mich
bis auf die Knochen,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}.{{TAG:0000:0004:}}{{TAG:0003:0028:}}Jetzt mal im Ernst, der Regen hört
doch irgendwann auf, oder,
{{TAG:0007:0000:0A000000}}{{TAG:0005:0007:}}?","Bu yağmur iliğime kadar işledi.{{TAG:0007:0000:0A000000}}
{{TAG:0003:0028:}}Bir yerde durması lazım artık, değil
mi, {{TAG:0005:0008:}}?"
8,009,"{{TAG:0003:0001:}}Just look at me! {{TAG:0007:0000:0A000000}}{{TAG:0003:0021:}}On a rainy day
like this, don't I totally sparkle,
{{TAG:0005:0008:}}?","{{TAG:0003:0001:}}¡Mira, mira cómo me brilla la piel! {{TAG:0007:0000:0A000000}}{{TAG:0003:0021:}}
¡Es el poder milagroso de la lluvia,
{{TAG:0005:0008:}}!","{{TAG:0003:0021:}}Vise un peu ça ! {{TAG:0007:0000:0A000000}}Y'a pas à dire, la
pluie me va à ravir, {{TAG:0005:0007:}} !","{{TAG:0003:0001:}}No, dico, cioè, guardami! {{TAG:0007:0000:0A000000}}{{TAG:0003:0021:}}Quando
piove, non ti sembro più carina
e {{TAG:0007:0000:0A000000}}modesta{{TAG:0007:0000:0A000000}} del solito, {{TAG:0005:0008:}}?","{{TAG:0003:0001:}}Hey, schau mich an, {{TAG:0007:0000:0A000000}}{{TAG:0005:0007:}}!{{TAG:0000:0004:}}{{TAG:0003:0021:}}Findest du nicht auch, dass ich an
Regentagen wie heute total glitzere
und funkele, {{TAG:0005:0008:}}?","{{TAG:0003:0001:}}Şuna bak! {{TAG:0007:0000:0A000000}}{{TAG:0003:0021:}}Böyle yağmurlu bir günde
resmen parlamıyor muyum, {{TAG:0005:0008:}}?"
9,010,"{{TAG:0003:000C:}}I can't think of anything I hate
MORE than rain at night. {{TAG:0007:0000:14000000}}{{TAG:0003:0000:}}
It's super yucky, {{TAG:0005:0008:}}.","{{TAG:0003:000C:}}¡Andar de noche ya es complicado,
pero con lluvia ya ni te cuento!","{{TAG:0003:0025:}}On se croirait dans une baignoire
géante. {{TAG:000E:0003:}}{{TAG:0005:0005:}}-les-Bains,
{{TAG:0007:0000:0A000000}}{{TAG:0005:0007:}} !","{{TAG:0003:000C:}}Non c'è niente che odii di più
di una serata piovosa.{{TAG:0007:0000:14000000}}{{TAG:0003:0000:}}
Che barba, {{TAG:0005:0008:}}!","{{TAG:0003:000C:}}Ich kann mir nichts Schlimmeres
vorstellen als Regen bei Nacht,
{{TAG:0007:0000:0A000000}}{{TAG:0005:0007:}}.{{TAG:0003:0000:}}
Einfach nur superglitschigeklig!
{{TAG:0007:0000:14000000}}Findest du nicht auch, {{TAG:0005:0008:}}?","{{TAG:0003:000C:}}Gece yağmurundan DAHA çok nefret ettiğim
bir şey düşünemiyorum. {{TAG:0007:0000:14000000}}{{TAG:0003:0000:}}
Çok iğrenç, {{TAG:0005:0008:}}."
