entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,{{TAG:0009:0004:4700480049004A004B004C00}},{{TAG:0009:0004:4700480049004A004B004C00}},{{TAG:0009:0004:4700480049004A004B004C00}},{{TAG:0009:0004:4700480049004A004B004C00}},{{TAG:0009:0004:4700480049004A004B004C00}},{{TAG:0009:0004:4700480049004A004B004C00}}
1,002,{{TAG:0009:0004:4700480049004A004B004C00}},{{TAG:0009:0004:4700480049004A004B004C00}},{{TAG:0009:0004:4700480049004A004B004C00}},{{TAG:0009:0004:4700480049004A004B004C00}},{{TAG:0009:0004:4700480049004A004B004C00}},{{TAG:0009:0004:4700480049004A004B004C00}}
2,003,{{TAG:0009:0004:4700480049004A004B004C00}},{{TAG:0009:0004:4700480049004A004B004C00}},{{TAG:0009:0004:4700480049004A004B004C00}},{{TAG:0009:0004:4700480049004A004B004C00}},{{TAG:0009:0004:4700480049004A004B004C00}},{{TAG:0009:0004:4700480049004A004B004C00}}
3,004,"{{TAG:0003:0024:}}Huh.{{TAG:0007:0000:10000000}} I didn't know {{TAG:0011:0001:0000}}{{TAG:0007:0000:10000000}}
enjoys listening{{TAG:0007:0000:08000000}} to stuff like
{{TAG:0000:0003:0200}}{{TAG:0011:0003:0100}}{{TAG:0000:0003:FFFF}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}
{{TAG:0003:0006:}}And the {{TAG:0011:0003:0000}}{{TAG:0007:0000:10000000}}
creates such a crisp sound{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:0000:0004:}}{{TAG:0003:0025:}}I feel as if we two are kindred
spirits with our vast and {{TAG:0003:0015:}}superior
musical taste,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}! Hah!","{{TAG:0003:0024:}}{{TAG:0011:0001:0000}}{{TAG:0007:0000:10000000}} sabe bien lo que se hace.{{TAG:0007:0000:0A000000}}
¡El sonido que reproduce su
{{TAG:0011:0003:0000}} es la leche!
{{TAG:0003:0023:}}¡Ideal para escuchar un buen disco
de {{TAG:0005:0014:0000}}{{TAG:0007:0000:10000000}} a todo
volumen!{{TAG:0007:0000:08000000}}{{TAG:0000:0004:}}{{TAG:0003:0025:}}Este chico sí que sabe estar
a la última,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","{{TAG:0003:0024:}}Tiens,{{TAG:0007:0000:10000000}} {{TAG:0011:0001:0000}} écoute aussi
{{TAG:0011:0003:0100}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0004:}}{{TAG:0003:0010:}}Et pas avec n'importe quoi !{{TAG:0007:0000:0F000000}} Vise un
peu {{TAG:000E:0001:}}{{TAG:0011:0003:0000}} !{{TAG:0007:0000:1E000000}}
Le son déchire tout !
{{TAG:0003:0025:}}Ah là là, on a vraiment tout compris
à la vie, moi et lui !{{TAG:0007:0000:08000000}} {{TAG:000E:0003:}}{{TAG:0005:0007:}} !","{{TAG:0003:0024:}}Oh,{{TAG:0007:0000:10000000}} {{TAG:0011:0001:0000}} la sa lunga in fatto
di musica! {{TAG:0003:0025:}}Abbiamo un sacco
in comune noi due,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!
{{TAG:0003:0006:}}{{TAG:000E:0012:10000C0049006C002000730075006F000C004C00610020007300750061000000}} {{TAG:0011:0003:0000}}{{TAG:0007:0000:10000000}}
è davvero eccezionale{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:0000:0004:}}{{TAG:0007:0000:10000000}}{{TAG:0007:0000:08000000}}È perfett{{TAG:000E:0012:100002006F00020061000000}} per ascoltare
""{{TAG:0011:0003:0100}}""!","{{TAG:0003:0024:}}Ich hätte nicht gedacht, dass
{{TAG:0011:0001:0000}} so was wie
{{TAG:0011:0003:0100}} hört...
{{TAG:0003:0006:}}{{TAG:000E:0003:}}{{TAG:000E:0001:}}{{TAG:0011:0003:0000}} hat
übrigens einen wirklich guten Klang...{{TAG:0000:0004:}}{{TAG:0003:0025:}}Es ist fast so, als wären {{TAG:0011:0001:0000}}
und ich seelenverwandt,
{{TAG:0005:0007:}}!","{{TAG:0003:0024:}}Ha.{{TAG:0007:0000:10000000}} {{TAG:0011:0001:0000}}{{TAG:0007:0000:10000000}}’ın {{TAG:0007:0000:08000000}} {{TAG:0000:0003:0200}}{{TAG:0011:0003:0100}}{{TAG:0000:0003:FFFF}}{{TAG:0007:0000:08000000}} gibi şeyler
dinlemeyi sevdiğini bilmiyordum{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}
{{TAG:0003:0006:}}Şu {{TAG:0011:0003:0000}}{{TAG:0007:0000:10000000}} da ne kadar berrak ses
veriyor{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:0000:0004:}}{{TAG:0003:0025:}}Engin ve {{TAG:0003:0015:}}üstün müzik
zevkimizle ruh ikizi gibiyiz,{{TAG:0007:0000:08000000}}
{{TAG:0005:0007:}}! Hah!"
4,005,{{TAG:0009:0004:4700480049004A004B004C00}},{{TAG:0009:0004:4700480049004A004B004C00}},{{TAG:0009:0004:4700480049004A004B004C00}},{{TAG:0009:0004:4700480049004A004B004C00}},{{TAG:0009:0004:4700480049004A004B004C00}},{{TAG:0009:0004:4700480049004A004B004C00}}
5,006,{{TAG:0009:0004:4700480049004A004B004C00}},{{TAG:0009:0004:4700480049004A004B004C00}},{{TAG:0009:0004:4700480049004A004B004C00}},{{TAG:0009:0004:4700480049004A004B004C00}},{{TAG:0009:0004:4700480049004A004B004C00}},{{TAG:0009:0004:4700480049004A004B004C00}}
6,007,{{TAG:0009:0004:4700480049004A004B004C00}},{{TAG:0009:0004:4700480049004A004B004C00}},{{TAG:0009:0004:4700480049004A004B004C00}},{{TAG:0009:0004:4700480049004A004B004C00}},{{TAG:0009:0004:4700480049004A004B004C00}},{{TAG:0009:0004:4700480049004A004B004C00}}
7,008,{{TAG:0009:0004:4700480049004A004B004C00}},{{TAG:0009:0004:4700480049004A004B004C00}},{{TAG:0009:0004:4700480049004A004B004C00}},{{TAG:0009:0004:4700480049004A004B004C00}},{{TAG:0009:0004:4700480049004A004B004C00}},{{TAG:0009:0004:4700480049004A004B004C00}}
8,009,"{{TAG:0003:0024:}}Heh heh.{{TAG:0007:0000:10000000}} A double bed totally fits
{{TAG:0011:0001:0000}}'s image!{{TAG:0007:0000:08000000}} {{TAG:000E:0003:}}{{TAG:0005:0007:}}!{{TAG:0000:0004:}}{{TAG:0003:0004:}}{{TAG:0007:0000:10000000}}I bet he owns it to make sure he
has sweet dreams every night!{{TAG:0000:0004:}}{{TAG:0003:002B:}}Now me, I'd use it mostly because
a double bed is {{TAG:0003:0015:}}easier to hide under
when monsters attack.{{TAG:0007:0000:10000000}} {{TAG:0003:0020:}}Naturally.","{{TAG:0003:0024:}}Dormir en una cama doble
le pega un montón a {{TAG:0011:0001:0000}},
{{TAG:0005:0007:}}.{{TAG:0000:0004:}}{{TAG:0003:0004:}}{{TAG:0007:0000:10000000}}¡Debe de tener unos sueños 
larguísimos en una cama así
de grande!","{{TAG:0003:0024:}}Hé hé,{{TAG:0007:0000:10000000}} il fallait bien un lit double à
{{TAG:0011:0001:0000}} pour soigner son image !{{TAG:0007:0000:08000000}}
{{TAG:000E:0003:}}{{TAG:0005:0007:}} !
{{TAG:0003:0025:}}Franchement, a-t-on déjà vu une
méga vedette dormir dans un petit
lit ?{{TAG:0007:0000:0F000000}} Je te le demande, {{TAG:0005:0008:}}.","{{TAG:0003:0024:}}Eh eh,{{TAG:0007:0000:10000000}} ero certo di trovare
un bel lettone a due piazze a casa
di {{TAG:0011:0001:0000}},{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!{{TAG:0000:0004:}}{{TAG:0003:0004:}}{{TAG:0007:0000:10000000}}Lo sapevi che più grande è il letto,
più belli sono i sogni che ci si
possono fare?","{{TAG:0003:0024:}}Ein Doppelbett passt perfekt zu
{{TAG:0011:0001:0000}}, {{TAG:0005:0007:}}!{{TAG:0000:0004:}}{{TAG:0003:0004:}}Wenn er darin schläft, hat er
bestimmt nur angenehme Träume!","{{TAG:0003:0024:}}Heh heh.{{TAG:0007:0000:10000000}} Çift kişilik yatak {{TAG:0011:0001:0000}}’ın
imajına tam uyuyor!{{TAG:0007:0000:08000000}} {{TAG:000E:0003:}}{{TAG:0005:0007:}}!{{TAG:0000:0004:}}{{TAG:0003:0004:}}{{TAG:0007:0000:10000000}}Her gece
tatlı rüyalar görsün diye almıştır!{{TAG:0000:0004:}}{{TAG:0003:002B:}}Ben
olsam çoğunlukla canavarlar saldırınca
{{TAG:0003:0015:}}altına saklanmak kolay olsun diye
kullanırdım.{{TAG:0007:0000:10000000}} {{TAG:0003:0020:}}Doğal olarak."
9,010,{{TAG:0009:0004:4700480049004A004B004C00}},{{TAG:0009:0004:4700480049004A004B004C00}},{{TAG:0009:0004:4700480049004A004B004C00}},{{TAG:0009:0004:4700480049004A004B004C00}},{{TAG:0009:0004:4700480049004A004B004C00}},{{TAG:0009:0004:4700480049004A004B004C00}}
